ReturnStepMax,target_sum_log_mean,IWLastEpisode,IWNorm1,Bound,LQGsigma,SqrtESSClassic,ReturnMax,URet,Iteration,DenMISEMeanLog,IWMin,TimestepsSoFar,ReturnMin,LQGmu1,LQGmu01,ExplorationBonus,IWMean,IWFirstEpisode,ReturnLastEpisode,TimeElapsed,IWNorm2,DenMISELogLast,ReturnMean,DenMISELogFirst,IWMax,MISE,ReturnAbsMax
0.99494565,-78.330444,9.580977e-25,1e-10,1.4284096,19.230896,1.0,14.212496,15.593418754668832,1,-23.025597,,20,,-2.2760952,-0.22760952,1.4284096,9.580977e-25,9.580977e-25,14.212496,0.044767141342163086,1e-10,-23.025597,14.212496,-23.025597,9.580977e-25,1.3616959e-23,14.212496
0.99494565,-83.400986,7.5567015e-29,2e-10,1.0100381,19.230896,1.4142135,14.212496,5.435295153550627,2,-23.71887,,40,,-2.2760952,-0.22760952,1.0100381,9.581342e-25,1.9161928e-24,4.940558,1.1079871654510498,1.4142136e-10,-23.718998,9.576527,-23.718742,1.9161928e-24,1.3617128e-23,14.212496
0.99494565,-83.17922,3.5113703e-26,3e-10,0.8246927,19.230896,1.7320507,14.212496,5.060655495217468,3,-24.12438,,60,,-2.2760952,-0.22760952,0.8246927,9.698379e-25,2.8742865e-24,4.536124,1.1334228515625,1.7320509e-10,-24.124464,7.8963923,-24.124208,2.8742865e-24,1.3670207e-23,14.212496
0.99494565,-83.77606,2.7602609e-27,4e-10,0.7142048,19.230896,2.0,14.212496,6.235307342577083,4,-24.412083,,80,,-2.2760952,-0.22760952,0.7142048,9.705274e-25,3.83238e-24,5.5688887,1.1587965488433838,2e-10,-24.412146,7.3145165,-24.41189,3.83238e-24,1.3674044e-23,14.212496
0.99494565,-84.16347,2.9802872e-27,5e-10,0.6388042,19.230896,2.2360678,14.212496,5.284562150589608,5,-24.635237,,100,,-2.2760952,-0.22760952,0.6388042,9.711245e-25,4.7904797e-24,4.7944574,1.1871464252471924,2.2360681e-10,-24.635288,6.810506,-24.635035,4.7904797e-24,1.3676915e-23,14.212496
0.99494565,-85.83532,7.412852e-31,6e-10,0.5831458,19.230896,2.4494896,14.212496,4.549436273919923,6,-24.817566,,120,,-2.2760952,-0.22760952,0.5831458,9.711263e-25,5.7485864e-24,4.12082,1.218165636062622,2.4494898e-10,-24.81761,6.3622246,-24.817356,5.7485864e-24,1.3676942e-23,14.212496
0.99494565,-86.17407,3.4470518e-28,7e-10,0.5398881,19.230896,2.6457512,14.212496,4.611493913236558,7,-24.971725,,140,,-2.2760952,-0.22760952,0.5398881,9.711731e-25,6.706667e-24,4.2114315,1.2503368854522705,2.6457514e-10,-24.971762,6.0549684,-24.971506,6.706667e-24,1.3677114e-23,14.212496
0.99494565,-86.18025,2.8620825e-27,8e-10,0.50501907,19.230896,2.828427,14.212496,4.138979064582783,8,-25.10526,,160,,-2.2760952,-0.22760952,0.50501907,9.71533e-25,7.6647784e-24,3.748746,1.2871575355529785,2.8284272e-10,-25.105293,5.7666903,-25.105038,7.6647784e-24,1.3678482e-23,14.212496
0.999848,-85.96586,2.315356e-26,8.9999996e-10,0.4761365,19.230896,3.0,14.212496,5.898070647272098,9,-25.223047,,180,,-2.2760952,-0.22760952,0.4761365,9.74105e-25,8.622871e-24,5.316448,1.3238554000854492,3e-10,-25.223076,5.7166634,-25.22282,8.622871e-24,1.3692155e-23,14.212496
0.999848,-86.1251,9.417862e-28,1e-09,0.45170283,19.230896,3.1622772,14.212496,5.600696023987923,10,-25.328411,,200,,-2.2760952,-0.22760952,0.45170283,9.74197e-25,9.580946e-24,5.046791,1.3663737773895264,3.162278e-10,-25.328436,5.6496763,-25.32818,9.580946e-24,1.3692596e-23,14.212496
0.999848,-85.97392,2.290757e-26,1.1e-09,0.43068168,19.230896,3.3166249,14.212496,5.314888038363244,11,-25.423723,,220,,-2.2760952,-0.22760952,0.43068168,9.762831e-25,1.0539081e-23,4.813139,1.4208672046661377,3.3166248e-10,-25.423746,5.5736275,-25.42349,1.0539081e-23,1.3702672e-23,14.212496
0.999848,-85.92858,9.494593e-27,1.2e-09,0.41234636,19.230896,3.4641013,14.212496,5.482666784876264,12,-25.510736,,240,,-2.2760952,-0.22760952,0.41234636,9.770725e-25,1.1497157e-23,4.976787,1.4693567752838135,3.4641018e-10,-25.510757,5.523891,-25.510502,1.1497157e-23,1.3706584e-23,14.212496
0.999848,-86.07671,9.104805e-28,1.3e-09,0.39616954,19.230896,3.6055512,14.212496,4.65295493725506,13,-25.59078,,260,,-2.2760952,-0.22760952,0.39616954,9.771435e-25,1.24552665e-23,4.190761,1.5239784717559814,3.6055514e-10,-25.5908,5.421342,-25.590546,1.24552665e-23,1.3706892e-23,14.212496
0.999848,-86.37885,8.4413076e-29,1.4e-09,0.3817585,19.230896,3.7416573,14.212496,6.223018229370232,14,-25.66489,,280,,-2.2760952,-0.22760952,0.3817585,9.771497e-25,1.3413366e-23,5.6436243,1.5747132301330566,3.7416575e-10,-25.664907,5.437219,-25.664654,1.3413366e-23,1.3706928e-23,14.212496
0.999848,-86.31942,1.1207099e-26,1.5e-09,0.36881375,19.230896,3.8729835,14.212496,6.876916217885174,15,-25.733885,,300,,-2.2760952,-0.22760952,0.36881375,9.778967e-25,1.437146e-23,6.2926617,1.6241683959960938,3.8729833e-10,-25.733902,5.4942484,-25.733646,1.437146e-23,1.3711625e-23,14.212496
0.999848,-86.32815,4.5227256e-27,1.6e-09,0.3571024,19.230896,4.0,14.212496,3.6171241834452594,16,-25.798424,,320,,-2.2760952,-0.22760952,0.3571024,9.781814e-25,1.5329593e-23,3.2788796,1.677661418914795,4e-10,-25.798439,5.355788,-25.798185,1.5329593e-23,1.3712585e-23,14.212496
0.999848,-86.23301,2.760673e-26,1.6999999e-09,0.34644023,19.230896,4.1231055,14.212496,6.120672411137298,17,-25.859049,,340,,-2.2760952,-0.22760952,0.34644023,9.798041e-25,1.628767e-23,5.5413356,1.73026704788208,4.1231057e-10,-25.859064,5.366703,-25.858809,1.628767e-23,1.3721565e-23,14.212496
0.999848,-86.47507,8.17573e-29,1.7999999e-09,0.33667937,19.230896,4.2426405,14.212496,4.718762829287395,18,-25.916208,,360,,-2.2760952,-0.22760952,0.33667937,9.798095e-25,1.7245784e-23,4.297928,1.8012826442718506,4.2426407e-10,-25.916224,5.3073263,-25.915968,1.7245784e-23,1.3721598e-23,14.212496
0.999848,-86.53956,1.5521389e-27,1.9e-09,0.32769963,19.230896,4.3588986,14.212496,5.350240593101559,19,-25.970276,,380,,-2.2760952,-0.22760952,0.32769963,9.798898e-25,1.8203855e-23,4.8561716,1.86234450340271,4.358899e-10,-25.97029,5.2835813,-25.970036,1.8203855e-23,1.3721972e-23,14.212496
0.999848,-86.62605,9.249596e-28,2e-09,0.3194021,19.230896,4.4721355,14.212496,6.140272471801458,20,-26.02157,,400,,-2.2760952,-0.22760952,0.3194021,9.799353e-25,1.9161936e-23,5.58394,1.9208221435546875,4.4721363e-10,-26.021584,5.2985992,-26.021328,1.9161936e-23,1.372222e-23,14.212496
0.999848,-86.608376,7.2808125e-27,2.1e-09,0.31170452,19.230896,4.582576,14.212496,5.451963220181545,21,-26.070362,,420,,-2.2760952,-0.22760952,0.31170452,9.802818e-25,2.012003e-23,4.9453177,1.9814507961273193,4.5825757e-10,-26.070374,5.2817764,-26.070118,2.012003e-23,1.3723931e-23,14.212496
0.999848,-86.9264,4.901599e-30,2.2e-09,0.30453798,19.230896,4.6904154,14.212496,5.853967904932799,22,-26.116882,,440,,-2.2760952,-0.22760952,0.30453798,9.802822e-25,2.1078131e-23,5.338456,2.044647216796875,4.690416e-10,-26.116894,5.284353,-26.116638,2.1078131e-23,1.3723936e-23,14.212496
0.999848,-86.87853,1.2251159e-26,2.3e-09,0.29784396,19.230896,4.7958317,14.212496,5.760494381625071,23,-26.161331,,460,,-2.2760952,-0.22760952,0.29784396,9.808158e-25,2.2036249e-23,5.1804347,2.11110782623291,4.7958315e-10,-26.161345,5.2798347,-26.16109,2.2036249e-23,1.3726708e-23,14.212496
0.999848,-86.92144,1.5928795e-27,2.4e-09,0.2915729,19.230896,4.898979,14.212496,4.566273430091398,24,-26.203894,,480,,-2.2760952,-0.22760952,0.2915729,9.80883e-25,2.2994368e-23,4.102763,2.179201126098633,4.8989796e-10,-26.203905,5.2307897,-26.20365,2.2994368e-23,1.3726992e-23,14.212496
0.999848,-86.88026,1.2460428e-26,2.5e-09,0.28568193,19.230896,4.9999995,14.212496,5.611843114001978,25,-26.244717,,500,,-2.2760952,-0.22760952,0.28568193,9.813805e-25,2.3952446e-23,5.0665393,2.2511394023895264,5.0000004e-10,-26.244726,5.22422,-26.244473,2.3952446e-23,1.3729506e-23,14.212496
0.999848,-86.81613,2.5553973e-26,2.6e-09,0.28013414,19.230896,5.0990195,14.212496,5.601897080484455,26,-26.283936,,520,,-2.2760952,-0.22760952,0.28013414,9.823616e-25,2.4910498e-23,5.058711,2.326683521270752,5.0990195e-10,-26.283947,5.2178545,-26.283693,2.4910498e-23,1.3734453e-23,14.212496
0.999848,-86.761024,2.3649887e-26,2.7e-09,0.27489755,19.230896,5.1961527,14.212496,5.615283631981571,27,-26.321678,,540,,-2.2760952,-0.22760952,0.27489755,9.832398e-25,2.5868653e-23,5.089654,2.4037058353424072,5.1961524e-10,-26.321688,5.2131066,-26.321432,2.5868653e-23,1.3738942e-23,14.212496
0.999848,-86.751015,7.745833e-27,2.8e-09,0.26994404,19.230896,5.2915025,14.212496,5.645297679612468,28,-26.358046,,560,,-2.2760952,-0.22760952,0.26994404,9.83518e-25,2.6826796e-23,5.108828,2.4838786125183105,5.291503e-10,-26.358055,5.209382,-26.357801,2.6826796e-23,1.3740378e-23,14.212496
0.999848,-86.72528,1.29078074e-26,2.9e-09,0.265249,19.230896,5.3851647,14.212496,5.152392549667692,29,-26.393139,,580,,-2.2760952,-0.22760952,0.265249,9.839597e-25,2.7784792e-23,4.569174,2.5645697116851807,5.385165e-10,-26.393147,5.187306,-26.39289,2.7784792e-23,1.3742362e-23,14.212496
