TimeElapsed,ReturnMean,MISE,URet,LQGmu1,IWLastEpisode,ExplorationBonus,LQGmu01,IWNorm2,IWMean,ReturnLastEpisode,target_sum_log_mean,ReturnStepMax,ReturnAbsMax,IWNorm1,DenMISELogFirst,DenMISEMeanLog,SqrtESSClassic,IWMax,IWFirstEpisode,TimestepsSoFar,ReturnMin,ReturnMax,Bound,IWMin,DenMISELogLast,LQGsigma,Iteration
16.368181467056274,9.224262,9.947301,10.105606128406967,0.01010101,5.5849614,0.5450248,0.001010101,11.522089,1.0632555,9.198099,11.097592,0.599013,9.508127,20.201855,10.684164,16.035315,1.7533153,8.717669,8.717669,380,,9.508127,10.492326,,16.214914,0.11,19
17.227895259857178,9.281557,10.83991,11.366515631700379,0.01010101,6.54611,0.5100386,0.001010101,10.994443,1.1233288,10.370158,11.309641,0.64623266,10.370158,22.466576,11.010502,15.903585,2.0434482,6.54611,6.2903333,400,,10.370158,11.349948,,13.459716,0.11,20
18.100027322769165,9.301182,10.967615,10.652671807401136,0.01010101,5.2176504,0.45352408,0.001010101,10.388389,1.1368293,9.69368,11.581608,0.64623266,10.370158,23.873415,11.235181,15.8790865,2.2980864,5.2176504,5.0245457,420,,10.370158,11.421139,,15.368886,0.11,21
18.94860005378723,9.308361,9.669612,10.389595781796821,0.01010101,1.478327,0.42448968,0.001010101,9.000331,1.0044663,9.459136,11.4947605,0.64623266,10.370158,22.098259,11.403178,15.581557,2.4552717,4.3782845,4.2475305,440,,10.370158,10.094102,,9.280064,0.11,22
19.820908069610596,9.305143,9.472433,10.139407630815382,0.01010101,2.9277158,0.3891624,0.001010101,8.500853,0.98985255,9.234343,11.753699,0.64623266,10.370158,22.76661,11.535256,15.614003,2.678156,3.8175547,3.721994,460,,10.370158,9.861595,,16.37612,0.11,23
20.66331171989441,9.324653,9.981444,10.742530191078723,0.030303031,1.1820335,0.24552637,0.0030303032,6.1035156,1.0795366,9.773363,15.094722,0.64623266,10.370158,25.908878,11.64269,15.606042,4.2449107,1.5961312,0.0409449,480,,10.370158,10.226971,,15.474207,0.11,24
21.6676504611969,9.318173,9.977588,10.05910601540364,0.030303031,1.5230157,0.2383651,0.0030303032,6.172796,1.0796076,9.162697,15.171936,0.64623266,10.370158,26.99019,11.603572,15.648726,4.372442,1.5589576,0.042578313,500,,10.370158,10.215953,,16.604395,0.11,25
22.514679193496704,9.314614,9.931461,10.131679943609583,0.030303031,1.3678733,0.23179585,0.0030303032,6.2141385,1.0746539,9.225605,15.283128,0.64623266,10.370158,27.941002,11.566052,15.732215,4.49636,1.5261476,0.044206176,520,,10.370158,10.163258,,17.74966,0.11,26
23.380038022994995,9.315546,9.939711,10.258097364149283,0.030303031,1.468435,0.2258043,0.0030303032,6.287898,1.0749202,9.339771,15.381818,0.64623266,10.370158,29.022846,11.530011,15.802482,4.6156673,1.4969776,0.045828484,540,,10.370158,10.165515,,17.563538,0.11,27
24.247129678726196,9.313136,9.94871,10.154920636511683,0.030303031,1.4687179,0.2202918,0.0030303032,6.3670754,1.0758466,9.248095,15.432294,0.64623266,10.370158,30.123705,11.495339,15.826591,4.7311683,1.470871,0.047445305,560,,10.370158,10.169003,,16.410774,0.11,28
