IWMin,IWMax,ReturnMean,MISE,TimestepsSoFar,DenMISELogFirst,ReturnMax,DenMISEMeanLog,URet,ReturnStepMax,LQGmu01,target_sum_log_mean,ReturnAbsMax,IWMean,IWFirstEpisode,LQGsigma,ReturnLastEpisode,DenMISELogLast,ReturnMin,Bound,LQGmu1,TimeElapsed,IWLastEpisode,Iteration
,1.532948,14.212496,21.787018,20,-31.300238,14.212496,-31.300238,15.593418754668832,0.99494565,-0.0029128226,-30.873045,14.212496,1.532948,1.532948,1.1328256,14.212496,-31.300238,,21.787018,-0.029128226,0.04677629470825195,1.532948,1
,19.795574,11.790018,93.70126,40,-31.064001,14.212496,-31.068724,10.320250445450348,0.99494565,0.014358957,-30.56488,14.212496,9.966975,0.13837697,0.9884625,9.367541,-31.073446,,93.70126,0.14358957,1.1321263313293457,19.795574,2
,30.715004,10.879773,93.169914,60,-31.402567,14.212496,-28.182703,9.958777267240807,0.99494565,0.017084835,-31.17382,14.212496,10.282945,3.0840594e-05,0.70599586,9.059284,-24.055191,,93.169914,0.17084834,1.3434956073760986,30.715004,3
,4.948511,10.406277,19.229147,80,-31.690237,14.212496,-25.973413,9.856691661057454,0.99494565,0.015964894,-29.071476,14.212496,2.132189,4.625447e-06,0.6637602,8.985787,-20.945477,,19.229147,0.15964893,1.584996223449707,4.948511,4
,5.379545,10.124384,17.54169,100,-31.91338,14.212496,-24.569546,9.887191549544509,0.99494565,0.014008038,-27.651215,14.212496,1.9483664,6.8612405e-07,0.6244548,8.996808,-19.511915,,17.54169,0.14008038,1.7666211128234863,5.379545,5
,7.890026,9.848153,14.764495,120,-32.095703,14.212496,-24.479177,9.301613179675774,0.99494565,0.020802222,-26.257895,14.212496,1.7152262,7.6280994e-05,0.7426282,8.466998,-24.560513,,14.764495,0.20802222,1.945627212524414,7.890026,6
,2.8049223,9.6874,11.949668,140,-32.24984,14.212496,-24.385715,9.597958572537586,0.99494565,0.018463064,-25.321503,14.212496,1.3586987,0.00030769693,0.745493,8.722878,-24.110601,,11.949668,0.18463063,2.1429781913757324,2.7285929,7
,28.456192,9.832224,39.938156,160,-32.383327,14.212496,-23.830643,12.051850953412306,0.99494565,0.007160158,-30.04481,14.212496,3.708055,7.3599104e-08,0.5666549,10.845991,-20.200268,,39.938156,0.07160158,2.358173131942749,28.456192,8
,6.2338505,9.803212,16.683739,180,-32.50111,14.212496,-23.204613,10.572749548390966,0.99494565,0.009026604,-27.335901,14.212496,1.6764916,1.1420448e-07,0.5761644,9.571127,-18.913157,,16.683739,0.090266034,2.5694315433502197,6.2338505,9
,90.98299,9.943309,102.498924,200,-32.606472,14.212496,-22.680668,12.29124251764439,0.99494565,-4.9590413e-05,-36.05577,14.212496,9.150384,1.7666605e-09,0.5212083,11.204179,-18.344007,,102.498924,-0.0004959041,2.776754379272461,90.98299,10
