ReturnMin,SqrtESSClassic,target_sum_log_mean,ReturnMax,IWFirstEpisode,IWNorm1,ExplorationBonus,DenMISELogLast,ReturnStepMax,IWMax,ReturnLastEpisode,Iteration,LQGmu01,TimestepsSoFar,ReturnAbsMax,LQGsigma,IWMin,IWNorm2,DenMISELogFirst,IWLastEpisode,LQGmu1,Bound,DenMISEMeanLog,URet,MISE,IWMean,TimeElapsed,ReturnMean
,1.8679271,-9.817347,9.553689,8.036374e-35,18.818731,10.229188,16.141314,0.57715887,6.2198477,9.0147505,19,0.00909091,380,9.553689,0.11,,10.07466,11.022511,5.763489,0.09090909,19.16231,15.294696,9.900921849635916,8.933122,0.99045956,17.769957780838013,9.133501
,1.5132313,-30.209082,9.553689,6.542365,13.536186,12.626872,13.742959,0.57715887,6.542365,9.024832,20,0.001010101,400,9.553689,0.11,,8.94522,10.971217,3.5215473e-36,0.01010101,19.020458,15.212039,9.912120638838479,6.393585,0.6768093,18.802072763442993,9.128068
,1.544841,-33.89277,9.688149,,14.689984,12.542584,9.139693,0.61800236,6.879513,9.688149,21,0.011111111,420,9.688149,0.11,,9.509059,11.205437,,0.11111111,18.833576,14.904692,10.647141173893225,6.290992,0.6995231,19.72609567642212,9.154738
,1.0000548,-159.585,9.688149,,3.6930827e-18,19.375237,2.4340093,0.61800236,3.692879e-18,9.002522,22,0.017171716,440,9.688149,0.11,,3.69288e-18,11.158916,3.692879e-18,0.17171717,19.375237,14.321369,9.884116043360915,1.5112209e-18,1.6786639e-19,20.660632848739624,9.147819
,1.0,-151.88818,9.688149,,23.0,19.376299,14.306591,0.61800236,23.0,8.820846,23,0.017171716,460,9.688149,0.11,,23.0,11.114465,23.0,0.17171717,28.197144,14.278206,9.687974211086196,8.820846,1.0,21.63434338569641,9.133603
,1.0241556,-203.58752,9.688149,,12.340489,18.919292,12.882797,0.61800236,12.045824,8.7983,24,0.019191919,480,9.688149,0.11,,12.049428,11.071905,12.045824,0.1919192,23.44354,14.208159,9.662553043072368,4.5242486,0.51418704,22.674458503723145,9.119632
,1.2768521,-194.763,9.688149,,33.65271,15.175053,13.806415,0.61800236,24.994972,8.738514,25,0.019191919,500,9.688149,0.11,,26.355997,11.031083,24.994972,0.1919192,26.959019,14.169659,9.59770736788452,11.783965,1.3461084,23.564027547836304,9.104387
,1.690051,-186.57741,9.688149,,29.937492,11.46492,15.748914,0.61800236,12.998694,8.791871,26,0.019191919,520,9.688149,0.11,,17.713959,10.991862,10.114843,0.1919192,21.563532,14.230896,9.655603542965455,10.098612,1.151442,24.501042127609253,9.092367
,1.4713209,-127.35272,9.688149,,20.982944,13.169322,15.781886,0.61800236,13.020418,8.779177,27,0.017171716,540,9.688149,0.11,,14.261297,10.954123,0.4169793,0.17171717,20.016949,14.287903,9.642684120616488,6.8476257,0.7771461,25.388855934143066,9.080768
,1.0023328,-232.86783,9.688149,,1.9085114,19.331203,15.525256,0.61800236,1.9040657,8.832966,28,0.021212121,560,9.688149,0.11,,1.9040697,10.917754,4.1797494e-09,0.21212122,19.926838,14.320872,9.698864795406575,0.5956336,0.06816112,26.325148105621338,9.071918
,1.06678,-224.1756,9.688149,,28.55186,18.163351,15.922484,0.61800236,26.700754,8.701952,29,0.021212121,580,9.688149,0.11,,26.764526,10.882663,26.700754,0.21212122,26.733171,14.344493,9.559743096740585,8.56982,0.9845469,27.297789812088013,9.05916
,1.4950544,-216.16129,9.688149,,31.159977,12.960264,13.547427,0.61800236,14.978565,8.678488,30,0.021212121,600,9.688149,0.11,,20.842035,10.848762,14.978565,0.21212122,21.98917,14.308972,9.530477688083336,9.028906,1.0386659,28.225003004074097,9.046472
,1.8234056,-208.88237,9.688149,,31.546745,10.626433,7.2414193,0.61800236,10.3234825,8.706569,31,0.021212121,620,9.688149,0.11,,17.301003,10.815971,9.422457,0.21212122,19.477528,14.076833,9.562032415144143,8.851095,1.0176369,29.117213010787964,9.035506
,1.0033689,-423.69177,9.688149,,6.9337133e-19,19.311243,17.684385,0.61800236,6.9104235e-19,8.691519,32,0.02727273,640,9.688149,0.11,,6.9104333e-19,10.784224,2.2715664e-21,0.27272728,19.311243,14.186581,9.54825164892118,1.8803649e-19,2.1666854e-20,30.26865792274475,9.024757
,1.0,-410.3615,9.688149,,33.000004,19.376299,12.710228,0.61800236,33.000004,8.417721,33,0.02727273,660,9.688149,0.11,,33.000004,10.753451,33.000004,0.27272728,27.794022,14.112004,9.243657008039602,8.417722,1.0000001,31.127923727035522,9.006363
,1.4142137,-397.84375,9.688149,,34.0,13.701112,12.409569,0.61800236,17.000008,8.443258,34,0.02727273,680,9.688149,0.11,,24.04163,10.7235985,17.000008,0.27272728,22.131601,14.053345,9.272345057693716,8.43049,1.0,31.917359590530396,8.9897995
,1.7320509,-386.05518,9.688149,,34.999992,11.186911,12.29864,0.61800236,11.666664,8.450744,35,0.02727273,700,9.688149,0.11,,20.207254,10.694611,11.666664,0.27272728,19.62415,13.9982195,9.279049266992386,8.43724,0.99999976,33.06679105758667,8.974399
,2.032343,-140.09958,9.688149,,37.700188,9.533971,13.659614,0.61800236,11.446228,8.404756,36,0.019191919,720,9.688149,0.11,,18.550112,10.66644,,0.1919192,18.721672,13.985399,9.2334476296618,9.1877,1.0472274,34.02762794494629,8.958576
,2.488227,-188.91153,9.688149,0.11170662,43.792847,7.7871914,11.068369,0.61800236,7.394216,8.769869,37,0.0030303032,740,9.688149,0.11,,17.600021,10.639041,,0.030303031,18.691616,13.905158,9.633082496147725,10.904426,1.1835904,34.92116975784302,8.953475
,1.0051881,-140.91495,9.688149,4.0393644e-08,696.2047,19.27629,-5.5118504,0.61800236,692.60486,9.134816,38,0.005050505,760,9.688149,0.11,,692.6114,10.615388,692.60486,0.05050505,186.63069,13.396724,10.034307084964846,167.3544,18.321177,35.870683431625366,8.958247
,1.4543952,-136.75284,9.688149,4.1456666e-08,63.54136,13.322582,18.26741,0.61800236,36.971542,9.081171,39,0.005050505,780,9.688149,0.11,,43.689198,10.589412,23.101166,0.05050505,28.168087,13.574458,9.974633419696579,14.845506,1.6292657,36.646005153656006,8.961399
,1.8204775,-132.85371,9.688149,4.2519588e-08,57.022057,10.643526,16.251556,0.61800236,19.465996,9.090753,40,0.005050505,800,9.688149,0.11,,31.322582,10.564095,19.319904,0.05050505,23.61903,13.647161,9.984404738247354,12.975504,1.4255514,37.584344148635864,8.964633
,2.0300784,-129.35118,9.688149,4.3582574e-08,45.924698,9.544606,9.186814,0.61800236,13.421214,9.086826,41,0.005050505,820,9.688149,0.11,,22.622131,10.539402,4.7740874,0.05050505,19.73706,13.543269,9.979243407947362,10.192454,1.1201146,38.4491970539093,8.967612
,2.3012214,-125.80038,9.688149,4.4645645e-08,47.53698,8.420007,17.445663,0.61800236,10.357927,9.079817,42,0.005050505,840,9.688149,0.11,,20.657282,10.515304,10.346151,0.05050505,18.71344,13.636294,9.972367425143121,10.293434,1.1318328,39.350204944610596,8.970284
,1.0448663,-74.45354,9.688149,,0.46253678,18.544285,17.932863,0.61800236,0.44235003,9.099955,43,0.013131313,860,9.688149,0.11,,0.44267556,10.491774,2.0225363e-32,0.13131313,18.641115,13.737109,9.995412595843193,0.09683059,0.01075667,40.386542081832886,8.973301
,1.7878578,-112.826195,9.688149,,38.364582,10.837718,9.781155,0.61800236,14.575698,8.968394,44,0.017171716,880,9.688149,0.11,,21.458408,10.468784,6.835633e-16,0.17171717,18.52717,13.624978,9.850563385925625,7.6894517,0.8719223,41.21807527542114,8.973189
,2.1162543,-67.95181,9.688149,,46.312035,9.155941,9.421609,0.61800236,11.129697,8.813294,45,0.011111111,900,9.688149,0.11,,21.883965,10.446311,2.0426421e-24,0.11111111,18.408041,13.526768,9.676703753534667,9.2521,1.0291563,41.990598917007446,8.969636
,1.053878,-693.348,9.688149,,8.6462387e-19,18.385714,14.83203,0.61800236,8.2042027e-19,8.985894,46,0.033333335,920,9.688149,0.11,,8.2042125e-19,10.424333,,0.33333334,18.385714,13.553793,9.869476476512826,1.5798129e-19,1.8795172e-20,42.91082143783569,8.969989
,1.0,-570.45044,9.688149,,91.96535,19.376299,-13.907169,0.61800236,91.96535,8.141709,47,0.031313132,940,9.688149,0.11,,91.96535,10.402826,91.96535,0.3131313,35.30726,12.948468,8.93751338915067,15.93096,1.9567095,43.83782505989075,8.952366
,1.3863648,-558.17725,9.688149,,79.5577,13.976335,14.796091,0.61800236,47.79196,8.20746,48,0.031313132,960,9.688149,0.11,,57.385834,10.381773,47.79196,0.3131313,27.536293,12.988931,9.014587626806536,13.559959,1.6574521,44.774606466293335,8.936847
,1.7230402,-546.3802,9.688149,,68.45409,11.245413,16.67932,0.61800236,24.493649,8.229533,49,0.031313132,980,9.688149,0.11,,39.728664,10.361154,24.493649,0.3131313,22.696266,13.068513,9.0404051971918,11.450853,1.3970221,45.75220489501953,8.922412
,1.9959365,-535.2075,9.688149,,64.02539,9.707873,9.45271,0.61800236,16.663792,8.178964,50,0.031313132,1000,9.688149,0.11,,32.07787,10.340951,16.478355,0.3131313,20.196827,12.999304,8.985549853803326,10.488954,1.2805078,46.70633673667908,8.907543
,1.140536,-624.60297,9.688149,,47.633667,16.988766,11.171,0.61800236,41.36038,8.114056,51,0.033333335,1020,9.688149,0.11,,41.764282,10.321148,41.36038,0.33333334,24.571041,12.965815,8.912533932394627,7.5822754,0.93399346,47.692909240722656,8.891985
,1.5611868,-612.3419,9.688149,,54.817528,12.4112625,9.723108,0.61800236,25.738127,8.084966,52,0.033333335,1040,9.688149,0.11,,35.11273,10.30173,25.738127,0.33333334,20.954044,12.898081,8.880655551651719,8.542781,1.0541832,48.65119814872742,8.876465
,1.0178564,-707.314,9.688149,,4.3362546,19.036379,12.423551,0.61800236,4.25959,8.043841,53,0.035353538,1060,9.688149,0.11,,4.2601833,10.282681,4.25959,0.35353535,19.694557,12.887017,8.831378441557074,0.6581786,0.08181612,49.67367482185364,8.860755
,1.0729256,-693.93005,9.688149,,58.05214,18.059313,11.436674,0.61800236,53.95702,7.9273705,54,0.035353538,1080,9.688149,0.11,,54.1064,10.263989,53.95702,0.35353535,26.590446,12.843272,8.70475634093136,8.531134,1.0750396,50.648332834243774,8.843471
,1.5078791,-681.0366,9.688149,,58.23988,12.850035,11.914148,0.61800236,27.489042,7.973749,55,0.035353538,1100,9.688149,0.11,,38.623707,10.245641,26.863274,0.35353535,21.27533,12.8222885,8.758670141667011,8.425294,1.0589069,51.60944104194641,8.827657
,1.8356426,-668.61176,9.688149,,59.404877,10.555594,11.82943,0.61800236,18.661707,7.9294114,56,0.035353538,1120,9.688149,0.11,,32.361897,10.227622,18.65982,0.35353535,18.988632,12.8024235,8.708526133950201,8.433037,1.0608014,52.40485453605652,8.811617
,1.8982918,-557.70123,9.688149,,56.873024,10.207229,15.219486,0.61800236,18.77164,7.957102,57,0.033333335,1140,9.688149,0.11,,29.960106,10.209923,0.06080895,0.33333334,18.278389,12.8436365,8.743404562383693,8.071159,0.99777234,53.47643041610718,8.796625
,2.0789201,-190.03047,9.688149,,58.689102,9.320367,15.269623,0.61800236,14.486177,8.076593,58,0.021212121,1160,9.688149,0.11,,28.23057,10.192531,,0.21212122,18.119883,12.883577,8.872455784715719,8.799516,1.0118811,54.30052137374878,8.784211
,2.0,-315.72122,9.688149,,59.000004,9.688149,3.1295297,0.61800236,14.750001,8.663124,59,0.02727273,1180,9.688149,0.11,,29.500002,10.175436,7.75601e-18,0.27272728,18.117271,12.716867,9.517047861868075,8.429121,1.0000001,55.27799963951111,8.782158
,2.1332953,-221.51009,9.688149,1.9065149e-34,59.238785,9.082802,14.319793,0.61800236,14.782038,8.469434,60,0.00909091,1200,9.688149,0.11,,27.768677,10.158629,,0.09090909,17.98946,12.741931,9.300761966007355,8.906658,0.9873131,56.26234722137451,8.776947
,1.8198242,-455.7594,9.688149,14.990498,46.37652,10.6473465,-8.809489,0.61800236,15.050805,8.993449,61,0.001010101,1220,9.688149,0.11,,25.484064,10.142099,,0.01010101,17.888243,12.387031,9.881230243141685,7.2408967,0.7602708,57.259981632232666,8.780496
,2.5388536,-257.5121,9.688149,5.386814e-19,69.94885,7.6319084,12.413314,0.61800236,12.25696,9.399364,62,0.0070707067,1240,9.688149,0.11,,27.551353,10.345573,1.6291322e-17,0.07070707,17.847149,12.3825035,10.341410785550957,10.21524,1.1282073,58.11514091491699,8.790478
,2.5255854,-305.32837,9.688149,5.375769e-08,69.60745,7.672003,9.871829,0.61800236,12.445284,9.068198,63,0.005050505,1260,9.688149,0.11,,27.560917,10.329574,0.0032307957,0.05050505,17.721252,12.343415,9.96175748003765,10.049249,1.1048802,59.08703088760376,8.794885
,2.2908401,-167.37228,9.688149,,67.282776,8.458163,18.546299,0.61800236,15.658781,9.075938,64,0.019191919,1280,9.688149,0.11,,29.37035,10.313825,,0.1919192,17.681152,12.440762,9.96868237658043,9.222989,1.0512934,60.07776713371277,8.799277
,1.1991805,-267.91882,9.688149,,10.920744,16.157951,2.1855278,0.61800236,8.999082,8.729409,65,0.025252525,1300,9.688149,0.11,,9.106839,10.298321,2.6243975e-15,0.25252524,17.580261,12.282478,9.58514950826967,1.42231,0.16801144,61.08325266838074,8.7982025
,1.175928,-263.58914,9.688149,,62.27799,16.477453,13.882571,0.61800236,52.330414,8.496975,66,0.025252525,1320,9.688149,0.11,,52.960716,10.283053,52.330414,0.25252524,24.490456,12.294093,9.333204420212933,8.013001,0.9436059,62.227715253829956,8.793638
,1.5965731,-259.45074,9.688149,,71.98396,12.13618,10.183303,0.61800236,33.168457,8.516158,67,0.025252525,1340,9.688149,0.11,,45.086544,10.268015,33.168457,0.25252524,21.270311,12.258635,9.354357160230588,9.134131,1.0743876,63.42323637008667,8.789497
,1.9261569,-255.5596,9.688149,,74.31436,10.059565,2.0380647,0.61800236,22.516626,8.503983,68,0.025252525,1360,9.688149,0.11,,38.581676,10.253201,22.374157,0.25252524,19.350115,12.106966,9.341529047061758,9.29055,1.0928583,64.40652894973755,8.785298
,2.0950012,-623.1444,9.688149,,72.25247,9.248825,16.10858,0.61800236,17.24542,8.450363,69,0.035353538,1380,9.688149,0.11,,34.488033,10.238602,,0.35353535,17.575413,12.164476,9.280977594187823,8.326589,1.0471373,65.44947075843811,8.780443
,2.3927994,-191.2151,9.688149,,73.47803,8.097754,1.3816395,0.61800236,13.929506,7.966057,70,0.011111111,1400,9.688149,0.11,,30.707975,10.224213,,0.11111111,17.533657,12.009675,8.745885256769364,9.435903,1.0496861,66.4902331829071,8.768809
,2.0563812,-150.6657,9.688149,,63.25037,9.422523,-25.014896,0.61800236,17.646757,8.950679,71,0.017171716,1420,9.688149,0.11,,30.758095,10.210028,1.2206234e-19,0.17171717,17.27742,11.4878,9.836466711831651,7.854898,0.8908503,67.3473584651947,8.771371
,1.0311252,-150.3871,9.688149,,2.5768678,18.791412,8.662534,0.61800236,2.4982615,8.849408,72,0.015151516,1440,9.688149,0.11,,2.4990833,10.196042,2.4982615,0.15151516,19.10811,11.446007,9.717645468365772,0.31669778,0.035789832,68.35195899009705,8.772456
,1.1535518,-148.08394,9.688149,,17.49373,16.797077,15.037043,0.61800236,14.966072,8.8636875,73,0.015151516,1460,9.688149,0.11,,15.165102,10.182248,14.966072,0.15151516,18.920658,11.482078,9.735196301972907,2.12358,0.23964015,69.21570253372192,8.7737055
,1.3910321,-145.8228,9.688149,,43.952038,13.9294405,15.87814,0.61800236,28.880367,8.874244,74,0.015151516,1480,9.688149,0.11,,31.59671,10.168643,28.880367,0.15151516,19.197617,11.531042,9.747283460163773,5.2681756,0.59394646,70.2258574962616,8.775064
,1.7221491,-143.66354,9.688149,,59.072426,11.251232,12.914515,0.61800236,24.675068,8.885258,75,0.015151516,1500,9.688149,0.11,,34.301575,10.15522,24.675068,0.15151516,18.242134,11.543174,9.76040014196161,6.9909015,0.78763235,71.25227046012878,8.776533
,2.400827,-168.52942,9.688149,,80.33627,8.070677,14.874172,0.61800236,15.192634,8.865358,76,0.021212121,1520,9.688149,0.11,,33.461918,10.141974,5.8002673e-15,0.21212122,17.258017,11.583137,9.739124893497484,9.18734,1.0570562,72.2825083732605,8.777702
,2.4603567,-289.07202,9.688149,,85.366196,7.8754025,4.6350355,0.61800236,15.387475,8.68908,77,0.02727273,1540,9.688149,0.11,,34.696674,10.128902,5.341033e-22,0.27272728,17.230183,11.49261,9.54380520807711,9.354781,1.1086519,73.32306718826294,8.776551
,1.0482856,-760.52374,9.688149,4.810392e-21,1.1418596e-19,18.483797,9.178646,0.61800236,1.0892539e-19,8.410156,78,-0.005050505,1560,9.688149,0.11,,1.0892639e-19,10.115999,,-0.05050505,18.483797,11.463262,9.234014310624204,1.4153e-20,1.4629231e-21,74.34865951538086,8.771853
,1.0102254,-544.30695,13.439399,0.036684312,12.777836,26.606733,-59.602432,0.9325218,12.648233,13.439399,79,-0.001010101,1580,13.439399,0.11,,12.6484995,10.10326,12.648233,-0.01010101,28.774128,10.551117,14.929509862532363,2.1673956,0.16174476,75.40491986274719,8.830936
,1.1314712,-537.3671,13.439399,0.03713143,89.481674,23.75562,6.5189548,0.9325218,78.30985,10.218017,80,-0.001010101,1600,13.439399,0.11,,79.08436,10.0911455,78.30985,-0.01010101,35.62819,10.4901705,11.258922128080318,11.872571,1.118521,76.45061039924622,8.848275
,1.5717158,-530.47687,13.439399,0.037578113,84.229324,17.101562,17.212612,0.9325218,40.06762,10.510758,81,-0.001010101,1620,13.439399,0.11,,53.590683,10.079187,34.205967,-0.01010101,28.240168,10.570936,11.587772097625118,11.138605,1.0398682,77.48507952690125,8.868799
,1.0000045,-967.23535,13.439399,,1.881211e-17,26.878675,13.440999,0.9325218,1.8812024e-17,11.212839,82,-0.00909091,1640,13.439399,0.11,,1.8812026e-17,10.067381,3.097382e-24,-0.09090909,26.878675,10.60443,12.411830943985994,3.0831989e-18,2.2941498e-19,78.5123839378357,8.897385
,1.0,-830.11127,14.856923,2.8839873e-37,163.78656,29.713846,12.25425,0.978964,163.78656,14.856923,83,-0.0070707067,1660,14.856923,0.11,,163.78656,10.05526,163.78656,-0.07070707,59.031487,10.612332,16.483021253584337,29.317642,1.973332,79.65442061424255,8.969187
,1.3037266,-943.81213,15.723389,,87.72285,24.120686,12.371296,0.98259157,62.29765,15.723389,84,-0.00909091,1680,15.723389,0.11,,67.28623,10.043283,62.29765,-0.09090909,40.278664,10.634411,17.40534462025409,16.15798,1.0443196,80.69863986968994,9.049594
,1.680113,-932.54395,15.723389,,91.75737,18.717062,10.40863,0.98259157,36.1954,14.841251,85,-0.00909091,1700,15.723389,0.11,,54.61381,10.031448,35.81201,-0.09090909,35.117447,10.629698,16.465658892642622,16.400387,1.0794985,81.77965474128723,9.117731
,1.9692223,-921.5102,15.723389,,93.57283,15.969135,13.098465,0.998701,26.181093,15.403975,86,-0.00909091,1720,15.723389,0.11,,47.51766,10.0197525,26.181093,-0.09090909,32.55497,10.657488,17.080921519284622,16.585835,1.0880562,83.0126793384552,9.190827
