Bound,IWLastEpisode,ExplorationBonus,URet,ReturnMin,LQGmu01,LQGmu1,DenMISELogFirst,MISE,target_sum_log_mean,IWNorm1,DenMISELogLast,IWMax,LQGsigma,IWFirstEpisode,DenMISEMeanLog,ReturnMax,ReturnStepMax,SqrtESSClassic,ReturnLastEpisode,IWMean,Iteration,TimestepsSoFar,ReturnAbsMax,IWNorm2,IWMin,ReturnMean,TimeElapsed
50.143627,1.0,33.429085,18.434542855304368,,-0.25018764,-1.3999999,18.60218,16.714542,18.60218,1.0,18.60218,1.0,0.11,1.0,18.60218,16.714542,0.9854021,1.0,16.714542,1.0,1,20,16.714542,1.0,,16.714542,0.05225062370300293
40.648094,1.0,23.856335,18.5978705501959,,-0.25018764,-1.3999999,18.60218,16.79176,19.95748,2.0,21.312778,1.0,0.11,1.0,19.95748,16.868977,0.992082,1.4142135,16.868977,1.0,2,40,16.868977,1.4142135,,16.79176,0.7007999420166016
36.196068,1.0,19.478617,18.27163185526959,,-0.25018764,-1.3999999,18.60218,16.717451,20.361195,3.0,21.168625,1.0,0.11,1.0,20.361195,16.868977,0.992082,1.7320509,16.568834,1.0,3,60,16.868977,1.7320508,,16.717451,0.7233638763427734
33.58361,1.0,16.868977,18.41580902317102,,-0.25018764,-1.3999999,18.60218,16.714636,19.958935,4.0,18.752155,1.0,0.11,1.0,19.958935,16.868977,0.992082,2.0,16.706186,1.0,4,80,16.868977,2.0,,16.714636,0.7462480068206787
31.785618,1.0,15.088071,18.33817821838529,,-0.25018764,-1.3999999,18.60218,16.697546,18.72694,5.0,13.798965,1.0,0.11,1.0,18.72694,16.868977,0.992082,2.236068,16.629189,1.0,5,100,16.868977,2.236068,,16.697546,0.770805835723877
30.46059,1.0,13.773462,18.35392452883833,,-0.25018764,-1.3999999,18.60218,16.687128,18.418013,6.0,16.873375,1.0,0.11,1.0,18.418013,16.868977,0.992082,2.4494896,16.635042,1.0,6,120,16.868977,2.4494898,,16.687128,0.7983670234680176
29.42646,1.0,12.751746,18.313522159986007,,-0.25018764,-1.3999999,18.60218,16.674715,18.515263,7.0,19.098755,1.0,0.11,1.0,18.515263,16.868977,0.992082,2.6457515,16.600233,1.0,7,140,16.868977,2.6457512,,16.674715,0.8288936614990234
28.59574,1.0,11.928167,18.3267067522045,,-0.25018764,-1.3999999,18.60218,16.667572,17.956116,8.0,14.042102,1.0,0.11,1.0,17.956116,16.868977,0.992082,2.828427,16.617563,1.0,8,160,16.868977,2.828427,,16.667572,0.8614139556884766
27.925089,1.0,11.245985,18.503961124590766,,-0.25018764,-1.3999999,18.60218,16.679104,18.187342,9.0,20.037151,1.0,0.11,1.0,18.187342,16.868977,0.992082,3.0,16.771368,1.0,9,180,16.868977,3.0,,16.679104,0.8954660892486572
27.347805,1.0,10.668878,18.396462715130337,,-0.25018764,-1.3999999,18.60218,16.678928,17.758484,10.0,13.898762,1.0,0.11,1.0,17.758484,16.868977,0.992082,3.1622777,16.677343,1.0,10,200,16.868977,3.1622777,,16.678928,0.9313948154449463
26.853092,1.0,10.172376,18.41686960956122,,-0.25018764,-1.3999999,18.60218,16.680717,17.704332,11.0,17.162807,1.0,0.11,1.0,17.704332,16.868977,0.992082,3.3166246,16.698605,1.0,11,220,16.868977,3.3166249,,16.680717,0.9696714878082275
26.415237,1.0,9.739308,18.334782106023766,,-0.25018764,-1.3999999,18.60218,16.675928,17.749504,12.0,18.246395,1.0,0.11,1.0,17.749504,16.868977,0.992082,3.4641018,16.623268,1.0,12,240,16.868977,3.4641016,,16.675928,1.0090458393096924
