ReturnStepMax,ReturnAbsMax,LQGmu1,ReturnMean,ReturnMax,Iteration,ReturnLastEpisode,Bound,IWLastEpisode,DenMISELogLast,ExplorationBonus,URet,TimestepsSoFar,LQGmu01,IWFirstEpisode,SqrtESSClassic,DenMISEMeanLog,DenMISELogFirst,IWMean,TimeElapsed,IWMax,IWNorm2,LQGsigma,ReturnMin,IWNorm1,target_sum_log_mean,IWMin,MISE
0.9625284,15.058442,-0.108678184,15.058442,15.058442,1,15.058442,49.01712,1.2551258,18.60218,30.116884,16.687925283112612,20,-0.0109104775,1.2551258,1.0,18.60218,18.60218,1.2551258,0.05848884582519531,1.2551258,1.2551258,0.11,,1.2551258,18.829416,,18.900238
0.99734735,15.918728,-0.110656105,15.4885845,15.918728,2,15.918728,40.840332,1.2680475,21.037403,22.580761,17.62443757124685,40,-0.011110653,1.0846702,1.4099373,19.879822,18.722239,1.1763588,6.682990789413452,1.2680475,1.6686683,0.11,,2.3527176,20.039198,,18.259571
0.9980736,15.995777,-0.10669941,15.657649,15.995777,3,15.995777,34.889572,1.0218279,21.400732,18.475073,17.710786971628483,60,-0.010710301,1.0797039,1.7316064,20.424597,18.75007,1.0489453,12.852933883666992,1.0797039,1.8172928,0.11,,3.1468358,20.472124,,16.4145
0.9998867,16.233181,-0.110656105,15.801532,16.233181,4,16.233181,32.94477,1.1972337,18.712069,16.406145,17.96570509517042,80,-0.011110653,1.0342891,1.9789149,20.005573,18.7698,1.0460328,18.688743829727173,1.1972337,2.1143563,0.11,,4.184131,20.038877,,16.538626
0.9998867,16.233181,-0.027020447,15.757706,16.233181,5,15.582396,32.37726,2.3250755e-10,13.642377,32.377254,17.253714102609212,100,-0.0027026958,3.8757964e-12,1.0027522,18.739891,18.776636,3.0898795e-07,24.658226251602173,1.5410947e-06,1.5411981e-06,0.11,,1.5454398e-06,-1.8071182,,4.942618e-06
0.9998867,16.233181,-0.05300333,15.378532,16.233181,6,13.48267,1044.6427,450.42447,8.938163,32.465744,14.910814749429354,120,-0.0053052553,9.162921e-06,1.0000191,16.954336,18.594315,75.07218,30.481366872787476,450.42447,450.42447,0.11,,450.43307,10.367629,,1012.17694
0.9998867,16.233181,-0.05300333,15.172579,16.233181,7,13.936853,49.830917,6.811527,15.707257,22.941069,15.453369894476285,140,-0.0053052553,1.0690066e-05,1.415207,17.263065,18.440165,1.9613558,36.50343179702759,6.90798,9.701401,0.11,,13.72949,11.404521,,26.889849
0.9998867,16.233181,-0.05300333,14.997482,16.233181,8,13.771812,39.18728,3.9894054,12.658461,18.726763,15.289884901754132,160,-0.0053052553,1.2217198e-05,1.7336878,16.741596,18.306635,1.4899689,42.6914222240448,3.9894054,6.875374,0.11,,11.919751,11.734219,,20.460516
0.9998867,16.233181,-0.05300333,14.844731,16.233181,9,13.622731,34.37653,2.9583082,18.952536,16.215967,15.107825817626336,180,-0.0053052553,1.3744315e-05,2.002123,17.017021,18.188854,1.3250144,48.5357403755188,2.9946961,5.9562416,0.11,,11.925129,12.656767,,18.160563
