ExplorationBonus,target_sum_log_mean,IWMean,DenMISELogLast,ReturnMean,DenMISELogFirst,LQGmu01,IWMin,ReturnAbsMax,MISE,IWLastEpisode,IWNorm1,ReturnMax,ReturnStepMax,IWFirstEpisode,IWMax,ReturnLastEpisode,LQGmu1,SqrtESSClassic,LQGsigma,TimeElapsed,URet,DenMISEMeanLog,IWNorm2,TimestepsSoFar,Iteration,ReturnMin,Bound
143.9921,-622.2627,1.4821169e-18,9.257589,11.979543,11.35528,-0.02727273,,16.445004,2.4370494e-17,2.633511e-17,2.667812e-17,16.445004,0.9999766,,2.633511e-17,16.445004,-0.27272728,1.0129389,0.11,15.353370189666748,18.187436609005445,13.926355,2.6337345e-17,360,18,,143.9921
148.40332,-502.14896,3.2607498,2.1221542,12.237992,11.301213,-0.025252525,,16.89008,55.07432,61.954247,61.954247,16.89008,0.9999766,,61.954247,16.89008,-0.25252524,1.0,0.11,16.196091651916504,18.663074117542962,13.2538595,61.954247,380,19,,203.47765
148.39893,-648.3299,1.5730956,12.914117,12.488182,11.24992,-0.02929293,,17.241783,27.11639,31.087765,31.46191,17.241783,0.9999766,,31.087765,17.241783,-0.2929293,1.0119618,0.11,17.060701370239258,19.022801412774452,13.260617,31.090015,400,20,,175.51532
140.5537,-380.67026,0.67673826,13.139728,12.705095,11.20113,-0.023232324,,17.241783,11.437178,0.7118958,14.211503,17.241783,0.99998945,,13.391064,17.043379,-0.23232323,1.0597365,0.11,17.912936449050903,18.819439543208084,13.253934,13.410412,420,21,,151.99088
147.80965,-1598.3949,2.6146795e-17,5.6491804,12.90228,11.15461,-0.04747475,,17.241783,4.508174e-16,1.5047639e-34,5.752295e-16,17.241783,0.99998945,,5.752295e-16,17.043133,-0.47474748,1.0,0.11,18.78611731529236,18.81524524745072,12.888028,5.752295e-16,440,22,,147.80965
143.09366,-736.4483,4.8268666,-8.835838,13.086131,11.110158,-0.033333335,,17.241783,82.70111,108.22235,111.01793,17.241783,0.99999714,,108.22235,17.130848,-0.33333334,1.0255088,0.11,19.659727811813354,18.912203096248746,11.900993,108.25645,460,23,,225.79477
145.93155,-997.1587,78.64806,2.612535,13.260243,11.067598,-0.039393943,,17.264828,1357.8447,1887.4565,1887.5536,17.264828,0.99999714,,1887.4565,17.264828,-0.3939394,1.0000514,0.11,21.158347606658936,19.042673225492194,11.550541,1887.4565,480,24,,1503.7762
144.39285,-1061.114,0.76852506,14.965549,13.419853,11.026776,-0.04141414,,17.264828,13.268397,0.07815563,19.213127,17.264828,0.99999714,,19.132826,17.250484,-0.41414142,1.0041887,0.11,22.14168643951416,19.032218652437958,11.823216,19.132986,500,25,,157.66125
144.41846,-2318.6504,1.2479949e-17,16.467894,13.5691595,10.9875555,-0.061616164,,17.301846,2.1592616e-16,3.244779e-16,3.244787e-16,17.301846,0.99999714,,3.244779e-16,17.301846,-0.61616164,1.0000025,0.11,23.00240731239319,19.086396548831658,11.986128,3.244779e-16,520,26,,144.41846
143.75577,-1419.664,0.8303087,11.401209,13.710481,10.949816,-0.04949495,,17.384815,14.43452,22.338886,22.418335,17.384815,0.99999714,,22.338886,17.384815,-0.4949495,1.0035503,0.11,23.78510022163391,19.170796854485573,11.928121,22.339025,540,27,,158.19029
143.46524,-2300.718,1.5825993,12.553612,13.841208,10.913447,-0.06363636,,17.384815,27.491055,44.31278,44.31278,17.384815,0.99999714,,44.31278,17.370825,-0.6363636,1.0,0.11,24.616914987564087,19.157502031448214,11.937029,44.31278,560,28,,170.9563
142.70471,-2221.6072,0.6127933,11.587668,13.96242,10.878356,-0.06363636,,17.384815,10.644725,1.3866155e-08,17.771006,17.384815,0.9999982,,17.771006,17.356375,-0.6363636,1.0,0.11,25.514617919921875,19.142193286407768,11.923817,17.771006,580,29,,153.34944
141.93091,-4378.305,1.22809535e-20,13.7389145,14.076723,10.844455,-0.089898996,,17.391537,2.1358448e-19,3.6818494e-19,3.684586e-19,17.391537,0.9999982,,3.6818494e-19,17.391537,-0.8989899,1.0007405,0.11,26.738632440567017,19.17778748210883,11.967482,3.6818595e-19,600,30,,141.93091
137.54016,-2507.0405,6.0771112,1.4638654,14.182745,10.811665,-0.06969697,,17.391537,105.5233,183.26894,188.39044,17.391537,0.9999982,,183.26894,17.363403,-0.6969697,1.027671,0.11,27.669578552246094,19.149855122252756,11.596923,183.31786,620,31,,243.06346
140.68729,-3917.1006,1.2930001,14.513171,14.279917,10.779917,-0.087878786,,17.391537,22.358833,41.376003,41.376003,17.391537,0.9999982,,41.376003,17.292213,-0.8787879,1.0,0.11,28.67386555671692,19.080993211068666,11.722607,41.376003,640,32,,163.04611
140.05734,-3798.5874,0.5638901,10.486382,14.372783,10.749145,-0.087878786,,17.391537,9.750908,5.9069546e-08,18.608374,17.391537,0.9999982,,18.608374,17.344471,-0.8787879,1.0,0.11,29.623244285583496,19.13103945814815,11.680452,18.608374,660,33,,149.80826
138.67174,-4811.298,0.0032849368,13.090433,14.457647,10.719292,-0.1,,17.391537,0.056692716,0.11105952,0.11168785,17.391537,0.9999982,,0.11105952,17.258198,-1.0,1.0056415,0.11,30.527500867843628,19.04567164733623,11.7061,0.1110613,680,34,,138.72842
134.50389,-4673.73,0.003362941,9.363111,14.537362,10.690304,-0.1,,17.391537,0.058037996,0.0031024038,0.11770294,17.391537,0.9999982,,0.11395374,17.247673,-1.0,1.0325018,0.11,31.63228726387024,19.034044862908036,11.611093,0.1139978,700,35,,134.56194
126.73163,-4173.0957,1.6877049,13.302055,14.611973,10.662133,-0.0959596,,17.391537,29.073032,55.47191,60.757378,17.391537,0.9999982,,55.47191,17.223331,-0.959596,1.0914402,0.11,32.797112703323364,19.01002647701576,11.630768,55.667164,720,36,,155.80466
101.64921,-2230.5461,1.8349929,9.491825,14.680978,10.634734,-0.07171717,,17.391537,31.839342,2.6510392e-32,67.89474,17.391537,0.9999982,,45.08798,17.165157,-0.7171717,1.3555038,0.11,33.8917772769928,18.950499374464954,11.575262,50.088192,740,37,,133.48856
97.08181,-166.03629,1.8220966,3.7836099,14.747571,10.608066,-0.013131313,,17.391537,29.821974,,69.23967,17.391537,0.9999982,,35.29072,17.211594,-0.13131313,1.4139807,0.11,34.9046528339386,18.999406596791957,11.378122,48.967903,760,38,,126.903786
121.836365,-2502.9233,0.030396262,-58.68909,14.81095,10.58209,-0.07777778,,17.391537,0.52724653,6.924057e-29,1.1854542,17.391537,0.9999982,,1.0487379,17.219334,-0.7777778,1.1226243,0.11,36.16973352432251,18.999039913022134,9.589429,1.0559671,780,39,,122.36361
90.682846,-471.54974,1.8218228,-58.95092,14.866345,10.556773,-0.033333335,,17.391537,31.327524,3.315698e-25,72.87291,17.391537,0.9999982,,35.403904,17.02675,-0.33333334,1.5030258,0.11,37.354328870773315,18.80864512625361,7.851987,48.48414,800,40,,122.01037
134.93784,-2516.4797,1.1608287,6.4712896,14.926309,10.53208,-0.079797976,,17.391537,20.110971,47.27839,47.593975,17.391537,0.9999982,,47.27839,17.324778,-0.7979798,1.0066662,0.11,38.3762526512146,19.112051058927086,7.8269944,47.278805,820,41,,155.04881
133.48442,-2459.0042,0.5432341,-16.772541,14.983109,10.507982,-0.079797976,,17.391537,9.411283,5.872333e-38,22.815832,17.391537,0.9999982,,22.493532,17.311981,-0.7979798,1.0142874,0.11,39.248969316482544,19.09759808653101,7.2362103,22.494446,840,42,,142.8957
95.372284,-652.73413,1.0993677,17.49009,15.037612,10.484452,-0.04141414,,17.391537,19.006361,,47.27281,17.391537,0.9999982,,27.790882,17.326689,-0.41414142,1.4150901,0.11,40.0538055896759,19.11449379523324,7.461841,33.40622,860,43,,114.37865
