DenMISELogFirst,ReturnAbsMax,ReturnMin,IWLastEpisode,URet,DenMISELogLast,ReturnStepMax,Iteration,LQGmu1,IWMean,TimestepsSoFar,TimeElapsed,Bound,IWFirstEpisode,target_sum_log_mean,MISE,LQGsigma,DenMISEMeanLog,IWMin,IWMax,ReturnMean,ReturnLastEpisode,ReturnMax,LQGmu01
17.486298,14.9376135,,0.28607586,15.448596723454644,15.23197,0.99511856,22,-0.37821963,1.2601271,440,5.022444486618042,17.935091,4.9423295e-05,13.243936,17.935091,0.11,16.539906,,5.8943567,12.451358,13.902691,14.9376135,-0.48757476
17.441849,14.9376135,,2.7210674,15.786770228544208,7.0794096,0.99511856,23,-0.37443966,1.195908,460,5.2226057052612305,16.926636,0.0001780472,13.586961,16.926636,0.11,16.136408,,3.968781,12.527479,14.202158,14.9376135,-0.4871724
17.399296,14.9376135,,8.566683,15.890119035041584,16.49122,0.99511856,24,-0.38554296,1.2880067,480,5.472208738327026,18.427902,3.3092003e-06,11.934761,18.427902,0.11,16.15737,,8.566683,12.604121,14.366893,14.9376135,-0.48834994
17.358475,14.9376135,,2.9703684,15.978163281501402,17.656921,0.99511856,25,-0.38156718,1.2053074,500,5.6789186000823975,17.203926,1.6785549e-05,12.924729,17.203926,0.11,16.225113,,5.020709,12.674949,14.374811,14.9376135,-0.48792982
17.319254,14.9376135,,9.467643,15.897336393359641,15.41075,0.99511856,26,-0.39128605,1.3231196,520,5.88291072845459,18.958963,2.6624568e-07,11.220367,18.958963,0.11,16.199707,,9.467643,12.738342,14.323157,14.9376135,-0.48895407
17.281515,14.9376135,,2.8611774,15.987139348556896,19.486187,0.99511856,27,-0.38655108,1.2148119,540,6.092535495758057,17.392805,2.425035e-06,12.51875,17.392805,0.11,16.329601,,5.27927,12.801746,14.45025,14.9376135,-0.48845622
17.245148,14.9376135,,3.7186093,16.25174689788974,14.730828,0.99511856,28,-0.38687414,1.2150581,560,6.305022716522217,17.442724,2.186766e-06,12.586661,17.442724,0.11,16.278368,,4.6917334,12.868864,14.681055,14.9376135,-0.48849025
17.210056,14.9376135,,10.266303,15.953744826051217,17.55957,0.99511856,29,-0.39641073,1.3333769,580,6.564198017120361,19.174921,2.0622911e-08,10.8558855,19.174921,0.11,16.32843,,10.266303,12.920624,14.3699045,14.9376135,-0.48949048
17.176153,14.9376135,,3.2715397,15.222138979284237,9.982426,0.99511856,30,-0.3924803,1.246099,600,6.787804365158081,17.85044,1.7013595e-07,11.725828,17.85044,0.11,16.124882,,5.875124,12.95059,13.819609,14.9376135,-0.4890793
17.143364,14.9376135,,3.6682618,15.445307759817036,9.445363,0.9969146,31,-0.3919673,1.2386215,620,7.057487726211548,17.699276,2.2711278e-07,11.794533,17.699276,0.11,15.915738,,4.8627496,12.983939,13.984388,14.9376135,-0.4890255
17.111616,14.9376135,,2.4258635,16.271120574933192,14.217486,0.9969146,32,-0.39025447,1.2046905,640,7.300311326980591,17.238056,5.3813426e-07,12.207892,17.238056,0.11,15.868822,,3.7257407,13.036823,14.676216,14.9376135,-0.4888458
17.080845,14.9376135,,2.5789194,15.451392404316238,16.500961,0.9969146,33,-0.3893611,1.1926235,660,7.563356161117554,17.029863,8.437933e-07,12.515833,17.029863,0.11,15.8932295,,3.1622484,13.062776,13.893287,14.9376135,-0.48875195
17.050991,14.9376135,,0.86550546,15.956676129896346,18.969778,0.9969146,34,-0.38740823,1.1360989,680,7.826573371887207,16.218473,2.1019778e-06,12.999429,16.218473,0.11,15.988597,,2.6072469,13.101652,14.384549,14.9376135,-0.48854652
17.022003,14.9376135,,2.2922208,16.171042569279138,17.938501,0.9969146,35,-0.38722003,1.134499,700,8.124467611312866,16.213202,2.3504156e-06,13.191391,16.213202,0.11,16.047626,,2.47278,13.143406,14.563037,14.9376135,-0.4885267
16.993834,14.9376135,,2.934002,16.38094839754904,13.659754,0.9969146,36,-0.39032793,1.1417212,720,8.394651889801025,16.366285,5.8464303e-07,12.76946,16.366285,0.11,15.984531,,3.0199142,13.189488,14.802378,14.9376135,-0.48885348
