LQGsigma,IWMin,MISE,IWFirstEpisode,LQGmu01,ReturnMean,ReturnStepMax,DenMISELogLast,TimeElapsed,IWNorm2,DenMISEMeanLog,SqrtESSClassic,ExplorationBonus,IWMean,TimestepsSoFar,URet,IWLastEpisode,IWMax,ReturnAbsMax,Iteration,Bound,LQGmu1,DenMISELogFirst,ReturnLastEpisode,ReturnMin,target_sum_log_mean,IWNorm1,ReturnMax
0.11,,,,-0.09966799,15.058442,0.9625284,18.60218,0.18984222412109375,1e-10,18.60218,1.0,30.116884,,20,16.687925283112612,,,15.058442,1,30.116884,-0.7615942,18.60218,15.058442,,-404.23984,1e-10,15.058442
0.11,,16.964043,,-0.09966799,16.011242,0.9998483,3.8793092,2.278313636779785,2.0,10.894171,1.0,33.928085,1.0,40,18.74084447733709,2.0,2.0,16.964043,2,50.892128,-0.7615942,17.909033,16.964043,,-199.8337,2.0,16.964043
0.11,,17.093817,,-0.09966799,16.415363,0.99995756,20.763163,2.3556456565856934,2.1213193,14.144574,1.4142135,24.357857,0.9999995,60,19.006922892126155,1.4999986,1.5,17.223606,3,41.451675,-0.7615942,17.503569,17.223606,,-126.16625,2.9999986,17.223606
0.11,,17.125574,,-0.09966799,16.608795,0.99995756,18.464476,2.431548595428467,2.3094,15.211521,1.7320509,19.888107,0.99999964,80,18.97020634551885,1.3333327,1.3333333,17.223606,4,37.01368,-0.7615942,17.215887,17.189089,,-89.936646,3.9999986,17.223606
0.11,,17.129751,,-0.09966799,16.715496,0.99995756,13.575823,2.504809617996216,2.4999988,14.878476,2.0,17.223606,0.9999995,100,18.922565823776246,1.25,1.25,17.223606,5,34.353355,-0.7615942,16.992743,17.142303,,-69.18952,4.9999976,17.223606
0.11,,17.128098,,-0.09966799,16.783155,0.9999636,16.691051,2.565828323364258,2.6832817,15.177399,2.236068,15.405261,1.0,120,18.901532102460255,1.2,1.2,17.223606,6,32.53336,-0.7615942,16.810421,17.121447,,-54.845703,6.0,17.223606
0.11,,17.124949,,-0.09966799,16.829739,0.9999636,18.944603,2.635511636734009,2.8577368,15.713671,2.4494898,14.063015,0.9999996,140,18.889860282319884,1.1666659,1.166667,17.223606,7,31.187963,-0.7615942,16.656271,17.109241,,-44.282207,6.999997,17.223606
0.11,,17.13143,,-0.09966799,16.872303,0.9999636,13.908571,2.7239789962768555,3.0237162,15.486807,2.6457512,13.019823,1.0000001,160,18.950546719924507,1.1428573,1.1428573,17.223606,8,30.151253,-0.7615942,16.52274,17.170263,,-36.991673,8.000001,17.223606
0.11,,17.128815,,-0.09966799,16.898779,0.9999636,19.91937,2.849801540374756,3.1819794,15.978475,2.8284268,12.178929,0.9999996,180,18.88968843787361,1.1249995,1.125,17.223606,9,29.307743,-0.7615942,16.404957,17.110577,,-30.655142,8.999996,17.223606
0.11,,17.141691,,-0.09966799,16.93337,0.9999636,13.793402,2.987966299057007,3.3333323,15.759372,3.0,11.4964695,0.9999997,200,19.02702753323485,1.1111106,1.1111116,17.244703,10,28.63816,-0.7615942,16.299595,17.244703,,-26.199749,9.999997,17.244703
0.11,,17.137857,,-0.09966799,16.94882,0.9999696,17.067495,3.2002830505371094,3.4785054,15.87785,3.1622777,10.9065075,1.0,220,18.882791036944322,1.1,1.1,17.244703,11,28.044365,-0.7615942,16.204285,17.103304,,-22.257698,11.0,17.244703
0.11,,17.142418,,-0.09966799,16.968756,0.9999711,18.159384,3.4388577938079834,3.6181357,16.067642,3.3166249,10.398948,0.99999994,240,18.969997775842636,1.090909,1.090909,17.244703,12,27.541367,-0.7615942,16.117273,17.18805,,-18.882359,11.999999,17.244703
0.11,,17.146238,,-0.09966799,16.985643,0.9999711,11.167108,3.6210150718688965,3.752776,15.690418,3.4641016,9.956234,0.99999976,260,18.968405677947906,1.0833335,1.0833344,17.244703,13,27.102472,-0.7615942,16.037231,17.188293,,-16.564705,12.999997,17.244703
