ReturnMean,TimestepsSoFar,SqrtESSClassic,LQGmu01,ReturnLastEpisode,ReturnAbsMax,ReturnMax,TimeElapsed,IWMax,Bound,IWNorm1,URet,DenMISEMeanLog,target_sum_log_mean,ExplorationBonus,DenMISELogFirst,ReturnMin,IWNorm2,IWLastEpisode,IWMin,IWMean,LQGsigma,IWFirstEpisode,ReturnStepMax,LQGmu1,DenMISELogLast,MISE,Iteration
15.644508,20,1.0,-0.036880136,15.644508,15.644508,15.644508,0.3549041748046875,,1.5723323,1e-10,17.332240856619556,17.102016,-100.85334,1.5723323,17.102016,,1e-10,,,,0.11,,0.99262077,-0.35308933,17.102016,,1
16.157604,40,1.0,-0.029010842,16.6707,16.6707,16.6707,5.204484462738037,11.049859,93.779915,11.049859,18.43659655076273,9.765849,-24.338799,1.6754683,16.408869,,11.049859,11.049859,,5.5249295,0.11,2.1563743e-31,0.9998706,-0.28230956,3.122829,92.10445,2
16.422495,60,1.7320507,0.09270108,16.952274,16.952274,16.952274,6.10015082359314,,0.9836708,3e-10,18.72532153879497,10.819278,-706.25653,0.9836708,16.003405,,1.7320509e-10,,,,0.11,,0.9999124,0.7304448,11.861433,,3
14.5002,80,nan,0.09270108,8.73332,16.952274,16.952274,6.977268934249878,inf,nan,inf,9.575954357399352,-inf,-562.8827,nan,15.715722,,inf,inf,,inf,0.11,,0.9999124,0.7304448,-inf,inf,4
13.309212,100,nan,0.09270108,8.5452585,16.952274,16.952274,7.1939921379089355,inf,nan,inf,9.387109809857389,-inf,-446.2685,nan,15.4925785,,inf,2.4999988,,inf,0.11,,0.9999124,0.7304448,19.271969,inf,5
12.512955,120,nan,0.09270108,8.531672,16.952274,16.952274,7.425984621047974,inf,nan,inf,9.369894165331687,-inf,-368.97278,nan,15.310257,,inf,2.000001,,inf,0.11,,0.9999124,0.7304448,16.812767,inf,6
11.934211,140,nan,0.09270108,8.461747,16.952274,16.952274,7.642644166946411,inf,nan,inf,9.293715326694485,-inf,-314.2562,nan,15.156106,,inf,1.7500005,,inf,0.11,,0.9999124,0.7304448,13.483576,inf,7
11.514578,160,nan,0.09270108,8.577146,16.952274,16.952274,7.911271810531616,inf,nan,inf,9.418188146487182,-inf,-273.05585,nan,15.022575,,inf,1.5999992,,inf,0.11,,0.9999124,0.7304448,14.876518,inf,8
11.1873665,180,nan,0.09270108,8.5696745,16.952274,16.952274,8.258213520050049,inf,nan,inf,9.41236127608765,-inf,-240.43733,nan,14.904792,,inf,1.4999986,,inf,0.11,,0.9999124,0.7304448,20.105387,inf,9
10.921387,200,nan,0.09270108,8.527565,16.952274,16.952274,8.684467315673828,inf,nan,inf,9.366476194593616,-inf,-215.44926,nan,14.799432,,inf,1.4285717,,inf,0.11,,0.9999124,0.7304448,9.086622,inf,10
10.704092,220,nan,0.09270108,8.531139,16.952274,16.952274,8.993239879608154,inf,nan,inf,9.371024931946192,-inf,-194.40152,nan,14.704122,,inf,1.3750001,,inf,0.11,,0.9999124,0.7304448,15.757588,inf,11
10.523305,240,nan,0.09270108,8.534649,16.952274,16.952274,9.391549348831177,inf,nan,inf,9.374076131382475,-inf,-176.99208,nan,14.61711,,inf,1.333334,,inf,0.11,,0.9999124,0.7304448,14.224053,inf,12
10.372247,260,nan,0.09270108,8.559557,16.952274,16.952274,9.844228982925415,inf,nan,inf,9.401317583489636,-inf,-162.4079,nan,14.537067,,inf,1.3000002,,inf,0.11,,0.9999124,0.7304448,12.339783,inf,13
10.237701,280,nan,0.09270108,8.488606,16.952274,16.952274,10.23259425163269,inf,nan,inf,9.324249394648495,-inf,-149.68974,nan,14.462959,,inf,1.2727276,,inf,0.11,,0.9999124,0.7304448,15.405099,inf,14
