DenMISELogLast,MISE,LQGsigma,IWMin,ExplorationBonus,DenMISELogFirst,DenMISEMeanLog,Bound,ReturnMean,target_sum_log_mean,ReturnMin,IWMax,IWLastEpisode,IWNorm2,ReturnStepMax,LQGmu1,ReturnAbsMax,TimeElapsed,TimestepsSoFar,LQGmu01,Iteration,IWFirstEpisode,IWNorm1,ReturnLastEpisode,IWMean,SqrtESSClassic,ReturnMax,URet
-9.2103405,3.6236807e-09,1.0,,28.424992,-9.2103405,-9.2103405,28.424992,14.212496,-31.300238,,2.549644e-10,2.549644e-10,3.5496442e-10,0.99494565,0.01,14.212496,0.0468144416809082,20,0.001,1,2.549644e-10,3.5496442e-10,14.212496,2.549644e-10,1.0,14.212496,15.593418754668832
-9.903487,8.794014e-14,0.87717074,,20.099503,-9.903487,-9.903487,20.099503,11.660795,-45.392357,,1.9296114e-14,1.9296114e-14,1.41435e-10,0.99494565,0.44535977,14.212496,1.1629133224487305,40,0.044535976,2,7.749799e-18,2.000193e-10,9.109096,9.651932e-15,1.4142137,14.212496,10.0238642864365
-10.308944,6.1212144e-05,0.87717074,,28.424774,-10.308952,-10.308949,28.424835,10.102383,-37.213352,,2.628802e-05,2.628802e-05,2.628812e-05,0.99494565,0.44535977,14.212496,1.2276031970977783,60,0.044535976,3,1.1624688e-17,2.628832e-05,6.9855556,8.762673e-06,1.0000076,14.212496,7.671515216140799
-10.596634,,0.58435774,,14.212496,-10.596635,-10.59663,14.212496,9.362079,-221.32141,,,,2e-10,0.99494565,0.99299586,14.212496,1.260361909866333,80,0.09929959,4,,4e-10,7.1411676,,2.0,14.212496,7.835997202634561
-10.8197775,,1.3000282,,12.712045,-10.819778,-10.819775,12.712045,7.8090143,-689.43585,,,,2.2360681e-10,0.99494565,-2.3833356,14.212496,1.3089849948883057,100,-0.23833357,5,,5e-10,1.5967565,,2.2360678,14.212496,1.7313947947716333
-11.0021,,1.3000282,,11.604455,-11.0021,-11.002097,11.604455,8.296748,-590.9954,,,,2.4494898e-10,0.99494565,-2.3833356,14.212496,1.346149206161499,120,-0.23833357,6,,6e-10,10.73542,,2.4494896,14.212496,11.995940749903331
-11.156251,,0.8326576,,10.743638,-11.156251,-11.156248,10.743638,8.825721,-2316.4514,,,,2.6457514e-10,0.99869287,-3.505354,14.212496,1.3786115646362305,140,-0.3505354,7,,7e-10,11.999558,,2.6457512,14.212496,13.205827998204994
-11.289782,3.2039618e-09,0.94437,,22.463564,-11.289782,-11.28978,22.463564,9.018074,-1483.0872,,2.4730165e-09,2.4730165e-09,2.5865834e-09,0.99869287,-3.3749826,14.212496,1.4292168617248535,160,-0.33749828,8,,3.2730165e-09,10.364547,3.0912706e-10,1.2653822,14.212496,11.179897899963997
-11.407564,,0.017213468,,9.4749975,-11.407565,-11.407562,9.4749975,8.967078,-527836.3,,,,3e-10,0.99869287,0.1491127,14.212496,1.5271496772766113,180,0.014911271,9,,8.9999996e-10,8.559105,,3.0,14.212496,9.290516034079582
-11.512925,,0.017213468,,9.21994,-11.512925,-11.512922,9.21994,9.528171,-512612.66,,,,3.162278e-10,0.99986225,0.1491127,14.578003,1.5748710632324219,200,0.014911271,10,,1e-09,14.578003,,3.1622772,14.578003,15.924745160865951
54.204803,6.3790035,0.017210644,,29.156006,-11.608235,-5.62523,35.53501,9.471465,-466096.38,,7.880265,7.880265,7.880265,0.99986225,0.14860488,14.578003,1.6145563125610352,220,0.0148604885,11,,7.880265,8.904401,0.71638775,1.0,14.578003,9.780231921661509
