LQGmu1,DenMISELogLast,MISE,IWMax,TimestepsSoFar,Iteration,LQGmu01,IWMin,URet,IWLastEpisode,ReturnMax,ReturnMin,IWMean,IWFirstEpisode,target_sum_log_mean,LQGsigma,Bound,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMean,DenMISEMeanLog
-0.12896447,14.159411,18.03996,2.098351,440,22,-0.01296794,,17.67798132139224,0.64702,16.552084,,1.1183027,0.34621555,16.984669,0.11,18.03996,16.552084,0.999986,18.316664,5.267544984817505,15.974023,16.024395,17.020628
-0.12744641,7.984008,17.73763,1.7893287,460,23,-0.012813624,,17.800900211542515,1.0772212,16.552084,,1.1009749,0.44192457,16.63643,0.11,17.73763,16.552084,0.999986,18.287827,5.536453008651733,16.082664,16.026928,16.632387
-0.12958652,17.245989,17.995201,2.0246341,480,24,-0.013031191,,18.129761434985074,1.851421,16.552084,,1.1144258,0.33256763,16.628162,0.11,17.995201,16.552084,0.999986,18.2643,5.751570701599121,16.385717,16.041876,16.661833
-0.12986462,18.25999,18.034496,1.9818004,500,25,-0.013059473,,17.737179970039943,1.5642505,16.552084,,1.1173599,0.32756528,16.703136,0.11,18.034496,16.552084,0.999986,18.23724,5.978918790817261,16.024063,16.041164,16.729942
-0.13043216,16.460363,18.109291,1.9822465,520,26,-0.013117195,,17.93019496653814,1.6143208,16.552084,,1.121622,0.3080233,16.695627,0.11,18.109291,16.552084,0.999986,18.211037,6.201322317123413,16.193148,16.04701,16.723724
-0.12951204,20.39529,17.881979,1.7991813,540,27,-0.013023618,,18.032676258504278,1.1028992,16.552084,,1.1078926,0.36404872,16.860434,0.11,17.881979,16.552084,0.999986,18.185074,6.421096086502075,16.294872,16.05619,16.863869
-0.13082282,15.646652,18.060116,1.9063878,560,28,-0.013156933,,18.044577594561797,1.760167,16.552084,,1.1176552,0.30414683,16.802029,0.11,18.060116,16.552084,0.999986,18.162098,6.651037693023682,16.30994,16.065252,16.823988
-0.13174167,18.568106,18.194258,1.954793,580,29,-0.013250412,,17.888908520277617,1.7488427,16.552084,,1.1256003,0.2685387,16.855625,0.11,18.194258,16.552084,0.999986,18.137812,6.928763389587402,16.156387,16.068396,16.887905
-0.13090213,10.937595,17.962332,1.8005065,600,30,-0.013164998,,18.079235886532732,1.0692459,16.552084,,1.1114515,0.31540483,16.683031,0.11,17.962332,16.552084,0.999986,18.113127,7.150879144668579,16.339436,16.07743,16.69346
-0.13021266,10.556708,17.80044,1.679499,620,31,-0.0130948685,,18.01869836318205,1.1035504,16.552084,,1.1016642,0.35945556,16.50475,0.11,17.80044,16.552084,0.999986,18.090796,7.434477806091309,16.277409,16.083881,16.498873
-0.13044405,14.73023,17.821775,1.6694767,640,32,-0.013118406,,17.90689901480231,1.404929,16.552084,,1.1028984,0.35381454,16.454754,0.11,17.821775,16.552084,0.999986,18.070576,7.648611307144165,16.181381,16.08693,16.446602
-0.12971927,17.386524,17.674355,1.55985,660,33,-0.013044691,,17.634875170665254,1.0785553,16.552084,,1.0947269,0.4035321,16.499725,0.11,17.674355,16.552084,0.999986,18.0508,7.86529016494751,15.922198,16.081936,16.478035
-0.12863426,18.88579,17.435831,1.4224201,680,34,-0.012934367,,17.882160577136275,0.82704544,16.552084,,1.0806171,0.48238373,16.582054,0.11,17.435831,16.552084,0.999986,18.033102,8.082642555236816,16.155027,16.084085,16.551502
-0.1285934,18.567379,17.428041,1.4013028,700,35,-0.012930212,,17.829046686638193,1.2277006,16.552084,,1.080282,0.49252504,16.645271,0.11,17.428041,16.552084,0.999986,18.018202,8.300752639770508,16.10916,16.084803,16.611301
-0.13031028,14.147708,17.551445,1.6112216,720,36,-0.013104797,,18.043650849338874,1.6112216,16.552084,,1.0866114,0.3861481,16.557652,0.11,17.551445,16.552084,0.999986,18.004005,8.57010293006897,16.313475,16.091154,16.545006
-0.18226597,12.91053,36.920834,80.39112,740,37,-0.018430464,,18.40521941147578,80.39112,16.644592,,2.219107,4.3664784e-08,10.415705,0.11,36.920834,16.644592,0.999986,17.987274,8.794277667999268,16.644592,16.106112,16.44901
-0.18360054,12.189282,25.303844,30.299635,760,38,-0.018568495,,18.37983659036087,30.299635,16.644592,,1.5219582,2.471075e-08,10.2806225,0.11,25.303844,16.644592,0.999986,17.960608,9.061007976531982,16.624786,16.11976,16.342545
-0.1811927,14.850058,21.776068,16.90264,780,39,-0.018319512,,18.25283579660414,16.501001,16.644592,,1.3133935,7.389012e-08,10.942651,0.11,21.776068,16.644592,0.999986,17.934631,9.531432867050171,16.505388,16.12965,16.308384
-0.17852008,17.791367,20.266617,11.868654,800,40,-0.018043406,,18.143050091061035,11.462132,16.644592,,1.2261833,2.4072776e-07,11.666903,0.11,20.266617,16.644592,0.999986,17.909313,9.902560710906982,16.394539,16.136272,16.348392
-0.17693384,10.889384,16.056408,9.279449,820,41,-0.01787966,,17.689929693723656,0.15988255,16.644592,,0.9720727,4.8228196e-07,11.878351,0.11,16.056408,16.644592,0.999986,17.88462,10.192015171051025,15.96514,16.132097,16.217634
-0.1790153,12.571998,16.457825,7.9915247,840,42,-0.018094545,,18.31561454266897,7.9915247,16.644592,,0.99562216,2.0454999e-07,11.583556,0.11,16.457825,16.644592,0.999986,17.860523,10.474113702774048,16.566975,16.142452,16.128414
-0.18084976,14.783489,16.728334,7.1933975,860,43,-0.01828407,,18.178883463322073,7.1933975,16.644592,,1.0128071,9.466801e-08,11.383376,0.11,16.728334,16.644592,0.999986,17.836992,10.717235326766968,16.435608,16.14927,16.095522
-0.182779,14.425406,16.975088,6.6827235,880,44,-0.018483518,,18.2812210214223,6.6827235,16.644592,,1.0275375,4.1333337e-08,11.156532,0.11,16.975088,16.644592,0.999986,17.814003,10.953009605407715,16.527716,16.15787,16.056538
-0.182779,14.610851,16.980364,5.9334297,900,45,-0.018483518,,18.386922505742472,5.471968,16.644592,,1.0270977,4.227271e-08,11.271065,0.11,16.980364,16.644592,0.999986,17.79153,11.1927809715271,16.633144,16.168432,16.023855
-0.18583177,15.576435,17.378275,6.5668755,920,46,-0.01879942,,18.537244193430354,6.5668755,16.773296,,1.0489104,1.0848809e-08,10.871895,0.11,17.378275,16.773296,0.999986,17.769552,11.426750898361206,16.773296,16.181581,16.013733
-0.18821366,5.0788345,17.7268,6.509076,940,47,-0.019046152,,18.192226583819043,6.264244,16.773296,,1.0706679,3.6640877e-09,10.36416,0.11,17.7268,16.773296,0.999986,17.748045,11.671446323394775,16.447355,16.187235,15.781182
-0.18937953,14.681097,17.907824,6.112111,960,48,-0.019167006,,18.06798028596184,5.606895,16.773296,,1.0831581,2.1571884e-09,10.282092,0.11,17.907824,16.773296,0.999986,17.726992,11.95663595199585,16.32917,16.190193,15.758853
-0.18897331,15.788433,17.77396,5.4491224,980,49,-0.019124892,,18.235299039688872,4.3549347,16.773296,,1.0753262,2.6698301e-09,10.495691,0.11,17.77396,16.773296,0.999986,17.706373,12.199889183044434,16.493305,16.196379,15.760344
-0.18967567,18.036127,17.860527,5.1392765,1000,50,-0.019197714,,18.371330280844365,4.6401033,16.773296,,1.0800484,1.951837e-09,10.556234,0.11,17.860527,16.773296,0.999986,17.68617,12.473436117172241,16.618399,16.204819,15.806667
-0.19121309,8.341868,18.096323,5.0398455,1020,51,-0.019357182,,18.351456415839877,5.0398455,16.773296,,1.0939075,9.52542e-10,10.280782,0.11,18.096323,16.773296,0.999986,17.666367,12.76130485534668,16.593384,16.212439,15.661236
-0.19090867,11.121087,17.962492,4.629654,1040,52,-0.019325597,,18.33559702887199,3.7128403,16.773296,,1.0857036,1.1247518e-09,10.373699,0.11,17.962492,16.773296,0.999986,17.64695,13.02104377746582,16.580269,16.219513,15.575132
-0.1907538,13.270344,17.877546,4.3103805,1060,53,-0.01930953,,18.126834458683813,3.6341481,16.773296,,1.0812577,1.2350698e-09,10.478332,0.11,17.877546,16.773296,0.999986,17.627901,13.281903266906738,16.386497,16.222664,15.532736
-0.19238512,18.773184,18.113508,4.541988,1080,54,-0.019478815,,18.51935877365104,4.541988,16.773296,,1.0943346,5.711076e-10,10.391717,0.11,18.113508,16.773296,0.999986,17.60921,13.543378353118896,16.754658,16.232515,15.593777
-0.19122928,12.99532,17.701914,4.066755,1100,55,-0.019358862,,18.36793090093118,2.3397124,16.773296,,1.0694655,1.019248e-09,10.640979,0.11,17.701914,16.773296,0.999986,17.59086,13.799360036849976,16.610243,16.239382,15.547796
-0.19082974,14.000974,17.603819,3.7893095,1120,56,-0.019317409,,18.321203536097578,3.0167968,16.773296,,1.0635384,1.2581809e-09,10.783467,0.11,17.603819,16.773296,0.999986,17.572842,14.059767246246338,16.57062,16.245296,15.521031
-0.19427924,13.938578,18.01176,5.193464,1140,57,-0.019675506,,18.442871674579905,5.193464,16.773296,,1.0872233,2.3756866e-10,10.320658,0.11,18.01176,16.773296,0.999986,17.555141,14.36944031715393,16.680723,16.252935,15.494039
-0.19550733,13.70249,18.187803,5.259445,1160,58,-0.019803114,,18.566548158728427,4.0428996,16.80315,,1.0967555,1.3113158e-10,10.205526,0.11,18.187803,16.80315,0.999986,17.53775,14.630825996398926,16.80315,16.262423,15.464291
-0.1955431,14.98736,18.165234,4.916838,1180,59,-0.01980683,,18.17648900935203,3.3458276,16.80315,,1.0959712,1.3102458e-10,10.30135,0.11,18.165234,16.80315,0.999986,17.520655,14.896082878112793,16.430994,16.26528,15.457495
-0.1988139,14.879751,18.636665,5.649583,1200,60,-0.020147005,,18.421512447360495,5.5042715,16.80315,,1.1235706,2.5355305e-11,9.88053,0.11,18.636665,16.80315,0.999986,17.503849,15.172220468521118,16.656769,16.271803,15.4491415
-0.1972026,16.660685,17.884342,4.766558,1220,61,-0.019979367,,18.28841362819159,0.84811777,16.80315,,1.078573,5.868909e-11,10.245506,0.11,17.884342,16.80315,0.999986,17.48732,15.487406492233276,16.543575,16.276258,15.4706745
-0.19537552,13.209823,17.496504,3.9986765,1240,62,-0.019789414,,18.109718317135318,1.7708435,16.80315,,1.055873,1.4973069e-10,10.58347,0.11,17.496504,16.80315,0.999986,17.471058,15.767868995666504,16.363934,16.277674,15.435191
-0.19537552,19.143333,17.497932,3.8169942,1260,63,-0.019789414,,18.169949104068618,2.8669407,16.80315,,1.0564114,1.5214546e-10,10.73606,0.11,17.497932,16.80315,0.999986,17.45506,16.04240584373474,16.421003,16.279947,15.494701
-0.19616991,15.017773,17.586788,3.8500142,1280,64,-0.01987199,,18.41293277540117,3.1266472,16.80315,,1.0614244,1.0376073e-10,10.702892,0.11,17.586788,16.80315,0.9999951,17.43931,16.304558515548706,16.655787,16.285822,15.487913
-0.19696346,16.566053,17.680637,3.8780274,1300,65,-0.019954499,,18.464268897049088,3.1355336,16.80315,,1.0666122,7.0596765e-11,10.693427,0.11,17.680637,16.80315,0.9999951,17.423805,16.578698873519897,16.705631,16.292282,15.505234
-0.19556928,13.600681,17.366802,3.3992007,1320,66,-0.01980955,,18.389413053515355,1.5323079,16.80315,,1.047855,1.4466216e-10,10.945156,0.11,17.366802,16.80315,0.9999951,17.408539,16.85548186302185,16.629534,16.29739,15.477183
-0.19668494,10.455831,17.477196,3.5255096,1340,67,-0.019925537,,18.50064354090441,3.0281508,16.80315,,1.0539372,8.3778026e-11,10.795236,0.11,17.477196,16.80315,0.9999951,17.3935,17.133702754974365,16.738289,16.303972,15.402776
-0.1955216,10.059101,17.323093,3.1542847,1360,68,-0.019804597,,18.261403990753642,1.964142,16.80315,,1.0449547,1.526463e-10,10.957182,0.11,17.323093,16.80315,0.9999951,17.378685,17.41947889328003,16.524044,16.307207,15.324813
-0.19491798,19.62534,17.263035,2.938701,1380,69,-0.019741869,,18.266003305508494,2.1865852,16.80315,,1.0415678,2.0938107e-10,11.176339,0.11,17.263035,16.80315,0.9999951,17.364086,17.777608156204224,16.514116,16.310205,15.38764
-0.19762672,11.444574,17.45573,3.4981241,1400,70,-0.020023484,,18.285988632873913,3.4981241,16.80315,,1.052953,5.428816e-11,10.826594,0.11,17.45573,16.80315,0.9999951,17.349697,18.072173357009888,16.530088,16.313347,15.331766
-0.19780673,13.071958,17.474134,3.4192286,1420,71,-0.020042209,,18.317637427076807,2.5480623,16.80315,,1.0541006,5.0238997e-11,10.846564,0.11,17.474134,16.80315,0.9999951,17.335512,18.364190578460693,16.562382,16.316853,15.300537
-0.19970074,13.306676,17.665764,3.726174,1440,72,-0.02023932,,18.60851036505586,3.3765423,16.844772,,1.0646864,1.9261395e-11,10.635426,0.11,17.665764,16.844772,0.9999951,17.321527,18.653889656066895,16.844772,16.324186,15.273455
-0.20900026,13.327306,18.412472,8.869624,1460,73,-0.02120939,,18.535271990937872,8.869624,16.844772,,1.1070386,1.3491127e-13,9.311216,0.11,18.412472,16.844772,0.9999951,17.307734,18.94228219985962,16.770248,16.330297,15.247535
-0.20526385,16.323067,18.056004,6.0826235,1480,74,-0.02081917,,18.209605420908755,2.1470757,16.844772,,1.0868446,1.0494207e-12,9.98849,0.11,18.056004,16.844772,0.9999951,17.294128,19.280675172805786,16.455648,16.33199,15.263251
-0.20472656,16.963156,18.042822,5.4619527,1500,75,-0.020763112,,18.47442456818775,2.9019418,16.844772,,1.0860085,1.419701e-12,10.174293,0.11,18.042822,16.844772,0.9999951,17.280704,19.592652320861816,16.716282,16.337114,15.286893
