IWMax,IWLastEpisode,DenMISELogFirst,LQGmu1,ReturnAbsMax,ReturnLastEpisode,LQGsigma,IWMean,ExplorationBonus,SqrtESSClassic,LQGmu01,IWNorm1,IWMin,URet,ReturnMean,target_sum_log_mean,MISE,Bound,DenMISEMeanLog,TimestepsSoFar,ReturnStepMax,Iteration,ReturnMin,ReturnMax,DenMISELogLast,IWFirstEpisode,IWNorm2,TimeElapsed
,,13.511501,-0.6678977,15.80704,15.80704,0.11,,47.42112,1.0,-0.08051912,1e-10,,17.497854397219367,15.80704,-328.60306,,47.42112,13.511501,20,0.99233466,1,,15.80704,13.511501,,1e-10,0.35434865951538086
2.359406,3.4298123e-23,12.818355,-0.092458345,16.867111,16.867111,0.11,1.179703,50.601334,1.0,-0.009272051,2.359406,,18.64163685236926,16.337076,-18.576666,18.647614,69.24895,6.857605,40,0.99999225,2,,16.867111,0.89685535,2.359406,2.359406,6.323048114776611
4.121711,,13.192078,-0.60065603,16.867111,15.914712,0.11,1.3739036,50.601334,1.0,-0.06930598,4.121711,,17.602408617459584,16.196287,-188.77367,23.173784,73.775116,1.9666133,60,0.99999225,3,,16.867111,-7.783628,,4.121711,7.153554677963257
,,12.904396,0.31218326,16.891226,16.891226,0.11,,25.336838,2.0,0.03228504,4e-10,,18.665062925065836,16.370022,-415.04968,,25.336838,0.5179714,80,0.99999225,4,,16.891226,-3.8294444,,2e-10,8.447816371917725
inf,inf,12.6812525,0.31218326,16.891226,8.965427,0.11,inf,nan,nan,0.03228504,inf,,9.816662064278308,14.889104,-363.22662,inf,nan,-inf,100,0.99999225,5,,16.891226,-inf,,inf,8.79644250869751
inf,2.9999986,12.498931,0.31218326,16.891226,8.669303,0.11,inf,nan,nan,0.03228504,inf,,9.52534418079781,13.85247,-299.61667,inf,nan,-inf,120,0.99999225,6,,16.891226,17.334385,,inf,9.169049978256226
inf,2.3333328,12.34478,0.31218326,16.891226,8.659588,0.11,inf,nan,nan,0.03228504,inf,,9.508889190315251,13.110631,-254.97363,inf,nan,-inf,140,0.99999225,7,,16.891226,12.037334,,inf,9.611379861831665
inf,2.000001,12.211248,0.31218326,16.891226,8.683962,0.11,inf,nan,nan,0.03228504,inf,,9.536639702937938,12.557297,-221.21344,inf,nan,-inf,160,0.99999225,8,,16.891226,14.414664,,inf,10.152169227600098
