DenMISELogLast,TimeElapsed,LQGsigma,URet,IWMean,ReturnLastEpisode,TimestepsSoFar,IWLastEpisode,LQGmu1,MISE,IWMax,ReturnMean,DenMISEMeanLog,DenMISELogFirst,IWMin,ExplorationBonus,target_sum_log_mean,Bound,ReturnAbsMax,ReturnMin,ReturnMax,IWFirstEpisode,Iteration,ReturnStepMax,IWNorm1,LQGmu01,IWNorm2,SqrtESSClassic
15.475317,1.733647346496582,0.11,18.040612590661638,0.9757763,16.301672,220,5.405887,-0.17072544,16.044804,5.405887,14.826211,16.03971,17.931316,,23.449299,-25.29792,39.494102,16.586971,,16.586971,5.6443578e-06,11,0.9997398,10.73354,-0.017239671,7.587099,1.4147093
16.861776,1.8537724018096924,0.11,18.35457021390392,0.98878306,16.596783,240,3.9933033,-0.17072544,16.31001,3.9933033,14.973758,16.09469,17.844307,,19.157784,-21.669228,35.467796,16.596783,,16.596783,6.157469e-06,12,0.9999764,11.8653965,-0.017239671,6.8481555,1.7326412
10.068536,1.974125862121582,0.11,18.423124722531607,3.6384713e-06,16.664955,260,4.6972058e-05,-0.30075076,6.0633167e-05,4.6972058e-05,15.10385,15.623002,17.764263,,33.098373,-109.81143,33.098434,16.664955,,16.664955,,13,0.9999764,4.7301422e-05,-0.031024521,4.697283e-05,1.0069954
9.932068,2.0968642234802246,0.11,18.700592148364382,0.9987321,16.927162,280,13.982199,-0.30075076,16.905699,13.982199,15.234087,15.147692,17.690155,,33.854202,-101.06991,50.759903,16.927162,,16.927162,,14,0.9999764,13.982249,-0.031024521,13.982199,1.0000036
16.299688,2.221052646636963,0.11,18.734239514006102,1.2933013,16.961632,300,18.135113,-0.36210838,21.933598,18.135113,15.3492565,15.206266,17.621162,,31.789223,-132.58194,53.72282,16.961632,,16.961632,,15,0.9999764,19.39952,-0.037912853,18.179138,1.0671309
13.254784,2.3471720218658447,0.11,18.753515111286166,1.2658925,16.978071,320,10.253494,-0.36210838,21.479458,10.253494,15.451057,15.078386,17.556625,,22.701782,-123.321655,44.18124,16.978071,,16.978071,,16,0.99998283,20.25428,-0.037912853,13.54124,1.4957478
15.995138,2.4770123958587646,0.11,18.87937966753351,1.2604464,17.102634,340,7.5486736,-0.36210838,21.445772,7.5486736,15.548209,15.134466,17.496,,18.80184,-115.00765,40.247612,17.102634,,17.102634,,17,0.99998283,21.42759,-0.037912853,11.778248,1.8192511
16.510792,2.6099469661712646,0.11,18.79659164906832,1.2338483,17.01925,360,5.7044425,-0.36210838,20.991997,5.7044425,15.629933,15.21637,17.43884,,16.322702,-107.60434,37.314697,17.102634,,17.102634,,18,0.99998283,22.20927,-0.037912853,10.59823,2.0955641
16.412693,2.744931936264038,0.11,18.850219758212234,1.4704905,17.072308,380,14.720365,-0.4204807,25.075842,14.720365,15.705848,15.285386,17.384775,,20.641779,-128.5993,45.71762,17.102634,,17.102634,,19,0.99998283,27.939318,-0.04479758,16.86048,1.6570891
15.150847,2.8811254501342773,0.11,18.935665557498023,1.2456414,17.155159,400,5.101121,-0.4204807,21.264091,8.730848,15.778313,15.289534,17.33348,,16.608438,-121.33032,37.872528,17.155159,,17.155159,,20,0.99998283,24.912827,-0.04479758,12.059439,2.0658364
14.847414,3.0171635150909424,0.11,18.92257520613647,0.9773645,17.142403,420,12.2285185,-0.4755681,16.727798,12.2285185,15.84327,15.274229,17.28469,,21.814175,-136.30893,38.541973,17.155159,,17.155159,,21,0.99998283,20.524654,-0.05167805,13.04938,1.5728451
13.168407,3.159116506576538,0.11,18.884200799501087,1.3598553,17.105877,440,4.8557334,-0.4204807,23.237812,5.7254915,15.90066,15.171939,17.23817,,13.265965,-108.85877,36.503777,17.155159,,17.155159,,22,0.99998283,29.916817,-0.04479758,11.567233,2.5863416
6.9986835,3.299365997314453,0.11,18.887709777299825,0.9939302,17.110468,460,5.9246974e-10,-0.17072544,16.437407,5.749731,15.95326,14.827929,17.19372,,17.147097,-13.379687,33.584503,17.155159,,17.155159,1.1801811e-05,23,0.99998283,22.860395,-0.017239671,11.424827,2.0009403
11.339611,3.44282865524292,0.11,18.637953852800955,3.625292,16.871965,480,83.56222,-0.23679811,61.166534,83.56222,15.991542,14.678788,17.15116,,32.97094,-30.000006,94.137474,17.155159,,17.155159,9.583884e-21,24,0.99998283,87.00701,-0.024133243,83.6105,1.0406231
14.809217,3.5881195068359375,0.11,18.43993084451189,1.7452614,16.678104,500,20.936666,-0.23679811,29.283838,20.936666,16.019005,14.710298,17.110338,,22.55441,-28.085976,51.83825,17.155159,,17.155159,9.983204e-21,25,0.99998283,43.631535,-0.024133243,28.681856,1.5212243
14.587749,3.736015558242798,0.11,18.552712440665367,1.410535,16.785427,520,10.320972,-0.23679811,23.67558,11.850082,16.048481,14.718211,17.071117,,18.297762,-26.354902,41.973343,17.155159,,17.155159,1.0382553e-20,26,0.99998283,36.67391,-0.024133243,19.55827,1.87511
18.398336,3.8864212036132812,0.11,18.65611666738598,1.3099982,16.885471,540,8.008072,-0.23679811,22.020432,8.453146,16.079481,14.862195,17.033377,,15.871197,-24.620323,37.89163,17.155159,,17.155159,1.07818655e-20,27,0.99998283,35.36995,-0.024133243,16.361359,2.1617978
14.396044,4.05850625038147,0.11,18.688720157353536,1.2411417,16.91819,560,6.014632,-0.23679811,20.88735,6.6760798,16.109434,14.851766,16.99701,,14.243462,-23.162802,35.130814,17.155159,,17.155159,1.118117e-20,28,0.99998283,34.75197,-0.024133243,14.426806,2.4088469
17.43018,4.217550039291382,0.11,18.5642119087744,1.2434424,16.795528,580,1.47235905e-05,-0.4204807,21.2495,5.988681,16.133093,14.9456,16.961918,,12.311059,-82.051285,33.56056,17.155159,,17.155159,,29,0.9999928,36.05983,-0.04479758,12.93881,2.7869508
10.957755,4.372494220733643,0.11,18.863379506860102,1.2031176,17.087238,600,0.086849734,-0.23679811,20.242777,5.775814,16.164898,14.818368,16.928017,,13.022502,-20.699423,33.265278,17.155159,,17.155159,1.1979822e-20,30,0.9999928,36.09353,-0.024133243,13.699321,2.6346948
11.212857,4.528686285018921,0.11,18.694749780191973,1.1861767,16.924896,620,4.950886,-0.23679811,19.974058,5.0047803,16.189413,14.706132,16.895226,,12.107222,-19.618397,32.08128,17.155159,,17.155159,1.2379166e-20,31,0.9999928,36.771477,-0.024133243,12.975701,2.833872
