DenMISELogLast,TimeElapsed,LQGsigma,URet,IWMean,ReturnLastEpisode,TimestepsSoFar,IWLastEpisode,LQGmu1,MISE,IWMax,ReturnMean,DenMISEMeanLog,DenMISELogFirst,IWMin,ExplorationBonus,target_sum_log_mean,Bound,ReturnAbsMax,ReturnMin,ReturnMax,IWFirstEpisode,Iteration,ReturnStepMax,IWNorm1,LQGmu01,IWNorm2,SqrtESSClassic
18.60218,0.05035257339477539,0.11,16.687925283112612,1.1559827,15.058442,20,1.1559827,-0.10308083,17.407299,1.1559827,15.058442,18.60218,18.60218,,30.116884,18.747131,47.524185,15.058442,,15.058442,1.1559827,1,0.9625284,1.1559827,-0.010344459,1.1559827,1.0
21.229317,0.7594923973083496,0.11,17.54307384705433,1.0684803,15.844135,40,1.0646123,-0.10308083,16.507877,1.0723484,15.451288,19.953299,18.67728,,22.407139,20.01953,38.915016,15.844135,,15.844135,1.0723484,2,0.996153,2.1369605,-0.010344459,1.5110692,1.4142042
21.235422,0.8617086410522461,0.11,17.58739830656346,1.0082163,15.881546,60,0.9353866,-0.10308083,15.711749,1.0470959,15.5947075,20.39572,18.70111,,18.362375,20.402561,34.074123,15.881546,,15.881546,1.0470959,3,0.99698675,3.024649,-0.010344459,1.748562,1.7297922
18.713287,0.9638793468475342,0.11,17.902982472562773,3.529334e-05,16.174406,80,2.7237058e-07,-0.034469094,0.00056053186,0.00014081683,15.739632,19.97659,18.712816,,32.267117,4.5441747,32.267677,16.174406,,16.174406,4.8386606e-10,4,0.9997398,0.00014117376,-0.0034482616,0.00014081722,1.0025319
11.555494,1.0683801174163818,0.11,14.262809311664746,1.0000353,12.912371,100,5.0,-0.034469094,12.9129305,5.0,15.174179,18.113861,18.489672,,32.34767,6.2683263,45.2606,16.174406,,16.174406,6.0483313e-10,5,0.9997398,5.0001764,-0.0034482616,5.0,1.0000353
15.774764,1.1737408638000488,0.11,14.69646825598689,1.0000334,13.267082,120,2.99999,-0.034469094,13.090262,2.9999986,14.856331,17.687607,18.30735,,22.873257,8.035834,35.96352,16.174406,,16.174406,7.2579975e-10,6,0.9997398,6.0002003,-0.0034482616,4.2426324,1.4142635
18.251455,1.2828092575073242,0.11,14.330564926232764,1.0141218,12.937828,140,9.381337e-14,-0.10308083,15.959333,1.8193622,14.582258,17.751879,18.1532,,16.185028,7.7708054,32.144363,16.174406,,16.174406,1.8110942,7,0.9997398,7.0988526,-0.010344459,3.5517573,1.9986874
11.329657,1.3915431499481201,0.11,16.806373202444345,1.0000287,15.145136,160,7.1400445e-06,-0.034469094,13.039551,2.6666665,14.652618,16.945232,18.24977,,18.676046,8.349203,31.715597,16.174406,,16.174406,7.688187e-10,8,0.9997398,8.00023,-0.0034482616,4.6187987,1.7321018
17.086603,1.504840612411499,0.11,14.366257430142344,0.00037101778,12.978725,180,,-0.17072544,0.0059923064,0.0031134519,14.466631,16.95214,18.131987,,30.237938,-34.145515,30.24393,16.174406,,16.174406,4.618113e-06,9,0.9997398,0.0033391612,-0.017239671,0.0031212692,1.0698088
9.631264,1.6178221702575684,0.11,18.34788516017707,0.9382108,16.586971,200,9.378399,-0.17072544,15.561914,9.378399,14.678665,16.125265,18.026627,,33.16083,-29.543995,48.722748,16.586971,,16.586971,5.1312345e-06,10,0.9997398,9.382108,-0.017239671,9.3784,1.0003954
