LQGmu01,ReturnMin,LQGmu1,IWMean,IWMin,ReturnLastEpisode,DenMISELogFirst,ReturnStepMax,TimestepsSoFar,LQGsigma,IWLastEpisode,DenMISELogLast,ReturnMean,TimeElapsed,ReturnMax,Bound,ReturnAbsMax,DenMISEMeanLog,URet,IWFirstEpisode,target_sum_log_mean,MISE,Iteration,IWMax
-0.010038923,,-0.10005667,1.0033205,,15.058442,18.60218,0.9625284,20,0.11,1.0033205,18.60218,15.058442,0.05783891677856445,15.058442,15.108443,15.058442,18.60218,16.687925283112612,1.0033205,18.605495,15.108443,1,1.0033205
-0.0100458395,,-0.10012517,1.0046117,,15.800916,18.60384,0.99535984,40,0.11,1.0035808,21.311424,15.429679,1.1414332389831543,15.800916,15.500452,15.800916,19.957632,17.495851168952395,1.0056425,19.962233,15.500452,2,1.0056425
-0.010093315,,-0.10059519,1.0041178,,15.8298645,18.605719,0.9964209,60,0.11,0.9627092,21.17378,15.563073,1.2295219898223877,15.8298645,15.620231,15.8298645,20.364038,17.53155033041148,1.0305004,20.367706,15.620231,3,1.0305004
-0.010113201,,-0.10079205,1.0102882,,16.139175,18.613316,0.999598,80,0.11,1.0287741,18.734167,15.707099,1.3174049854278564,16.139175,15.865572,16.139175,19.957321,17.865168808936804,1.033514,19.96709,15.865572,4,1.033514
-0.010144933,,-0.10110615,1.0090567,,15.382791,18.619995,0.999598,100,0.11,0.99376345,13.796637,15.642237,1.4064481258392334,16.139175,15.781631,16.139175,18.726816,17.03463307248357,1.0433757,18.735146,15.781631,5,1.0433757
-0.01015493,,-0.10120512,1.0248075,,15.751627,18.6272,0.999598,120,0.11,1.1075622,16.79206,15.660469,1.5000920295715332,16.139175,16.048674,16.139175,18.405596,17.445811473462907,1.0410162,18.428951,16.048674,6,1.1075622
-0.010165884,,-0.10131354,1.022941,,15.595881,18.633041,0.999598,140,0.11,1.0146518,19.082458,15.651243,1.593855857849121,16.139175,16.010132,16.139175,18.5053,17.278990812537344,1.0404823,18.526995,16.010132,7,1.1067154
-0.01017884,,-0.101441786,1.0206039,,15.418165,18.638088,0.999598,160,0.11,1.000435,14.041905,15.622108,1.6907532215118408,16.139175,15.944441,16.139175,17.94987,17.092059592923672,1.0416716,17.969297,15.944441,8,1.1109114
-0.010196255,,-0.10161415,1.017391,,15.385023,18.642708,0.999598,180,0.11,0.9785768,20.05304,15.595764,1.787036418914795,16.139175,15.868496,16.139175,18.185577,17.050818347953054,1.0453299,18.201672,15.868496,9,1.1226417
-0.010208591,,-0.101736255,1.0244032,,16.403227,18.64723,0.999598,200,0.11,1.0858635,13.835971,15.676511,1.8853585720062256,16.403227,16.065456,16.403227,17.75217,18.14503168900987,1.046477,17.774975,16.065456,10,1.126941
-0.010226241,,-0.10191096,1.0190326,,15.322322,18.651447,0.999598,220,0.11,0.9466329,17.201849,15.644312,1.9871206283569336,16.403227,15.950854,16.403227,17.704145,16.984323704260262,1.0502802,17.721294,15.950854,11,1.1397314
-0.010246199,,-0.10210846,1.0191785,,15.931044,18.655628,0.999598,240,0.11,1.0047222,18.239485,15.668208,2.091416835784912,16.403227,15.977412,16.403227,17.750196,17.646861908096202,1.054924,17.767244,15.977412,12,1.1557359
-0.010261429,,-0.102259204,1.0259805,,16.076305,18.659845,0.9996457,260,0.11,1.1022241,11.166088,15.699599,2.1984760761260986,16.403227,16.118427,16.403227,17.245077,17.800464137553142,1.057188,17.268492,16.118427,13,1.1643362
-0.010276462,,-0.10240796,1.0279802,,16.04694,18.663921,0.9997174,280,0.11,1.0443991,17.370724,15.724409,2.3069088459014893,16.403227,16.17555,16.403227,17.255762,17.766711209316263,1.0593377,17.28104,16.17555,14,1.1728349
-0.010290272,,-0.10254463,1.0319272,,15.619432,18.66787,0.9997174,300,0.11,1.0797534,18.245747,15.717411,2.4206385612487793,16.403227,16.229801,16.403227,17.32349,17.287858578087757,1.0609493,17.35249,16.229801,15,1.1796979
-0.01030688,,-0.10270899,1.0289073,,15.672091,18.67167,0.9997174,320,0.11,0.9646097,16.616613,15.714579,2.5347323417663574,16.403227,16.179634,16.403227,17.28117,17.367959703743963,1.0636989,17.306953,16.179634,16,1.1909409
-0.010321556,,-0.10285421,1.0338827,,16.065142,18.675411,0.9999584,340,0.11,1.1044254,17.92634,15.735199,2.652958631515503,16.403227,16.280474,16.403227,17.320711,17.78742674552903,1.0655468,17.351099,16.280474,17,1.1992426
-0.010336394,,-0.103001036,1.0354366,,15.905046,18.679047,0.9999584,360,0.11,1.0489029,18.20488,15.744636,2.771378993988037,16.403227,16.31472,16.403227,17.3716,17.62111018794354,1.0674059,17.403385,16.31472,18,1.2078902
-0.010348784,,-0.10312363,1.0426606,,15.887825,18.682587,0.9999584,380,0.11,1.1680864,17.822872,15.7521715,2.8901901245117188,16.403227,16.43698,16.403227,17.397106,17.595638253428834,1.0682878,17.435465,16.43698,19,1.2129924
-0.010361169,,-0.103246175,1.0440708,,16.312891,18.685995,0.9999584,400,0.11,1.0620588,16.905642,15.780208,3.014596462249756,16.403227,16.488712,16.403227,17.374548,18.052963177446603,1.0691868,17.414234,16.488712,20,1.2183534
-0.010372948,,-0.10336272,1.0474341,,16.009972,18.689285,0.9999584,420,0.11,1.10752,16.868156,15.791149,3.161665916442871,16.403227,16.553623,16.403227,17.352423,17.724948481076375,1.0698824,17.395243,16.553623,21,1.2230473
-0.010388082,,-0.10351245,1.0387142,,15.489412,18.692457,0.9999584,440,0.11,0.8280383,13.666811,15.777434,3.292417287826538,16.403227,16.4046,16.403227,17.186943,17.149407057534688,1.071743,17.22012,16.4046,22,1.2329078
-0.010405848,,-0.10368823,1.0357399,,15.677151,18.695572,0.9999584,460,0.11,0.940975,8.091765,15.773074,3.4206128120422363,16.403227,16.353842,16.403227,16.793102,17.362578558353164,1.0743587,16.822853,16.353842,23,1.2465775
-0.010421918,,-0.1038472,1.0409447,,16.123356,18.698664,0.9999584,480,0.11,1.1451331,17.610966,15.787669,3.547424077987671,16.403227,16.452738,16.403227,16.828596,17.850065062200166,1.076223,16.862894,16.452738,24,1.2574812
-0.010438219,,-0.10400849,1.0428462,,15.612282,18.701708,0.9999584,500,0.11,1.068514,18.637848,15.780653,3.6776015758514404,16.403227,16.475368,16.403227,16.902527,17.288981847669405,1.0780063,16.938353,16.475368,25,1.2686111
-0.010454538,,-0.104169905,1.0451382,,15.868067,18.704704,0.9999584,520,0.11,1.0831382,16.84712,15.784016,3.8128199577331543,16.403227,16.515282,16.403227,16.90197,17.582541913934758,1.0796422,16.939684,16.515282,26,1.2796369
-0.010472994,,-0.10435249,1.043119,,15.960846,18.70765,0.9999584,540,0.11,0.9615457,20.512009,15.790565,3.9482946395874023,16.403227,16.489998,16.403227,17.037275,17.674242902042224,1.0817199,17.072514,16.489998,27,1.2936914
-0.0104903225,,-0.10452389,1.0477902,,15.976749,18.710564,0.9999584,560,0.11,1.1565738,16.064463,15.797214,4.086629390716553,16.403227,16.571608,16.403227,17.004007,17.68590611766309,1.0832664,17.043179,16.571608,28,1.305804
-0.010507184,,-0.104690686,1.0513573,,15.797259,18.71343,0.9999584,580,0.11,1.1339852,18.947502,15.797216,4.22708797454834,16.403227,16.628069,16.403227,17.072605,17.503070210946916,1.084515,17.114748,16.628069,29,1.317045
-0.010525808,,-0.104874894,1.0499719,,16.04035,18.716244,0.9999584,600,0.11,0.98302346,10.982304,15.80532,4.374881744384766,16.403227,16.614399,16.403227,16.871239,17.76246954735977,1.0860157,16.91155,16.614399,30,1.3307589
-0.0105467085,,-0.10508164,1.0485005,,15.975702,18.719015,0.9999584,620,0.11,0.9734091,10.6028805,15.810816,4.530976295471191,16.403227,16.596897,16.403227,16.670584,17.69770939763705,1.0877966,16.708803,16.596897,31,1.3475991
-0.010568337,,-0.10529554,1.0505403,,15.814684,18.721756,0.9999584,640,0.11,1.0885063,15.003958,15.810937,4.7009806632995605,16.403227,16.62969,16.403227,16.61996,17.510540248857613,1.0894182,16.65945,16.62969,32,1.3651419
-0.0105940355,,-0.1055497,1.0479176,,15.496872,18.72446,0.9999584,660,0.11,0.9261039,17.508566,15.801421,4.882687330245972,16.403227,16.580084,16.403227,16.64836,17.17568561455285,1.0914668,16.684177,16.580084,33,1.3883572
