ReturnMean,MISE,LQGmu01,ReturnMax,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,IWNorm2,DenMISELogLast,IWMin,IWMean,TimestepsSoFar,DenMISEMeanLog,target_sum_log_mean,LQGmu1,ExplorationBonus,IWNorm1,Bound,IWLastEpisode,IWMax,IWFirstEpisode,TimeElapsed,ReturnMin,ReturnLastEpisode,LQGsigma,Iteration,URet,SqrtESSClassic
15.058442,18.416975,-0.011110653,15.058442,15.058442,0.9625284,18.60218,1.2230332,18.60218,,1.2230332,20,18.60218,18.803514,-0.110656105,30.116884,1.2230332,48.53386,1.2230332,1.2230332,1.2230332,0.05006599426269531,,15.058442,0.11,1,16.687925283112612,1.0
15.500984,18.437489,-0.011110653,15.943526,15.943526,0.99769473,18.707907,1.6830899,20.961245,,1.1869664,40,19.834576,20.003305,-0.110656105,22.607536,2.3739328,41.045025,1.2736055,1.2736055,1.1003274,0.7241504192352295,,15.943526,0.11,2,17.65144763451032,1.4104612
15.668101,16.050625,-0.011110653,16.002333,16.002333,0.9980863,18.7408,1.791277,21.337915,,1.0253816,60,20.375748,20.391747,-0.110656105,18.636711,3.0761447,34.687336,0.84426516,1.1671578,1.0647218,0.7766058444976807,,16.002333,0.11,3,17.717651583033557,1.7172914
15.818252,16.590366,-0.011110653,16.268705,16.268705,0.9999598,18.756853,2.1073277,18.614805,,1.0484524,80,19.93983,19.98185,-0.110656105,16.349571,4.1938095,32.939938,1.1472341,1.1472341,1.0477672,0.8235981464385986,,16.268705,0.11,4,18.004091041313032,1.9901079
15.774042,16.397564,-0.011110653,16.268705,16.268705,0.9999598,18.766361,2.3300936,13.750049,,1.0393531,100,18.709415,18.745274,-0.110656105,14.588923,5.1967654,30.986488,1.050134,1.1144173,1.037852,0.8738152980804443,,15.597202,0.11,5,17.269297167530585,2.2302818
15.797595,16.628416,-0.011110653,16.268705,16.268705,0.9999598,18.77265,2.583892,16.72932,,1.0523297,120,18.384785,18.43329,-0.110656105,13.315402,6.313978,29.943817,1.1549469,1.1549469,1.031346,0.9257261753082275,,15.915366,0.11,6,17.62325855504833,2.443592
15.794,16.52276,-0.011110653,16.268705,16.268705,0.9999598,18.777117,2.771574,19.04193,,1.0459609,140,18.484999,18.528355,-0.110656105,12.316746,7.3217263,28.839506,1.0584692,1.1299348,1.0267493,0.9807870388031006,,15.772427,0.11,7,17.470772883525974,2.6417215
15.770201,16.375748,-0.011110653,16.268705,16.268705,0.9999598,18.780457,2.939646,14.013875,,1.0382502,160,17.931099,17.967573,-0.110656105,11.515586,8.306002,27.891335,1.02863,1.1118759,1.0233258,1.037154197692871,,15.603606,0.11,8,17.292063163332728,2.8255107
15.748901,16.235712,-0.011110653,16.268705,16.268705,0.9999598,18.783045,3.0946496,20.029396,,1.0307661,180,18.168,18.197527,-0.110656105,10.854049,9.2768955,27.08976,1.0077873,1.0982244,1.0206807,1.096303939819336,,15.578516,0.11,9,17.261178992044204,2.997721
15.823568,16.335562,-0.011110653,16.495577,16.495577,0.9999598,18.78511,3.2657018,13.827992,,1.0320474,200,17.736757,17.76765,-0.110656105,10.439372,10.320474,26.774933,1.0733325,1.0875413,1.0185744,1.1581664085388184,,16.495577,0.11,10,18.243813935855524,3.160262
