IWMax,URet,DenMISELogLast,LQGmu1,ReturnMax,IWNorm1,DenMISEMeanLog,IWFirstEpisode,DenMISELogFirst,SqrtESSClassic,ReturnMean,TimestepsSoFar,Bound,target_sum_log_mean,TimeElapsed,IWLastEpisode,ReturnLastEpisode,IWMean,MISE,IWMin,ReturnMin,ReturnAbsMax,IWNorm2,ExplorationBonus,LQGsigma,Iteration,LQGmu01,ReturnStepMax
2.549644e-10,15.593418754668832,-9.2103405,0.01,14.212496,3.5496442e-10,-9.2103405,2.549644e-10,-9.2103405,1.0,14.212496,20,28.424992,-31.300238,0.041838884353637695,2.549644e-10,14.212496,2.549644e-10,3.6236807e-09,,,14.212496,3.5496442e-10,28.424992,1.0,1,0.001,0.99494565
3.643515e-09,10.0238642864365,-9.903487,0.010746285,14.212496,4.3515693e-09,-9.903487,5.080544e-10,-9.903487,1.1473914,11.660795,40,24.773579,-30.318863,1.2102932929992676,3.643515e-09,9.109096,2.0757847e-09,2.0204924e-08,,,14.212496,3.792576e-09,24.773579,0.99995226,2,0.0010746286,0.99494565
1.3943918e-06,14.994560745333906,-10.308951,-0.040762506,14.212496,1.3954484e-06,-10.308952,5.3425225e-10,-10.308952,1.0006859,12.267777,60,28.405514,-29.32894,1.301391363143921,1.3943918e-06,13.48174,4.6504945e-07,6.2694817e-06,,,14.212496,1.394492e-06,28.405508,0.9414924,3,-0.004076251,0.99494565
1.8898281e-06,17.2930762347839,-10.596635,-0.03990145,15.662474,2.35153e-06,-10.596634,7.1272876e-10,-10.596635,1.2088931,13.116451,80,25.9121,-28.275328,1.4140655994415283,4.6027526e-07,15.662474,5.8778244e-07,8.175052e-06,,,15.662474,1.9451927e-06,25.912092,0.9414195,4,-0.003990145,0.99494565
2.389983e-06,16.023760884721714,-10.819778,-0.03928449,15.662474,3.4348789e-06,-10.8197775,8.9119057e-10,-10.819778,1.3726814,13.389984,100,22.82027,-27.688446,1.5058643817901611,4.723543e-07,14.484114,6.8687575e-07,9.6036765e-06,,,15.662474,2.5023132e-06,22.820261,0.9413651,5,-0.003928449,0.99494565
2.9014984e-06,11.783156730659893,-11.0021,-0.038666572,15.662474,4.144735e-06,-11.002099,1.0697081e-09,-11.0021,1.3667443,12.943115,120,22.919401,-28.706663,1.6006028652191162,1.215752e-10,10.708776,6.9068915e-07,9.6521335e-06,,,15.662474,3.032561e-06,22.919392,0.9413098,6,-0.0038666574,0.99494565
3.4239888e-06,14.742323695708382,-11.15625,-0.038057934,15.662474,4.917163e-06,-11.15625,1.24818e-09,-11.156251,1.376143,12.99372,140,22.762867,-28.579733,1.692383050918579,5.5007753e-08,13.29734,7.023519e-07,9.805083e-06,,,15.662474,3.5731484e-06,22.762857,0.94124955,7,-0.0038057936,0.9984376
3.9613915e-06,14.378301719450938,-11.289782,-0.037408132,15.662474,6.114088e-06,-11.289782,1.4264048e-09,-11.289782,1.4723427,13.014751,160,21.275593,-28.235758,1.7874126434326172,4.6138143e-07,13.16198,7.6416103e-07,1.0616954e-05,,,15.662474,4.1526255e-06,21.275581,0.94116753,8,-0.0037408134,0.9984376
4.566975e-06,13.746097718826496,-11.407561,-0.036106374,15.662474,1.07386995e-05,-11.407564,1.604016e-09,-11.407565,1.7642703,12.939971,180,17.755201,-27.741184,1.884791612625122,3.7792183e-06,12.34173,1.1930888e-06,1.5914855e-05,,,15.662474,6.0867656e-06,17.755186,0.9409884,9,-0.0036106375,0.9984376
5.1981206e-06,15.649705108279804,-11.512925,-0.03481868,15.662474,1.2213524e-05,-11.512924,1.7807408e-09,-11.512925,1.7760834,13.074213,200,17.63711,-27.677103,1.9840188026428223,1.5167964e-07,14.282378,1.2212524e-06,1.6296402e-05,,,15.662474,6.8766617e-06,17.637093,0.94079125,10,-0.003481868,0.9984376
5.902405e-06,14.526873792152255,-11.6082325,-0.033093896,15.662474,1.7354036e-05,-11.608234,1.9562088e-09,-11.608235,2.0220582,13.07439,220,15.491636,-27.338917,2.087348222732544,3.7273712e-06,13.076187,1.5775397e-06,2.094891e-05,,,15.662474,8.582362e-06,15.491615,0.9405405,11,-0.0033093896,0.9984376
6.612108e-06,17.575199476915515,-11.695246,-0.03162767,15.98189,2.0618612e-05,-11.695245,2.131227e-09,-11.695247,2.1431687,13.316684,240,14.914286,-27.141718,2.1942665576934814,1.5147604e-06,15.98189,1.7181177e-06,2.314878e-05,,,15.98189,9.62062e-06,14.914263,0.94033974,12,-0.003162767,0.99998564
7.3520678e-06,13.868286198017953,-11.77529,-0.030176451,15.98189,2.2645516e-05,-11.775289,2.3048234e-09,-11.77529,2.14286,13.248981,260,14.916435,-27.159964,2.303532361984253,1.5133041e-07,12.436559,1.7418627e-06,2.3440703e-05,,,15.98189,1.0567894e-05,14.916411,0.9401256,13,-0.003017645,0.99998564
8.120607e-06,13.014878286643466,-11.849398,-0.028748762,15.98189,2.4569377e-05,-11.849396,2.4771187e-09,-11.849398,2.1297865,13.146607,280,15.0079975,-27.350006,2.4111404418945312,1.4141232e-08,11.815745,1.7548555e-06,2.3598635e-05,,,15.98189,1.1536075e-05,15.007974,0.9399111,14,-0.0028748761,0.99998564
8.9436135e-06,12.383252713210087,-11.918389,-0.027190786,15.98189,2.8388022e-05,-11.918389,2.6464575e-09,-11.91839,2.237981,13.017591,300,14.282442,-27.192554,2.52433705329895,1.862393e-06,11.211364,1.8924347e-06,2.5154864e-05,,,15.98189,1.2684657e-05,14.282417,0.9396396,15,-0.0027190787,0.99998564
9.8001165e-06,14.141057128374234,-11.982928,-0.02565692,15.98189,3.1264484e-05,-11.982927,2.8134288e-09,-11.982929,2.2732804,12.999842,320,14.060667,-27.11572,2.6414475440979004,7.4641537e-07,12.733603,1.9539302e-06,2.59296e-05,,,15.98189,1.3753026e-05,14.060641,0.9393499,16,-0.002565692,0.99998564
1.0722964e-05,15.584239216813009,-12.04355,-0.023952266,15.98189,3.810335e-05,-12.043551,2.9774394e-09,-12.043553,2.4501293,13.05975,340,13.045782,-26.943924,2.762972354888916,4.609203e-06,14.018272,2.2412733e-06,2.9928e-05,,,15.98189,1.5551566e-05,13.045753,0.93904185,17,-0.0023952266,0.99998564
1.1677204e-05,14.34497861159955,-12.100712,-0.022297133,15.98189,4.0618645e-05,-12.10071,3.1392413e-09,-12.100712,2.4322917,13.050386,360,13.141456,-27.11901,2.8894526958465576,1.3581086e-08,12.891209,2.2564916e-06,3.011246e-05,,,15.98189,1.6699742e-05,13.141425,0.9387407,18,-0.0022297134,0.99998564
1.26636805e-05,15.017158952060825,-12.154779,-0.020685328,15.98189,4.3401713e-05,-12.154778,3.2984417e-09,-12.154779,2.4282753,13.087265,380,13.163191,-27.124107,3.0083158016204834,2.622602e-07,13.751072,2.2842007e-06,3.0470583e-05,,,15.98189,1.7873472e-05,13.16316,0.9384353,19,-0.0020685329,0.99998564
1.3676963e-05,17.192032776317955,-12.206073,-0.019132862,15.98189,4.610135e-05,-12.206071,3.4554057e-09,-12.206073,2.4180741,13.213247,400,13.218723,-27.158875,3.1313529014587402,1.5264115e-07,15.606928,2.3049677e-06,3.0748874e-05,,,15.98189,1.9065317e-05,13.218693,0.9381371,20,-0.0019132862,0.99998564
1.4711155e-05,16.121998026839055,-12.254862,-0.01765704,15.98189,4.989751e-05,-12.254861,3.6103927e-09,-12.254863,2.4568536,13.275559,420,13.010077,-27.094772,3.254375457763672,1.2379561e-06,14.521815,2.3759717e-06,3.1750526e-05,,,15.98189,2.0309517e-05,13.010046,0.9378487,21,-0.001765704,0.99998564
1.5774143e-05,12.520774979839675,-12.301383,-0.016213467,15.98189,5.250989e-05,-12.30138,3.763075e-09,-12.301383,2.4381344,13.187908,440,13.109965,-27.369972,3.387720823287964,8.63788e-10,11.347217,2.3867133e-06,3.1878375e-05,,,15.98189,2.1536915e-05,13.109934,0.9375656,22,-0.0016213468,0.99998564
1.6907474e-05,11.693454973772083,-12.345833,-0.014662192,15.98189,5.7354235e-05,-12.345832,3.9098236e-09,-12.345835,2.502134,13.077143,460,12.77464,-27.28194,3.5141544342041016,2.1874168e-06,10.640311,2.4935623e-06,3.3030952e-05,,,15.98189,2.2922126e-05,12.774607,0.9372208,23,-0.0014662192,0.99998564
1.8082075e-05,12.561764347551133,-12.388394,-0.013116442,15.98189,6.0462844e-05,-12.388392,4.0527133e-09,-12.388394,2.4940326,13.007485,480,12.816137,-27.28672,3.64996075630188,2.9037724e-07,11.405368,2.519185e-06,3.3328666e-05,,,15.98189,2.4243005e-05,12.816104,0.9368608,24,-0.0013116442,0.99998564
1.935612e-05,11.819112485201275,-12.4292145,-0.011410483,15.98189,6.5658875e-05,-12.429214,4.186204e-09,-12.429216,2.550747,12.91499,500,12.531179,-27.209116,3.782803773880005,2.2770844e-06,10.695095,2.6262549e-06,3.4492856e-05,,,15.98189,2.574104e-05,12.531145,0.93639565,25,-0.0011410484,0.99998564
2.0644944e-05,16.36332620049421,-12.468432,-0.009786036,15.98189,7.3131916e-05,-12.468434,4.318866e-09,-12.468437,2.65841,12.989084,520,12.023683,-27.112988,3.919865369796753,4.395709e-06,14.841445,2.812666e-06,3.720386e-05,,,15.98189,2.7509644e-05,12.023645,0.93598914,26,-0.0009786036,0.99998564
