TimestepsSoFar,IWMean,IWFirstEpisode,Bound,ReturnStepMax,ReturnMean,URet,Iteration,IWLastEpisode,ExplorationBonus,SqrtESSClassic,ReturnAbsMax,IWMax,LQGsigma,TimeElapsed,IWNorm1,LQGmu01,DenMISELogLast,MISE,ReturnLastEpisode,LQGmu1,DenMISEMeanLog,IWMin,IWNorm2,DenMISELogFirst,ReturnMin,target_sum_log_mean,ReturnMax
20,1.2230332,1.2230332,48.53386,0.9625284,15.058442,16.687925283112612,1,1.2230332,30.116884,1.0,15.058442,1.2230332,0.11,0.0523836612701416,1.2230332,-0.011110653,18.60218,18.416975,15.058442,-0.110656105,18.60218,,1.2230332,18.60218,,18.803514,15.058442
40,1.1869664,1.1003274,41.045025,0.99769473,15.500984,17.65144763451032,2,1.2736055,22.607536,1.4104612,15.943526,1.2736055,0.11,1.2460119724273682,2.3739328,-0.011110653,20.961245,18.437489,15.943526,-0.110656105,19.834576,,1.6830899,18.707907,,20.003305,15.943526
60,1.0253816,1.0647218,34.687336,0.9980863,15.668101,17.717651583033557,3,0.84426516,18.636711,1.7172914,16.002333,1.1671578,0.11,1.6672279834747314,3.0761447,-0.011110653,21.337915,16.050625,16.002333,-0.110656105,20.375748,,1.791277,18.7408,,20.391747,16.002333
80,1.0484524,1.0477672,32.939938,0.9999598,15.818252,18.004091041313032,4,1.1472341,16.349571,1.9901079,16.268705,1.1472341,0.11,2.1162705421447754,4.1938095,-0.011110653,18.614805,16.590366,16.268705,-0.110656105,19.93983,,2.1073277,18.756853,,19.98185,16.268705
