SqrtESSClassic,ReturnLastEpisode,Bound,ReturnStepMax,TimestepsSoFar,TimeElapsed,ReturnMin,IWMean,URet,MISE,IWMin,IWLastEpisode,LQGmu01,target_sum_log_mean,ReturnAbsMax,IWNorm1,IWFirstEpisode,ExplorationBonus,ReturnMean,DenMISEMeanLog,Iteration,DenMISELogFirst,LQGmu1,DenMISELogLast,LQGsigma,IWNorm2,IWMax,ReturnMax
1.0,15.058442,45.175327,0.9625284,20,0.235945463180542,,,16.687925283112612,,,,0.088700056,-1039.3711,15.058442,1e-10,,45.175327,15.058442,18.60218,1,18.60218,0.71106654,18.60218,0.11,1e-10,,15.058442
1.4142135,8.714923,31.94378,0.9625284,40,4.849455833435059,,6.1774538e-30,9.555728766475532,9.302283e-29,,,-0.027251093,-1262.7654,15.058442,2e-10,1.23549075e-29,31.94378,11.8866825,-18.996723,2,17.909033,-0.26602244,-55.90248,0.11,1.4142136e-10,1.23549075e-29,15.058442
1.0,16.215435,741.5486,0.9999683,60,4.997337818145752,,79.50756,17.968788134309438,692.9023,,,0.040698867,-373.8751,16.215435,238.52269,,48.646305,13.3296,-37.573635,3,17.503569,0.38610426,-73.91652,0.11,238.52269,238.52269,16.215435
nan,8.827057,nan,0.9999683,80,6.1899778842926025,,inf,9.678226076773385,inf,,inf,0.040698867,-306.74347,16.215435,inf,,nan,12.203964,-inf,4,17.215887,0.38610426,-inf,0.11,inf,inf,16.215435
nan,8.59951,nan,0.9999683,100,6.3968589305877686,,inf,9.443952518860172,inf,,2.4492142,0.040698867,-242.63498,16.215435,inf,,nan,11.483073,-inf,5,16.992743,0.38610426,12.903197,0.11,inf,inf,16.215435
nan,8.663631,nan,0.9999683,120,6.587683200836182,,inf,9.515711266208886,inf,,1.9999781,0.040698867,-199.38359,16.215435,inf,,nan,11.013165,-inf,6,16.810421,0.38610426,16.180239,0.11,inf,inf,16.215435
nan,8.614954,nan,0.9999683,140,6.9473583698272705,,inf,9.461663147443428,inf,,1.7456167,0.040698867,-168.17183,16.215435,inf,,nan,10.670565,-inf,7,16.656271,0.38610426,18.541645,0.11,inf,inf,16.215435
nan,8.631569,nan,0.9999683,160,7.229752063751221,,inf,9.483167464862543,inf,,1.5997658,0.040698867,-145.39508,16.215435,inf,,nan,10.41569,-inf,8,16.52274,0.38610426,13.572246,0.11,inf,inf,16.215435
nan,8.60248,nan,0.9999683,180,7.576093912124634,,inf,9.448577790404329,inf,,1.4896064,0.040698867,-127.013725,16.215435,inf,,nan,10.214222,-inf,9,16.404957,0.38610426,19.63864,0.11,inf,inf,16.215435
nan,8.630964,nan,0.9999683,200,7.9979143142700195,,inf,9.477813947276168,inf,,1.4283156,0.040698867,-112.922485,16.215435,inf,,nan,10.055896,-inf,10,16.299595,0.38610426,13.542266,0.11,inf,inf,16.215435
nan,8.608624,nan,0.9999683,220,8.36061978340149,,inf,9.458383967205615,inf,,1.3729206,0.040698867,-101.09655,16.215435,inf,,nan,9.924326,-inf,11,16.204285,0.38610426,16.845865,0.11,inf,inf,16.215435
nan,8.61284,nan,0.9999683,240,8.864760160446167,,inf,9.45984141382211,inf,,1.3316553,0.040698867,-91.1513,16.215435,inf,,nan,9.815036,-inf,12,16.117273,0.38610426,17.959972,0.11,inf,inf,16.215435
nan,8.640202,nan,0.9999683,260,9.27162504196167,,inf,9.48982326882217,inf,,1.2999617,0.040698867,-83.27449,16.215435,inf,,nan,9.724664,-inf,13,16.037231,0.38610426,10.984814,0.11,inf,inf,16.215435
