Iteration,DenMISEMeanLog,LQGmu1,IWFirstEpisode,IWLastEpisode,Bound,IWMean,ReturnMin,DenMISELogFirst,ReturnMean,DenMISELogLast,target_sum_log_mean,URet,SqrtESSClassic,TimeElapsed,ReturnMax,IWNorm2,IWMax,ReturnLastEpisode,ReturnAbsMax,ExplorationBonus,LQGmu01,MISE,TimestepsSoFar,LQGsigma,IWMin,IWNorm1,ReturnStepMax
19,17.380333,-0.10595483,1.0887513,1.348728,24.639801,1.0766584,,18.73327,15.775227,17.695286,17.441341,17.642282887735,4.30484,3.7164602279663086,16.418245,4.751979,1.4082747,15.931049,16.418245,7.627807,-0.010635001,17.011993,380,0.11,,20.456509,0.9999036
20,17.357155,-0.10620037,1.0874563,1.1316646,24.516043,1.0789849,,18.7377,15.803658,16.844795,17.42011,18.08610242255801,4.416105,3.90622615814209,16.418245,4.8865905,1.4180372,16.343864,16.418245,7.435623,-0.0106598325,17.08042,400,0.11,,21.579697,0.9999036
21,17.332884,-0.10643602,1.0858666,1.2245084,24.453611,1.0853338,,18.741856,15.81556,16.77305,17.401224,17.77201543676655,4.5236993,4.078985929489136,16.418245,5.0383563,1.4265664,16.053633,16.418245,7.25877,-0.010683662,17.194841,420,0.11,,22.79201,0.9999036
22,17.17643,-0.10672783,1.0846412,0.70991004,24.044895,1.0689477,,18.74575,15.803711,13.810262,17.225466,17.22107185406725,4.6134853,4.255359888076782,16.418245,5.097415,1.4440734,15.554849,16.418245,7.117502,-0.010713177,16.927393,440,0.11,,23.51685,0.9999036
23,16.785631,-0.107073456,1.0833282,0.90728414,23.797419,1.0624677,,18.749424,15.800795,8.123021,16.82668,17.427166686329052,4.7081347,4.432149410247803,16.418245,5.1903267,1.4694885,15.736612,16.418245,6.9744163,-0.010748134,16.823002,460,0.11,,24.436756,0.9999036
24,16.817343,-0.10738649,1.0811691,1.3079278,23.832508,1.0720297,,18.75289,15.816005,17.487755,16.86539,17.895595931699752,4.801868,4.60809063911438,16.418245,5.3580637,1.48897,16.165855,16.418245,6.8382745,-0.010779798,16.994234,480,0.11,,25.728714,0.9999036
25,16.889795,-0.10771157,1.0785019,1.1594297,23.744768,1.0751517,,18.75613,15.81057,18.560448,16.93941,17.363106706929013,4.89579,4.785820245742798,16.418245,5.490185,1.5097289,15.680138,16.418245,6.707087,-0.010812683,17.037682,500,0.11,,26.878792,0.9999036
26,16.88747,-0.10804446,1.0752382,1.1901257,23.68888,1.0790311,,18.759146,15.814885,16.758118,16.93918,17.641319531144116,4.987077,4.968290328979492,16.418245,5.6255007,1.5309932,15.922773,16.418245,6.584316,-0.010846361,17.104565,520,0.11,,28.054808,0.9999036
27,17.024761,-0.10843315,1.07113,0.94809836,23.509403,1.0740751,,18.761929,15.822447,20.519285,17.069588,17.73696617992512,5.071185,5.1609718799591064,16.418245,5.71859,1.559954,16.019045,16.418245,6.475112,-0.010885686,17.03429,540,0.11,,29.000027,0.9999036
28,16.98821,-0.10880034,1.0662786,1.3503728,23.554768,1.0827848,,18.764465,15.830187,15.931025,17.038403,17.753411825252694,5.1535583,5.356717824935913,16.418245,5.8829203,1.5843596,16.039179,16.418245,6.371615,-0.010922837,17.183153,560,0.11,,30.317972,0.9999036
29,17.053913,-0.10916384,1.0607146,1.3120179,23.562222,1.0894424,,18.766748,15.831435,18.814838,17.107853,17.57763832766998,5.2358074,5.552652597427368,16.418245,6.0341845,1.6071501,15.866381,16.418245,6.2715235,-0.010959621,17.290697,580,0.11,,31.593828,0.9999036
30,16.854357,-0.10958776,1.0536531,0.9832157,23.412354,1.0850843,,18.76877,15.840329,10.981967,16.901554,17.824028414568243,5.312586,5.745476722717285,16.418245,6.1274357,1.6379046,16.098251,16.418245,6.1808867,-0.011002519,17.231466,600,0.11,,32.55253,0.9999036
31,16.654623,-0.11010067,1.0441004,0.9728875,23.26669,1.0803998,,18.7705,15.846719,10.581543,16.69347,17.764765058953632,5.3816624,5.960095643997192,16.418245,6.2234287,1.6801751,16.038433,16.418245,6.1015515,-0.011054432,17.165138,620,0.11,,33.492393,0.9999036
32,16.601887,-0.11067549,1.0317355,1.236367,23.241684,1.0831773,,18.771877,15.848345,14.890496,16.638191,17.60175862667307,5.4468045,6.1573710441589355,16.418245,6.3636713,1.7289528,15.898719,16.418245,6.0285788,-0.011112615,17.213104,640,0.11,,34.661674,0.9999036
