ReturnMax,Iteration,LQGmu01,ReturnMean,DenMISELogLast,IWMax,LQGmu1,IWMin,URet,ReturnStepMax,ReturnMin,DenMISEMeanLog,DenMISELogFirst,TimestepsSoFar,LQGsigma,Bound,TimeElapsed,IWLastEpisode,target_sum_log_mean,ReturnAbsMax,ReturnLastEpisode,MISE,IWFirstEpisode,IWMean
14.212496,1,0.001,14.212496,-9.2103405,2.549644e-10,0.01,,15.593418754668832,0.99494565,,-9.2103405,-9.2103405,20,1.0,3.6236807e-09,0.049546241760253906,2.549644e-10,-31.300238,14.212496,14.212496,3.6236807e-09,2.549644e-10,2.549644e-10
14.212496,2,0.001,11.660795,-9.903487,3.525682e-09,0.01,,10.0238642864365,0.99494565,,-9.903487,-9.903487,40,1.0,1.9681563e-08,0.9651699066162109,3.525682e-09,-30.333458,14.212496,9.109096,1.9681563e-08,5.099281e-10,2.017805e-09
14.212496,3,0.001,12.27373,-10.308951,1.6805882e-06,0.01,,15.015132329977508,0.99494565,,-10.308952,-10.308952,60,1.0,7.582102e-06,0.9905698299407959,1.6805882e-06,-28.090744,14.212496,13.499597,7.582102e-06,7.6489287e-10,5.6221387e-07
14.387457,4,0.001,12.802161,-10.596635,2.2407833e-06,0.01,,15.84123010160815,0.99494565,,-10.596634,-10.596635,80,1.0,8.057282e-06,1.0150632858276367,1.3211023e-07,-27.677124,14.387457,14.387457,8.057282e-06,1.0198586e-09,5.9524115e-07
14.387457,5,0.001,12.6925125,-10.819778,2.8009763e-06,0.01,,13.545473914711895,0.99494565,,-10.8197775,-10.819778,100,1.0,8.40686e-06,1.04349684715271,1.4264225e-07,-27.45824,14.387457,12.253919,8.40686e-06,1.274822e-09,6.237691e-07
14.387457,6,0.001,12.188895,-11.0021,3.3611684e-06,0.01,,10.635293469573131,0.99494565,,-11.002099,-11.0021,120,1.0,8.40691e-06,1.0737369060516357,3.5479196e-11,-28.725897,14.387457,9.670804,8.40691e-06,1.5297865e-09,6.237745e-07
14.387457,7,0.001,12.131154,-11.156251,3.9213605e-06,0.01,,13.030717354830307,0.99494565,,-11.15625,-11.156251,140,1.0,8.434678e-06,1.1052167415618896,1.6498156e-08,-28.77595,14.387457,11.784708,8.434678e-06,1.7847531e-09,6.261309e-07
14.387457,8,0.001,12.204442,-11.289782,4.4815556e-06,0.01,,13.921750443504749,0.99494565,,-11.289782,-11.289782,160,1.0,8.652444e-06,1.137944221496582,1.3698553e-07,-28.565601,14.387457,12.717458,8.652444e-06,2.0397144e-09,6.432542e-07
14.387457,9,0.056471404,12.119441,-11.407564,,0.564714,,12.735457078712699,0.99494565,,-11.407564,-11.407565,180,0.45590597,,1.176715612411499,,-178.25143,14.387457,11.439434,,,
14.387457,10,0.056471404,11.608479,-11.512925,4.552709e-11,0.564714,,7.669537523164999,0.99494565,,-11.512924,-11.512925,200,0.45590597,3.191366e-11,1.2221686840057373,4.552709e-11,-163.95886,14.387457,7.009817,3.191366e-11,,4.552709e-12
14.387457,11,0.056467112,11.130422,-10.764667,3.139169,0.5646711,,6.992148135812293,0.99494565,,-11.531547,-11.608235,220,0.4559027,1.8121151,1.263258695602417,3.139169,-149.91241,14.387457,6.3498545,1.8121151,,0.285379
