ExplorationBonus,DenMISELogLast,Iteration,URet,IWMean,IWMin,SqrtESSClassic,target_sum_log_mean,ReturnMin,ReturnMean,ReturnMax,IWNorm2,DenMISELogFirst,IWMax,LQGsigma,TimestepsSoFar,TimeElapsed,ReturnStepMax,ReturnAbsMax,LQGmu01,IWLastEpisode,IWNorm1,ReturnLastEpisode,Bound,IWFirstEpisode,LQGmu1,MISE,DenMISEMeanLog
5567.997,12.703896,20,18.726721282466233,0.0075004743,,1.000016,-677.7012,,10.967581,16.95773,0.15000708,12.622118,0.15000708,0.11,400,16.267619132995605,0.9998653,16.95773,-0.025252525,0.15000708,0.15000948,16.95773,5568.124,,-0.25252524,0.12719096,14.90844
5175.194,7.824567,21,18.618474013524786,4.4744638e-17,,1.0000023,-1409.874,,11.247625,16.95773,9.396352e-16,12.573328,9.396352e-16,0.11,420,17.10547184944153,0.99998105,16.95773,-0.037373737,9.396352e-16,9.396374e-16,16.848522,5175.194,,-0.37373737,7.5388103e-16,14.525002
4937.0283,2.46195,22,18.947767962021913,5.951176,,1.0001588,-827.41656,,11.516778,17.168983,130.90509,12.526808,130.90509,0.11,440,17.962428331375122,0.99998105,17.168983,-0.02929293,130.90509,130.92587,17.168983,5039.2036,,-0.2929293,102.17536,13.932276
4699.4604,13.2590275,23,18.930768766500794,1.8338286e-18,,1.0000046,-2257.768,,11.76179,17.168983,4.2177886e-17,12.482356,4.2177886e-17,0.11,460,18.818951845169067,0.99998105,17.168983,-0.04949495,4.2177886e-17,4.2178082e-17,17.152065,4699.4604,,-0.4949495,3.145395e-17,13.944821
4513.527,0.6275863,24,18.979702819076234,0.05109267,,1.0001208,-1514.3265,,11.988423,17.200962,1.226076,12.439796,1.226076,0.11,480,19.681968927383423,0.99998105,17.200962,-0.04141414,1.226076,1.2262241,17.200962,4514.406,,-0.41414142,0.8788428,13.349149
4391.3345,10.443265,25,19.13956437349065,2.2215624,,1.0000244,-1751.2124,,12.203076,17.354736,55.537704,12.398974,55.537704,0.11,500,20.543465614318848,0.99998105,17.354736,-0.045454547,55.537704,55.53906,17.354736,4429.889,,-0.45454547,38.55462,13.195718
4241.597,17.094296,26,19.107120359459977,2.5748417e-20,,1.0027678,-3743.876,,12.399954,17.354736,6.6763686e-19,12.359754,6.676359e-19,0.11,520,21.416404724121094,0.99998105,17.354736,-0.06767677,1.8229447e-21,6.694848e-19,17.321903,4241.597,,-0.67676765,4.4685465e-19,13.352947
4134.308,10.7586975,27,19.182332945391117,1.228904,,1.0024315,-2250.3525,,12.58499,17.395916,33.099926,12.322014,33.099854,0.11,540,22.289541482925415,0.999989,17.395916,-0.053535353,33.099854,33.18041,17.395916,4155.686,,-0.53535354,21.377773,13.220522
4040.6602,12.535101,28,19.14773229082501,1.729072,,1.0,-3688.082,,12.7555485,17.395916,48.414017,12.2856455,48.414017,0.11,560,23.1440532207489,0.999989,17.395916,-0.06969697,48.414017,48.414017,17.360664,4070.678,,-0.6969697,30.01784,13.189657
3949.3857,10.962308,29,19.15450925485357,0.6335752,,1.0,-3561.3228,,12.914608,17.395916,18.37368,12.250554,18.37368,0.11,580,24.09813356399536,0.9999981,17.395916,-0.06969697,1.0020378e-10,18.37368,17.36827,3960.385,,-0.6969697,10.999286,13.113589
