ExplorationBonus,Bound,TimeElapsed,target_sum_log_mean,ReturnMin,IWNorm2,IWMean,LQGmu1,SqrtESSClassic,ReturnAbsMax,LQGsigma,URet,IWMax,IWLastEpisode,IWNorm1,LQGmu01,IWFirstEpisode,IWMin,ReturnStepMax,DenMISEMeanLog,DenMISELogLast,TimestepsSoFar,ReturnMax,MISE,ReturnMean,ReturnLastEpisode,Iteration,DenMISELogFirst
inf,inf,0.04031181335449219,-9.707821,,1.6044313e-10,1.6044313e-10,-0.030303031,1.0,9.380901,0.11,10.303278693899255,1.6044313e-10,1.6044313e-10,1.6044313e-10,-0.0030303032,1.6044313e-10,,0.55877954,12.845262,12.845262,20,9.380901,1.5051012e-09,9.380901,9.380901,1,12.845262
188.05249,694.0017,1.7843050956726074,12.828111,,97.91705,48.96089,-0.01010101,1.0000483,10.333789,0.11,11.424322365717467,97.91705,97.91705,97.92178,-0.001010101,0.004727967,,0.69661236,13.213181,14.274247,40,10.333789,505.94925,9.857346,10.333789,2,12.152114
164.08913,164.20427,2.4725258350372314,5.352779,,0.036815055,0.012273197,0.030303031,1.0001233,11.362823,0.11,12.5801729070248,0.036815055,4.518747e-06,0.036819592,0.0030303032,0.036815055,,0.74682665,16.501394,19.975193,60,11.362823,0.115136646,10.359172,11.362823,3,11.74901
144.13474,153.11958,3.3052048683166504,8.035595,,3.7216709,0.94246316,0.030303031,1.0129462,11.362823,0.11,10.450036580183504,3.721355,3.721355,3.7698526,0.0030303032,0.048491664,,0.74682665,15.855822,14.769956,80,11.362823,8.984847,10.153216,9.535351,4,11.473525
117.75436,128.47882,4.123301267623901,14.769379,,4.9082155,1.129043,0.01010101,1.1501563,11.362823,0.11,10.07552934482122,4.8894696,0.2056242,5.645215,0.001010101,4.8894696,,0.74682665,15.977463,16.686853,100,11.362823,10.724466,9.957618,9.175225,5,11.262432
90.80479,110.77494,5.047476768493652,7.319973,,7.8375115,1.8457637,-0.01010101,1.4130228,11.362823,0.11,10.111530156621239,5.8343644,2.755707e-07,11.074582,-0.001010101,0.0069829123,,0.74682665,14.923465,9.735443,120,11.362823,19.970152,9.832487,9.206833,6,11.762143
96.08662,102.1418,6.053800106048584,13.069593,,3.4911273,0.6388436,0.01010101,1.2809345,11.362823,0.11,11.160344588194432,3.4568586,0.018985389,4.471905,0.001010101,3.4568586,,0.74682665,14.785536,13.575343,140,11.362823,6.055184,9.872271,10.110973,7,11.609156
82.78114,87.41039,6.886383533477783,13.495232,,2.7015228,0.48555452,0.01010101,1.4378691,11.362823,0.11,11.418757142274174,2.644663,0.11727225,3.8844361,0.001010101,2.644663,,0.74682665,15.215745,18.617952,160,11.362823,4.629252,9.9288025,10.32452,8,11.876972
66.509094,78.70811,7.70635724067688,8.207661,,6.777789,1.3108088,0.030303031,1.7405792,11.362823,0.11,10.532976682626561,3.991628,0.032002043,11.797279,0.0030303032,0.027388152,,0.74682665,15.49372,18.221516,180,11.362823,12.199011,9.888489,9.565984,9,12.0448065
56.5477,76.407104,8.54532527923584,10.183355,,9.449843,1.8893547,-0.01010101,1.9993503,11.362823,0.11,10.602468093749264,4.9128914,0.0014156313,18.893547,-0.001010101,0.0058306316,,0.74682665,15.622604,16.64131,200,11.362823,19.859402,9.866998,9.673576,10,11.942484
110.3811,110.3811,9.711804866790771,-57.67073,,6.5072197e-15,5.936272e-16,-0.07070707,1.0034853,11.362823,0.11,12.051743208343604,6.507202e-15,6.507202e-15,6.5298994e-15,-0.0070707067,4.803108e-38,,0.74682665,15.653613,15.3693905,220,11.362823,6.463024e-15,9.959744,10.887212,11,11.847757
147.60663,163.02179,10.588427305221558,-51.46825,,11.998312,0.99985933,-0.07070707,1.0,15.41733,0.11,17.093708572147754,11.998312,11.998312,11.998312,-0.0070707067,5.239724e-38,,0.9933936,15.458909,14.274292,240,15.41733,15.415161,10.414542,15.41733,12,11.760746
140.74622,147.05112,11.728855609893799,-82.39564,,5.1584244,0.40952665,-0.09090909,1.0320683,15.41733,0.11,16.342663180380224,5.1556826,0.16816363,5.3238463,-0.00909091,,,0.9933936,15.29191,13.5553665,260,15.41733,6.3049045,10.746431,14.729101,13,11.680703
