DenMISEMeanLog,ReturnStepMax,URet,SqrtESSClassic,Bound,DenMISELogLast,ReturnAbsMax,TimeElapsed,TimestepsSoFar,LQGsigma,IWLastEpisode,ReturnLastEpisode,IWNorm2,IWMean,ReturnMin,ReturnMean,LQGmu1,IWMax,IWMin,MISE,IWNorm1,LQGmu01,ExplorationBonus,Iteration,ReturnMax,target_sum_log_mean,IWFirstEpisode,DenMISELogFirst
15.628462,0.999972,18.48196721252873,2.403324,32.046764,16.876354,16.800049,97.15950989723206,360,0.11,3.8855166,16.716461,8.105712,1.0822585,,15.468548,-0.21004,3.8855166,,18.066088,19.480652,-0.02131809,13.980678,18,16.800049,-27.3369,6.277045e-14,17.496822
15.681099,0.999972,18.53435097884604,1.5239763,37.6028,16.60949,16.800049,102.77303290367126,380,0.11,11.0949955,16.76933,11.577999,0.92866296,,15.537011,-0.24421279,11.0949955,,15.555147,17.644596,-0.024919763,22.047651,19,16.800049,-43.1652,5.824345e-23,17.442755
15.620752,0.999972,18.74520482934645,2.0972197,34.707375,14.658335,16.970095,108.39989638328552,400,0.11,6.402408,16.970095,10.511186,1.1022133,,15.608665,-0.23855676,7.3021355,,18.523952,22.044266,-0.024319528,16.18342,20,16.970095,-37.173847,2.438774e-21,17.391462
15.595677,0.999972,18.69509587664968,2.0367353,35.618355,15.082868,16.970095,114.03365159034729,420,0.11,8.481966,16.923702,11.591197,1.1242,,15.671287,-0.24985227,8.481966,,18.954336,23.6082,-0.025519982,16.664017,21,16.970095,-40.34561,1.5117909e-24,17.342672
15.484054,0.999972,18.5663073875877,1.0123168,33.52724,13.118546,16.970095,119.66458988189697,440,0.11,3.4868925e-17,16.802937,4.073669e-07,1.8644746e-08,,15.722726,-0.48195335,4.0725544e-07,,3.1639692e-07,4.123844e-07,-0.05250422,33.52724,22,16.970095,-161.22688,,17.296152
14.937604,0.999972,18.837618121287935,1.0000056,79.93841,3.8936596,17.060928,125.29367804527283,460,0.11,61.765644,17.060928,61.765644,2.6854777,,15.780908,-0.41317967,61.765644,,45.816742,61.765987,-0.043915678,34.121666,23,17.060928,-119.975586,,17.2517
14.954091,0.999972,18.9150609743353,1.4136093,47.86888,15.007776,17.137278,130.92168021202087,480,0.11,16.09206,17.137278,23.456732,1.3816105,,15.837422,-0.42309135,17.066454,,23.62275,33.158653,-0.0451145,24.246132,24,17.137278,-119.05088,,17.20914
15.023154,0.999972,18.814121252980176,1.7309119,39.780785,16.610086,17.137278,137.02066493034363,500,0.11,9.421769,17.03705,16.895037,1.1697527,,15.885407,-0.4345282,10.240127,,19.979342,29.243818,-0.04651295,19.801445,25,17.137278,-118.81998,,17.168318
15.018829,0.999972,18.81941116291263,1.9993263,36.441456,14.903676,17.137278,142.61620140075684,520,0.11,7.5288086,17.043325,14.7019415,1.1305376,,15.929943,-0.43615076,7.5357623,,19.298405,29.393978,-0.04671272,17.143051,26,17.137278,-114.31547,,17.129097
15.15655,0.999972,18.912989697880388,2.235434,34.085,18.722975,17.137278,148.2008306980133,540,0.11,5.889552,17.132751,13.258852,1.0977515,,15.974492,-0.43290278,6.09021,,18.752605,29.63929,-0.04631319,15.332395,27,17.137278,-107.94093,,17.091358
15.13478,0.999972,18.95178657439909,2.449175,32.530094,14.536497,17.171116,153.92572736740112,560,0.11,5.1239443,17.171116,12.37572,1.0825108,,16.01723,-0.4345282,5.1470118,,18.508135,30.310303,-0.04651295,14.02196,28,17.171116,-104.17582,,17.054989
15.219688,0.9999962,18.843447298992114,2.7078917,31.905098,17.584488,17.171116,159.5087766647339,580,0.11,2.4095389e-06,17.064125,12.242983,1.1431956,,16.05333,-0.2366678,6.253017,,19.22282,33.15267,-0.024119442,12.682277,29,17.171116,-23.041008,1.1877257e-20,17.019897
14.925311,0.9999962,18.75087633600725,2.6064281,31.664692,6.3081865,17.171116,165.1910228729248,600,0.11,9.509436e-16,16.982397,14.862973,1.2913091,,16.084297,-0.058990486,7.064929,,18.488718,38.739273,-0.005905837,13.175975,30,17.171116,-15.54872,0.0005592396,16.985996
14.727214,0.9999962,17.402180490277665,1.701941,33.963104,8.585388,17.171116,170.81477689743042,620,0.11,14.810005,15.718868,16.039614,0.88059604,,16.072508,-0.08289243,14.810005,,13.784834,27.298477,-0.008308117,20.178272,31,17.171116,-7.784087,0.61304617,16.953226
14.661478,0.9999962,16.864295646190318,2.0223155,33.612736,12.832653,17.171116,176.46788454055786,640,0.11,12.247729,15.219162,16.993269,1.0739297,,16.045841,-0.08289243,12.247729,,16.631096,34.36575,-0.008308117,16.98164,32,17.171116,-7.0615225,0.62055063,16.94106
14.680812,0.9999962,16.564388076014193,2.3688192,32.017525,15.326549,17.171116,182.03228402137756,660,0.11,9.215098,14.936126,15.974536,1.1466906,,16.012215,-0.07891464,9.215098,,17.519907,37.84079,-0.007907742,14.497616,33,17.171116,-7.197246,0.27354127,16.929495
14.762447,0.9999962,16.887932466356222,1.0963168,31.325129,17.396107,17.171116,187.69313311576843,680,0.11,,15.236679,5.606526e-05,1.8077029e-06,,15.989405,-0.7615942,5.5934277e-05,,3.0850482e-05,6.146529e-05,-0.09966799,31.325098,34,17.171116,-237.02634,,16.907896
14.296373,0.9999962,18.649700152727565,1.0000086,52.252243,-0.5645791,17.171116,193.29416966438293,700,0.11,37.145245,16.87579,37.145245,1.0613017,,16.01473,-0.7379422,37.145245,,17.910307,37.14556,-0.094313435,34.341938,35,17.171116,-221.92624,,16.878908
14.214125,0.9999962,19.039886340859404,1.4141953,41.7795,11.598024,17.257204,198.91435718536377,720,0.11,18.214046,17.257204,25.91632,1.0180761,,16.049244,-0.7451507,18.436491,,17.373814,36.650738,-0.09590056,24.405685,36,17.257204,-217.79669,,16.850739
14.123103,0.9999962,18.983550117574282,1.7247012,37.93525,11.0097275,17.257204,204.51060509681702,740,0.11,14.575309,17.203072,22.459335,1.0469092,,16.080427,-0.7615942,14.575309,,17.92343,38.73564,-0.09966799,20.01182,37,17.257204,-216.96559,,16.82334
14.124965,0.9999962,18.980234130464833,1.9935175,35.628983,14.283391,17.257204,210.12652969360352,760,0.11,11.162484,17.198414,20.368984,1.068577,,16.109848,-0.7615942,11.162484,,18.315664,40.605927,-0.09966799,17.31332,38,17.257204,-210.8166,,16.79667
14.1625,0.9999962,18.937058140075365,2.230377,33.157715,15.629528,17.257204,215.70213437080383,780,0.11,7.377565,17.156822,18.03752,1.0315505,,16.136694,-0.7615942,8.855062,,17.683018,40.23047,-0.09966799,15.474697,39,17.257204,-204.95906,,16.770695
14.26557,0.9999962,18.851626354291785,2.4457223,31.584053,18.33516,17.257204,221.2950451374054,800,0.11,6.617383,17.071943,16.681307,1.0199461,,16.160076,-0.7615942,7.4015675,,17.471899,40.797844,-0.09966799,14.112153,40,17.257204,-199.32945,,16.745378
14.131112,0.9999974,18.747702617496866,1.1982747,39.288925,8.798715,17.257204,227.26082634925842,820,0.11,21.060627,16.970955,21.119488,0.61724263,,16.179853,-0.5727808,21.060627,,10.485507,25.306948,-0.06507308,28.803417,41,17.257204,-137.38806,,16.720684
14.060643,0.9999974,18.974427962577536,1.6412272,37.945465,11.642058,17.257204,232.8834719657898,840,0.11,20.84015,17.193077,25.317204,0.9893163,,16.203976,-0.548068,20.84015,,16.915829,41.551285,-0.061483905,21.029634,42,17.257204,-126.09898,,16.696587
14.055403,0.9999974,18.858821253097148,2.013389,36.638496,13.975968,17.257204,238.44533801078796,860,0.11,16.278627,17.08258,24.364552,1.1408215,,16.22441,-0.5410264,16.278627,,19.496052,49.05532,-0.06048663,17.142443,43,17.257204,-120.61591,,16.673058
14.074552,0.9999974,18.865879900981856,2.2445006,32.172783,14.877935,17.257204,244.01884603500366,880,0.11,4.4213643,17.087072,19.269024,0.9829395,,16.244017,-0.54526055,12.036947,,16.79546,43.249336,-0.06108501,15.377321,44,17.257204,-118.77385,,16.650068
14.089657,0.9999974,18.97341641098845,3.0720618,31.943523,14.843184,17.257204,249.68769025802612,900,0.11,5.4641094,17.19102,17.738321,1.2109604,,16.26506,-0.44582665,6.601782,,20.70859,54.493217,-0.04791123,11.234933,45,17.257204,-85.64492,,16.627594
14.135859,0.9999974,18.975880583425464,3.120864,31.110077,16.06443,17.257204,255.31537699699402,920,0.11,6.326558e-09,17.194363,17.578564,1.1926154,,16.285263,-0.22909413,6.9975924,,20.050827,54.860306,-0.023319092,11.059249,46,17.257204,-22.0604,2.0962237e-18,16.605616
13.897999,0.9999974,18.56259311673308,2.241926,32.304867,2.8203695,17.257204,260.9157249927521,940,0.11,15.621347,16.801472,21.036161,1.0034366,,16.296246,-0.25921366,15.621347,,16.909885,47.16152,-0.026520303,15.394981,47,17.257204,-27.919533,5.4303667e-27,16.58411
13.893073,0.9999974,18.420386063047246,2.3834624,32.41081,13.733444,17.257204,266.51522755622864,960,0.11,13.112681,16.660831,21.487316,1.0669627,,16.30384,-0.26294473,13.112681,,17.930023,51.21421,-0.026920415,14.480785,48,17.257204,-27.864609,4.129533e-28,16.563057
13.919703,0.9999974,18.60601548682498,2.8276763,31.094803,15.2078905,17.257204,272.11031699180603,980,0.11,8.125381,16.841658,19.464577,1.1232556,,16.314817,-0.2573452,9.626068,,18.888878,55.039524,-0.026320245,12.205926,49,17.257204,-25.677118,2.0568081e-26,16.542437
13.991637,0.9999974,18.667556556577594,2.9775605,30.768707,17.454412,17.257204,277.7565896511078,1000,0.11,8.441513,16.897972,19.135653,1.1395513,,16.326479,-0.25921366,8.500559,,19.1772,56.977566,-0.026520303,11.591506,50,17.257204,-25.181442,5.77698e-27,16.522234
