MISE,ReturnStepMax,IWMean,Bound,DenMISELogFirst,ReturnAbsMax,URet,ExplorationBonus,IWMax,TimeElapsed,ReturnMax,LQGmu1,IWNorm2,IWLastEpisode,Iteration,ReturnLastEpisode,ReturnMean,LQGsigma,ReturnMin,target_sum_log_mean,DenMISELogLast,SqrtESSClassic,IWFirstEpisode,DenMISEMeanLog,LQGmu01,IWNorm1,IWMin,TimestepsSoFar
,0.9625284,,30.116884,18.60218,15.058442,16.687925283112612,30.116884,,0.056684017181396484,15.058442,0.23102404,1e-10,,1,15.058442,15.058442,0.11,,-394.9644,18.60218,1.0,,18.60218,0.023522757,1e-10,,20
,0.9625284,,21.295853,17.909033,15.058442,9.732315128375257,21.295853,,1.4411711692810059,15.058442,-0.6672654,1.4142136e-10,,2,8.866962,11.962702,0.11,,-1333.9349,-23.714888,1.4142135,,-2.9029274,-0.080405794,2e-10,,40
6.316429e-31,0.99995637,3.8146484e-32,19.11994,17.503569,16.558352,18.326296547621897,19.11994,1.1443945e-31,1.625809669494629,16.558352,-0.4300712,1.7320509e-10,1.1443945e-31,3,16.558352,13.494586,0.11,,-821.8128,-24.124464,1.7320507,,-10.247083,-0.04596599,3e-10,,60
3.2978963e-16,0.99995637,3.7193078e-17,17.092545,17.215887,17.092545,18.870231292275058,17.092545,1.4877231e-16,1.8183367252349854,17.092545,0.33001906,2.0000007e-10,,4,17.092545,14.394075,0.11,,-366.08746,17.24775,2.0,,-3.5891361,0.03427153,4.0000014e-10,,80
0.0005695789,0.99995637,3.332324e-05,34.185574,16.992743,17.092545,9.660481506903762,34.185005,0.00016661618,2.703345537185669,17.092545,-0.74559265,0.00016661629,,5,8.80964,13.277188,0.11,,-1114.7606,-24.635288,1.0000025,,-7.9768815,-0.09599909,0.0001666167,,100
17.503653,0.9999715,1.1623813,51.688744,16.810421,17.092545,18.36797539139601,34.18509,6.974288,3.258981466293335,17.092545,-0.103239104,6.974288,,6,16.59822,13.830693,0.11,,-411.6337,-24.81761,1.0,6.974288,-10.935599,-0.010360456,6.974288,,120
12.913744,0.9999715,0.7918216,47.09883,17.42748,17.092545,18.037415235874448,34.18509,5.5427513,3.951381206512451,17.092545,-0.18720342,5.5427513,5.5427513,7,16.308907,14.184723,0.11,,-492.19064,8.637634,1.0,8.098492e-09,-8.161379,-0.01894148,5.5427513,,140
0.00038456716,0.9999715,2.2499116e-05,34.18534,17.29395,17.092545,18.09934384026604,34.184956,0.00017999293,4.889630079269409,17.092545,-0.7502498,0.00017999303,,8,16.358307,14.456421,0.11,,-764.85046,9.818771,1.0000039,,-5.957796,-0.09704623,0.00017999373,,160
3.8548856,0.9999715,0.22596796,37.3349,17.176167,17.092545,18.837269876577377,33.480015,1.9913148,5.615466594696045,17.092545,-0.67622393,1.991766,1.9913148,9,17.05873,14.745566,0.11,,-663.1888,12.64346,1.0210595,,-3.9956834,-0.0820276,2.0337117,,180
3.9598503,0.9999715,0.23200469,36.315132,17.070805,17.208038,18.988746946121022,32.35528,2.176389,6.6340436935424805,17.208038,-0.81687754,2.1811252,0.1436577,10,17.208038,14.991814,0.11,,-621.5691,12.650124,1.0636927,,-2.4054694,-0.11423513,2.320047,,200
