ReturnLastEpisode,ReturnMin,target_sum_log_mean,ExplorationBonus,IWMean,MISE,TimestepsSoFar,ReturnMax,TimeElapsed,IWLastEpisode,IWMin,Bound,DenMISEMeanLog,LQGsigma,LQGmu01,ReturnStepMax,URet,IWMax,LQGmu1,SqrtESSClassic,IWNorm1,IWNorm2,IWFirstEpisode,DenMISELogFirst,ReturnAbsMax,ReturnMean,Iteration,DenMISELogLast
16.70828,,-130.67941,33.27495,2.6151477e-08,4.3695303e-07,360,16.774405,16.83107089996338,4.6856445e-07,,33.27495,15.3935375,0.11,-0.041390475,0.9999812,18.473724445666505,4.6856445e-07,-0.39198342,1.0082302,4.7252658e-07,4.6866933e-07,,17.486435,16.774405,15.547575,18,16.496252
17.001629,,-150.36382,34.003258,1.6188347,27.522827,380,17.001629,17.82207942008972,30.75786,,61.526085,15.32312,0.11,-0.047439113,0.9999812,18.778205861356856,30.75786,-0.4420272,1.0,30.75786,30.75786,,17.432367,17.001629,15.624104,19,15.028835
17.16731,,-133.57973,24.288124,1.1658373,19.914957,400,17.16731,18.76625347137451,11.325731,,44.20308,15.280924,0.11,-0.045423266,0.9999812,18.948134066542767,11.9910145,-0.42562822,1.4136382,23.316746,16.494139,,17.381075,17.16731,15.701266,20,14.491015
17.147268,,-142.15536,20.59843,1.2002144,20.534103,420,17.16731,19.78271484375,11.649431,,41.132534,15.261373,0.11,-0.04945457,0.9999812,18.92757867229971,11.649431,-0.45813593,1.6668562,25.204502,15.120982,,17.332285,17.16731,15.770123,21,14.927753
17.100672,,-120.009544,17.210287,1.0861739,18.576815,440,17.16731,20.774534940719604,6.379297,,35.7871,15.139071,0.11,-0.045423266,0.9999812,18.878689704780037,6.379297,-0.42562822,1.9950057,23.895824,11.977822,,17.285765,17.16731,15.830603,22,12.54762
17.110754,,-106.864204,15.905299,1.0930662,18.696987,460,17.16731,21.754088163375854,6.7769136,,34.602287,14.757229,0.11,-0.043407045,0.9999812,18.88805902114771,6.7769136,-0.40894473,2.1586907,25.140522,11.64619,,17.241312,17.16731,15.886261,23,6.3741636
17.128338,,-101.67254,14.319017,1.0583476,18.10703,480,17.16731,22.760287761688232,4.10675,,32.42605,14.822632,0.11,-0.043407045,0.9999812,18.905883056024205,5.4621477,-0.40894473,2.3978336,25.400341,10.593038,,17.198753,17.16731,15.938014,24,16.323153
17.03078,,-17.380981,13.667003,1.1084136,18.493597,500,17.16731,23.728010177612305,1.3240392e-08,,32.1606,14.930984,0.11,-0.02120894,0.9999812,18.80757034832011,5.4744425,-0.20899595,2.5122275,27.71034,11.030188,1.5708746e-13,17.15793,17.16731,15.981725,25,17.539389
16.830341,,-28.26842,26.31352,0.95752484,16.084278,520,17.16731,24.77390766143799,18.801561,,42.397797,14.845544,0.11,-0.025247157,0.9999812,18.597888512525916,18.801561,-0.24729091,1.304828,24.895645,19.079638,1.0490947e-23,17.11871,17.16731,16.014362,26,12.66843
16.875515,,-26.479057,19.748856,0.81687343,13.726906,540,17.16731,25.79322099685669,4.784055,,33.47576,14.972335,0.11,-0.025247157,0.9999812,18.64633876883219,11.330907,-0.24729091,1.7385626,22.055582,12.686102,1.089447e-23,17.080969,17.16731,16.046257,27,18.478956
16.946394,,-31.298222,22.583868,0.8726298,14.74468,560,17.16731,27.02646017074585,14.714596,,37.32855,14.919454,0.11,-0.027265966,0.9999812,18.718194196471444,14.714596,-0.26616073,1.5203162,24.433636,16.071417,2.6598257e-29,17.044601,17.16731,16.078405,28,13.746327
16.85699,,-35.981594,22.214464,0.9112291,15.383724,580,17.16731,28.01403832435608,14.993644,,37.59819,14.971506,0.11,-0.029284552,0.99999654,18.62856808755387,14.993644,-0.28482866,1.5455976,26.425644,17.097364,3.8368784e-35,17.00951,17.16731,16.105253,29,16.665743
16.991386,,-28.17721,15.820393,1.0246103,17.30813,600,17.16731,28.99260115623474,5.098568,,33.128525,14.804637,0.11,-0.027265966,0.99999654,18.76187727522087,8.884795,-0.26616073,2.1702762,30.73831,14.163318,2.8498124e-29,16.975609,17.16731,16.13479,30,10.172087
16.909576,,-21.188225,12.164893,1.1800988,19.90716,620,17.16731,29.991570472717285,5.6556797,,32.072052,14.631988,0.11,-0.025247157,0.99999654,18.67979845310926,6.001963,-0.24729091,2.8224351,36.58306,12.961524,1.2508404e-23,16.94282,17.16731,16.159784,31,9.507525
16.889448,,-20.678936,14.155996,1.2797383,17.871353,640,17.16731,31.020342588424683,4.5109687e-22,,32.02735,14.592844,0.11,-0.0050504617,0.99999654,18.658840056111767,7.6466193,-0.050462145,2.4254472,40.951626,16.884155,1.5520734e-05,16.91107,17.16731,16.182587,32,13.262358
14.636166,,-4.219253,15.384568,1.0313758,16.27063,660,17.16731,32.0100371837616,0.0005911481,,31.655197,14.248565,0.11,-0.011110653,0.99999654,16.200979512233303,7.323727,-0.110656105,2.2317572,34.0354,15.250495,6.842929,16.880299,17.16731,16.135725,33,3.058171
15.6563835,,-6.620863,19.693745,0.92374927,14.494421,680,17.16731,33.04392099380493,16.196463,,34.188164,14.238377,0.11,-0.009090657,0.99999654,17.353054418782737,16.196463,-0.09065947,1.7434278,31.407475,18.014784,1.9746201,17.038883,17.16731,16.121628,34,13.949882
15.519654,,-10.864638,14.594468,1.1930076,17.705309,700,17.16731,34.033963441848755,1.6435627,,32.299778,14.28399,0.11,-0.0070705875,0.99999654,17.186021687242313,9.98044,-0.07058947,2.352578,41.755264,17.748728,0.027538067,17.066349,17.16731,16.10443,35,16.007545
15.329512,,-5.324657,14.645963,1.2139105,18.89721,720,17.16731,35.0086555480957,11.11516,,33.54317,14.24597,0.11,-0.009090657,0.99999654,16.969552208151107,11.11516,-0.09065947,2.3443062,43.700775,18.64124,1.9744582,17.038965,17.16731,16.082903,36,12.818782
16.233074,,-24.372898,11.328892,1.1800989,19.906662,740,17.16731,36.00323224067688,7.801297e-09,,31.235554,14.249677,0.11,-0.025247157,0.99999654,17.970289212503264,6.0016484,-0.24729091,3.0307133,43.66366,14.407057,1.1070255e-23,17.06496,17.16731,16.08696,37,14.27018
16.737852,,-92.415,12.993518,1.0626761,18.16897,760,17.16731,36.959795236587524,1.962083e-07,,31.162487,14.074948,0.11,-0.045423266,0.99999654,18.50370922731311,6.046274,-0.42562822,2.6424422,40.38169,15.281958,,17.038292,17.16731,16.10409,38,7.4859705
17.006973,,-1.6972308,18.90929,0.74752533,12.057929,780,17.16731,38.069560527801514,4.503918e-15,,30.96722,14.105823,0.11,-0.013130557,0.99999654,18.781217227119633,13.700269,-0.13056354,1.8157542,29.153488,16.055857,1.0005342,17.012318,17.16731,16.127241,39,15.27697
16.308659,,-1.9557583,23.55202,1.0172008,16.622543,800,17.16731,39.09736776351929,26.857727,,40.17456,13.928436,0.11,-0.015150354,0.99999654,18.043581301688356,26.857727,-0.15036625,1.4578207,40.688034,27.91018,0.012986903,17.012331,17.16731,16.131775,40,7.3214316
15.565808,,-1.7176281,20.688257,0.72284627,11.813244,820,17.16731,40.08738160133362,0.2983846,,32.501503,13.80511,0.11,-0.015150354,0.99999654,17.26521486008057,16.470303,-0.15036625,1.6596187,29.636696,17.857533,0.0133072585,16.987963,17.16731,16.117971,41,9.016951
16.35241,,-1.328027,16.856318,0.8257398,13.499413,840,17.16731,41.17014503479004,10.226717,,30.35573,13.761614,0.11,-0.015150354,0.99999654,18.08687300898743,12.036695,-0.15036625,2.0368993,34.681072,17.026405,0.013627405,16.96419,17.16731,16.123552,42,12.320615
16.239916,,-81.465546,12.342361,1.0476669,17.89929,860,17.16731,42.191555976867676,1.5696213e-26,,30.241652,13.777134,0.11,-0.043407045,0.99999654,17.973637877120545,6.9703016,-0.40894473,2.7818518,45.049675,16.194132,,16.940983,17.16731,16.12626,43,14.662437
16.861198,,-20.433409,10.6633415,1.1501826,19.385809,880,17.16731,43.197978496551514,0.0010032237,,30.04915,13.657873,0.11,-0.025247157,0.99999654,18.6345134060766,6.1407456,-0.24729091,3.2198746,50.608032,15.717392,1.2822825e-23,16.917994,17.16731,16.142963,44,8.535462
16.98193,,-5.9417806,13.832859,1.0195892,15.875952,900,17.16731,44.24154448509216,2.0036178e-14,,29.70881,13.559535,0.11,-0.009090657,0.99999654,18.753868114456143,10.609094,-0.09065947,2.482106,45.88151,18.484913,2.2790031,16.895521,17.16731,16.161608,45,9.130372
16.332329,,-1.0418946,13.590515,0.99710995,16.28038,920,17.16731,45.310630083084106,5.563352,,29.870895,13.470634,0.11,-0.015150354,0.99999654,18.060020899813363,10.246242,-0.15036625,2.5263665,45.867058,18.155346,0.014201213,16.922945,17.16731,16.165318,46,9.514229
15.991128,,-0.90094256,12.518127,1.0542306,17.150555,940,17.16731,46.36698818206787,8.887175,,29.668682,13.255014,0.11,-0.015150354,0.99999654,17.711311668590508,8.887175,-0.15036625,2.7427921,49.548836,18.065107,0.014505439,16.901749,17.16731,16.161612,47,3.3982408
15.974803,,-18.864866,10.12358,1.1520011,19.429258,960,17.16731,47.46139335632324,8.096388e-06,,29.552837,13.278428,0.11,-0.025247157,0.99999654,17.68791654357659,5.878436,-0.24729091,3.3915493,55.296055,16.30407,1.3306039e-23,16.881004,17.16731,16.15772,48,14.3810835
16.668526,,-82.00716,11.470116,1.0402591,17.748508,980,17.16731,48.575088024139404,3.352721e-11,,29.218624,13.337895,0.11,-0.045423266,0.99999654,18.425985218156466,6.005954,-0.42562822,2.993398,50.972694,17.028372,,16.860384,17.16731,16.168144,49,16.0839
17.0429,,-0.60873574,11.630895,1.0798061,17.524576,1000,17.16731,49.69589161872864,1.2466399e-14,,29.155472,13.401447,0.11,-0.015150354,0.99999654,18.821370936235514,7.9509964,-0.15036625,2.9520187,53.990307,18.289284,0.015426565,16.840181,17.16731,16.18564,50,16.521223
16.626066,,-7.779383,9.682846,1.2128034,20.272789,1020,17.16731,50.829407691955566,6.0806026,,29.955635,13.28704,0.11,-0.02120894,0.99999654,18.380779865915034,6.805767,-0.20899595,3.5459223,61.852974,17.443409,2.2009225e-13,16.820686,17.16731,16.194277,51,7.5383286
16.580345,,-7.3869944,9.232713,1.2071036,20.16584,1040,17.16731,51.96491265296936,5.195163,,29.398552,13.245845,0.11,-0.02120894,0.99999654,18.33757120552893,6.1222267,-0.20899595,3.7188008,62.76939,16.878933,2.244075e-13,16.80127,17.16731,16.2017,52,10.977061
16.502445,,-6.972645,8.883731,1.2215444,20.38623,1060,17.16731,53.077675342559814,5.858546,,29.269962,13.240693,0.11,-0.02120894,0.99999654,18.25027172544049,5.858546,-0.20899595,3.8648877,64.74185,16.75129,2.2872313e-13,16.78222,17.16731,16.207375,53,12.805655
16.828186,,-75.58176,10.875936,1.0407366,17.754623,1080,17.16731,54.196837425231934,1.5354555e-08,,28.630558,13.351703,0.11,-0.045423266,0.99999654,18.596393335772177,5.8961163,-0.42562822,3.156935,56.199776,17.802006,,16.763529,17.16731,16.21887,54,19.051512
16.962067,,-6.322431,8.546314,1.1897404,19.865723,1100,17.16731,55.23713207244873,0.0025417022,,28.412037,13.246518,0.11,-0.02120894,0.99999654,18.737730518146282,5.474484,-0.20899595,4.017477,65.43572,16.287766,2.3735408e-13,16.74518,17.16731,16.232384,55,7.567515
16.811321,,-9.951608,7.9827094,1.2200311,20.471104,1120,17.16731,56.2657732963562,5.108901,,28.453814,13.181193,0.11,-0.023228144,0.99999654,18.572650618389943,5.108901,-0.22823171,4.3011236,68.32175,15.884627,3.158506e-18,16.727161,17.16731,16.242722,56,9.431184
16.79868,,-21.028397,13.314727,1.0664423,14.92549,1140,17.16731,57.51239848136902,5.62608e-23,,28.240217,13.214416,0.11,-0.0050504617,0.99999654,18.566464131313086,10.884384,-0.050462145,2.578695,60.78721,23.572857,1.8987588e-05,16.709461,17.16731,16.252476,57,14.884365
15.401264,,-6.6010394,12.605871,1.0490183,16.30796,1160,17.16731,58.6745867729187,10.272389,,28.913832,13.039069,0.11,-0.009090657,0.99999654,17.02033733484678,11.056789,-0.09065947,2.7237008,60.84306,22.338379,2.7932038,16.69207,17.16731,16.237799,58,3.0462694
14.716547,,-6.227232,11.649989,1.0766326,16.611032,1180,17.16731,59.89488410949707,9.142741,,28.26102,13.042327,0.11,-0.009090657,0.99999654,16.33369611791879,9.446574,-0.09065947,2.9471805,63.521328,21.553253,2.7108107,16.722012,17.16731,16.212015,59,13.240666
