IWMax,ReturnMin,ReturnLastEpisode,ReturnMax,DenMISEMeanLog,IWMean,ReturnAbsMax,LQGmu1,URet,LQGmu01,DenMISELogLast,ExplorationBonus,TimeElapsed,IWLastEpisode,ReturnMean,target_sum_log_mean,IWFirstEpisode,DenMISELogFirst,Bound,IWNorm2,IWNorm1,TimestepsSoFar,Iteration,MISE,ReturnStepMax,SqrtESSClassic,LQGsigma,IWMin
1.2551258,,15.058442,15.058442,18.60218,1.2551258,15.058442,-0.108678184,16.687925283112612,-0.0109104775,18.60218,30.116884,0.05531120300292969,1.2551258,15.058442,18.829416,1.2551258,18.60218,49.01712,1.2551258,1.2551258,20,1,18.900238,0.9625284,1.0,0.11,
1.2680475,,15.918728,15.918728,19.879822,1.1763588,15.918728,-0.110656105,17.62443757124685,-0.011110653,21.037403,22.580761,6.768164157867432,1.2680475,15.4885845,20.039198,1.0846702,18.722239,40.840332,1.6686683,2.3527176,40,2,18.259571,0.99734735,1.4099373,0.11,
1.0797039,,15.995777,15.995777,20.424597,1.0489453,15.995777,-0.10669941,17.710786971628483,-0.010710301,21.400732,18.475073,12.621796131134033,1.0218279,15.657649,20.472124,1.0797039,18.75007,34.889572,1.8172928,3.1468358,60,3,16.4145,0.9980736,1.7316064,0.11,
1.1972337,,16.233181,16.233181,20.005573,1.0460328,16.233181,-0.110656105,17.96570509517042,-0.011110653,18.712069,16.406145,18.270137071609497,1.1972337,15.801532,20.038877,1.0342891,18.7698,32.94477,2.1143563,4.184131,80,4,16.538626,0.9998867,1.9789149,0.11,
1.5410947e-06,,15.582396,16.233181,18.739891,3.0898795e-07,16.233181,-0.027020447,17.253714102609212,-0.0027026958,13.642377,32.377254,23.817445039749146,2.3250755e-10,15.757706,-1.8071182,3.8757964e-12,18.776636,32.37726,1.5411981e-06,1.5454398e-06,100,5,4.942618e-06,0.9998867,1.0027522,0.11,
