Iteration,DenMISELogFirst,ReturnMax,LQGmu1,ExplorationBonus,IWMin,SqrtESSClassic,DenMISEMeanLog,ReturnMean,ReturnStepMax,TimeElapsed,LQGsigma,LQGmu01,IWNorm1,IWNorm2,IWFirstEpisode,URet,ReturnLastEpisode,Bound,target_sum_log_mean,ReturnMin,IWMax,IWLastEpisode,ReturnAbsMax,MISE,DenMISELogLast,TimestepsSoFar,IWMean
1,18.60218,15.058442,0.71106654,30.116884,,1.0,18.60218,15.058442,0.9625284,0.06185603141784668,0.11,0.088700056,1e-10,1e-10,,16.687925283112612,15.058442,30.116884,-1039.3711,,,,15.058442,,18.60218,20,
2,17.909033,15.058442,-0.26602244,21.295853,,1.4142135,-18.996723,11.8866825,0.9625284,1.3341689109802246,0.11,-0.027251093,2e-10,1.4142136e-10,1.23549075e-29,9.555728766475532,8.714923,21.295853,-1262.7654,,1.23549075e-29,,15.058442,9.302283e-29,-55.90248,40,6.1774538e-30
3,17.503569,16.215435,-0.19420859,32.411892,,1.0005856,-37.573635,13.3296,0.9999683,1.4194064140319824,0.11,-0.01966817,7.842808e-07,7.8382186e-07,2.5904967e-10,17.968788134309438,16.215435,32.411896,-729.1372,,7.837218e-07,7.837218e-07,16.215435,4.2374304e-06,-73.91652,60,2.6132696e-07
4,17.215887,16.823778,0.14350632,16.823778,,2.0,-24.202763,14.203144,0.9999683,1.7181940078735352,0.11,0.014449375,4e-10,2e-10,,18.590238017926712,16.823778,16.823778,-198.86327,,,,16.823778,,16.77289,80,
5,16.992743,16.823778,0.38606814,33.647556,,1.0,-26.675985,13.172132,0.9999683,1.7637932300567627,0.11,0.04069463,397.54105,397.54105,,9.927324103286084,9.048074,726.5555,-345.23856,,397.54105,,16.823778,692.9079,-35.6763,100,79.50821
6,16.810421,16.823778,0.30853,33.638756,,1.0002617,-20.739878,12.4234085,0.9999683,2.01621413230896,0.11,0.031881187,367.25967,367.1636,,9.531880573882093,8.679799,564.9293,-236.79942,,367.16357,367.16357,16.823778,531.2906,5.46391,120,61.209946
7,16.656271,16.823778,-0.22151563,33.647556,,1.0,-14.997289,11.888892,0.9999683,2.4326000213623047,0.11,-0.022521129,10.404808,10.404808,1.9700484e-16,9.535555488524322,8.681796,58.65444,-1085.6478,,10.404808,,16.823778,25.006884,16.23701,140,1.4864012
8,16.52274,16.823778,0.3925635,32.927914,,1.0218551,-21.2392,12.415479,0.9999683,2.7182822227478027,0.11,0.041458912,7.8291583,7.6617107,,17.845507834209325,16.101582,41.45601,-270.949,,7.6607795,,16.823778,8.528097,-64.90871,160,0.9786448
9,16.404957,16.823778,0.40695095,32.812286,,1.0254561,-28.508598,12.008469,0.9999683,3.1519346237182617,0.11,0.043168306,3.9896216,3.8905828,,9.599463637416008,8.752385,36.675465,-257.7113,,3.8901513,0.038542975,16.823778,3.8631792,-86.41419,180,0.4432913
10,16.299595,16.823778,-0.7502498,10.640293,,3.1622772,-24.439669,11.669421,0.9999683,3.3868870735168457,0.11,-0.09704623,1e-09,3.162278e-10,,9.46350770341346,8.618002,10.640293,-1743.22,,,,16.823778,,12.758704,200,
11,16.204285,16.823778,-0.7502498,nan,,nan,-inf,12.121232,0.9999683,3.637843608856201,0.11,-0.09704623,inf,inf,,18.410296347699727,16.639349,nan,-1599.663,,inf,inf,16.823778,inf,-inf,220,inf
12,16.117273,17.15495,-0.7502498,nan,,nan,-inf,12.5407095,0.9999759,3.714521884918213,0.11,-0.09704623,inf,inf,,18.93497206111871,17.15495,nan,-1464.8373,,inf,6.0,17.15495,inf,16.454636,240,inf
13,16.037231,17.22651,-0.7502498,nan,,nan,-inf,12.901155,0.9999853,3.7946410179138184,0.11,-0.09704623,inf,inf,,19.009254577684377,17.22651,nan,-1351.2922,,inf,4.333334,17.22651,inf,9.780813,260,inf
14,15.963123,17.22651,-0.7502498,nan,,nan,-inf,13.204646,0.9999853,3.8806064128875732,0.11,-0.09704623,inf,inf,,18.930564662709255,17.150015,nan,-1253.5275,,inf,3.5000026,17.22651,inf,16.161541,280,inf
15,15.894131,17.22651,-0.7502498,nan,,nan,-inf,13.468728,0.999997,3.969921350479126,0.11,-0.09704623,inf,inf,,18.947248701699035,17.165882,nan,-1168.738,,inf,2.9999986,17.22651,inf,17.215979,300,inf
16,15.829592,17.22651,-0.7502498,nan,,nan,-inf,13.69792,0.999997,4.064800024032593,0.11,-0.09704623,inf,inf,,18.915439977272722,17.13579,nan,-1094.6548,,inf,2.6666665,17.22651,inf,15.6112,320,inf
17,15.768968,17.22651,-0.7502498,nan,,nan,-inf,13.903916,0.999997,4.161437034606934,0.11,-0.09704623,inf,inf,,18.981046261746222,17.199854,nan,-1029.2036,,inf,2.4285696,17.22651,inf,17.129208,340,inf
18,15.711809,17.22651,-0.7502498,nan,,nan,-inf,14.0826435,0.999997,4.2621238231658936,0.11,-0.09704623,inf,inf,,18.9003911582142,17.121014,nan,-971.0116,,inf,2.25,17.22651,inf,17.441105,360,inf
19,15.657742,17.242363,-0.7502498,nan,,nan,-inf,14.248944,0.999997,4.367061376571655,0.11,-0.09704623,inf,inf,,19.024719439191966,17.242363,nan,-918.9603,,inf,2.111113,17.242363,inf,17.21409,380,inf
20,15.606448,17.242363,-0.7502498,nan,,nan,-inf,14.391272,0.999997,4.479582786560059,0.11,-0.09704623,inf,inf,,18.873973666522982,17.095512,nan,-872.16425,,inf,2.000001,17.242363,inf,16.269949,400,inf
21,15.557658,17.242363,-0.7502498,nan,,nan,-inf,14.523798,0.999997,4.594003438949585,0.11,-0.09704623,inf,inf,,18.95656441355952,17.174305,nan,-829.82477,,inf,1.9090915,17.242363,inf,16.318094,420,inf
22,15.511138,17.242363,-0.7502498,nan,,nan,-inf,14.645344,0.999997,4.712982177734375,0.11,-0.09704623,inf,inf,,18.97795848981668,17.197819,nan,-791.4922,,inf,1.8333325,17.242363,inf,12.884045,440,inf
23,15.466686,17.242363,-0.7502498,nan,,nan,-inf,14.752534,0.999997,4.836308240890503,0.11,-0.09704623,inf,inf,,18.88624927700382,17.110727,nan,-756.7301,,inf,1.7692305,17.242363,inf,7.4657407,460,inf
24,15.424127,17.242363,-0.7502498,nan,,nan,-inf,14.848499,0.999997,4.965563058853149,0.11,-0.09704623,inf,inf,,18.83430781654837,17.055698,nan,-724.4607,,inf,1.7142844,17.242363,inf,17.196987,480,inf
25,15.383305,17.242363,-0.7502498,nan,,nan,-inf,14.937661,0.999997,5.099070310592651,0.11,-0.09704623,inf,inf,,18.855413337616998,17.077532,nan,-694.7343,,inf,1.6666675,17.242363,inf,18.188816,500,inf
26,15.344084,17.242363,-0.7502498,nan,,nan,-inf,15.023055,0.999997,5.238021373748779,0.11,-0.09704623,inf,inf,,18.938275853337526,17.157898,nan,-667.3629,,inf,1.6250002,17.242363,inf,16.436417,520,inf
27,15.306344,17.242363,-0.7502498,nan,,nan,-inf,15.102602,0.999997,5.377870082855225,0.11,-0.09704623,inf,inf,,18.95092152684364,17.170834,nan,-641.88727,,inf,1.5882354,17.242363,inf,20.016163,540,inf
28,15.269976,17.287983,-0.7502498,nan,,nan,-inf,15.180651,0.999997,5.521779298782349,0.11,-0.09704623,inf,inf,,19.070819911292944,17.287983,nan,-618.38446,,inf,1.5555552,17.287983,inf,15.748406,560,inf
29,15.234884,17.287983,-0.7502498,nan,,nan,-inf,15.251113,0.999997,5.670237064361572,0.11,-0.09704623,inf,inf,,19.006454656060264,17.224033,nan,-596.4036,,inf,1.5263164,17.287983,inf,18.638708,580,inf
30,15.200983,17.287983,-0.7502498,nan,,nan,-inf,15.314816,0.999997,5.823831558227539,0.11,-0.09704623,inf,inf,,18.94193596321211,17.162191,nan,-576.1581,,inf,1.5,17.287983,inf,10.558352,600,inf
31,15.168193,17.287983,-0.7502498,nan,,nan,-inf,15.370432,0.999997,5.981798410415649,0.11,-0.09704623,inf,inf,,18.816883965469557,17.038929,nan,-557.2306,,inf,1.4761899,17.287983,inf,10.202377,620,inf
32,15.136445,17.287983,-0.7502498,nan,,nan,-inf,15.42872,0.999997,6.143394708633423,0.11,-0.09704623,inf,inf,,19.01647051438159,17.235662,nan,-539.34595,,inf,1.454546,17.287983,inf,14.704669,640,inf
33,15.105673,17.287983,-0.7502498,nan,,nan,-inf,15.480036,0.999997,6.312643527984619,0.11,-0.09704623,inf,inf,,18.900728987528122,17.122149,nan,-522.4736,,inf,1.4347827,17.287983,inf,17.080748,660,inf
34,15.07582,17.287983,-0.7502498,nan,,nan,-inf,15.529038,0.999997,6.491551637649536,0.11,-0.09704623,inf,inf,,18.926697391694326,17.14616,nan,-506.55945,,inf,1.4166666,17.287983,inf,18.2566,680,inf
35,15.046832,17.287983,-0.7502498,nan,,nan,-inf,15.577121,0.999997,6.667460203170776,0.11,-0.09704623,inf,inf,,18.993274122982825,17.211826,nan,-491.54938,,inf,1.399999,17.287983,inf,18.456785,700,inf
