IWNorm2,ReturnStepMax,Bound,IWMax,ReturnMin,IWMean,SqrtESSClassic,DenMISEMeanLog,LQGsigma,URet,ReturnLastEpisode,ExplorationBonus,IWMin,Iteration,TimeElapsed,ReturnAbsMax,ReturnMax,LQGmu01,ReturnMean,DenMISELogLast,DenMISELogFirst,TimestepsSoFar,IWNorm1,LQGmu1,MISE,IWLastEpisode,target_sum_log_mean,IWFirstEpisode
1.0,0.9999699,51.631577,1.0,,1.0,1.0,18.60218,0.11,18.99249539139425,17.210526,34.42105,,1,0.05286693572998047,17.210526,17.210526,-0.16413203,17.210526,18.60218,18.60218,20,1.0,-1.2,17.210526,1.0,18.60218,1.0
1.4142135,0.9999699,41.72908,1.0,,1.0,1.4142135,19.95748,0.11,19.086829027963606,17.30414,24.471748,,2,0.7337815761566162,17.30414,17.30414,-0.16413203,17.257332,21.312778,18.60218,40,2.0,-1.2,17.257332,1.0,19.95748,1.0
1.7320508,0.9999699,37.24376,1.0,,1.0,1.7320509,20.361195,0.11,19.056282108762478,17.273315,19.9811,,3,0.7565035820007324,17.30414,17.30414,-0.16413203,17.26266,21.168627,18.60218,60,3.0,-1.2,17.26266,1.0,20.361195,1.0
2.0,0.9999853,34.572098,1.0,,1.0,2.0,19.958935,0.11,19.06621802433137,17.283838,17.30414,,4,0.7786898612976074,17.30414,17.30414,-0.16413203,17.267956,18.752157,18.60218,80,4.0,-1.2,17.267956,1.0,19.958935,1.0
2.236068,0.9999853,32.745632,1.0,,1.0,2.236068,18.72694,0.11,19.053154813242656,17.269878,15.477293,,5,0.8033561706542969,17.30414,17.30414,-0.16413203,17.26834,13.798966,18.60218,100,5.0,-1.2,17.26834,1.0,18.72694,1.0
2.4494898,0.9999853,31.388927,1.0,,1.0,2.4494896,18.418013,0.11,18.999108542866566,17.21925,14.128772,,6,0.8301243782043457,17.30414,17.30414,-0.16413203,17.260157,16.873373,18.60218,120,6.0,-1.2,17.260157,1.0,18.418013,1.0
2.6457512,0.9999853,30.336342,1.0,,1.0,2.6457515,18.515263,0.11,19.010882145085056,17.22857,13.080699,,7,0.8623967170715332,17.30414,17.30414,-0.16413203,17.255644,19.098753,18.60218,140,7.0,-1.2,17.255644,1.0,18.515263,1.0
2.828427,0.9999853,29.495094,1.0,,1.0,2.828427,17.956116,0.11,19.06606931348409,17.284252,12.235874,,8,0.8924975395202637,17.30414,17.30414,-0.16413203,17.25922,14.042103,18.60218,160,8.0,-1.2,17.25922,1.0,17.956116,1.0
3.0,0.9999853,28.791393,1.0,,1.0,3.0,18.187344,0.11,19.001696808867838,17.223938,11.536094,,9,0.9244232177734375,17.30414,17.30414,-0.16413203,17.2553,20.037153,18.60218,180,9.0,-1.2,17.2553,1.0,18.187344,1.0
3.1622777,0.9999853,28.20152,1.0,,1.0,3.1622777,17.758486,0.11,19.05796734765272,17.27652,10.944099,,10,0.9601693153381348,17.30414,17.30414,-0.16413203,17.257421,13.89876,18.60218,200,10.0,-1.2,17.257421,1.0,17.758486,1.0
3.3166249,0.9999916,27.692896,1.0,,1.0,3.3166246,17.704332,0.11,19.048320734870927,17.26495,10.43479,,11,1.0007548332214355,17.30414,17.30414,-0.16413203,17.258106,17.162806,18.60218,220,11.0,-1.2,17.258106,1.0,17.704332,1.0
3.4641016,0.9999916,27.250381,1.0,,1.0,3.4641018,17.749504,0.11,19.06145953391842,17.278826,9.99055,,12,1.0406763553619385,17.30414,17.30414,-0.16413203,17.259832,18.246395,18.60218,240,12.0,-1.2,17.259832,1.0,17.749504,1.0
3.6055512,0.9999916,26.856045,1.0,,1.0,3.6055512,17.249323,0.11,19.009057635518097,17.228659,9.59861,,13,1.0814800262451172,17.30414,17.30414,-0.16413203,17.257435,11.247149,18.60218,260,13.0,-1.2,17.257435,1.0,17.249323,1.0
3.7416575,0.9999916,26.504925,1.0,,1.0,3.7416573,17.261106,0.11,19.006971477903775,17.22998,9.249452,,14,1.123683214187622,17.30414,17.30414,-0.16413203,17.255474,17.414305,18.60218,280,14.0,-1.2,17.255474,1.0,17.261106,1.0
3.8729835,0.9999916,26.185247,1.0,,1.0,3.8729832,17.331339,0.11,18.941532523273988,17.164787,8.93582,,15,1.171011209487915,17.30414,17.30414,-0.16413203,17.249428,18.31459,18.60218,300,15.0,-1.2,17.249428,1.0,17.331339,1.0
4.0,0.9999916,25.900238,1.0,,1.0,4.0,17.285133,0.11,19.008146269281987,17.229267,8.65207,,16,1.2180283069610596,17.30414,17.30414,-0.16413203,17.248169,16.59203,18.60218,320,16.0,-1.2,17.248169,1.0,17.285133,1.0
4.1231055,0.9999916,25.64097,1.0,,1.0,4.1231055,17.328156,0.11,19.006546735105417,17.232193,8.393742,,17,1.2683038711547852,17.30414,17.30414,-0.16413203,17.247229,18.01651,18.60218,340,17.0,-1.2,17.247229,1.0,17.328156,1.0
4.2426405,0.9999916,25.402802,1.0,,1.0,4.242641,17.379482,0.11,18.99937142119594,17.21701,8.157249,,18,1.321998119354248,17.30414,17.30414,-0.16413203,17.245552,18.252035,18.60218,360,18.0,-1.2,17.245552,1.0,17.379482,1.0
4.358899,0.9999916,25.186102,1.0,,1.0,4.3588986,17.410105,0.11,19.044369300174942,17.262041,7.9396844,,19,1.3769547939300537,17.30414,17.30414,-0.16413203,17.246418,17.961308,18.60218,380,19.0,-1.2,17.246418,1.0,17.410105,1.0
4.472136,0.9999916,24.987034,1.0,,1.0,4.472136,17.387753,0.11,19.067500229792472,17.28577,7.7386465,,20,1.4328722953796387,17.30414,17.30414,-0.16413203,17.248386,16.963097,18.60218,400,20.0,-1.2,17.248386,1.0,17.387753,1.0
4.582576,0.9999916,24.799158,1.0,,1.0,4.582576,17.367609,0.11,18.999764032076722,17.219555,7.5521455,,21,1.490602970123291,17.30414,17.30414,-0.16413203,17.247013,16.964718,18.60218,420,21.0,-1.2,17.247013,1.0,17.367609,1.0
