LQGsigma,IWNorm2,DenMISELogFirst,TimestepsSoFar,LQGmu1,ReturnAbsMax,URet,LQGmu01,IWFirstEpisode,MISE,target_sum_log_mean,IWMax,SqrtESSClassic,DenMISEMeanLog,Bound,ReturnMin,ReturnMean,TimeElapsed,Iteration,ExplorationBonus,ReturnLastEpisode,DenMISELogLast,IWLastEpisode,ReturnStepMax,ReturnMax,IWNorm1,IWMin,IWMean
0.11,1.0042634,12.845262,20,0.01010101,9.380901,10.303278693899255,0.001010101,1.0042634,9.420896,12.849516,1.0042634,1.0,12.845262,50.3113,,9.380901,0.04488873481750488,1,40.890404,9.380901,12.845262,1.0042634,0.55877954,9.380901,1.0042634,,1.0042634
0.11,26.680063,12.847391,40,0.030303031,9.380901,10.166394052361602,0.0030303032,0.012274523,123.44896,13.243401,26.680061,1.0004599,13.801557,164.32056,,9.315305,1.5960631370544434,2,40.871605,9.249708,14.755722,26.680061,0.55877954,9.380901,26.692335,,13.346168
0.11,4.0932016,12.448045,60,0.030303031,9.380901,10.085677680633932,0.0030303032,0.018299472,17.828402,15.828861,2.9942307,1.4177965,16.454817,46.669212,,9.271588,2.2510223388671875,3,28.840813,9.184156,19.903095,2.9942307,0.55877954,9.380901,5.803327,,1.9344424
0.11,1.9818473,12.166444,80,0.01010101,9.380901,10.15268805296383,0.001010101,1.979951,4.9236555,13.914465,1.979951,1.0601953,16.723965,43.4924,,9.266199,3.0971994400024414,4,38.568745,9.2500305,17.038534,0.045404717,0.55877954,9.380901,2.1011453,,0.5252863
0.11,4.800593e-18,12.345418,100,-0.05050505,9.380901,10.190458349516712,-0.005050505,5.175542e-22,8.910878e-18,-50.00769,4.8005923e-18,1.0001086,16.670286,40.885963,,9.268961,3.87760853767395,5,40.885963,9.280007,16.915962,4.8005923e-18,0.55877954,9.380901,4.8011147e-18,,9.60222e-19
0.11,251.60051,12.163096,120,-0.030303031,11.595321,12.825624628504624,-0.0030303032,3.1738095e-10,486.23145,-13.55941,251.60051,1.0,14.158908,536.7743,,9.656688,4.6630353927612305,6,50.54283,11.595321,2.513623,251.60051,0.7610775,11.595321,251.60051,,41.93342
0.11,9.313479,12.008946,140,-0.030303031,12.289547,13.616915055817019,-0.0030303032,3.7027825e-10,22.428522,-9.510515,6.836957,1.4131421,14.389522,60.336174,,10.032811,5.52801513671875,7,37.90765,12.289547,12.9384575,6.3243127,0.8731355,12.289547,13.16127,,1.8801814
0.11,6.9908304,11.875415,160,-0.05050505,13.266375,14.745792028216988,-0.005050505,8.280847e-22,12.332117,-26.689966,6.9784126,1.0697385,14.855145,66.38905,,10.437006,6.340973138809204,8,54.05694,13.266375,17.724117,6.9784126,0.962684,13.266375,7.4783607,,0.9347951
0.11,6.5859877e-19,11.757631,180,0.09090909,13.557719,15.054967763225703,0.00909091,3.853042e-35,6.721711e-19,-77.8076,6.585978e-19,1.0001557,14.994914,59.08753,,10.7837515,7.099128484725952,9,59.08753,13.557719,16.366964,,0.962684,13.557719,6.5870134e-19,,7.3188036e-20
0.11,3367.0647,11.652271,200,0.07070707,13.557719,10.101134751920172,0.0070707067,1.4582835e-19,3100.687,-38.891167,3367.0647,1.0,12.971295,3159.7837,,10.626264,7.812699317932129,10,59.09673,9.208873,-4.2930164,3367.0647,0.962684,13.557719,3367.0647,,336.70648
0.11,15.530606,11.556961,220,0.07070707,13.557719,9.950903706066939,0.0070707067,1.6041059e-19,18.237707,-33.719376,10.996146,1.4142123,13.652999,60.025444,,10.48381,8.627352476119995,11,41.787735,9.059275,15.600962,10.996146,0.962684,13.557719,21.963575,,1.9966887
0.11,2.6673382e-11,11.46995,240,-0.11111111,13.557719,9.955806686793586,-0.011111111,,2.975657e-11,-196.19409,2.6672315e-11,1.0089027,13.888733,58.575253,,10.36556,9.692487478256226,12,58.575253,9.064808,16.054295,,0.962684,13.557719,2.6910845e-11,,2.2425705e-12
0.11,21.238813,11.389907,260,-0.07070707,15.378209,17.06314107075285,-0.0070707067,7.5921196e-38,25.45296,-87.6973,21.236801,1.0151482,12.097251,91.48476,,10.751149,10.517025232315063,13,66.0318,15.378209,-8.44001,21.236801,0.99960953,15.378209,21.560543,,1.6585033
0.11,12.726675,11.315799,280,-0.07070707,15.378209,16.888718050918442,-0.0070707067,8.176161e-38,19.996508,-80.54736,9.298389,1.4398255,11.961853,66.55219,,11.072967,11.362309694290161,14,46.555683,15.256594,10.172066,9.298389,0.99960953,15.378209,18.324192,,1.3088709
0.11,1.6220657e-09,11.246806,300,0.11111111,15.378209,15.762566743964877,0.011111111,,1.0074543e-09,-101.95765,1.6219551e-09,1.0118704,12.241303,66.2457,,11.2829275,12.253235101699829,15,66.2457,14.222383,16.103407,,0.99960953,15.378209,1.6413203e-09,,1.09421354e-10
0.11,12.141562,11.182267,320,0.11111111,15.378209,9.96937063203293,0.011111111,,6.8937793,-96.435585,12.141562,1.0,10.409388,73.925835,,11.145528,13.073818922042847,16,67.03206,9.084537,-16.10128,12.141562,0.99960953,15.378209,12.141562,,0.75884765
0.11,1.8688737e-10,11.121643,340,0.15151516,15.378209,9.877219887391876,0.015151516,,9.93243e-11,-177.10266,1.868853e-10,1.0047008,10.739982,66.71843,,11.018863,13.91159701347351,17,66.71843,8.992218,16.434822,1.868853e-10,0.99960953,15.378209,1.8776589e-10,,1.1045052e-11
0.11,17.999992,11.064485,360,0.15151516,15.378209,9.772204991892227,0.015151516,,8.897155,-166.595,17.999992,1.0,10.597378,75.929214,,10.90099,14.768735647201538,18,67.03206,8.897159,9.144814,17.999992,0.99960953,15.378209,17.999992,,0.9999996
0.11,96.21939,11.010417,380,0.13131313,15.378209,9.806477782577142,0.013131313,,45.394062,-114.17401,96.2187,1.003917,10.726262,112.16458,,10.797195,15.616106271743774,19,66.77052,8.928896,13.326231,96.2187,0.99960953,15.378209,96.59628,,5.084015
0.11,5.6871154e-11,10.959124,400,0.1919192,15.378209,9.823512356482716,0.019191919,,2.5299646e-11,-257.03406,5.6871154e-11,1.0000024,10.850649,67.0319,,10.704549,16.435460805892944,20,67.0319,8.944257,12.366487,1.5205672e-21,0.99960953,15.378209,5.6871292e-11,,2.8435646e-12
0.11,20.999977,10.910334,420,0.1919192,15.378209,9.65002142118132,0.019191919,,8.787062,-244.03099,20.999977,1.0,10.905834,75.81912,,10.61324,17.290860176086426,21,67.03206,8.787071,12.985357,20.999977,0.99960953,15.378209,20.999977,,0.9999989
0.11,6.806199,10.863813,440,0.21212122,15.378209,9.584175191709338,0.021212121,,2.700183,-294.1428,6.806199,1.0002043,10.72781,69.718544,,10.527463,18.187671184539795,22,67.018364,8.726134,7.2730794,6.806199,0.99960953,15.378209,6.8075895,,0.30943587
0.11,1.6610281,10.819362,460,0.23232323,15.378209,9.522173817002452,0.023232324,,0.6261064,-348.22153,1.6610281,1.0000416,10.87634,67.65537,,10.44667,19.359373092651367,23,67.02927,8.669235,14.852329,1.6610281,0.99960953,15.378209,1.6610972,,0.072221614
0.11,24.053534,10.776802,480,0.23232323,15.378209,9.41029401734862,0.023232324,,9.152955,-333.06247,23.999153,1.0649467,10.902706,72.09701,,10.368447,20.219913005828857,24,62.944054,8.569321,12.4182625,23.999153,0.99960953,15.378209,25.61573,,1.0673221
0.11,2.0304766,10.73598,500,0.17171717,15.378209,9.416115927865015,0.017171716,,0.71610475,-162.27568,2.030466,1.0033616,11.052069,67.52358,,10.296621,21.077308893203735,25,66.80748,8.572811,14.858189,2.1871736e-26,0.99960953,15.378209,2.0373023,,0.08149209
0.11,23.426336,10.696759,520,0.17171717,15.378209,9.717091383176001,0.017171716,,8.605978,-155.25996,23.34478,1.0801923,11.245474,70.66165,,10.240866,21.929097652435303,26,62.05567,8.84697,16.982744,23.34478,0.99960953,15.378209,25.304949,,0.97326726
0.11,24.426683,10.659019,540,0.21212122,15.378209,9.71436424089984,0.021212121,,9.6333885,-239.07501,23.578978,1.2265663,11.389135,64.283554,,10.189147,22.785142421722412,27,54.65017,8.844447,15.392156,4.880432e-11,0.99960953,15.378209,29.960947,,1.1096647
0.11,35.98387,10.622652,560,0.13131313,15.378209,9.553185335006997,0.013131313,,16.365368,-94.77928,27.34607,1.4249343,11.357376,63.407578,,10.136025,23.734495401382446,28,47.04221,8.701731,10.641889,2.470359e-34,0.99960953,15.378209,51.27465,,1.8312376
0.11,3.986135,10.587561,580,0.09090909,15.378209,9.806474424327686,0.00909091,1.2415303e-34,1.3487885,-80.992256,3.9758196,1.0807362,11.124094,63.373234,,10.094268,24.61156678199768,29,62.024445,8.92507,4.2669644,3.7066122e-10,0.99960953,15.378209,4.30796,,0.14855035
0.11,14.537699,10.5536585,600,0.15151516,15.378209,9.90951668542409,0.015151516,,5.2083616,-107.6736,14.434381,1.2082144,11.152535,60.68863,,10.05852,25.499372720718384,30,55.480267,9.021874,12.820551,3.1111176e-17,0.99960953,15.378209,17.564657,,0.58548856
