ReturnAbsMax,ReturnStepMax,URet,DenMISELogFirst,IWNorm2,IWMean,DenMISELogLast,Iteration,IWLastEpisode,LQGmu1,SqrtESSClassic,LQGsigma,TimeElapsed,TimestepsSoFar,ReturnMin,Bound,ExplorationBonus,IWFirstEpisode,ReturnLastEpisode,IWMax,DenMISEMeanLog,ReturnMean,ReturnMax,IWNorm1,target_sum_log_mean,LQGmu01,IWMin,MISE
9.380901,0.55877954,10.303278693899255,12.845262,1.0042634,1.0042634,12.845262,1,1.0042634,0.01010101,1.0,0.11,0.0508570671081543,20,,28.182697,18.761803,1.0042634,9.380901,1.0042634,12.845262,9.380901,9.380901,1.0042634,12.849516,0.001010101,,9.420896
9.380901,0.55877954,10.166394052361602,12.847391,26.680063,6.673084,14.755722,2,13.340031,0.030303031,1.0004599,0.11,1.8981032371520996,40,,142.20213,18.753178,0.0061372616,9.249708,13.340031,13.801557,9.315305,9.380901,26.692335,13.243401,0.0030303032,,123.44896
9.380901,0.55877954,10.085677680633932,12.448045,4.0932016,0.6448141,19.903095,3,0.9980769,0.030303031,1.4177965,0.11,2.5654513835906982,60,,31.061474,13.233071,0.006099824,9.184156,0.9980769,16.454817,9.271588,9.380901,5.803327,15.828861,0.0030303032,,17.828402
9.380901,0.55877954,10.15268805296383,12.166444,3.3960993,0.3691049,17.038534,4,0.48890147,0.030303031,1.7389592,0.11,3.4126334190368652,80,,24.413757,10.789099,0.006062843,9.2500305,0.49951887,16.723965,9.266199,9.380901,5.9056783,16.298954,0.0030303032,,13.624658
9.380901,0.55877954,10.07552934482122,11.949345,2.4648163,0.10788842,17.106453,5,0.027031768,0.01010101,1.0942847,0.11,4.249807119369507,100,,22.197464,17.145267,0.49200487,9.175225,0.49200487,16.862463,9.248004,9.380901,2.6972106,14.152601,0.001010101,,5.052197
9.380901,0.55877954,10.111530156621239,12.167144,4.2974086,0.26748765,10.141308,6,0.3134402,0.030303031,2.240782,0.11,5.163092613220215,120,,23.160454,8.372882,0.004039067,9.206833,0.3330094,15.664851,9.241142,9.380901,9.629556,15.588589,0.0030303032,,14.787572
9.380901,0.55979556,10.090698711314747,12.017024,4.168243,0.20889647,14.240186,7,0.24580002,0.030303031,2.4556937,0.11,6.008026599884033,140,,21.104809,7.6401234,0.0040228185,9.178826,0.2498175,15.528163,9.23224,9.380901,10.235928,15.473485,0.0030303032,,13.464685
9.553689,0.57715887,10.522380419794905,11.887507,2.343731e-19,3.6629193e-21,18.9792,8,8.9750485e-33,0.09090909,1.0002636,0.11,6.829728126525879,160,,19.102343,19.102343,4.229701e-36,9.553689,2.929651e-20,16.00637,9.272421,9.553689,2.3443488e-19,-41.90102,0.00909091,,2.6912688e-19
9.553689,0.57715887,9.916071030933145,11.769725,8.999991,0.11111101,18.459099,9,0.99999905,0.09090909,1.0,0.11,7.89233136177063,180,,28.135138,19.107378,4.2296994e-36,9.027768,0.99999905,16.1742,9.245237,9.553689,8.999991,-34.950203,0.00909091,,9.02776
9.553689,0.57715887,9.942488386284762,11.664364,35.99794,0.36046273,14.108212,10,3.5997906,0.07070707,1.0013427,0.11,8.706896543502808,200,,51.71264,19.081758,1.4407552e-20,9.052531,3.5997906,15.94209,9.225966,9.553689,36.046272,-6.336602,0.0070707067,,32.63088
