IWMin,LQGsigma,ReturnStepMax,IWMax,IWMean,ReturnLastEpisode,TimestepsSoFar,IWLastEpisode,DenMISEMeanLog,ReturnMean,ReturnMin,MISE,URet,Iteration,ReturnAbsMax,DenMISELogFirst,Bound,DenMISELogLast,LQGmu1,target_sum_log_mean,ReturnMax,IWFirstEpisode,LQGmu01,TimeElapsed
,0.11,0.9625284,1.0033205,1.0033205,15.058442,20,1.0033205,18.60218,15.058442,,15.108443,16.687925283112612,1,15.058442,18.60218,15.108443,18.60218,-0.10005667,18.605495,15.058442,1.0033205,-0.010038923,0.05102682113647461
,0.11,0.99535984,1.0056425,1.0046117,15.800916,40,1.0035808,19.957632,15.429679,,15.500452,17.495851168952395,2,15.800916,18.60384,15.500452,21.311424,-0.10012517,19.962233,15.800916,1.0056425,-0.0100458395,1.098416805267334
,0.11,0.9964209,1.0305004,1.0041178,15.8298645,60,0.9627092,20.364038,15.563073,,15.620231,17.53155033041148,3,15.8298645,18.605719,15.620231,21.17378,-0.10059519,20.367706,15.8298645,1.0305004,-0.010093315,1.1865038871765137
,0.11,0.999598,1.033514,1.0102882,16.139175,80,1.0287741,19.957321,15.707099,,15.865572,17.865168808936804,4,16.139175,18.613316,15.865572,18.734167,-0.10079205,19.96709,16.139175,1.033514,-0.010113201,1.2741656303405762
,0.11,0.999598,1.0433757,1.0090567,15.382791,100,0.99376345,18.726816,15.642237,,15.781631,17.03463307248357,5,16.139175,18.619995,15.781631,13.796637,-0.10110615,18.735146,16.139175,1.0433757,-0.010144933,1.3684632778167725
,0.11,0.999598,1.1075622,1.0248075,15.751627,120,1.1075622,18.405596,15.660469,,16.048674,17.445811473462907,6,16.139175,18.6272,16.048674,16.79206,-0.10120512,18.428951,16.139175,1.0410162,-0.01015493,1.4596915245056152
,0.11,0.999598,1.1067154,1.022941,15.595881,140,1.0146518,18.5053,15.651243,,16.010132,17.278990812537344,7,16.139175,18.633041,16.010132,19.082458,-0.10131354,18.526995,16.139175,1.0404823,-0.010165884,1.5538697242736816
,0.11,0.999598,1.1109114,1.0206039,15.418165,160,1.000435,17.94987,15.622108,,15.944441,17.092059592923672,8,16.139175,18.638088,15.944441,14.041905,-0.101441786,17.969297,16.139175,1.0416716,-0.01017884,1.6584973335266113
,0.11,0.999598,1.1226417,1.017391,15.385023,180,0.9785768,18.185577,15.595764,,15.868496,17.050818347953054,9,16.139175,18.642708,15.868496,20.05304,-0.10161415,18.201672,16.139175,1.0453299,-0.010196255,1.755836009979248
,0.11,0.999598,1.126941,1.0244032,16.403227,200,1.0858635,17.75217,15.676511,,16.065456,18.14503168900987,10,16.403227,18.64723,16.065456,13.835971,-0.101736255,17.774975,16.403227,1.046477,-0.010208591,1.8607017993927002
,0.11,0.999598,1.1397314,1.0190326,15.322322,220,0.9466329,17.704145,15.644312,,15.950854,16.984323704260262,11,16.403227,18.651447,15.950854,17.201849,-0.10191096,17.721294,16.403227,1.0502802,-0.010226241,1.9668841361999512
,0.11,0.999598,1.1557359,1.0191785,15.931044,240,1.0047222,17.750196,15.668208,,15.977412,17.646861908096202,12,16.403227,18.655628,15.977412,18.239485,-0.10210846,17.767244,16.403227,1.054924,-0.010246199,2.0713517665863037
,0.11,0.9996457,1.1643362,1.0259805,16.076305,260,1.1022241,17.245077,15.699599,,16.118427,17.800464137553142,13,16.403227,18.659845,16.118427,11.166088,-0.102259204,17.268492,16.403227,1.057188,-0.010261429,2.1815013885498047
,0.11,0.9997174,1.1728349,1.0279802,16.04694,280,1.0443991,17.255762,15.724409,,16.17555,17.766711209316263,14,16.403227,18.663921,16.17555,17.370724,-0.10240796,17.28104,16.403227,1.0593377,-0.010276462,2.2900049686431885
,0.11,0.9997174,1.1796979,1.0319272,15.619432,300,1.0797534,17.32349,15.717411,,16.229801,17.287858578087757,15,16.403227,18.66787,16.229801,18.245747,-0.10254463,17.35249,16.403227,1.0609493,-0.010290272,2.401020050048828
,0.11,0.9997174,1.1909409,1.0289073,15.672091,320,0.9646097,17.28117,15.714579,,16.179634,17.367959703743963,16,16.403227,18.67167,16.179634,16.616613,-0.10270899,17.306953,16.403227,1.0636989,-0.01030688,2.523803472518921
,0.11,0.9999584,1.1992426,1.0338827,16.065142,340,1.1044254,17.320711,15.735199,,16.280474,17.78742674552903,17,16.403227,18.675411,16.280474,17.92634,-0.10285421,17.351099,16.403227,1.0655468,-0.010321556,2.650341033935547
,0.11,0.9999584,1.2078902,1.0354366,15.905046,360,1.0489029,17.3716,15.744636,,16.31472,17.62111018794354,18,16.403227,18.679047,16.31472,18.20488,-0.103001036,17.403385,16.403227,1.0674059,-0.010336394,2.7696919441223145
,0.11,0.9999584,1.2129924,1.0426606,15.887825,380,1.1680864,17.397106,15.7521715,,16.43698,17.595638253428834,19,16.403227,18.682587,16.43698,17.822872,-0.10312363,17.435465,16.403227,1.0682878,-0.010348784,2.917576313018799
,0.11,0.9999584,1.2183534,1.0440708,16.312891,400,1.0620588,17.374548,15.780208,,16.488712,18.052963177446603,20,16.403227,18.685995,16.488712,16.905642,-0.103246175,17.414234,16.403227,1.0691868,-0.010361169,3.0381126403808594
,0.11,0.9999584,1.2230473,1.0474341,16.009972,420,1.10752,17.352423,15.791149,,16.553623,17.724948481076375,21,16.403227,18.689285,16.553623,16.868156,-0.10336272,17.395243,16.403227,1.0698824,-0.010372948,3.1618690490722656
,0.11,0.9999584,1.2329078,1.0387142,15.489412,440,0.8280383,17.186943,15.777434,,16.4046,17.149407057534688,22,16.403227,18.692457,16.4046,13.666811,-0.10351245,17.22012,16.403227,1.071743,-0.010388082,3.2865264415740967
,0.11,0.9999584,1.2465775,1.0357399,15.677151,460,0.940975,16.793102,15.773074,,16.353842,17.362578558353164,23,16.403227,18.695572,16.353842,8.091765,-0.10368823,16.822853,16.403227,1.0743587,-0.010405848,3.4128189086914062
,0.11,0.9999584,1.2574812,1.0409447,16.123356,480,1.1451331,16.828596,15.787669,,16.452738,17.850065062200166,24,16.403227,18.698664,16.452738,17.610966,-0.1038472,16.862894,16.403227,1.076223,-0.010421918,3.546175241470337
,0.11,0.9999584,1.2686111,1.0428462,15.612282,500,1.068514,16.902527,15.780653,,16.475368,17.288981847669405,25,16.403227,18.701708,16.475368,18.637848,-0.10400849,16.938353,16.403227,1.0780063,-0.010438219,3.6804373264312744
,0.11,0.9999584,1.2796369,1.0451382,15.868067,520,1.0831382,16.90197,15.784016,,16.515282,17.582541913934758,26,16.403227,18.704704,16.515282,16.84712,-0.104169905,16.939684,16.403227,1.0796422,-0.010454538,3.814969301223755
,0.11,0.9999584,1.2936914,1.043119,15.960846,540,0.9615457,17.037275,15.790565,,16.489998,17.674242902042224,27,16.403227,18.70765,16.489998,20.512009,-0.10435249,17.072514,16.403227,1.0817199,-0.010472994,3.953613042831421
,0.11,0.9999584,1.305804,1.0477902,15.976749,560,1.1565738,17.004007,15.797214,,16.571608,17.68590611766309,28,16.403227,18.710564,16.571608,16.064463,-0.10452389,17.043179,16.403227,1.0832664,-0.0104903225,4.098805665969849
,0.11,0.9999584,1.317045,1.0513573,15.797259,580,1.1339852,17.072605,15.797216,,16.628069,17.503070210946916,29,16.403227,18.71343,16.628069,18.947502,-0.104690686,17.114748,16.403227,1.084515,-0.010507184,4.2876105308532715
,0.11,0.9999584,1.3307589,1.0499719,16.04035,600,0.98302346,16.871239,15.80532,,16.614399,17.76246954735977,30,16.403227,18.716244,16.614399,10.982304,-0.104874894,16.91155,16.403227,1.0860157,-0.010525808,4.429610252380371
,0.11,0.9999584,1.3475991,1.0485005,15.975702,620,0.9734091,16.670584,15.810816,,16.596897,17.69770939763705,31,16.403227,18.719015,16.596897,10.6028805,-0.10508164,16.708803,16.403227,1.0877966,-0.0105467085,4.5731916427612305
,0.11,0.9999584,1.3651419,1.0505403,15.814684,640,1.0885063,16.61996,15.810937,,16.62969,17.510540248857613,32,16.403227,18.721756,16.62969,15.003958,-0.10529554,16.65945,16.403227,1.0894182,-0.010568337,4.719264268875122
,0.11,0.9999584,1.3883572,1.0479176,15.496872,660,0.9261039,16.64836,15.801421,,16.580084,17.17568561455285,33,16.403227,18.72446,16.580084,17.508566,-0.1055497,16.684177,16.403227,1.0914668,-0.0105940355,4.870810270309448
,0.11,0.9999584,1.4252554,1.0420064,15.803741,680,0.79323477,16.713053,15.801489,,16.488102,17.504676476790284,34,16.403227,18.727148,16.488102,18.801697,-0.105897985,16.740467,16.403227,1.0945481,-0.010629253,5.01853084564209
,0.11,0.9999584,1.4720806,1.0428522,15.755016,700,1.0379827,16.772768,15.80016,,16.501875,17.445718745715702,35,16.403227,18.729845,16.501875,18.762718,-0.10631786,16.798437,16.403227,1.0975605,-0.010671714,5.174482822418213
,0.11,0.9999584,1.5025356,1.0538611,16.015438,720,1.4505593,16.701036,15.806141,,16.685436,17.722139837371316,36,16.403227,18.732552,16.685436,14.149298,-0.10664116,16.733885,16.403227,1.0982181,-0.010704411,5.329003572463989
,0.11,0.9999584,1.8751414,1.0749563,16.467543,740,1.8751414,16.59947,15.824016,,17.052248,18.218405864977374,37,16.467543,18.735203,17.052248,12.891215,-0.106822796,16.64653,16.467543,1.0969788,-0.010722783,5.4862143993377686
,0.11,0.9999584,1.8904341,1.0776657,15.997524,760,1.2066214,16.59913,15.828581,,17.100399,17.69997280322501,38,16.467543,18.737751,17.100399,16.51441,-0.10700417,16.64816,16.467543,1.095584,-0.010741129,5.64914608001709
,0.11,0.9999584,1.9092097,1.0774891,15.69298,780,1.094736,16.625204,15.825105,,17.09371,17.38765474297764,39,16.467543,18.7402,17.09371,17.541191,-0.10719559,16.673548,16.467543,1.0940889,-0.01076049,5.8074791431427
,0.11,0.9999584,1.9353844,1.0742913,15.519734,800,0.9653993,16.71788,15.8174715,,17.035938,17.208021768748978,40,16.467543,18.74255,17.035938,20.25758,-0.107409485,16.762274,16.467543,1.0924937,-0.0107821245,5.971289873123169
,0.11,0.9999584,1.9810578,1.0595384,14.785921,820,0.46495715,16.54249,15.792311,,16.791819,16.42042553397832,41,16.467543,18.744802,16.791819,9.455158,-0.10768299,16.564873,16.467543,1.0907488,-0.010809792,6.136946439743042
