MISE,LQGmu1,TimeElapsed,IWLastEpisode,ReturnMax,target_sum_log_mean,ReturnMin,ReturnStepMax,SqrtESSClassic,IWMean,LQGmu01,URet,ExplorationBonus,IWFirstEpisode,DenMISELogFirst,IWNorm1,ReturnMean,Bound,TimestepsSoFar,DenMISELogLast,IWMin,Iteration,IWMax,IWNorm2,ReturnLastEpisode,LQGsigma,ReturnAbsMax,DenMISEMeanLog
9.420896,0.01010101,0.05921339988708496,1.0042634,9.380901,12.849516,,0.55877954,1.0,1.0042634,0.001010101,10.303278693899255,18.761803,1.0042634,12.845262,1.0042634,9.380901,28.182697,20,12.845262,,1,1.0042634,1.0042634,9.380901,0.11,9.380901,12.845262
123.44896,0.030303031,1.9343044757843018,26.680061,9.380901,13.243401,,0.55877954,1.0004599,13.346168,0.0030303032,10.166394052361602,18.753178,0.012274523,12.847391,26.692335,9.315305,142.20213,40,14.755722,,2,26.680061,26.680063,9.249708,0.11,9.380901,13.801557
17.828402,0.030303031,2.612744092941284,2.9942307,9.380901,15.828861,,0.55877954,1.4177965,1.9344424,0.0030303032,10.085677680633932,13.233071,0.018299472,12.448045,5.803327,9.271588,31.061474,60,19.903095,,3,2.9942307,4.0932016,9.184156,0.11,9.380901,16.454817
13.624658,0.030303031,3.439356803894043,1.9556059,9.380901,16.298954,,0.55877954,1.7389592,1.4764196,0.0030303032,10.15268805296383,10.789099,0.024251372,12.166444,5.9056783,9.266199,24.413757,80,17.038534,,4,1.9980755,3.3960993,9.2500305,0.11,9.380901,16.723965
5.0521975,0.01010101,4.262951135635376,0.13515884,9.380901,14.152601,,0.55877954,1.0942847,0.5394421,0.001010101,10.07552934482122,17.145267,2.4600244,11.949345,2.6972106,9.248004,22.197464,100,17.106453,,5,2.4600244,2.4648163,9.175225,0.11,9.380901,16.862463
14.787572,0.030303031,5.116866111755371,1.8806412,9.380901,15.588589,,0.55877954,2.240782,1.604926,0.0030303032,10.111530156621239,8.372882,0.024234401,12.167144,9.629556,9.241142,23.160454,120,10.141308,,6,1.9980564,4.2974086,9.206833,0.11,9.380901,15.664851
13.464686,0.030303031,5.985642433166504,1.7206001,9.380901,15.473485,,0.55979556,2.4556937,1.4622754,0.0030303032,10.090698711314747,7.6401234,0.02815973,12.017024,10.235928,9.23224,21.104809,140,14.240186,,7,1.7487226,4.168243,9.178826,0.11,9.380901,15.528163
2.6912688e-19,0.09090909,7.026670455932617,7.180039e-32,9.553689,-41.90102,,0.57715887,1.0002337,2.9303355e-20,0.00909091,10.522380419794905,19.102915,3.383761e-35,11.887507,2.3442684e-19,9.272421,19.102915,160,18.9792,,8,2.343721e-19,2.343721e-19,9.553689,0.11,9.553689,16.00637
9.02776,0.09090909,7.9223597049713135,8.999991,9.553689,-34.950203,,0.57715887,1.0,0.99999905,0.00909091,9.916071030933145,19.107378,3.8067294e-35,11.769725,8.999991,9.245237,28.135138,180,18.459099,,9,8.999991,8.999991,9.027768,0.11,9.553689,16.1742
32.630882,0.07070707,8.793636560440063,35.997906,9.553689,-6.336602,,0.57715887,1.0013427,3.6046271,0.0070707067,9.942488386284762,19.081758,1.4407553e-19,11.664364,36.046272,9.225966,51.71264,200,14.108212,,10,35.997906,35.99794,9.052531,0.11,9.553689,15.94209
16.180878,0.07070707,9.61229133605957,10.992288,9.553689,-4.1243196,,0.57715887,1.4076525,1.7867112,0.0070707067,9.950903706066939,13.573931,1.5848248e-19,11.569054,19.653824,9.210813,29.754808,220,15.601313,,11,10.992288,13.962128,9.059275,0.11,9.553689,15.963632
