DenMISEMeanLog,LQGsigma,LQGmu01,IWMean,ReturnMean,IWMin,ExplorationBonus,Bound,DenMISELogFirst,IWMax,URet,IWLastEpisode,IWNorm1,ReturnLastEpisode,ReturnStepMax,target_sum_log_mean,SqrtESSClassic,Iteration,TimestepsSoFar,MISE,DenMISELogLast,IWNorm2,ReturnMax,ReturnMin,ReturnAbsMax,IWFirstEpisode,TimeElapsed,LQGmu1
18.60218,0.11,-0.0109104775,1.2551258,15.058442,,30.116884,49.01712,18.60218,1.2551258,16.687925283112612,1.2551258,1.2551258,15.058442,0.9625284,18.829416,1.0,1,20,18.900238,18.60218,1.2551258,15.058442,,15.058442,1.2551258,0.05925130844116211,-0.108678184
19.879822,0.11,-0.011110653,1.1763588,15.4885845,,22.580761,40.840332,18.722239,1.2680475,17.62443757124685,1.2680475,2.3527176,15.918728,0.99734735,20.039198,1.4099373,2,40,18.259571,21.037403,1.6686683,15.918728,,15.918728,1.0846702,3.8256618976593018,-0.110656105
20.424597,0.11,-0.010710301,1.0489453,15.657649,,18.475073,34.889572,18.75007,1.0797039,17.710786971628483,1.0218279,3.1468358,15.995777,0.9980736,20.472124,1.7316064,3,60,16.4145,21.400732,1.8172928,15.995777,,15.995777,1.0797039,7.174316167831421,-0.10669941
20.005573,0.11,-0.011110653,1.0460328,15.801532,,16.406145,32.94477,18.7698,1.1972337,17.96570509517042,1.1972337,4.184131,16.233181,0.9998867,20.038877,1.9789149,4,80,16.538626,18.712069,2.1143563,16.233181,,16.233181,1.0342891,10.493343353271484,-0.110656105
18.739891,0.11,-0.0027026958,3.0898795e-07,15.757706,,32.377254,32.37726,18.776636,1.5410947e-06,17.253714102609212,2.3250755e-10,1.5454398e-06,15.582396,0.9998867,-1.8071182,1.0027522,5,100,4.942618e-06,13.642377,1.5411981e-06,16.233181,,16.233181,3.8757964e-12,13.831613779067993,-0.027020447
16.954336,0.11,-0.0053052553,75.07218,15.378532,,32.465744,1044.6427,18.594315,450.42447,14.910814749429354,450.42447,450.43307,13.48267,0.9998867,10.367629,1.0000191,6,120,1012.17694,8.938163,450.42447,16.233181,,16.233181,9.162921e-06,17.244261503219604,-0.05300333
17.263065,0.11,-0.0053052553,1.9613558,15.172579,,22.941069,49.830917,18.440165,6.90798,15.453369894476285,6.811527,13.72949,13.936853,0.9998867,11.404521,1.415207,7,140,26.889849,15.707257,9.701401,16.233181,,16.233181,1.0690066e-05,20.670944929122925,-0.05300333
16.741596,0.11,-0.0053052553,1.4899689,14.997482,,18.726763,39.18728,18.306635,3.9894054,15.289884901754132,3.9894054,11.919751,13.771812,0.9998867,11.734219,1.7336878,8,160,20.460516,12.658461,6.875374,16.233181,,16.233181,1.2217198e-05,24.01535415649414,-0.05300333
17.017021,0.11,-0.0053052553,1.3250144,14.844731,,16.215967,34.37653,18.188854,2.9946961,15.107825817626336,2.9583082,11.925129,13.622731,0.9998867,12.656767,2.002123,9,180,18.160563,18.952536,5.9562416,16.233181,,16.233181,1.3744315e-05,27.386899948120117,-0.05300333
16.63617,0.11,-0.0071069873,0.7503445,14.913475,,23.411446,34.78333,18.083494,5.296052,17.197095289032653,5.296052,7.503445,15.53216,0.9998867,14.644339,1.386773,10,200,11.371884,13.011894,5.4107237,16.233181,,16.233181,0.011070943,31.122002601623535,-0.07095164
16.462395,0.11,-0.0057056434,1.3614787,14.854197,,13.308404,32.545116,17.98929,2.9232185,15.823590076653652,2.9232185,14.976266,14.261415,0.9998867,13.680761,2.4395382,11,220,19.236713,15.037876,6.1389756,16.233181,,16.233181,9.215444e-05,34.46919369697571,-0.056995213
16.56862,0.11,-0.021518199,4.1336985e-08,14.8606615,,32.14208,32.14208,17.902288,4.9216106e-07,16.556736795139578,4.0191607e-34,4.972438e-07,14.931787,0.9998867,-50.374653,1.010089,12,240,6.7092884e-07,17.46794,4.922772e-07,16.233181,,16.233181,1.4356895e-14,37.98515057563782,-0.2119529
15.403403,0.11,-0.01891666,1.8472797,14.99146,,33.121403,63.71424,17.822245,24.01416,18.31916789432415,24.01416,24.014635,16.56103,0.9998867,-28.648884,1.0000198,13,260,30.592838,2.3813128,24.01416,16.56103,,16.56103,6.1002154e-09,41.47968053817749,-0.18696384
15.443492,0.11,-0.01951704,1.1849645,15.119368,,23.780216,43.52723,17.748137,8.816019,18.54681753127475,7.773364,16.589504,16.78216,0.9998867,-28.917406,1.4114388,14,280,19.747011,15.881657,11.753612,16.78216,,16.78216,4.1521434e-10,45.11933350563049,-0.19275333
15.534271,0.11,-0.020917866,1.1058438,15.218872,,19.814054,38.23179,17.679144,7.022301,18.36418171306749,7.022301,16.587656,16.61195,0.9998867,-33.898403,1.6939652,15,300,18.417732,16.84104,9.792206,16.78216,,16.78216,4.2841934e-13,48.461869955062866,-0.20620944
15.481436,0.11,-0.020317521,1.0882211,15.307335,,16.78676,34.904106,17.614605,4.418506,18.3947722930216,4.4141765,17.411537,16.634275,0.999972,-27.444502,1.9994518,16,320,18.117346,14.720516,8.708156,16.78216,,16.78216,9.732013e-12,51.83381986618042,-0.20045175
15.554773,0.11,-0.020917866,1.0803322,15.395142,,15.173253,33.197857,17.553982,4.2510924,18.563661919537118,4.2484174,18.365646,16.800049,0.999972,-27.891947,2.2144294,17,340,18.024605,16.735664,8.293625,16.800049,,16.800049,4.855414e-13,55.26481890678406,-0.20620944
15.628462,0.11,-0.02131809,1.0822585,15.468548,,13.980678,32.046764,17.496822,3.8855166,18.48196721252873,3.8855166,19.480652,16.716461,0.999972,-27.3369,2.403324,18,360,18.066088,16.876354,8.105712,16.800049,,16.800049,6.277045e-14,58.60035514831543,-0.21004
15.681099,0.11,-0.024919763,0.92866296,15.537011,,22.047651,37.6028,17.442755,11.0949955,18.53435097884604,11.0949955,17.644596,16.76933,0.999972,-43.1652,1.5239763,19,380,15.555147,16.60949,11.577999,16.800049,,16.800049,5.824345e-23,61.95439791679382,-0.24421279
15.620752,0.11,-0.024319528,1.1022133,15.608665,,16.18342,34.707375,17.391462,7.3021355,18.74520482934645,6.402408,22.044266,16.970095,0.999972,-37.173847,2.0972197,20,400,18.523952,14.658335,10.511186,16.970095,,16.970095,2.438774e-21,65.29808378219604,-0.23855676
15.595677,0.11,-0.025519982,1.1242,15.671287,,16.664017,35.618355,17.342672,8.481966,18.69509587664968,8.481966,23.6082,16.923702,0.999972,-40.34561,2.0367353,21,420,18.954336,15.082868,11.591197,16.970095,,16.970095,1.5117909e-24,68.84337711334229,-0.24985227
15.484054,0.11,-0.05250422,1.8644746e-08,15.722726,,33.52724,33.52724,17.296152,4.0725544e-07,18.5663073875877,3.4868925e-17,4.123844e-07,16.802937,0.999972,-161.22688,1.0123168,22,440,3.1639692e-07,13.118546,4.073669e-07,16.970095,,16.970095,,72.73272132873535,-0.48195335
