IWMean,target_sum_log_mean,IWMax,IWMin,ReturnLastEpisode,Iteration,IWFirstEpisode,IWLastEpisode,DenMISEMeanLog,TimestepsSoFar,MISE,SqrtESSClassic,DenMISELogFirst,ReturnMax,DenMISELogLast,ReturnMin,ReturnMean,TimeElapsed,Bound,LQGmu01,ReturnStepMax,IWNorm2,URet,IWNorm1,LQGmu1,ReturnAbsMax,LQGsigma,ExplorationBonus
2.549644e-10,-31.300238,2.549644e-10,,14.212496,1,2.549644e-10,2.549644e-10,-9.2103405,20,3.6236807e-09,1.0,-9.2103405,14.212496,-9.2103405,,14.212496,0.04349803924560547,1.4284096,0.001,0.99494565,3.5496442e-10,15.593418754668832,3.5496442e-10,0.01,14.212496,1.0,1.4284096
6.214238e-35,-96.40234,1.2428477e-34,,9.109096,2,1.2428477e-34,,-9.903487,40,8.831983e-34,1.4142135,-9.903487,14.212496,-9.903487,,11.660795,1.0963292121887207,1.0100381,0.073948614,0.99494565,1.4142136e-10,10.0238642864365,2e-10,0.7394861,14.212496,0.79495764,1.0100381
4.8112847e-06,-71.41985,1.4433855e-05,,3.9737456,3,1.8642696e-34,1.4433855e-05,-10.308951,60,1.9118821e-05,1.0000138,-10.308952,14.212496,-10.308948,,9.098446,1.1454944610595703,1.4284089,0.073948614,0.99494565,1.4433955e-05,4.343844650902774,1.4434155e-05,0.7394861,14.212496,0.79495764,1.4283898
6.8159475e-23,-195.99026,2.7131751e-22,,4.3058167,4,,1.3203994e-24,-10.596631,80,2.7095802e-22,2.0,-10.596635,14.212496,-10.596628,,7.9002886,1.1740946769714355,0.7142048,0.099132836,0.99494565,2e-10,4.710643503895502,4e-10,0.99132836,14.212496,0.5320942,0.7142048
,-1157.5948,,,1.3565297,5,,,-10.819605,100,,2.2360678,-10.819778,14.212496,-10.818923,,6.5915365,1.2603373527526855,0.6388042,-0.09703344,0.99494565,2.2360681e-10,1.4824501940150387,5e-10,-0.9703344,14.212496,0.55708796,0.6388042
,-987.4688,,,15.425114,6,,,-11.001956,120,,2.4494896,-11.0021,15.425114,-11.0021,,8.0638,1.300001621246338,0.6329001,-0.09703344,0.999975,2.4494898e-10,17.128353826155838,6e-10,-0.9703344,15.425114,0.55708796,0.6329001
,-192.66162,,,16.711102,7,,,-11.156045,140,,2.6457512,-11.156251,16.711102,-11.155682,,9.299129,1.33345627784729,0.6348023,-0.8310199,0.999975,2.6457514e-10,18.42724460760735,7e-10,-8.310199,16.711102,6088.3438,0.6348023
,-193.73993,,,1.8999448,8,,,-11.289601,160,,2.828427,-11.289782,16.711102,-11.289782,,8.37423,1.372774600982666,0.59380317,-0.8310199,0.999975,2.8284272e-10,2.035972281622022,8e-10,-8.310199,16.711102,6088.3438,0.59380317
,-194.36914,,,3.1574428,9,,,-11.407406,180,,3.0,-11.407565,16.711102,-11.407565,,7.794588,1.4086802005767822,0.55984294,-0.8310199,0.999975,3e-10,3.541877003668627,8.9999996e-10,-8.310199,16.711102,6088.3438,0.55984294
,-195.20328,,,3.2700448,10,,,-11.512781,200,,3.1622772,-11.512925,16.711102,-11.512925,,7.3421335,1.4465880393981934,0.53111374,-0.8310199,0.999975,3.162278e-10,3.5861110735760233,1e-09,-8.310199,16.711102,6088.3438,0.53111374
