ReturnMean,IWMean,DenMISELogLast,LQGmu01,IWMax,IWLastEpisode,SqrtESSClassic,ReturnMax,IWNorm2,URet,IWFirstEpisode,ReturnAbsMax,MISE,IWNorm1,DenMISEMeanLog,TimeElapsed,Bound,LQGsigma,ReturnLastEpisode,ExplorationBonus,TimestepsSoFar,target_sum_log_mean,ReturnMin,LQGmu1,DenMISELogFirst,Iteration,IWMin,ReturnStepMax
15.058442,1.2230332,18.60218,-0.011110653,1.2230332,1.2230332,1.0,15.058442,1.2230332,16.687925283112612,1.2230332,15.058442,18.416975,1.2230332,18.60218,0.04970049858093262,48.53386,0.11,15.058442,30.116884,20,18.803514,,-0.110656105,18.60218,1,,0.9625284
15.500984,1.1869664,20.961245,-0.011110653,1.2736055,1.2736055,1.4104612,15.943526,1.6830899,17.65144763451032,1.1003274,15.943526,18.437489,2.3739328,19.834576,0.7190802097320557,41.045025,0.11,15.943526,22.607536,40,20.003305,,-0.110656105,18.707907,2,,0.99769473
15.668101,1.0253816,21.337915,-0.011110653,1.1671578,0.84426516,1.7172914,16.002333,1.791277,17.717651583033557,1.0647218,16.002333,16.050625,3.0761447,20.375748,0.766711950302124,34.687336,0.11,16.002333,18.636711,60,20.391747,,-0.110656105,18.7408,3,,0.9980863
15.818252,1.0484524,18.614805,-0.011110653,1.1472341,1.1472341,1.9901079,16.268705,2.1073277,18.004091041313032,1.0477672,16.268705,16.590366,4.1938095,19.93983,0.8148791790008545,32.939938,0.11,16.268705,16.349571,80,19.98185,,-0.110656105,18.756853,4,,0.9999598
15.774042,1.0393531,13.750049,-0.011110653,1.1144173,1.050134,2.2302818,16.268705,2.3300936,17.269297167530585,1.037852,16.268705,16.397564,5.1967654,18.709415,0.8648843765258789,30.986488,0.11,15.597202,14.588923,100,18.745274,,-0.110656105,18.766361,5,,0.9999598
15.797595,1.0523297,16.72932,-0.011110653,1.1549469,1.1549469,2.443592,16.268705,2.583892,17.62325855504833,1.031346,16.268705,16.628416,6.313978,18.384785,0.918226957321167,29.943817,0.11,15.915366,13.315402,120,18.43329,,-0.110656105,18.77265,6,,0.9999598
15.794,1.0459609,19.04193,-0.011110653,1.1299348,1.0584692,2.6417215,16.268705,2.771574,17.470772883525974,1.0267493,16.268705,16.52276,7.3217263,18.484999,0.9721882343292236,28.839506,0.11,15.772427,12.316746,140,18.528355,,-0.110656105,18.777117,7,,0.9999598
15.770201,1.0382502,14.013875,-0.011110653,1.1118759,1.02863,2.8255107,16.268705,2.939646,17.292063163332728,1.0233258,16.268705,16.375748,8.306002,17.931099,1.0296728610992432,27.891335,0.11,15.603606,11.515586,160,17.967573,,-0.110656105,18.780457,8,,0.9999598
15.748901,1.0307661,20.029396,-0.011110653,1.0982244,1.0077873,2.997721,16.268705,3.0946496,17.261178992044204,1.0206807,16.268705,16.235712,9.2768955,18.168,1.0889291763305664,27.08976,0.11,15.578516,10.854049,180,18.197527,,-0.110656105,18.783045,9,,0.9999598
15.823568,1.0320474,13.827992,-0.011110653,1.0875413,1.0733325,3.160262,16.495577,3.2657018,18.243813935855524,1.0185744,16.495577,16.335562,10.320474,17.736757,1.148094654083252,26.774933,0.11,16.495577,10.439372,200,17.76765,,-0.110656105,18.78511,10,,0.9999598
15.795471,1.0238076,17.190683,-0.011110653,1.0789546,0.9725072,3.3146052,16.495577,3.397655,17.19336837287424,1.0168585,16.495577,16.176966,11.261885,17.689753,1.2101356983184814,26.130234,0.11,15.514492,9.953268,220,17.712664,,-0.110656105,18.786797,11,,0.9999598
15.817397,1.0216106,18.225794,-0.011110653,1.0719025,1.0208149,3.4624777,16.495577,3.540623,17.783649123691163,1.015432,16.495577,16.163742,12.259328,17.736237,1.275712490081787,25.691935,0.11,16.058563,9.5281925,240,17.757141,,-0.110656105,18.7882,12,,0.9999598
15.845755,1.0224051,11.195397,-0.011110653,1.0660062,1.0531136,3.6040938,16.495577,3.687825,17.917478312722572,1.014228,16.495577,16.205482,13.291267,17.234625,1.3431429862976074,25.359283,0.11,16.186039,9.1538,260,17.256374,,-0.110656105,18.789387,13,,0.9999598
