MISE,ReturnMax,IWFirstEpisode,IWNorm2,DenMISELogFirst,target_sum_log_mean,ReturnLastEpisode,LQGmu1,ReturnAbsMax,LQGsigma,LQGmu01,IWMean,TimestepsSoFar,ExplorationBonus,IWMax,SqrtESSClassic,DenMISEMeanLog,URet,DenMISELogLast,IWNorm1,TimeElapsed,ReturnStepMax,IWMin,Bound,IWLastEpisode,Iteration,ReturnMean,ReturnMin
,15.80704,,1e-10,13.511501,-328.60306,15.80704,-0.6678977,15.80704,0.11,-0.08051912,,20,1.5886673,,1.0,13.511501,17.497854397219367,13.511501,1e-10,0.23164820671081543,0.99233466,,1.5886673,,1,15.80704,
18.647577,16.867111,2.3594015,2.3594015,12.818355,-18.576645,16.867111,-0.092458434,16.867111,0.11,-0.00927206,1.1797007,40,1.6952084,2.3594015,1.0,6.857605,18.64163685236926,0.89685535,2.3594015,7.90507960319519,0.99999225,,20.342785,3.429969e-23,2,16.337076,
