ReturnAbsMax,Iteration,ReturnLastEpisode,ReturnStepMax,TimeElapsed,IWLastEpisode,IWFirstEpisode,IWMin,URet,LQGmu1,ReturnMin,LQGsigma,IWMax,MISE,ReturnMean,Bound,DenMISELogFirst,DenMISELogLast,IWMean,LQGmu01,TimestepsSoFar,DenMISEMeanLog,target_sum_log_mean,ReturnMax
14.212496,1,14.212496,0.99494565,0.04630589485168457,2.549644e-10,2.549644e-10,,15.593418754668832,0.01,,1.0,2.549644e-10,3.6236807e-09,14.212496,3.6236807e-09,-9.2103405,-9.2103405,2.549644e-10,0.001,20,-9.2103405,-31.300238,14.212496
14.212496,2,9.109096,0.99494565,0.9656291007995605,3.525682e-09,5.099281e-10,,10.0238642864365,0.01,,1.0,3.525682e-09,1.9681563e-08,11.660795,1.9681563e-08,-9.903487,-9.903487,2.017805e-09,0.001,40,-9.903487,-30.333458,14.212496
14.212496,3,13.499597,0.99494565,0.9913628101348877,1.6805882e-06,7.6489287e-10,,15.015132329977508,0.01,,1.0,1.6805882e-06,7.582102e-06,12.27373,7.582102e-06,-10.308952,-10.308951,5.6221387e-07,0.001,60,-10.308952,-28.090744,14.212496
14.387457,4,14.387457,0.99494565,1.0170185565948486,1.3211023e-07,1.0198586e-09,,15.84123010160815,0.01,,1.0,2.2407833e-06,8.057282e-06,12.802161,8.057282e-06,-10.596635,-10.596635,5.9524115e-07,0.001,80,-10.596634,-27.677124,14.387457
14.387457,5,12.253919,0.99494565,1.045680284500122,1.4264225e-07,1.274822e-09,,13.545473914711895,0.01,,1.0,2.8009763e-06,8.40686e-06,12.6925125,8.40686e-06,-10.819778,-10.819778,6.237691e-07,0.001,100,-10.8197775,-27.45824,14.387457
14.387457,6,9.670804,0.99494565,1.0756523609161377,3.5479196e-11,1.5297865e-09,,10.635293469573131,0.01,,1.0,3.3611684e-06,8.40691e-06,12.188895,8.40691e-06,-11.0021,-11.0021,6.237745e-07,0.001,120,-11.002099,-28.725897,14.387457
14.387457,7,11.784708,0.99494565,1.1076533794403076,1.6498156e-08,1.7847531e-09,,13.030717354830307,0.01,,1.0,3.9213605e-06,8.434678e-06,12.131154,8.434678e-06,-11.156251,-11.156251,6.261309e-07,0.001,140,-11.15625,-28.77595,14.387457
14.387457,8,12.717458,0.99494565,1.1416141986846924,1.3698553e-07,2.0397144e-09,,13.921750443504749,0.01,,1.0,4.4815556e-06,8.652444e-06,12.204442,8.652444e-06,-11.289782,-11.289782,6.432542e-07,0.001,160,-11.289782,-28.565601,14.387457
14.387457,9,11.439434,0.99494565,1.1803309917449951,1.1081653e-06,2.2946776e-09,,12.735457078712699,0.01,,1.0,5.041748e-06,1.0060973e-05,12.119441,1.0060973e-05,-11.407565,-11.407564,7.6638355e-07,0.001,180,-11.407564,-28.1828,14.387457
14.387457,10,13.873312,0.99494565,1.2223243713378906,4.507578e-08,2.5496454e-09,,15.18742952949956,0.01,,1.0,5.6019344e-06,1.0123496e-05,12.294828,1.0123496e-05,-11.512925,-11.512925,7.7089015e-07,0.001,200,-11.512924,-28.207306,14.387457
14.387457,11,12.744191,0.99494565,1.2668118476867676,1.0964002e-06,2.8046099e-09,,14.175280732318155,0.01,,1.0,6.1621276e-06,1.1393743e-05,12.335679,1.1393743e-05,-11.608235,-11.608234,8.705629e-07,0.001,220,-11.608234,-27.945885,14.387457
15.763994,12,15.763994,0.9979914,1.3182835578918457,4.5442812e-07,3.0595686e-09,,17.329145624716976,0.01,,1.0,6.7223145e-06,1.19907045e-05,12.621371,1.19907045e-05,-11.695247,-11.695247,9.0843133e-07,0.001,240,-11.695247,-27.808685,15.763994
15.763994,13,12.131697,0.9979914,1.3661730289459229,4.3577504e-08,3.3145362e-09,,13.539792530475795,0.01,,1.0,7.2825082e-06,1.2031372e-05,12.583705,1.2031372e-05,-11.77529,-11.77529,9.1178356e-07,0.001,260,-11.775289,-27.879097,15.763994
15.763994,14,10.970573,0.9979914,1.417654275894165,4.0401793e-09,3.5695011e-09,,12.080379036090454,0.01,,1.0,7.842695e-06,1.2034531e-05,12.468481,1.2034531e-05,-11.849398,-11.849398,9.1207164e-07,0.001,280,-11.849398,-28.114614,15.763994
15.763994,15,10.624855,0.9979914,1.469611406326294,5.363891e-07,3.8244643e-09,,11.717805433887055,0.01,,1.0,8.402885e-06,1.2414466e-05,12.345572,1.2414466e-05,-11.91839,-11.91839,9.478307e-07,0.001,300,-11.91839,-27.997427,15.763994
15.763994,16,12.312882,0.9995132,1.5236916542053223,2.1646672e-07,4.0794306e-09,,13.685924891301982,0.01,,1.0,8.963065e-06,1.2581037e-05,12.343529,1.2581037e-05,-11.982929,-11.982929,9.61359e-07,0.001,320,-11.982928,-27.955635,15.763994
15.763994,17,13.676218,0.9995132,1.5802109241485596,1.321311e-06,4.334397e-09,,15.21144632581845,0.01,,1.0,9.523252e-06,1.3644008e-05,12.421923,1.3644008e-05,-12.043553,-12.043552,1.0390829e-06,0.001,340,-12.043552,-27.815918,15.763994
15.763994,18,12.415565,0.9995132,1.6403005123138428,3.9130685e-09,4.5893573e-09,,13.834957919352007,0.01,,1.0,1.0083443e-05,1.3646705e-05,12.42157,1.3646705e-05,-12.100712,-12.100712,1.0393003e-06,0.001,360,-12.100711,-28.018349,15.763994
15.763994,19,13.426414,0.9995132,1.7047326564788818,7.428848e-08,4.8443236e-09,,14.649905136431528,0.01,,1.0,1.0643628e-05,1.3699198e-05,12.474457,1.3699198e-05,-12.154779,-12.154779,1.0432099e-06,0.001,380,-12.1547785,-28.047388,15.763994
15.763994,20,14.712248,0.9995132,1.766615390777588,4.427059e-08,5.0992837e-09,,16.171543943271875,0.01,,1.0,1.120381e-05,1.3731755e-05,12.586347,1.3731755e-05,-12.206073,-12.206073,1.0454229e-06,0.001,400,-12.206072,-28.101969,15.763994
15.763994,21,14.28879,0.9995132,1.8323757648468018,3.484733e-07,5.354247e-09,,15.873485576176416,0.01,,1.0,1.17639975e-05,1.396886e-05,12.667415,1.396886e-05,-12.254863,-12.254863,1.0620165e-06,0.001,420,-12.254863,-28.055426,15.763994
15.763994,22,10.985656,0.9995132,1.899644374847412,2.3459945e-10,5.6092118e-09,,12.121865735760785,0.01,,1.0,1.2324179e-05,1.3968972e-05,12.590972,1.3968972e-05,-12.301383,-12.301383,1.062027e-06,0.001,440,-12.301382,-28.3472,15.763994
15.763994,23,10.3117285,0.9995132,1.9672889709472656,5.863656e-07,5.8641816e-09,,11.322274335825451,0.01,,1.0,1.2884356e-05,1.4231853e-05,12.491875,1.4231853e-05,-12.345835,-12.345834,1.0875203e-06,0.001,460,-12.345833,-28.275375,15.763994
15.763994,24,11.095075,0.9995132,2.038093090057373,7.62387e-08,6.119152e-09,,12.215480728891594,0.01,,1.0,1.3444545e-05,1.4267097e-05,12.433674,1.4267097e-05,-12.388394,-12.388394,1.0906971e-06,0.001,480,-12.388393,-28.29631,15.763994
15.763994,25,10.396541,0.9995132,2.1099050045013428,5.963759e-07,6.3741106e-09,,11.48863160326307,0.01,,1.0,1.4004722e-05,1.45151e-05,12.352189,1.45151e-05,-12.429216,-12.429215,1.1145515e-06,0.001,500,-12.429215,-28.234922,15.763994
