Iteration,target_sum_log_mean,TimeElapsed,DenMISELogFirst,TimestepsSoFar,IWNorm2,IWNorm1,URet,ReturnAbsMax,IWMax,IWLastEpisode,IWFirstEpisode,Bound,ReturnMean,ExplorationBonus,IWMin,SqrtESSClassic,ReturnMax,DenMISELogLast,LQGsigma,ReturnStepMax,DenMISEMeanLog,ReturnMin,MISE,ReturnLastEpisode,LQGmu1,IWMean,LQGmu01
1,12.849516,0.051941633224487305,12.845262,20,1.0042634,1.0042634,10.303278693899255,9.380901,1.0042634,1.0042634,1.0042634,28.182697,9.380901,18.761803,,1.0,9.380901,12.845262,0.11,0.55877954,12.845262,,9.420896,9.380901,0.01010101,1.0042634,0.001010101
2,13.243401,1.8901760578155518,12.847391,40,26.680063,26.692335,10.166394052361602,9.380901,26.680061,26.680061,0.012274523,142.20213,9.315305,18.753178,,1.0004599,9.380901,14.755722,0.11,0.55877954,13.801557,,123.44896,9.249708,0.030303031,13.346168,0.0030303032
3,15.828861,2.5901591777801514,12.448045,60,4.0932016,5.803327,10.085677680633932,9.380901,2.9942307,2.9942307,0.018299472,31.061474,9.271588,13.233071,,1.4177965,9.380901,19.903095,0.11,0.55877954,16.454817,,17.828402,9.184156,0.030303031,1.9344424,0.0030303032
4,16.298954,3.411914825439453,12.166444,80,3.3960993,5.9056783,10.15268805296383,9.380901,1.9980755,1.9556059,0.024251372,24.413757,9.266199,10.789099,,1.7389592,9.380901,17.038534,0.11,0.55877954,16.723965,,13.624658,9.2500305,0.030303031,1.4764196,0.0030303032
5,14.152601,4.266961097717285,11.949345,100,2.4648163,2.6972106,10.07552934482122,9.380901,2.4600244,0.13515884,2.4600244,22.197464,9.248004,17.145267,,1.0942847,9.380901,17.106453,0.11,0.55877954,16.862463,,5.0521975,9.175225,0.01010101,0.5394421,0.001010101
6,15.588589,5.159509658813477,12.167144,120,4.2974086,9.629556,10.111530156621239,9.380901,1.9980564,1.8806412,0.024234401,23.160454,9.241142,8.372882,,2.240782,9.380901,10.141308,0.11,0.55877954,15.664851,,14.787572,9.206833,0.030303031,1.604926,0.0030303032
7,15.473485,6.374765396118164,12.017024,140,4.168243,10.235928,10.090698711314747,9.380901,1.7487226,1.7206001,0.02815973,21.104809,9.23224,7.6401234,,2.4556937,9.380901,14.240186,0.11,0.55979556,15.528163,,13.464686,9.178826,0.030303031,1.4622754,0.0030303032
8,13.709574,7.309978723526001,11.887507,160,3.5780895,5.4144764,10.522380419794905,9.553689,2.6169472,2.4333546,2.6169472,19.020462,9.272421,12.626873,,1.5132312,9.553689,18.9792,0.11,0.57715887,16.00637,,6.393588,9.553689,0.01010101,0.67680955,0.001010101
9,-13.491632,8.176324367523193,12.052734,180,2.185177e-08,2.1967194e-08,10.531545182766319,9.564552,2.1851669e-08,1.6124811e-18,9.770604e-20,19.028593,9.304881,19.028593,,1.0052822,9.564552,16.619677,0.11,0.5836317,16.0358,,2.2417161e-08,9.564552,0.07070707,2.4407993e-09,0.0070707067
10,7.122229,9.048563241958618,11.947374,200,324.33484,324.38736,10.051260323522369,9.564552,324.33484,324.33484,1.066201e-08,316.1561,9.290056,19.126009,,1.0001619,9.564552,9.212082,0.11,0.5836317,15.258606,,297.0301,9.156642,0.05050505,32.438736,0.005050505
11,8.110981,9.94650936126709,11.852064,220,13.644464,19.231422,10.009608478690645,9.564552,10.670991,8.50287,1.1728212e-08,29.54602,9.2738495,13.57187,,1.4094671,9.564552,15.858103,0.11,0.5836317,15.545987,,15.974152,9.111789,0.05050505,1.7483112,0.005050505
