ReturnMean,MISE,IWMean,DenMISEMeanLog,IWMin,ReturnStepMax,ReturnAbsMax,LQGmu1,IWNorm1,DenMISELogFirst,TimestepsSoFar,ReturnMin,ReturnMax,URet,ExplorationBonus,Bound,TimeElapsed,LQGsigma,ReturnLastEpisode,IWMax,LQGmu01,IWLastEpisode,IWFirstEpisode,DenMISELogLast,IWNorm2,Iteration,SqrtESSClassic,target_sum_log_mean
9.133501,8.933122,0.99045956,15.294696,,0.57715887,9.553689,0.09090909,18.818731,11.022511,380,,9.553689,9.900921849635916,10.229188,19.16231,16.970194578170776,0.11,9.0147505,6.2198477,0.00909091,5.763489,8.036374e-35,16.141314,10.07466,19,1.8679271,-9.817347
9.128068,6.393585,0.6768093,15.212039,,0.57715887,9.553689,0.01010101,13.536186,10.971217,400,,9.553689,9.912120638838479,12.626872,19.020458,17.871508836746216,0.11,9.024832,6.542365,0.001010101,3.5215473e-36,6.542365,13.742959,8.94522,20,1.5132313,-30.209082
9.154738,6.290992,0.6995231,14.904692,,0.61800236,9.688149,0.11111111,14.689984,11.205437,420,,9.688149,10.647141173893225,12.542584,18.833576,18.75625991821289,0.11,9.688149,6.879513,0.011111111,,,9.139693,9.509059,21,1.544841,-33.89277
9.147819,1.5112209e-18,1.6786639e-19,14.321369,,0.61800236,9.688149,0.17171717,3.6930827e-18,11.158916,440,,9.688149,9.884116043360915,19.375237,19.375237,19.65350890159607,0.11,9.002522,3.692879e-18,0.017171716,3.692879e-18,,2.4340093,3.69288e-18,22,1.0000548,-159.585
9.133603,8.820846,1.0,14.278206,,0.61800236,9.688149,0.17171717,23.0,11.114465,460,,9.688149,9.687974211086196,19.376299,28.197144,20.559980630874634,0.11,8.820846,23.0,0.017171716,23.0,,14.306591,23.0,23,1.0,-151.88818
9.119632,4.5242486,0.51418704,14.208159,,0.61800236,9.688149,0.1919192,12.340489,11.071905,480,,9.688149,9.662553043072368,18.919292,23.44354,21.676633834838867,0.11,8.7983,12.045824,0.019191919,12.045824,,12.882797,12.049428,24,1.0241556,-203.58752
9.104387,11.783965,1.3461084,14.169659,,0.61800236,9.688149,0.1919192,33.65271,11.031083,500,,9.688149,9.59770736788452,15.175053,26.959019,22.561705589294434,0.11,8.738514,24.994972,0.019191919,24.994972,,13.806415,26.355997,25,1.2768521,-194.763
9.092367,10.098612,1.151442,14.230896,,0.61800236,9.688149,0.1919192,29.937492,10.991862,520,,9.688149,9.655603542965455,11.46492,21.563532,23.466892957687378,0.11,8.791871,12.998694,0.019191919,10.114843,,15.748914,17.713959,26,1.690051,-186.57741
9.080768,6.8476257,0.7771461,14.287903,,0.61800236,9.688149,0.17171717,20.982944,10.954123,540,,9.688149,9.642684120616488,13.169322,20.016949,24.49091911315918,0.11,8.779177,13.020418,0.017171716,0.4169793,,15.781886,14.261297,27,1.4713209,-127.35272
9.071918,0.5956336,0.06816112,14.320872,,0.61800236,9.688149,0.21212122,1.9085114,10.917754,560,,9.688149,9.698864795406575,19.331203,19.926838,25.389681577682495,0.11,8.832966,1.9040657,0.021212121,4.1797494e-09,,15.525256,1.9040697,28,1.0023328,-232.86783
9.05916,8.56982,0.9845469,14.344493,,0.61800236,9.688149,0.21212122,28.55186,10.882663,580,,9.688149,9.559743096740585,18.163351,26.733171,26.541755437850952,0.11,8.701952,26.700754,0.021212121,26.700754,,15.922484,26.764526,29,1.06678,-224.1756
9.046472,9.028906,1.0386659,14.308972,,0.61800236,9.688149,0.21212122,31.159977,10.848762,600,,9.688149,9.530477688083336,12.960264,21.98917,27.45973539352417,0.11,8.678488,14.978565,0.021212121,14.978565,,13.547427,20.842035,30,1.4950544,-216.16129
9.035506,8.851095,1.0176369,14.076833,,0.61800236,9.688149,0.21212122,31.546745,10.815971,620,,9.688149,9.562032415144143,10.626433,19.477528,28.386919260025024,0.11,8.706569,10.3234825,0.021212121,9.422457,,7.2414193,17.301003,31,1.8234056,-208.88237
9.024757,1.8803649e-19,2.1666854e-20,14.186581,,0.61800236,9.688149,0.27272728,6.9337133e-19,10.784224,640,,9.688149,9.54825164892118,19.311243,19.311243,29.32373046875,0.11,8.691519,6.9104235e-19,0.02727273,2.2715664e-21,,17.684385,6.9104333e-19,32,1.0033689,-423.69177
9.006363,8.417722,1.0000001,14.112004,,0.61800236,9.688149,0.27272728,33.000004,10.753451,660,,9.688149,9.243657008039602,19.376299,27.794022,30.288077354431152,0.11,8.417721,33.000004,0.02727273,33.000004,,12.710228,33.000004,33,1.0,-410.3615
8.9897995,8.43049,1.0,14.053345,,0.61800236,9.688149,0.27272728,34.0,10.7235985,680,,9.688149,9.272345057693716,13.701112,22.131601,31.275538444519043,0.11,8.443258,17.000008,0.02727273,17.000008,,12.409569,24.04163,34,1.4142137,-397.84375
8.974399,8.43724,0.99999976,13.9982195,,0.61800236,9.688149,0.27272728,34.999992,10.694611,700,,9.688149,9.279049266992386,11.186911,19.62415,32.4235897064209,0.11,8.450744,11.666664,0.02727273,11.666664,,12.29864,20.207254,35,1.7320509,-386.05518
8.958576,9.1877,1.0472274,13.985399,,0.61800236,9.688149,0.1919192,37.700188,10.66644,720,,9.688149,9.2334476296618,9.533971,18.721672,33.34573674201965,0.11,8.404756,11.446228,0.019191919,,,13.659614,18.550112,36,2.032343,-140.09958
8.953475,10.904426,1.1835904,13.905158,,0.61800236,9.688149,0.030303031,43.792847,10.639041,740,,9.688149,9.633082496147725,7.7871914,18.691616,34.273839712142944,0.11,8.769869,7.394216,0.0030303032,,0.11170662,11.068369,17.600021,37,2.488227,-188.91153
8.958247,167.3544,18.321177,13.396724,,0.61800236,9.688149,0.05050505,696.2047,10.615388,760,,9.688149,10.034307084964846,19.27629,186.63069,35.18436360359192,0.11,9.134816,692.60486,0.005050505,692.60486,4.0393644e-08,-5.5118504,692.6114,38,1.0051881,-140.91495
8.961399,14.845506,1.6292657,13.574458,,0.61800236,9.688149,0.05050505,63.54136,10.589412,780,,9.688149,9.974633419696579,13.322582,28.168087,36.13798999786377,0.11,9.081171,36.971542,0.005050505,23.101166,4.1456666e-08,18.26741,43.689198,39,1.4543952,-136.75284
8.964633,12.975504,1.4255514,13.647161,,0.61800236,9.688149,0.05050505,57.022057,10.564095,800,,9.688149,9.984404738247354,10.643526,23.61903,37.32682919502258,0.11,9.090753,19.465996,0.005050505,19.319904,4.2519588e-08,16.251556,31.322582,40,1.8204775,-132.85371
8.967612,10.192454,1.1201146,13.543269,,0.61800236,9.688149,0.05050505,45.924698,10.539402,820,,9.688149,9.979243407947362,9.544606,19.73706,38.26813769340515,0.11,9.086826,13.421214,0.005050505,4.7740874,4.3582574e-08,9.186814,22.622131,41,2.0300784,-129.35118
