Iteration,TimeElapsed,IWNorm2,ReturnMax,IWLastEpisode,IWMax,ReturnMin,target_sum_log_mean,DenMISEMeanLog,Bound,IWMin,MISE,URet,DenMISELogLast,LQGmu1,ReturnMean,IWNorm1,LQGsigma,ExplorationBonus,IWMean,TimestepsSoFar,LQGmu01,SqrtESSClassic,ReturnLastEpisode,IWFirstEpisode,ReturnAbsMax,ReturnStepMax,DenMISELogFirst
1,0.05221915245056152,1e-10,15.058442,,,,-402.86047,18.60218,30.116884,,,16.687925283112612,18.60218,0.23527098,15.058442,1e-10,0.11,30.116884,,20,0.023971613,1.0,15.058442,,15.058442,0.9625284,18.60218
2,1.2672317028045654,1.4142136e-10,15.058442,,,,-1389.2561,-6.021456,21.295853,,,9.725275201504529,-29.951944,-0.80579746,11.959518,2e-10,0.11,21.295853,,40,-0.1110331,1.4142135,8.860595,,15.058442,0.9625284,17.909033
3,1.4689629077911377,1.7320509e-10,16.559431,1.3432178e-20,1.3432178e-20,,-850.3471,-23.071497,19.121185,,7.4143074e-20,18.32719329565746,-56.360653,-0.45998406,13.492824,3e-10,0.11,19.121185,4.4773925e-21,60,-0.049688146,1.7320507,16.559431,,16.559431,0.9999498,17.503569
4,1.7083795070648193,18.08658,17.105274,,18.08658,,-233.56674,-13.199295,74.27501,,40.064465,18.883492514719638,17.280361,0.18312883,14.395936,18.08658,0.11,34.21055,4.521645,80,0.018519701,1.0,17.105274,,17.105274,0.9999498,17.215887
5,2.4639716148376465,2.2360681e-10,17.105274,,1.9028467e-18,,-1009.99805,-21.770512,15.299424,,6.51011e-18,9.905231293898593,-56.87148,-0.9629563,13.32323,5e-10,0.11,15.299424,3.8059154e-19,100,-0.19593869,2.2360678,9.032404,,17.105274,0.9999498,16.992743
