Bound,LQGmu1,URet,LQGsigma,IWNorm1,ReturnMin,IWLastEpisode,DenMISEMeanLog,SqrtESSClassic,target_sum_log_mean,ReturnLastEpisode,IWFirstEpisode,ReturnMax,ReturnStepMax,ReturnAbsMax,DenMISELogLast,TimeElapsed,TimestepsSoFar,ExplorationBonus,MISE,IWNorm2,IWMax,LQGmu01,IWMean,IWMin,Iteration,ReturnMean,DenMISELogFirst
11.990255,0.01010101,10.105606128406967,0.11,20.065578,,2.7049537,15.721924,2.6635716,12.060005,9.198099,3.0992637,10.560387,0.6360203,10.560387,16.939907,15.611082792282104,380,1.8191504,10.171104,7.5333357,3.1571436,0.001010101,1.0560831,,19,9.349778,11.718351
11.981957,0.01010101,11.366515631700379,0.11,21.235172,,2.8401494,15.651072,2.853774,12.223935,10.370158,2.8048582,10.560387,0.64623266,10.560387,14.29473,16.43219804763794,400,1.6549133,10.3270445,7.441084,2.8497782,0.001010101,1.0617586,,20,9.400797,11.818163
11.864706,0.01010101,10.652671807401136,0.11,22.35092,,2.6182628,15.671532,3.0313656,12.452364,9.69368,2.58287,10.560387,0.64623266,10.560387,16.058422,17.27854871749878,420,1.520414,10.344292,7.373218,2.619077,0.001010101,1.0643295,,21,9.414744,11.900615
11.271071,0.01010101,10.389595781796821,0.11,22.344997,,1.3546576,15.386355,3.1747367,12.325936,9.459136,2.4095094,10.560387,0.64623266,10.560387,9.367426,18.173728227615356,440,1.418374,9.852697,7.0383782,2.43954,0.001010101,1.0156817,,22,9.416762,11.970093
11.083133,0.01010101,10.139407630815382,0.11,23.253468,,2.0252328,15.444973,3.3378084,12.548737,9.234343,2.2703736,10.560387,0.64623266,10.560387,16.744658,19.204392671585083,460,1.3194244,9.763708,6.966687,2.2958438,0.001010101,1.0110203,,23,9.408831,12.029572
11.133246,0.030303031,10.742530191078723,0.11,25.845749,,1.2405587,15.443715,3.686463,14.141376,9.773363,0.02641064,10.560387,0.64623266,10.560387,15.425881,20.059311628341675,480,1.169484,9.963762,7.010988,2.172766,0.0030303032,1.0769062,,24,9.42402,12.08115
11.07575,0.030303031,10.05910601540364,0.11,26.970839,,2.0136583,15.481245,3.8400235,14.256723,9.162697,0.027480848,10.560387,0.64623266,10.560387,16.325134,20.945634126663208,500,1.1000335,9.975717,7.023613,2.0754082,0.0030303032,1.0788336,,25,9.413567,12.041428
10.910017,0.030303031,10.131679943609583,0.11,27.755705,,1.6089076,15.5645895,3.9867241,14.403116,9.225605,0.028548703,10.560387,0.64623266,10.560387,17.587362,21.810331344604492,520,1.0389794,9.8710375,6.962033,1.9929752,0.0030303032,1.067527,,26,9.406337,12.003305
10.877717,0.030303031,10.258097364149283,0.11,28.86525,,1.8482138,15.632032,4.126975,14.534399,9.339771,0.029614188,10.560387,0.64623266,10.560387,17.333515,22.72256326675415,540,0.984909,9.892808,6.9942875,1.9222782,0.0030303032,1.0690833,,27,9.403872,11.966663
10.860942,0.030303031,10.154920636511683,0.11,30.027637,,1.85457,15.653479,4.2606416,14.615141,9.248095,0.030677369,10.560387,0.64623266,10.560387,16.177511,23.657143592834473,560,0.9368193,9.924123,7.0476794,1.86098,0.0030303032,1.0724156,,28,9.398309,11.931392
