URet,DenMISEMeanLog,target_sum_log_mean,SqrtESSClassic,IWNorm2,ReturnMin,DenMISELogLast,IWLastEpisode,ExplorationBonus,LQGsigma,Bound,MISE,IWNorm1,LQGmu1,Iteration,DenMISELogFirst,IWMax,ReturnMean,ReturnStepMax,TimestepsSoFar,ReturnAbsMax,ReturnMax,LQGmu01,IWMin,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,IWMean
18.256773653599158,18.60218,18.60218,1.0,1.0,,18.60218,1.0,33.01792,0.11,49.526882,16.50896,1.0,-0.20000002,1,18.60218,1.0,16.50896,0.9968455,20,16.50896,16.50896,-0.020118592,,16.50896,0.05039715766906738,1.0,1.0
18.574542532630748,19.95748,19.95748,1.4142135,1.4142135,,21.312778,1.0,23.77396,0.11,40.433804,16.659843,2.0,-0.20000002,2,18.60218,1.0,16.659843,0.99997634,40,16.810728,16.810728,-0.020118592,,16.810728,0.7386019229888916,1.0,1.0
18.580887508285446,20.361195,20.361195,1.7320509,1.7320508,,21.168627,1.0,19.416445,0.11,36.12805,16.711609,3.0,-0.20000002,3,18.60218,1.0,16.711609,0.99997634,60,16.815134,16.815134,-0.020118592,,16.815134,0.7680747509002686,1.0,1.0
18.677343920677814,19.958935,19.958935,2.0,2.0,,18.752157,1.0,16.906454,0.11,33.66677,16.760319,4.0,-0.20000002,4,18.60218,1.0,16.760319,0.99997634,80,16.906454,16.906454,-0.020118592,,16.906454,0.7993984222412109,1.0,1.0
18.406744290196503,18.72694,18.72694,2.236068,2.236068,,13.798967,1.0,15.1215925,0.11,31.86044,16.738846,5.0,-0.20000002,5,18.60218,1.0,16.738846,0.99997634,100,16.906454,16.906454,-0.020118592,,16.65295,0.833179235458374,1.0,1.0
18.52216478234374,18.418013,18.418013,2.4494896,2.4494898,,16.873373,1.0,13.804063,0.11,30.546104,16.742043,6.0,-0.20000002,6,18.60218,1.0,16.742043,0.99997634,120,16.906454,16.906454,-0.020118592,,16.758028,0.8699896335601807,1.0,1.0
18.45798033135191,18.515263,18.515263,2.6457515,2.6457512,,19.098755,1.0,12.780077,0.11,29.515566,16.735489,7.0,-0.20000002,7,18.60218,1.0,16.735489,0.99997634,140,16.906454,16.906454,-0.020118592,,16.696163,0.911048412322998,1.0,1.0
18.366904745089833,17.956116,17.956116,2.828427,2.828427,,14.042103,1.0,11.954668,0.11,28.675016,16.720348,8.0,-0.20000002,8,18.60218,1.0,16.720348,0.99997634,160,16.906454,16.906454,-0.020118592,,16.614378,0.9523196220397949,1.0,1.0
18.37619227041158,18.187344,18.187344,3.0,3.0,,20.037151,1.0,11.270969,0.11,27.98019,16.70922,9.0,-0.20000002,9,18.60218,1.0,16.70922,0.99997634,180,16.906454,16.906454,-0.020118592,,16.620192,1.0046391487121582,1.0,1.0
18.783820957511203,17.758486,17.758486,3.1622777,3.1622777,,13.898762,1.0,10.757347,0.11,27.496532,16.739185,10.0,-0.20000002,10,18.60218,1.0,16.739185,0.99997634,200,17.00886,17.00886,-0.020118592,,17.00886,1.0532677173614502,1.0,1.0
