DenMISELogFirst,TimeElapsed,target_sum_log_mean,IWNorm1,IWNorm2,LQGmu1,ReturnMin,IWLastEpisode,ReturnLastEpisode,IWMax,ReturnAbsMax,DenMISEMeanLog,SqrtESSClassic,MISE,DenMISELogLast,IWFirstEpisode,Iteration,ReturnMax,ReturnStepMax,URet,IWMean,IWMin,Bound,LQGmu01,ReturnMean,TimestepsSoFar,LQGsigma,ExplorationBonus
12.845262,0.09160089492797852,12.849516,1.0042634,1.0042634,0.01010101,,1.0042634,9.380901,1.0042634,9.380901,12.845262,1.0,9.420896,12.845262,1.0042634,1,9.380901,0.55877954,10.303278693899255,1.0042634,,28.182697,0.001010101,9.380901,20,0.11,18.761803
12.847391,1.749131679534912,13.243401,26.692335,26.680063,0.030303031,,26.680061,9.249708,26.680061,9.380901,13.801557,1.0004599,123.44896,14.755722,0.012274523,2,9.380901,0.55877954,10.166394052361602,13.346168,,142.20213,0.0030303032,9.315305,40,0.11,18.753178
12.448045,2.416721820831299,15.828861,5.803327,4.0932016,0.030303031,,2.9942307,9.184156,2.9942307,9.380901,16.454817,1.4177965,17.828402,19.903095,0.018299472,3,9.380901,0.55877954,10.085677680633932,1.9344424,,31.061474,0.0030303032,9.271588,60,0.11,13.233071
12.166444,3.2512004375457764,16.298954,5.9056783,3.3960993,0.030303031,,1.9556059,9.2500305,1.9980755,9.380901,16.723965,1.7389592,13.624658,17.038534,0.024251372,4,9.380901,0.55877954,10.15268805296383,1.4764196,,24.413757,0.0030303032,9.266199,80,0.11,10.789099
11.949345,4.105595111846924,14.152601,2.6972106,2.4648163,0.01010101,,0.13515884,9.175225,2.4600244,9.380901,16.862463,1.0942847,5.0521975,17.106453,2.4600244,5,9.380901,0.55877954,10.07552934482122,0.5394421,,22.197464,0.001010101,9.248004,100,0.11,17.145267
12.167144,4.966491460800171,15.588589,9.629556,4.2974086,0.030303031,,1.8806412,9.206833,1.9980564,9.380901,15.664851,2.240782,14.787572,10.141308,0.024234401,6,9.380901,0.55877954,10.111530156621239,1.604926,,23.160454,0.0030303032,9.241142,120,0.11,8.372882
12.017024,6.031575679779053,15.473485,10.235928,4.168243,0.030303031,,1.7206001,9.178826,1.7487226,9.380901,15.528163,2.4556937,13.464686,14.240186,0.02815973,7,9.380901,0.55979556,10.090698711314747,1.4622754,,21.104809,0.0030303032,9.23224,140,0.11,7.6401234
11.887507,6.892041444778442,-41.90102,2.3442766e-19,2.343722e-19,0.09090909,,7.180039e-32,9.553689,2.343721e-19,9.553689,16.00637,1.0002366,2.6912688e-19,18.9792,3.383761e-35,8,9.553689,0.57715887,10.522380419794905,2.9303355e-20,,19.102858,0.00909091,9.272421,160,0.11,19.102858
11.769725,7.69691276550293,-34.950203,8.999991,8.999991,0.09090909,,8.999991,9.027768,8.999991,9.553689,16.1742,1.0,9.02776,18.459099,3.8067294e-35,9,9.553689,0.57715887,9.916071030933145,0.99999905,,28.135138,0.00909091,9.245237,180,0.11,19.107378
11.664364,8.523783683776855,-6.336602,36.046272,35.99794,0.07070707,,35.997906,9.052531,35.997906,9.553689,15.94209,1.0013427,32.630882,14.108212,1.4407553e-19,10,9.553689,0.57715887,9.942488386284762,3.6046271,,51.71264,0.0070707067,9.225966,200,0.11,19.081758
11.569054,9.403661489486694,-4.1243196,19.653824,13.962128,0.07070707,,10.992288,9.059275,10.992288,9.553689,15.963632,1.4076525,16.180878,15.601313,1.5848248e-19,11,9.553689,0.57715887,9.950903706066939,1.7867112,,29.754808,0.0070707067,9.210813,220,0.11,13.573931
11.482042,10.262988567352295,-2.2934577,17.323267,9.986399,0.07070707,,5.999634,9.064808,5.999634,9.553689,15.997737,1.7346861,13.077675,16.054327,1.728903e-19,12,9.553689,0.57715887,9.955806686793586,1.4436055,,24.092566,0.0070707067,9.198646,240,0.11,11.014891
11.401999,11.319626808166504,-20.699413,7.063312,6.431512,0.09090909,,0.10365014,9.047476,6.4070377,9.553689,15.858697,1.0982351,4.9062834,13.971222,5.498591e-35,13,9.553689,0.57715887,9.937735677900877,0.5433317,,22.304543,0.00909091,9.187017,260,0.11,17.398258
11.327891,12.25889778137207,-0.5852125,18.030148,9.00478,0.07070707,,0.00054868474,9.0102215,4.666401,9.553689,15.504639,2.0022864,11.663076,11.415019,2.017056e-19,14,9.553689,0.57715887,9.8952397040062,1.2878677,,21.205856,0.0070707067,9.174388,280,0.11,9.54278
11.258899,13.103272438049316,0.6767777,18.0856,8.073624,0.07070707,,3.4593387,9.04628,3.7498374,9.553689,15.621304,2.2400846,10.916688,17.103563,2.161131e-19,15,9.553689,0.57715887,9.935901863629896,1.2057067,,19.446445,0.0070707067,9.165849,300,0.11,8.5297575
11.194361,14.045606136322021,-40.84713,0.9424126,0.9313339,0.11111111,,5.9103216e-09,9.050968,0.93126726,9.553689,15.630711,1.0118955,0.53072137,15.659279,,16,9.553689,0.57715887,9.941274582137519,0.05890079,,19.413479,0.011111111,9.1586685,320,0.11,18.882757
11.133736,14.928083419799805,-37.39204,15.422825,14.506116,0.11111111,,14.475944,8.996196,14.475944,9.553689,15.552681,1.0631946,8.162367,15.216897,,17,9.553689,0.57715887,9.88119824567813,0.907225,,26.134031,0.011111111,9.149111,340,0.11,17.971664
11.076577,15.858885765075684,-34.609936,18.055351,12.137176,0.11111111,,8.826101,8.986876,8.826101,9.553689,15.25568,1.4876074,9.020043,10.50813,,18,9.553689,0.57715887,9.871077238190848,1.0030751,,21.864412,0.011111111,9.140098,360,0.11,12.844369
11.022511,18.08856201171875,-9.817347,18.818731,10.07466,0.09090909,,5.763489,9.0147505,6.2198477,9.553689,15.294696,1.8679271,8.933122,16.141314,8.036374e-35,19,9.553689,0.57715887,9.900921849635916,0.99045956,,19.16231,0.00909091,9.133501,380,0.11,10.229188
