SqrtESSClassic,DenMISELogFirst,DenMISELogLast,ReturnAbsMax,LQGmu01,IWFirstEpisode,ReturnStepMax,URet,TimeElapsed,ReturnMean,target_sum_log_mean,IWMean,IWNorm1,MISE,DenMISEMeanLog,Iteration,IWLastEpisode,Bound,LQGsigma,TimestepsSoFar,ReturnLastEpisode,IWMax,LQGmu1,ReturnMin,ExplorationBonus,ReturnMax,IWMin,IWNorm2
1.0,18.60218,18.60218,15.058442,-0.011110653,1.2230332,0.9625284,16.687925283112612,0.06688570976257324,15.058442,18.803514,1.2230332,1.2230332,18.416975,18.60218,1,1.2230332,48.53386,0.11,20,15.058442,1.2230332,-0.110656105,,30.116884,15.058442,,1.2230332
1.4104612,18.707907,20.961245,15.943526,-0.011110653,1.1003274,0.99769473,17.65144763451032,1.7413666248321533,15.500984,20.003305,1.1869664,2.3739328,18.437489,19.834576,2,1.2736055,50.40937,0.11,40,15.943526,1.2736055,-0.110656105,,31.971884,15.943526,,1.6830899
1.000004,18.7408,21.337915,16.002333,0.0010101006,1.3590271e-25,0.9980863,17.717651583033557,2.403728485107422,15.668101,-24.613874,2.2022679e-15,6.6068036e-15,3.524142e-14,20.375748,3,6.6067765e-15,55.43348,0.11,60,16.002333,6.6067765e-15,0.010100666,,55.43348,16.002333,,6.6067765e-15
1.0,18.45312,8.326168,16.002333,-0.0010101006,1.73033e-17,0.9980863,13.143929391149936,3.2433347702026367,14.736965,-4.708967,5.445247,21.780989,65.03562,17.14759,4,21.780989,129.04495,0.11,80,11.943558,21.780989,-0.010100666,,64.00933,16.002333,,21.780989
1.0000012,18.229977,11.301467,16.002333,0.0050504617,,0.9980863,10.405597617845064,4.081792831420898,13.68369,-45.657005,2.045507e-12,1.0227535e-11,2.4430624e-11,16.17252,5,1.1835168e-17,71.56452,0.11,100,9.470591,1.0227523e-11,0.050462145,,71.56452,16.002333,,1.0227523e-11
1.000001,18.047655,11.029331,16.002333,0.0030302936,9.129222e-35,0.9980863,9.980895807647228,4.901239395141602,12.917621,-18.91848,19.600115,117.60069,178.11162,15.163387,6,117.60058,256.50665,0.11,120,9.087271,117.60058,0.030293757,,78.39503,16.002333,,117.60058
1.0000144,17.893503,16.094944,16.002333,-0.027265966,1.13810054e-29,0.9980863,9.997823133105449,5.745979309082031,12.372589,-335.97168,2.0036354e-19,1.4025519e-18,3.1945016e-18,15.596525,7,,84.67516,0.11,140,9.102401,1.4025306e-18,-0.26616073,,84.67516,16.002333,,1.4025317e-18
1.0000021,17.759972,-18.970554,16.217155,-0.017170029,8.702807e-06,0.99858004,17.963448352132747,6.598411798477173,12.853159,-157.24643,237.85501,1902.8401,3857.3315,11.1588,8,1902.836,3949.0693,0.11,160,16.217155,1902.836,-0.17004903,,91.737885,16.217155,,1902.836
1.414567,17.64219,16.593489,16.48378,-0.017170029,9.790634e-06,0.9994977,18.229510478533413,7.448267936706543,13.256561,-137.68683,1.99563,17.96067,32.629745,12.266442,9,8.993832,102.54703,0.11,180,16.48378,8.993832,-0.17004903,,69.91728,16.48378,,12.6969385
1.2369533,17.53683,12.326408,16.86427,-0.02120894,1.0754423e-13,0.99965507,18.63355152069052,8.278464555740356,13.617331,-168.93906,1.4680536,14.680535,24.60781,12.316051,10,11.673698,110.835,0.11,200,16.86427,11.673698,-0.20899595,,86.22719,16.86427,,11.868302
