IWMin,DenMISELogLast,LQGsigma,ReturnMean,LQGmu01,ReturnLastEpisode,SqrtESSClassic,LQGmu1,URet,Bound,TimestepsSoFar,IWMax,IWNorm2,DenMISEMeanLog,IWLastEpisode,ReturnAbsMax,target_sum_log_mean,MISE,DenMISELogFirst,TimeElapsed,IWNorm1,Iteration,IWMean,ReturnMin,ReturnMax,ReturnStepMax,IWFirstEpisode,ExplorationBonus
,-31.300238,1.0,14.212496,-0.0030303032,14.212496,1.0,-0.030303031,15.593418754668832,77.47831,20,1.0925229,1.0925229,-31.300238,1.0925229,14.212496,-31.211748,15.527476,-31.300238,0.041100502014160156,1.0925229,1,1.0925229,,14.212496,0.99494565,1.0925229,61.950836
,-28.269274,1.0,11.878802,0.013131313,9.545109,1.0233169,0.13131313,10.518186844368902,110.06561,40,10.0250225,10.027814,-29.762144,10.0250225,14.212496,-29.330276,49.526367,-31.255014,1.607140302658081,10.261631,2,5.1308155,,14.212496,0.99494565,0.2366088,60.53925
,-24.226154,1.0,11.034656,-0.0070707067,9.346362,1.0105195,-0.07070707,10.274466212000098,67.357346,60,1.2683619,1.2684208,-27.551905,0.0012493366,14.212496,-31.171112,6.0514216,-31.548666,2.2526962757110596,1.281764,3,0.42725468,,14.212496,0.99494565,1.2683619,61.305927
,-27.172316,1.0,12.168352,-0.023232324,15.569443,1.0260757,-0.23232323,17.210194304378973,84.50874,80,4.607745,4.6093545,-27.5835,4.607745,15.569443,-37.220192,18.367783,-31.48373,3.0741443634033203,4.7295465,4,1.1823866,,15.569443,0.99494565,0.121801585,66.14096
,-28.070211,1.0,12.968264,-0.043434344,16.167906,1.0589176,-0.43434343,17.849963510766464,97.14244,100,8.936036,8.952572,-27.700085,8.936036,16.167906,-47.79624,30.58932,-31.676878,3.8655927181243896,9.480036,5,1.8960072,,16.167906,0.99494565,0.0001242741,66.55312
,-36.641373,1.0,13.208697,-0.05959596,14.4108715,1.0374401,-0.5959596,15.9267783832614,73.22301,120,1.8983617,1.899172,-29.15418,0.051625013,16.167906,-58.856716,5.2920675,-31.859175,4.651960134506226,1.9702771,6,0.3283795,,16.167906,0.99953234,1.7486087e-08,67.93094
,-30.729471,1.0,13.584062,0.0979798,15.8362465,1.0013158,0.97979796,17.42469187717105,70.38166,140,1.1980605e-19,1.1980704e-19,-29.470373,3.492831e-24,16.167906,-97.28221,2.7705352e-19,-32.013325,5.453185319900513,1.1996469e-19,7,1.7136812e-20,,16.167906,0.99953234,7.415926e-26,70.38166
,-51.674152,1.0,12.44088,0.07575758,4.4386063,1.0,0.75757575,4.743488372870013,9034.731,160,16156.886,16156.886,-32.362686,16156.886,16.167906,-67.34518,8964.257,-32.14686,6.280959367752075,16156.886,8,2019.6107,,16.167906,0.99953234,8.2199725e-16,70.47427
,-29.347752,1.0,11.442303,-0.073737375,3.4536836,1.1178601,-0.7373737,3.8594072912136728,69.91621,180,3.458151,3.485708,-31.286709,,16.167906,-136.9367,6.8722897,-32.26464,7.106494426727295,3.896534,9,0.43294823,,16.167906,0.99953234,8.070011e-13,63.043915
,-37.78275,1.0,11.833301,-0.1,15.352282,1.0194933,-1.0,17.006399861212003,69.30026,200,0.10740242,0.10742299,-31.993862,1.2415865e-05,16.167906,-175.78091,0.17350297,-32.37,7.924808502197266,0.10951702,10,0.0109517025,,16.167906,0.99953234,8.277049e-24,69.12676
,-27.03257,1.0,12.239511,0.04949495,16.301601,1.0279835,0.4949495,17.989955120698994,69.12306,220,0.0007697615,0.00077002984,-31.62849,1.0516179e-10,16.301601,-48.65893,0.0003185709,-32.46531,8.869300365447998,0.00079157803,11,7.196164e-05,,16.301601,0.99953234,4.6672477e-07,69.12274
,-50.302788,1.0,11.805734,0.045454547,7.034198,1.000005,0.45454547,7.6467928588923275,80.37032,240,15.888543,15.888543,-33.26444,15.888543,16.301601,-47.35346,9.313647,-32.552322,9.677560329437256,15.888622,12,1.3240519,,16.301601,0.99953234,5.32068e-06,71.05668
,-30.684633,1.0,11.385439,-0.1,6.3419123,1.078901,-1.0,6.999225417110324,68.1758,260,1.7093966,1.7149713,-33.07501,,16.301601,-193.29875,2.3152256,-32.632362,10.513041973114014,1.8502843,13,0.14232956,,16.301601,0.99953234,1.0760154e-23,65.86057
,-47.683983,1.0,11.632878,0.015151516,14.849574,1.4324834,0.15151516,16.42935382834618,67.51374,280,14.985609,18.292873,-34.177723,2.5272902e-06,16.301601,-47.465435,17.909647,-32.70647,11.367232322692871,26.204239,14,1.8717314,,16.301601,0.9996742,0.67900753,49.60409
,-43.729668,1.0,11.543748,-0.02929293,10.29593,2.0456724,-0.2929293,11.227000344991673,65.446304,300,10.125372,14.795837,-34.78968,7.251363e-08,16.301601,-73.05563,30.711012,-32.728104,12.186745166778564,30.267437,15,2.0178292,,16.301601,0.9996742,0.08279668,34.735294
