SqrtESSClassic,LQGsigma,ReturnStepMax,LQGmu01,IWLastEpisode,IWFirstEpisode,ExplorationBonus,ReturnLastEpisode,ReturnMean,target_sum_log_mean,ReturnAbsMax,TimeElapsed,DenMISELogFirst,Iteration,IWNorm2,IWMax,DenMISELogLast,Bound,IWMean,IWMin,IWNorm1,LQGmu1,ReturnMin,DenMISEMeanLog,TimestepsSoFar,MISE,URet,ReturnMax
1.0,0.11,0.9625284,-0.09966799,,,30.116884,15.058442,15.058442,-404.23984,15.058442,0.05224728584289551,18.60218,1,1e-10,,18.60218,30.116884,,,1e-10,-0.7615942,,18.60218,20,,16.687925283112612,15.058442
1.0,0.11,0.9998483,-0.09966799,2.0,,33.928085,16.964043,16.011242,-199.8337,16.964043,0.9853339195251465,17.909033,2,2.0,2.0,3.8793092,50.892128,1.0,,2.0,-0.7615942,,10.894171,40,16.964043,18.74084447733709,16.964043
1.4142135,0.11,0.99995756,-0.09966799,1.4999986,,24.357857,17.223606,16.415363,-126.16625,17.223606,1.1286275386810303,17.503569,3,2.1213193,1.5,20.763163,41.451675,0.9999995,,2.9999986,-0.7615942,,14.144574,60,17.093817,19.006922892126155,17.223606
1.7320509,0.11,0.99995756,-0.09966799,1.3333327,,19.888107,17.189089,16.608795,-89.936646,17.223606,1.2832260131835938,17.215887,4,2.3094,1.3333333,18.464476,37.01368,0.99999964,,3.9999986,-0.7615942,,15.211521,80,17.125574,18.97020634551885,17.223606
2.0,0.11,0.99995756,-0.09966799,1.25,,17.223606,17.142303,16.715496,-69.18952,17.223606,1.435180425643921,16.992743,5,2.4999988,1.25,13.575823,34.353355,0.9999995,,4.9999976,-0.7615942,,14.878476,100,17.129751,18.922565823776246,17.223606
2.236068,0.11,0.9999636,-0.09966799,1.2,,15.405261,17.121447,16.783155,-54.845703,17.223606,1.591050624847412,16.810421,6,2.6832817,1.2,16.691051,32.53336,1.0,,6.0,-0.7615942,,15.177399,120,17.128098,18.901532102460255,17.223606
2.4494898,0.11,0.9999636,-0.09966799,1.1666659,,14.063015,17.109241,16.829739,-44.282207,17.223606,1.7387909889221191,16.656271,7,2.8577368,1.166667,18.944603,31.187963,0.9999996,,6.999997,-0.7615942,,15.713671,140,17.124949,18.889860282319884,17.223606
2.6457512,0.11,0.9999636,-0.09966799,1.1428573,,13.019823,17.170263,16.872303,-36.991673,17.223606,1.9090895652770996,16.52274,8,3.0237162,1.1428573,13.908571,30.151253,1.0000001,,8.000001,-0.7615942,,15.486807,160,17.13143,18.950546719924507,17.223606
2.8284268,0.11,0.9999636,-0.09966799,1.1249995,,12.178929,17.110577,16.898779,-30.655142,17.223606,2.080681800842285,16.404957,9,3.1819794,1.125,19.91937,29.307743,0.9999996,,8.999996,-0.7615942,,15.978475,180,17.128815,18.88968843787361,17.223606
3.0,0.11,0.9999636,-0.09966799,1.1111106,,11.4964695,17.244703,16.93337,-26.199749,17.244703,2.2481608390808105,16.299595,10,3.3333323,1.1111116,13.793402,28.63816,0.9999997,,9.999997,-0.7615942,,15.759372,200,17.141691,19.02702753323485,17.244703
3.1622777,0.11,0.9999696,-0.09966799,1.1,,10.9065075,17.103304,16.94882,-22.257698,17.244703,2.4258430004119873,16.204285,11,3.4785054,1.1,17.067495,28.044365,1.0,,11.0,-0.7615942,,15.87785,220,17.137857,18.882791036944322,17.244703
3.3166249,0.11,0.9999711,-0.09966799,1.090909,,10.398948,17.18805,16.968756,-18.882359,17.244703,2.587883234024048,16.117273,12,3.6181357,1.090909,18.159384,27.541367,0.99999994,,11.999999,-0.7615942,,16.067642,240,17.142418,18.969997775842636,17.244703
3.4641016,0.11,0.9999711,-0.09966799,1.0833335,,9.956234,17.188293,16.985643,-16.564705,17.244703,2.7621800899505615,16.037231,13,3.752776,1.0833344,11.167108,27.102472,0.99999976,,12.999997,-0.7615942,,15.690418,260,17.146238,18.968405677947906,17.244703
3.6055512,0.11,0.99997145,-0.09966799,1.0769233,,9.56564,17.16211,16.99825,-14.137633,17.244703,2.92775821685791,15.963123,14,3.882902,1.0769233,17.340195,26.713108,1.0000001,,14.000002,-0.7615942,,15.808052,280,17.147467,18.94114678244783,17.244703
