MISE,IWMax,ReturnMax,LQGmu1,Bound,LQGmu01,ReturnMin,ReturnAbsMax,DenMISELogFirst,IWFirstEpisode,DenMISELogLast,IWLastEpisode,IWMean,Iteration,TimeElapsed,ReturnLastEpisode,URet,DenMISEMeanLog,ReturnMean,ReturnStepMax,TimestepsSoFar,IWMin,LQGsigma,target_sum_log_mean
3.6236807e-09,2.549644e-10,14.212496,0.01,3.6236807e-09,0.001,,14.212496,-9.2103405,2.549644e-10,-9.2103405,2.549644e-10,2.549644e-10,1,0.049883365631103516,14.212496,15.593418754668832,-9.2103405,14.212496,0.99494565,20,,1.0,-31.300238
1.9681563e-08,3.525682e-09,14.212496,0.01,1.9681563e-08,0.001,,14.212496,-9.903487,5.099281e-10,-9.903487,3.525682e-09,2.017805e-09,2,0.980421781539917,9.109096,10.0238642864365,-9.903487,11.660795,0.99494565,40,,1.0,-30.333458
7.582102e-06,1.6805882e-06,14.212496,0.01,7.582102e-06,0.001,,14.212496,-10.308952,7.6489287e-10,-10.308951,1.6805882e-06,5.6221387e-07,3,1.0085039138793945,13.499597,15.015132329977508,-10.308952,12.27373,0.99494565,60,,1.0,-28.090744
8.057282e-06,2.2407833e-06,14.387457,0.01,8.057282e-06,0.001,,14.387457,-10.596635,1.0198586e-09,-10.596635,1.3211023e-07,5.9524115e-07,4,1.0355474948883057,14.387457,15.84123010160815,-10.596634,12.802161,0.99494565,80,,1.0,-27.677124
8.40686e-06,2.8009763e-06,14.387457,0.01,8.40686e-06,0.001,,14.387457,-10.819778,1.274822e-09,-10.819778,1.4264225e-07,6.237691e-07,5,1.0661790370941162,12.253919,13.545473914711895,-10.8197775,12.6925125,0.99494565,100,,1.0,-27.45824
8.40691e-06,3.3611684e-06,14.387457,0.01,8.40691e-06,0.001,,14.387457,-11.0021,1.5297865e-09,-11.0021,3.5479196e-11,6.237745e-07,6,1.105060338973999,9.670804,10.635293469573131,-11.002099,12.188895,0.99494565,120,,1.0,-28.725897
8.434678e-06,3.9213605e-06,14.387457,0.01,8.434678e-06,0.001,,14.387457,-11.156251,1.7847531e-09,-11.156251,1.6498156e-08,6.261309e-07,7,1.161708116531372,11.784708,13.030717354830307,-11.15625,12.131154,0.99494565,140,,1.0,-28.77595
8.652444e-06,4.4815556e-06,14.387457,0.01,8.652444e-06,0.001,,14.387457,-11.289782,2.0397144e-09,-11.289782,1.3698553e-07,6.432542e-07,8,1.2038085460662842,12.717458,13.921750443504749,-11.289782,12.204442,0.99494565,160,,1.0,-28.565601
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.407565,,-11.407564,,,9,1.2604970932006836,11.439434,12.735457078712699,-11.407564,12.119441,0.99494565,180,,0.00038792958,-19540402000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.512925,,-11.512925,,,10,1.310337781906128,0.6754197,0.6774102933768917,-11.512924,10.975039,0.99494565,200,,0.00038792958,-17763056000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.608235,,inf,,,11,1.3508403301239014,,,inf,9.977308,0.99494565,220,,0.00038792958,-16148233000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.695247,,inf,,,12,1.3937456607818604,,,inf,9.145865,0.99494565,240,,0.00038792958,-14802547000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.77529,,inf,,,13,1.4384081363677979,,,inf,8.442338,0.99494565,260,,0.00038792958,-13663889000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.849398,,inf,,,14,1.4858667850494385,,,inf,7.8393135,0.99494565,280,,0.00038792958,-12687898000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.91839,,inf,,,15,1.5569207668304443,,,inf,7.316693,0.99494565,300,,0.00038792958,-11842038000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-11.982929,,inf,,,16,1.6263580322265625,,,inf,6.8593993,0.99494565,320,,0.00038792958,-11101910000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-12.043553,,inf,,,17,1.6791095733642578,,,inf,6.4559054,0.99494565,340,,0.00038792958,-10448856000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-12.100712,,inf,,,18,1.7357203960418701,,,inf,6.097244,0.99494565,360,,0.00038792958,-9868365000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-12.154779,,inf,,,19,1.7937352657318115,,,inf,5.776336,0.99494565,380,,0.00038792958,-9348977000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-12.206073,,inf,,,20,1.8662936687469482,,,inf,5.4875193,0.99494565,400,,0.00038792958,-8881528000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-12.254863,,inf,,,21,1.9471416473388672,,,inf,5.226209,0.99494565,420,,0.00038792958,-8458598000.0
,,14.387457,5.5571404,,0.5557141,,14.387457,-12.301383,,inf,,,22,2.0417909622192383,,,inf,4.988654,0.99494565,440,,0.00038792958,-8074116600.0
