target_sum_log_mean,ReturnAbsMax,URet,DenMISELogFirst,Iteration,IWFirstEpisode,ExplorationBonus,LQGmu1,ReturnMin,ReturnLastEpisode,TimeElapsed,IWNorm2,IWMean,IWMin,LQGsigma,DenMISELogLast,LQGmu01,ReturnMean,ReturnStepMax,DenMISEMeanLog,Bound,SqrtESSClassic,ReturnMax,MISE,IWMax,IWNorm1,TimestepsSoFar,IWLastEpisode
12.849516,9.380901,10.303278693899255,12.845262,1,1.0042634,18.761803,0.01010101,,9.380901,0.05219006538391113,1.0042634,1.0042634,,0.11,12.845262,0.001010101,9.380901,0.55877954,12.845262,28.182697,1.0,9.380901,9.420896,1.0042634,1.0042634,20,1.0042634
13.243401,9.380901,10.166394052361602,12.847391,2,0.012274523,18.753178,0.030303031,,9.249708,1.5950286388397217,26.680063,13.346168,,0.11,14.755722,0.0030303032,9.315305,0.55877954,13.801557,142.20213,1.0004599,9.380901,123.44896,26.680061,26.692335,40,26.680061
15.828861,9.380901,10.085677680633932,12.448045,3,0.018299472,13.233071,0.030303031,,9.184156,2.274404764175415,4.0932016,1.9344424,,0.11,19.903095,0.0030303032,9.271588,0.55877954,16.454817,31.061474,1.4177965,9.380901,17.828402,2.9942307,5.803327,60,2.9942307
16.298954,9.380901,10.15268805296383,12.166444,4,0.024251372,10.789099,0.030303031,,9.2500305,3.1263861656188965,3.3960993,1.4764196,,0.11,17.038534,0.0030303032,9.266199,0.55877954,16.723965,24.413757,1.7389592,9.380901,13.624658,1.9980755,5.9056783,80,1.9556059
14.152601,9.380901,10.07552934482122,11.949345,5,2.4600244,17.145267,0.01010101,,9.175225,3.977977991104126,2.4648163,0.5394421,,0.11,17.106453,0.001010101,9.248004,0.55877954,16.862463,22.197464,1.0942847,9.380901,5.0521975,2.4600244,2.6972106,100,0.13515884
15.588589,9.380901,10.111530156621239,12.167144,6,0.024234401,8.372882,0.030303031,,9.206833,5.020902633666992,4.2974086,1.604926,,0.11,10.141308,0.0030303032,9.241142,0.55877954,15.664851,23.160454,2.240782,9.380901,14.787572,1.9980564,9.629556,120,1.8806412
15.473485,9.380901,10.090698711314747,12.017024,7,0.02815973,7.6401234,0.030303031,,9.178826,5.854135274887085,4.168243,1.4622754,,0.11,14.240186,0.0030303032,9.23224,0.55979556,15.528163,21.104809,2.4556937,9.380901,13.464686,1.7487226,10.235928,140,1.7206001
13.709574,9.553689,10.522380419794905,11.887507,8,2.6169472,12.626873,0.01010101,,9.553689,6.673462629318237,3.5780895,0.67680955,,0.11,18.9792,0.001010101,9.272421,0.57715887,16.00637,19.020462,1.5132312,9.553689,6.393588,2.6169472,5.4144764,160,2.4333546
15.451433,9.564552,10.531545182766319,12.052734,9,0.02717188,7.664322,0.030303031,,9.564552,7.508325576782227,4.281375,1.1873032,,0.11,16.619677,0.0030303032,9.304881,0.5836317,16.0358,18.603981,2.495864,9.564552,10.939659,1.7985913,10.685729,180,0.05374463
14.458982,9.673576,10.602468093749264,11.950389,10,2.4574568,9.313811,0.01010101,,9.673576,8.360337495803833,4.731662,0.98288643,,0.11,16.687841,0.001010101,9.341749,0.6167194,16.114874,18.67826,2.077254,9.673576,9.36445,2.4574568,9.828864,200,2.2780862
