IWNorm2,DenMISELogLast,LQGmu01,ReturnMin,DenMISELogFirst,Iteration,DenMISEMeanLog,TimeElapsed,URet,IWFirstEpisode,TimestepsSoFar,ReturnMax,ExplorationBonus,IWMean,ReturnLastEpisode,ReturnStepMax,ReturnMean,IWLastEpisode,IWMin,IWNorm1,LQGsigma,target_sum_log_mean,LQGmu1,ReturnAbsMax,SqrtESSClassic,Bound,MISE,IWMax
1.0,12.845262,0.001,,12.845262,1,12.845262,0.040719032287597656,10.303278693899255,1.0,20,9.380901,nan,1.0,9.380901,0.55877954,9.380901,1.0,,1.0,0.11,12.845262,0.01,9.380901,1.0,nan,9.380901,1.0
1.4142135,14.778818,0.001,,12.845262,2,13.81204,1.5902917385101318,10.168199786321296,1.0,40,9.380901,nan,1.0,9.251271,0.55877954,9.316086,1.0,,2.0,0.11,13.81204,0.01,9.380901,1.4142135,nan,9.316086,1.0
1.7320508,20.54018,0.001,,12.845262,3,16.054754,2.320204496383667,10.750405632878323,1.0,60,9.77056,nan,1.0,9.77056,0.59473556,9.467578,1.0,,3.0,0.11,16.054754,0.01,9.77056,1.7320509,nan,9.467578,1.0
2.0,17.709234,0.001,,12.845262,4,16.468372,3.1903181076049805,11.153673445104644,1.0,80,10.163266,nan,1.0,10.163266,0.6405643,9.6415,1.0,,4.0,0.11,16.468372,0.01,10.163266,2.0,nan,9.6415,1.0
2.236068,17.562794,0.001,,12.845262,5,16.687258,3.9877350330352783,10.19156028798008,1.0,100,10.163266,nan,1.0,9.281046,0.6405643,9.569409,1.0,,5.0,0.11,16.687258,0.01,10.163266,2.236068,nan,9.569409,1.0
2.4494898,9.081323,0.001,,12.845262,6,15.419601,4.880385160446167,10.113262546672127,1.0,120,10.163266,nan,1.0,9.208488,0.6405643,9.509255,1.0,,6.0,0.11,15.419601,0.01,10.163266,2.4494896,nan,9.509255,1.0
2.6457512,15.069232,0.001,,12.845262,7,15.36955,5.7061378955841064,10.219067935437923,1.0,140,10.163266,nan,1.0,9.28783,0.6405643,9.477623,1.0,,7.0,0.11,15.36955,0.01,10.163266,2.6457515,nan,9.477623,1.0
2.828427,17.052326,0.001,,12.845262,8,15.579897,6.5530781745910645,11.40568155979132,1.0,160,10.31106,nan,1.0,10.31106,0.7239796,9.581802,1.0,,8.0,0.11,15.579897,0.01,10.31106,2.828427,nan,9.581802,1.0
3.0,19.025131,0.001,,12.845262,9,15.962701,7.395474672317505,10.536833238652395,1.0,180,10.31106,nan,1.0,9.569298,0.7239796,9.580414,1.0,,9.0,0.11,15.962701,0.01,10.31106,3.0,nan,9.580414,1.0
3.1622777,15.717651,0.001,,12.845262,10,15.938196,8.259663820266724,12.616612475609388,1.0,200,11.461241,nan,1.0,11.461241,0.7239796,9.7684965,1.0,,10.0,0.11,15.938196,0.01,11.461241,3.1622777,nan,9.7684965,1.0
3.3166249,18.813786,0.001,,12.845262,11,16.199614,9.129331827163696,10.590350424148673,1.0,220,11.461241,nan,1.0,9.614225,0.7239796,9.754472,1.0,,11.0,0.11,16.199614,0.01,11.461241,3.3166246,nan,9.754472,1.0
3.4641016,17.846025,0.001,,12.845262,12,16.336813,9.957094430923462,11.646526984461527,1.0,240,11.461241,nan,1.0,10.57535,0.7239796,9.822879,1.0,,12.0,0.11,16.336813,0.01,11.461241,3.4641018,nan,9.822879,1.0
