URet,LQGsigma,IWMean,DenMISEMeanLog,IWMin,IWFirstEpisode,ReturnMean,Iteration,ReturnAbsMax,LQGmu01,LQGmu1,ReturnMax,IWNorm2,Bound,ReturnMin,TimeElapsed,ReturnStepMax,target_sum_log_mean,IWMax,TimestepsSoFar,IWNorm1,IWLastEpisode,ExplorationBonus,ReturnLastEpisode,MISE,DenMISELogFirst,SqrtESSClassic,DenMISELogLast
16.598881620112095,0.11,1.0369349,12.047251,,1.1078963e-37,10.1768265,19,14.961306,-0.0070707067,-0.07070707,14.961306,16.95543,57.138054,,15.277511835098267,0.98842853,-282.1447,16.759798,380,19.701761,16.759798,41.66995,14.961306,15.468106,11.011974,1.1619736,15.461988
17.42147921833258,0.11,9.925368e-14,12.091078,,,10.455265,20,15.745591,-0.017171716,-0.17171717,15.745591,1.9850608e-12,49.666977,,16.00632643699646,0.98842853,-697.20184,1.9850608e-12,400,1.9850736e-12,1.9850608e-12,49.666977,15.745591,1.5628074e-12,10.960681,1.0000064,13.119545
18.06405193478889,0.11,3.7027073,11.699077,,,10.734407,21,16.31726,-0.015151516,-0.15151516,16.31726,77.75685,110.64815,,16.816075563430786,0.9999099,-564.43365,77.75685,420,77.75685,77.75685,50.23011,16.31726,60.418037,10.911891,1.0,4.834871
18.24169956343362,0.11,1.664915,11.497053,,,10.996363,22,16.497408,-0.015151516,-0.15151516,16.497408,25.93798,62.46094,,17.61071491241455,0.9999099,-538.33923,19.306284,440,36.628128,19.306284,35.136,16.497408,27.32494,10.865372,1.4121426,6.6833262
17.962883499885322,0.11,1.464842,11.661474,,,11.223961,23,16.497408,-0.013131313,-0.13131313,16.497408,21.169697,54.426125,,18.52798056602478,0.9999099,-431.54224,16.63283,460,33.691364,16.63283,30.49119,16.231112,23.934937,10.820919,1.5914901,15.045982
17.864529712672752,0.11,1.0065441,11.708491,,,11.429042,24,16.497408,-0.011111111,-0.11111111,16.497408,20.372986,56.336258,,19.27473473548889,0.9999099,-341.5149,20.238031,480,24.157059,20.238031,40.063347,16.145906,16.27291,10.778359,1.1857398,12.606909
17.440879952797978,0.11,1.5135709,11.792527,,,11.60227,25,16.497408,-0.00909091,-0.09090909,16.497408,25.549568,55.15031,,20.145519495010376,0.9999099,-266.1983,23.715551,500,37.83927,23.715551,31.427732,15.759749,23.722578,10.737537,1.4810141,14.0188265
17.777294394144196,0.11,1.6067908,11.915506,,,11.773439,26,16.497408,-0.011111111,-0.11111111,16.497408,22.325764,50.138977,,21.03202748298645,0.9999099,-313.9145,15.7414465,520,41.77656,15.7414465,24.390978,16.052687,25.747997,10.698318,1.8712265,14.799291
17.92264777401595,0.11,1.4783543,12.08488,,,11.93716,27,16.497408,-0.011111111,-0.11111111,16.497408,18.28737,44.278076,,21.905784130096436,0.9999099,-301.60577,10.182184,540,39.915565,9.770386,20.519625,16.193872,23.75845,10.660577,2.1826847,16.141111
17.924364827168368,0.11,1.633722,12.21977,,,12.089221,28,16.497408,-0.013131313,-0.13131313,16.497408,18.704168,44.532703,,22.77970242500305,0.9999099,-351.56168,10.4022875,560,45.744213,10.4022875,17.983139,16.19488,26.549564,10.624209,2.4456694,15.553646
17.712168764203643,0.11,0.9147937,12.318665,,2.9971355e-21,12.223687,29,16.497408,-0.005050505,-0.05050505,16.497408,17.765974,42.40277,,23.943164348602295,0.9999099,-143.53294,13.843189,580,26.529018,9.83631e-05,28.940838,15.988739,13.461933,10.589118,1.4932487,14.622975
16.755223752448877,0.11,0.011813107,12.222965,,4.289879e-08,12.320738,30,16.497408,0.005050505,0.05050505,16.497408,0.3452631,41.503365,,24.828030347824097,0.9999099,-54.99386,0.3451395,600,0.3543932,3.9881033e-23,41.39485,15.135206,0.10851382,10.555217,1.026444,9.662387
10.24318054830165,0.11,0.23572156,11.678167,,4.4328722e-08,12.224682,31,16.497408,0.005050505,0.05050505,16.497408,6.954172,41.978783,,25.845885038375854,0.9999099,-53.2765,6.9452214,620,7.3073683,6.9452214,39.778267,9.343018,2.2005153,10.522427,1.0507891,-3.6938374
9.976724662045116,0.11,0.9905728,11.820174,,0.024901584,12.126501,32,16.497408,-0.001010101,-0.01010101,16.497408,22.365772,39.731712,,26.771832704544067,0.9999099,-81.11903,15.992601,640,31.69833,3.6899325e-20,29.027845,9.082895,10.703867,10.490678,1.4172696,16.992826
11.814837924098573,0.11,2.4272775e-17,11.840579,,,12.084193,33,16.497408,0.023232324,0.23232323,16.497408,7.6224643e-16,38.552036,,27.960697174072266,0.9999099,-349.15726,7.612069e-16,660,8.0100163e-16,,38.552036,10.730318,2.1379483e-16,10.460684,1.0508434,12.672881
9.52465641247257,0.11,32.142574,10.356416,,,11.983986,34,16.497408,0.021212121,0.21212122,16.497408,1092.8475,318.817,,28.90175700187683,0.9999099,-279.89008,1092.8475,680,1092.8475,1092.8475,39.911938,8.677123,278.90506,10.430831,1.0,-37.635838
9.561295745824735,0.11,1.9694598,10.43776,,,11.8903475,35,16.497408,0.021212121,0.21212122,16.497408,48.74722,44.93789,,29.851086139678955,0.9999099,-271.48627,34.987164,700,68.93109,34.987164,27.819088,8.706688,17.1188,10.401843,1.4140518,10.68825
9.53068551971376,0.11,1.372894,10.518974,,,11.801054,36,16.497408,-0.013131313,-0.13131313,16.497408,18.763582,37.011078,,30.820666074752808,0.9999099,-430.00436,9.751564,720,49.424187,,14.725405,8.675797,22.285675,10.3736725,2.6340485,12.976515
17.684643232744605,0.11,1.3805301,9.2811165,,2.155792e-37,11.913401,37,16.497408,-0.0070707067,-0.07070707,16.497408,23.854023,39.129288,,32.01823616027832,0.9999099,-239.0568,14.210474,740,51.079613,11.988499,17.867155,15.957879,21.26213,10.346273,2.1413417,-35.54951
15.471502562157898,0.11,0.6466227,9.266115,,,11.967364,38,16.497408,0.015151516,0.15151516,16.497408,19.46107,35.650078,,33.12763714790344,0.9999099,-141.19888,18.707804,760,24.571663,,29.900787,13.963992,5.7492914,10.319605,1.262606,8.488632
9.802612531517223,0.11,1.0045557,8.704658,,,11.889485,39,16.497408,0.017171716,0.17171717,16.497408,27.568834,35.075436,,34.337241888046265,0.9999099,-172.15085,19.496553,780,39.177673,0.007963052,26.223442,8.930104,8.851993,10.29363,1.4210856,-12.189201
9.697532890031601,0.11,0.6914048,8.902714,,5.7153972e-08,11.812981,40,16.497408,0.005050505,0.05050505,16.497408,21.18322,34.513355,,35.38420557975769,0.9999099,-78.432625,19.872711,800,27.656193,,28.184597,8.829288,6.3287582,10.268312,1.3055707,16.798763
9.970033258397613,0.11,1.2153093,8.775101,,,11.746265,41,16.497408,-0.011111111,-0.11111111,16.497408,19.799297,33.94643,,36.32392907142639,0.9999099,-372.97256,9.57015,820,49.82768,,14.442069,9.077616,19.504362,10.24362,2.5166388,4.075393
16.70163922757446,0.11,1.3304236,8.801971,,2.4471227e-37,11.825112,42,16.497408,-0.0070707067,-0.07070707,16.497408,22.094444,34.489307,,37.26157212257385,0.9999099,-247.59663,11.641713,840,55.877792,7.726285,14.1991205,15.057865,20.290186,10.2195215,2.5290427,9.778763
16.1386959590668,0.11,1.487252,9.013276,,,11.887843,43,16.497408,0.021212121,0.21212122,16.497408,36.92334,33.409855,,38.35712480545044,0.9999099,-263.64297,21.49605,860,63.951836,,20.490664,14.522539,12.919192,10.1959915,1.7320166,17.666273
9.689628727838178,0.11,11.9172325,7.820992,,,11.818338,44,16.497408,0.019191919,0.1919192,16.497408,519.89935,140.00696,,39.31169533729553,0.9999099,-210.49438,519.8915,880,524.3582,519.8915,34.78621,8.829628,105.22075,10.173002,1.0085764,-43.666515
9.590620010364344,0.11,1.4952077,7.910209,,,11.7498045,45,16.497408,0.019191919,0.1919192,16.497408,46.769154,37.267616,,40.26577806472778,0.9999099,-205.52255,41.48873,900,67.28435,21.407997,24.11468,8.734328,13.152938,10.150529,1.438648,10.174423
9.635562592912025,0.11,1.3796653,8.035151,,1.9647394e-34,11.685113,46,16.497408,0.00909091,0.09090909,16.497408,36.856926,32.372646,,41.19639229774475,0.9999099,-82.529564,22.980793,920,63.464603,,19.92741,8.774011,12.445235,10.128551,1.721918,13.508368
9.89721612457626,0.11,1.2803212,8.036498,,2.738432e-37,11.628188,47,16.497408,-0.0070707067,-0.07070707,16.497408,21.776423,31.664505,,42.12491846084595,0.9999099,-286.91245,10.200282,940,60.1751,,12.2846575,9.009634,19.379848,10.107044,2.7633142,7.9545097
15.68183885257996,0.11,1.2205918,7.8803363,,4.9569226e-21,11.680148,48,16.497408,-0.005050505,-0.05050505,16.497408,24.55963,31.81047,,43.0200514793396,0.9999099,-229.5496,14.860754,960,58.588406,11.1362505,14.080944,14.122234,17.729527,10.085991,2.3855574,0.34584603
15.022551880857906,0.11,1.3252273,8.085955,,0.19825329,11.71845,49,16.497408,0.0030303032,0.030303031,16.497408,35.76402,30.588257,,43.92306208610535,0.9999099,-98.14089,23.64809,980,64.936134,3.329876e-21,18.310665,13.556932,12.277593,10.0653715,1.8156834,17.837782
10.151425359732967,0.11,1.2555603,8.07718,,,11.6688795,50,16.497408,0.013131313,0.13131313,16.497408,36.439693,30.327847,,44.890599966049194,0.9999099,-109.28025,23.98435,1000,62.778015,,19.104004,9.239977,11.223843,10.049207,1.722792,7.5190825
9.78919662838853,0.11,1.3803571,8.095996,,,11.614856,51,16.497408,0.019191919,0.1919192,16.497408,38.578087,29.984772,,45.95294713973999,0.9999099,-204.3439,24.705986,1020,70.39822,1.0535798e-13,17.858139,8.913664,12.126633,10.029404,1.824824,8.978605
9.628327123755058,0.11,1.0504898,8.081173,,,11.56008,52,16.497408,-0.013131313,-0.13131313,16.497408,20.714489,29.29484,,46.93437123298645,0.9999099,-494.63947,10.349141,1040,54.62547,,12.238258,8.766489,17.056581,10.009986,2.6370656,7.1571093
17.10701493639168,0.11,1.309733,7.1343603,,3.0755914e-37,11.632957,53,16.497408,-0.0070707067,-0.07070707,16.497408,22.116392,29.923101,,47.92847490310669,0.9999099,-284.83875,9.339947,1060,69.41585,8.688553,10.184975,15.4226265,19.738127,9.990937,3.1386607,-42.088417
16.684556308927938,0.11,1.3054717,7.242203,,3.1336213e-37,11.696273,54,16.497408,-0.0070707067,-0.07070707,16.497408,21.22015,29.185524,,49.18205666542053,0.9999099,-279.28998,8.090439,1080,70.49547,7.9727144,9.533066,15.052041,19.652458,9.972245,3.3221004,12.718208
16.979794272495617,0.11,1.2965552,7.3559356,,3.1916498e-37,11.762207,55,16.497408,-0.0070707067,-0.07070707,16.497408,20.406538,28.518402,,50.239781856536865,0.9999099,-273.93552,7.166542,1100,71.31053,7.035003,8.980005,15.322615,19.538397,9.9538965,3.4944944,13.254012
