Bound,TimestepsSoFar,ReturnMax,Iteration,ExplorationBonus,IWMean,MISE,SqrtESSClassic,IWFirstEpisode,IWLastEpisode,LQGsigma,LQGmu01,IWNorm2,ReturnMean,LQGmu1,ReturnAbsMax,target_sum_log_mean,ReturnMin,IWMax,IWMin,DenMISELogLast,TimeElapsed,DenMISEMeanLog,ReturnStepMax,URet,IWNorm1,DenMISELogFirst,ReturnLastEpisode
51.73545,20,17.24515,1,34.4903,1.0,17.24515,1.0,1.0,1.0,0.11,-0.12044793,1.0,17.24515,-1.0,17.24515,18.602179,,1.0,,18.602179,0.05192923545837402,18.602179,0.99997973,19.029243429867993,1.0,18.602179,17.24515
41.815044,40,17.340004,2,24.522469,1.0,17.292576,1.4142135,1.0,1.0,0.11,-0.12044793,1.4142135,17.292576,-1.0,17.340004,19.957478,,1.0,,21.312778,0.7075655460357666,19.957478,0.99997973,19.125077602500582,2.0,18.602179,17.340004
37.332073,60,17.340794,3,20.023424,1.0,17.30865,1.7320509,1.0,1.0,0.11,-0.12044793,1.7320508,17.30865,-1.0,17.340794,20.361195,,1.0,,21.168627,0.7299940586090088,20.361195,0.99997973,19.12702181401758,3.0,18.602179,17.340794
34.649162,80,17.340794,4,17.340794,1.0,17.30837,2.0,1.0,1.0,0.11,-0.12044793,2.0,17.30837,-1.0,17.340794,19.958935,,1.0,,18.75216,0.7520880699157715,19.958935,0.99997973,19.091295536503722,4.0,18.602179,17.307531
32.815002,100,17.340794,5,15.510077,1.0,17.304924,2.236068,1.0,1.0,0.11,-0.12044793,2.236068,17.304924,-1.0,17.340794,18.72694,,1.0,,13.798966,0.776559591293335,18.72694,0.99997973,19.07520407482358,5.0,18.602179,17.29114
31.45656,120,17.340794,6,14.158699,1.0,17.297861,2.4494896,1.0,1.0,0.11,-0.12044793,2.4494898,17.297861,-1.0,17.340794,18.418013,,1.0,,16.873373,0.8034820556640625,18.418013,0.9999963,19.04562264335467,6.0,18.602179,17.262543
30.402622,140,17.340794,7,13.108407,1.0,17.294214,2.6457515,1.0,1.0,0.11,-0.12044793,2.6457512,17.294214,-1.0,17.340794,18.515263,,1.0,,19.098753,0.8339531421661377,18.515263,0.9999963,19.056851466967945,7.0,18.602179,17.27233
29.560398,160,17.340794,8,12.261792,1.0,17.298607,2.828427,1.0,1.0,0.11,-0.12044793,2.828427,17.298607,-1.0,17.340794,17.956116,,1.0,,14.042104,0.8648850917816162,17.956116,0.9999963,19.1139319291099,8.0,18.602179,17.329365
28.856333,180,17.340794,9,11.56053,1.0,17.295803,3.0,1.0,1.0,0.11,-0.12044793,3.0,17.295803,-1.0,17.340794,18.187342,,1.0,,20.037153,0.900148868560791,18.187342,0.9999963,19.056229896102337,9.0,18.602179,17.273392
28.266113,200,17.340794,10,10.96728,1.0,17.298834,3.1622777,1.0,1.0,0.11,-0.12044793,3.1622777,17.298834,-1.0,17.340794,17.758486,,1.0,,13.898762,0.936460018157959,17.758486,0.9999963,19.110187392631524,10.0,18.602179,17.326101
27.754303,220,17.340794,11,10.456892,1.0,17.297411,3.3166246,1.0,1.0,0.11,-0.12044793,3.3166249,17.297411,-1.0,17.340794,17.704332,,1.0,,17.162806,0.9740085601806641,17.704332,0.9999963,19.06739952421185,11.0,18.602179,17.283184
27.311352,240,17.340794,12,10.011712,1.0,17.299639,3.4641018,1.0,1.0,0.11,-0.12044793,3.4641016,17.299639,-1.0,17.340794,17.749504,,1.0,,18.246395,1.0149352550506592,17.749504,0.9999963,19.109551655417594,12.0,18.602179,17.324142
26.917007,260,17.340794,13,9.618941,1.0,17.298065,3.6055512,1.0,1.0,0.11,-0.12044793,3.6055512,17.298065,-1.0,17.340794,17.249325,,1.0,,11.24715,1.0576565265655518,17.249325,0.9999963,19.061368845612538,13.0,18.602179,17.27917
26.56636,280,17.340794,14,9.269044,1.0,17.297318,3.7416573,1.0,1.0,0.11,-0.12044793,3.7416575,17.297318,-1.0,17.340794,17.261108,,1.0,,17.414305,1.1007130146026611,17.261108,0.9999963,19.068853770092637,14.0,18.602179,17.287592
