Bound,TimestepsSoFar,ReturnMax,Iteration,ExplorationBonus,IWMean,MISE,SqrtESSClassic,IWFirstEpisode,IWLastEpisode,LQGsigma,LQGmu01,IWNorm2,ReturnMean,LQGmu1,ReturnAbsMax,target_sum_log_mean,ReturnMin,IWMax,IWMin,DenMISELogLast,TimeElapsed,DenMISEMeanLog,ReturnStepMax,URet,IWNorm1,DenMISELogFirst,ReturnLastEpisode
26.249393,300,17.340794,15,8.954747,1.0,17.294645,3.8729832,1.0,1.0,0.11,-0.12044793,3.8729835,17.294645,-1.0,17.340794,17.33134,,1.0,,18.314592,1.14957594871521,17.33134,0.99999875,19.039988817200882,15.0,18.602179,17.257252
25.963001,320,17.340794,16,8.670397,1.0,17.292604,4.0,1.0,1.0,0.11,-0.12044793,4.0,17.292604,-1.0,17.340794,17.285133,,1.0,,16.59203,1.197052240371704,17.285133,0.99999875,19.043992362152206,16.0,18.602179,17.261986
25.704544,340,17.340794,17,8.411521,1.0,17.293024,4.1231055,1.0,1.0,0.11,-0.12044793,4.1231055,17.293024,-1.0,17.340794,17.328157,,1.0,,18.01651,1.2472426891326904,17.328157,0.99999875,19.081316277212306,17.0,18.602179,17.299728
25.465023,360,17.340794,18,8.174528,1.0,17.290495,4.242641,1.0,1.0,0.11,-0.12044793,4.2426405,17.290495,-1.0,17.340794,17.379482,,1.0,,18.252035,1.298553705215454,17.379482,0.99999875,19.031076298919793,18.0,18.602179,17.247505
25.246964,380,17.340794,19,7.956502,1.0,17.29046,4.3588986,1.0,1.0,0.11,-0.12044793,4.358899,17.29046,-1.0,17.340794,17.410105,,1.0,,17.961306,1.3774635791778564,17.410105,0.99999875,19.073718075466903,19.0,18.602179,17.289848
25.047535,400,17.340794,20,7.7550387,1.0,17.292496,4.472136,1.0,1.0,0.11,-0.12044793,4.472136,17.292496,-1.0,17.340794,17.387753,,1.0,,16.963097,1.437917947769165,17.387753,0.99999875,19.116099298594474,20.0,18.602179,17.33118
24.860313,420,17.340794,21,7.5681424,1.0,17.292171,4.582576,1.0,1.0,0.11,-0.12044793,4.582576,17.292171,-1.0,17.340794,17.367609,,1.0,,16.964722,1.4976563453674316,17.367609,0.99999875,19.069001340923304,21.0,18.602179,17.285675
24.686192,440,17.340794,22,7.3941393,1.0,17.292053,4.690416,1.0,1.0,0.11,-0.12044793,4.690416,17.292053,-1.0,17.340794,17.191362,,1.0,,13.490179,1.5573844909667969,17.191362,0.99999875,19.07340817164686,22.0,18.602179,17.289568
24.52389,460,17.340794,23,7.2316113,1.0,17.292278,4.795831,1.0,1.0,0.11,-0.12044793,4.7958317,17.292278,-1.0,17.340794,16.793316,,1.0,,8.036287,1.6191649436950684,16.793316,0.99999875,19.08015447716844,23.0,18.602179,17.29723
24.371138,480,17.340794,24,7.0793495,1.0,17.291788,4.898979,1.0,1.0,0.11,-0.12044793,4.8989797,17.291788,-1.0,17.340794,16.832594,,1.0,,17.735983,1.6837804317474365,16.832594,0.99999875,19.061585491074773,24.0,18.602179,17.280495
24.226086,500,17.340794,25,6.9363174,1.0,17.289768,5.0,1.0,1.0,0.11,-0.12044793,5.0,17.289768,-1.0,17.340794,16.907276,,1.0,,18.699642,1.750910997390747,16.907276,0.99999875,19.02404770073794,25.0,18.602179,17.241325
24.090485,520,17.340794,26,6.801619,1.0,17.288866,5.0990195,1.0,1.0,0.11,-0.12044793,5.0990195,17.288866,-1.0,17.340794,16.907839,,1.0,,16.921925,1.8306941986083984,16.907839,0.99999875,19.048918032156546,26.0,18.602179,17.266283
23.96363,540,17.340794,27,6.6744742,1.0,17.289156,5.1961527,1.0,1.0,0.11,-0.12044793,5.196152,17.289156,-1.0,17.340794,17.040096,,1.0,,20.478785,1.914550542831421,17.040096,0.99999875,19.08044345403289,27.0,18.602179,17.296679
23.844048,560,17.340794,28,6.5542035,1.0,17.289845,5.291503,1.0,1.0,0.11,-0.12044793,5.2915025,17.289845,-1.0,17.340794,17.009745,,1.0,,16.190239,1.9887447357177734,17.009745,0.99999875,19.091654005339034,28.0,18.602179,17.3085
23.728962,580,17.340794,29,6.440209,1.0,17.288754,5.3851647,1.0,1.0,0.11,-0.12044793,5.3851647,17.288754,-1.0,17.340794,17.080498,,1.0,,19.061565,2.0708391666412354,17.080498,0.99999875,19.04245864470561,29.0,18.602179,17.258177
23.626514,600,17.350986,30,6.335685,1.0,17.290829,5.4772253,1.0,1.0,0.11,-0.12044793,5.477226,17.290829,-1.0,17.350986,16.876608,,1.0,,10.963819,2.1552176475524902,16.876608,0.99999875,19.135297120382276,30.0,18.602179,17.350986
23.52315,620,17.350986,31,6.2326584,1.0,17.290491,5.5677643,1.0,1.0,0.11,-0.12044793,5.5677643,17.290491,-1.0,17.350986,16.673872,,1.0,,10.591839,2.238710880279541,16.673872,0.99999875,19.06331141875272,31.0,18.602179,17.280382
23.42515,640,17.350986,32,6.1345,1.0,17.29065,5.656854,1.0,1.0,0.11,-0.12044793,5.656854,17.29065,-1.0,17.350986,16.624043,,1.0,,15.079361,2.329275369644165,16.624043,0.99999875,19.08019825928206,32.0,18.602179,17.295578
23.33093,660,17.350986,33,6.0408382,1.0,17.290092,5.7445626,1.0,1.0,0.11,-0.12044793,5.7445626,17.290092,-1.0,17.350986,16.648823,,1.0,,17.441761,2.4118216037750244,16.648823,0.99999875,19.054541141427553,33.0,18.602179,17.272263
23.241898,680,17.350986,34,5.9513392,1.0,17.290558,5.830952,1.0,1.0,0.11,-0.12044793,5.8309517,17.290558,-1.0,17.350986,16.706354,,1.0,,18.604906,2.4976565837860107,16.706354,0.99999875,19.089019187206556,34.0,18.602179,17.305899
23.156704,700,17.350986,35,5.8657045,1.0,17.290998,5.9160795,1.0,1.0,0.11,-0.12044793,5.91608,17.290998,-1.0,17.350986,16.765982,,1.0,,18.793257,2.5845136642456055,16.765982,0.99999875,19.089608358698396,35.0,18.602179,17.305954
23.076042,720,17.350986,36,5.7836623,1.0,17.29238,6.0,1.0,0.99999905,0.11,-0.12044793,6.0,17.29238,-1.0,17.350986,16.70264,,1.0,,14.485692,2.6750528812408447,16.70264,0.99999875,19.125294604292385,36.0,18.602179,17.340721
