IWNorm1,IWMin,TimestepsSoFar,ReturnMax,IWMean,LQGmu01,ReturnLastEpisode,IWMax,ExplorationBonus,ReturnAbsMax,DenMISELogLast,DenMISELogFirst,ReturnStepMax,URet,MISE,IWFirstEpisode,ReturnMean,Iteration,ReturnMin,TimeElapsed,LQGmu1,DenMISEMeanLog,LQGsigma,Bound,IWLastEpisode,target_sum_log_mean,SqrtESSClassic,IWNorm2
1.0042634,,20,9.380901,1.0042634,0.001010101,9.380901,1.0042634,18.761803,9.380901,12.845262,12.845262,0.55877954,10.303278693899255,9.420896,1.0042634,9.380901,1,,0.05088520050048828,0.01010101,12.845262,0.11,28.182697,1.0042634,12.849516,1.0,1.0042634
26.692335,,40,9.380901,13.346168,0.0030303032,9.249708,26.680061,18.753178,9.380901,14.755722,12.847391,0.55877954,10.166394052361602,123.44896,0.012274523,9.315305,2,,1.6495821475982666,0.030303031,13.801557,0.11,142.20213,26.680061,13.243401,1.0004599,26.680063
5.803327,,60,9.380901,1.9344424,0.0030303032,9.184156,2.9942307,13.233071,9.380901,19.903095,12.448045,0.55877954,10.085677680633932,17.828402,0.018299472,9.271588,3,,2.3259503841400146,0.030303031,16.454817,0.11,31.061474,2.9942307,15.828861,1.4177965,4.0932016
5.9056783,,80,9.380901,1.4764196,0.0030303032,9.2500305,1.9980755,10.789099,9.380901,17.038534,12.166444,0.55877954,10.15268805296383,13.624658,0.024251372,9.266199,4,,3.158935070037842,0.030303031,16.723965,0.11,24.413757,1.9556059,16.298954,1.7389592,3.3960993
2.6972106,,100,9.380901,0.5394421,0.001010101,9.175225,2.4600244,17.145267,9.380901,17.106453,11.949345,0.55877954,10.07552934482122,5.0521975,2.4600244,9.248004,5,,4.028878927230835,0.01010101,16.862463,0.11,22.197464,0.13515884,14.152601,1.0942847,2.4648163
9.629556,,120,9.380901,1.604926,0.0030303032,9.206833,1.9980564,8.372882,9.380901,10.141308,12.167144,0.55877954,10.111530156621239,14.787572,0.024234401,9.241142,6,,5.092924118041992,0.030303031,15.664851,0.11,23.160454,1.8806412,15.588589,2.240782,4.2974086
10.235928,,140,9.380901,1.4622754,0.0030303032,9.178826,1.7487226,7.6401234,9.380901,14.240186,12.017024,0.55979556,10.090698711314747,13.464686,0.02815973,9.23224,7,,5.960285425186157,0.030303031,15.528163,0.11,21.104809,1.7206001,15.473485,2.4556937,4.168243
2.3443488e-19,,160,9.553689,2.9303355e-20,0.00909091,9.553689,2.343721e-19,19.102343,9.553689,18.9792,11.887507,0.57715887,10.522380419794905,2.6912688e-19,3.383761e-35,9.272421,8,,6.835373163223267,0.09090909,16.00637,0.11,19.102343,7.180039e-32,-41.90102,1.0002636,2.343731e-19
8.999991,,180,9.553689,0.99999905,0.00909091,9.027768,8.999991,19.107378,9.553689,18.459099,11.769725,0.57715887,9.916071030933145,9.02776,3.8067294e-35,9.245237,9,,7.724473714828491,0.09090909,16.1742,0.11,28.135138,8.999991,-34.950203,1.0,8.999991
36.046272,,200,9.553689,3.6046271,0.0070707067,9.052531,35.997906,19.081758,9.553689,14.108212,11.664364,0.57715887,9.942488386284762,32.630882,1.4407553e-19,9.225966,10,,8.61399531364441,0.07070707,15.94209,0.11,51.71264,35.997906,-6.336602,1.0013427,35.99794
19.653824,,220,9.553689,1.7867112,0.0070707067,9.059275,10.992288,13.573931,9.553689,15.601313,11.569054,0.57715887,9.950903706066939,16.180878,1.5848248e-19,9.210813,11,,9.596140146255493,0.07070707,15.963632,0.11,29.754808,10.992288,-4.1243196,1.4076525,13.962128
17.323267,,240,9.553689,1.4436055,0.0070707067,9.064808,5.999634,11.014891,9.553689,16.054327,11.482042,0.57715887,9.955806686793586,13.077675,1.728903e-19,9.198646,12,,10.535995244979858,0.07070707,15.997737,0.11,24.092566,5.999634,-2.2934577,1.7346861,9.986399
7.063312,,260,9.553689,0.5433317,0.00909091,9.047476,6.4070377,17.398258,9.553689,13.971222,11.401999,0.57715887,9.937735677900877,4.9062834,5.498591e-35,9.187017,13,,11.447606801986694,0.09090909,15.858697,0.11,22.304543,0.10365014,-20.699413,1.0982351,6.431512
18.030148,,280,9.553689,1.2878677,0.0070707067,9.0102215,4.666401,9.54278,9.553689,11.415019,11.327891,0.57715887,9.8952397040062,11.663076,2.017056e-19,9.174388,14,,12.408371448516846,0.07070707,15.504639,0.11,21.205856,0.00054868474,-0.5852125,2.0022864,9.00478
18.0856,,300,9.553689,1.2057067,0.0070707067,9.04628,3.7498374,8.5297575,9.553689,17.103563,11.258899,0.57715887,9.935901863629896,10.916688,2.161131e-19,9.165849,15,,13.274559259414673,0.07070707,15.621304,0.11,19.446445,3.4593387,0.6767777,2.2400846,8.073624
0.9424126,,320,9.553689,0.05890079,0.011111111,9.050968,0.93126726,18.882757,9.553689,15.659279,11.194361,0.57715887,9.941274582137519,0.53072137,,9.1586685,16,,14.152632236480713,0.11111111,15.630711,0.11,19.413479,5.9103216e-09,-40.84713,1.0118955,0.9313339
