URet,DenMISELogLast,IWLastEpisode,IWFirstEpisode,ReturnMax,SqrtESSClassic,ReturnStepMax,IWMin,LQGsigma,IWNorm2,DenMISELogFirst,ReturnMean,Iteration,LQGmu1,TimeElapsed,ReturnMin,Bound,DenMISEMeanLog,IWMean,ReturnLastEpisode,LQGmu01,ReturnAbsMax,ExplorationBonus,target_sum_log_mean,MISE,IWMax,IWNorm1,TimestepsSoFar
18.95656441355952,16.318094,1.9090915,,17.242363,nan,0.999997,,0.11,inf,15.557658,14.523798,21,-0.7502498,4.461156845092773,,nan,-inf,inf,17.174305,-0.09704623,17.242363,nan,-829.82477,inf,inf,inf,420
18.97795848981668,12.884045,1.8333325,,17.242363,nan,0.999997,,0.11,inf,15.511138,14.645344,22,-0.7502498,4.581353187561035,,nan,-inf,inf,17.197819,-0.09704623,17.242363,nan,-791.4922,inf,inf,inf,440
18.88624927700382,7.4657407,1.7692305,,17.242363,nan,0.999997,,0.11,inf,15.466686,14.752534,23,-0.7502498,4.70591926574707,,nan,-inf,inf,17.110727,-0.09704623,17.242363,nan,-756.7301,inf,inf,inf,460
18.83430781654837,17.196987,1.7142844,,17.242363,nan,0.999997,,0.11,inf,15.424127,14.848499,24,-0.7502498,4.8340113162994385,,nan,-inf,inf,17.055698,-0.09704623,17.242363,nan,-724.4607,inf,inf,inf,480
18.855413337616998,18.188816,1.6666675,,17.242363,nan,0.999997,,0.11,inf,15.383305,14.937661,25,-0.7502498,4.969784259796143,,nan,-inf,inf,17.077532,-0.09704623,17.242363,nan,-694.7343,inf,inf,inf,500
18.938275853337526,16.436417,1.6250002,,17.242363,nan,0.999997,,0.11,inf,15.344084,15.023055,26,-0.7502498,5.107341766357422,,nan,-inf,inf,17.157898,-0.09704623,17.242363,nan,-667.3629,inf,inf,inf,520
18.95092152684364,20.016163,1.5882354,,17.242363,nan,0.999997,,0.11,inf,15.306344,15.102602,27,-0.7502498,5.249882698059082,,nan,-inf,inf,17.170834,-0.09704623,17.242363,nan,-641.88727,inf,inf,inf,540
19.070819911292944,15.748406,1.5555552,,17.287983,nan,0.999997,,0.11,inf,15.269976,15.180651,28,-0.7502498,5.399699449539185,,nan,-inf,inf,17.287983,-0.09704623,17.287983,nan,-618.38446,inf,inf,inf,560
19.006454656060264,18.638708,1.5263164,,17.287983,nan,0.999997,,0.11,inf,15.234884,15.251113,29,-0.7502498,5.563009023666382,,nan,-inf,inf,17.224033,-0.09704623,17.287983,nan,-596.4036,inf,inf,inf,580
18.94193596321211,10.558352,1.5,,17.287983,nan,0.999997,,0.11,inf,15.200983,15.314816,30,-0.7502498,5.730204820632935,,nan,-inf,inf,17.162191,-0.09704623,17.287983,nan,-576.1581,inf,inf,inf,600
18.816883965469557,10.202377,1.4761899,,17.287983,nan,0.999997,,0.11,inf,15.168193,15.370432,31,-0.7502498,5.897345304489136,,nan,-inf,inf,17.038929,-0.09704623,17.287983,nan,-557.2306,inf,inf,inf,620
19.01647051438159,14.704669,1.454546,,17.287983,nan,0.999997,,0.11,inf,15.136445,15.42872,32,-0.7502498,6.070855140686035,,nan,-inf,inf,17.235662,-0.09704623,17.287983,nan,-539.34595,inf,inf,inf,640
18.900728987528122,17.080748,1.4347827,,17.287983,nan,0.999997,,0.11,inf,15.105673,15.480036,33,-0.7502498,6.247306823730469,,nan,-inf,inf,17.122149,-0.09704623,17.287983,nan,-522.4736,inf,inf,inf,660
18.926697391694326,18.2566,1.4166666,,17.287983,nan,0.999997,,0.11,inf,15.07582,15.529038,34,-0.7502498,6.42403244972229,,nan,-inf,inf,17.14616,-0.09704623,17.287983,nan,-506.55945,inf,inf,inf,680
