ReturnStepMax,ReturnMin,ReturnLastEpisode,DenMISEMeanLog,IWFirstEpisode,Bound,ReturnMax,MISE,DenMISELogLast,IWMin,LQGmu1,LQGmu01,DenMISELogFirst,IWMax,IWMean,TimestepsSoFar,Iteration,ReturnMean,URet,ReturnAbsMax,LQGsigma,target_sum_log_mean,TimeElapsed,IWLastEpisode
0.9625284,,15.058442,18.60218,1.0033205,15.108443,15.058442,15.108443,18.60218,,-0.10005667,-0.010038923,18.60218,1.0033205,1.0033205,20,1,15.058442,16.687925283112612,15.058442,0.11,18.605495,0.057317495346069336,1.0033205
0.99535984,,15.800916,19.957632,1.0056425,15.500452,15.800916,15.500452,21.311424,,-0.10012517,-0.0100458395,18.60384,1.0056425,1.0046117,40,2,15.429679,17.495851168952395,15.800916,0.11,19.962233,1.1799423694610596,1.0035808
0.9964209,,15.8298645,20.364038,1.0305004,15.620231,15.8298645,15.620231,21.17378,,-0.10059519,-0.010093315,18.605719,1.0305004,1.0041178,60,3,15.563073,17.53155033041148,15.8298645,0.11,20.367706,1.343898057937622,0.9627092
0.999598,,16.139175,19.957321,1.033514,15.865572,16.139175,15.865572,18.734167,,-0.10079205,-0.010113201,18.613316,1.033514,1.0102882,80,4,15.707099,17.865168808936804,16.139175,0.11,19.96709,1.5002882480621338,1.0287741
0.999598,,15.382791,18.726816,1.0433757,15.781631,16.139175,15.781631,13.796637,,-0.10110615,-0.010144933,18.619995,1.0433757,1.0090567,100,5,15.642237,17.03463307248357,16.139175,0.11,18.735146,1.6557672023773193,0.99376345
0.999598,,15.751627,18.405596,1.0410162,16.048674,16.139175,16.048674,16.79206,,-0.10120512,-0.01015493,18.6272,1.1075622,1.0248075,120,6,15.660469,17.445811473462907,16.139175,0.11,18.428951,1.8089916706085205,1.1075622
0.999598,,15.595881,18.5053,1.0404823,16.010132,16.139175,16.010132,19.082458,,-0.10131354,-0.010165884,18.633041,1.1067154,1.022941,140,7,15.651243,17.278990812537344,16.139175,0.11,18.526995,1.9627203941345215,1.0146518
0.999598,,15.418165,17.94987,1.0416716,15.944441,16.139175,15.944441,14.041905,,-0.101441786,-0.01017884,18.638088,1.1109114,1.0206039,160,8,15.622108,17.092059592923672,16.139175,0.11,17.969297,2.123161554336548,1.000435
0.999598,,15.385023,18.185577,1.0453299,15.868496,16.139175,15.868496,20.05304,,-0.10161415,-0.010196255,18.642708,1.1226417,1.017391,180,9,15.595764,17.050818347953054,16.139175,0.11,18.201672,2.2991490364074707,0.9785768
0.999598,,16.403227,17.75217,1.046477,16.065456,16.403227,16.065456,13.835971,,-0.101736255,-0.010208591,18.64723,1.126941,1.0244032,200,10,15.676511,18.14503168900987,16.403227,0.11,17.774975,2.47560715675354,1.0858635
