ReturnMax,URet,ReturnAbsMax,IWNorm2,LQGmu01,TimestepsSoFar,ReturnLastEpisode,IWLastEpisode,LQGmu1,IWMean,ExplorationBonus,DenMISELogFirst,IWNorm1,DenMISEMeanLog,ReturnStepMax,MISE,SqrtESSClassic,Iteration,IWMax,IWMin,LQGsigma,Bound,target_sum_log_mean,ReturnMean,ReturnMin,IWFirstEpisode,TimeElapsed,DenMISELogLast
15.058442,16.687925283112612,15.058442,1.2230332,-0.011110653,20,15.058442,1.2230332,-0.110656105,1.2230332,30.116884,18.60218,1.2230332,18.60218,0.9625284,18.416975,1.0,1,1.2230332,,0.11,48.53386,18.803514,15.058442,,1.2230332,0.05005788803100586,18.60218
15.943526,17.65144763451032,15.943526,1.6830899,-0.011110653,40,15.943526,1.2736055,-0.110656105,1.1869664,22.607536,18.707907,2.3739328,19.834576,0.99769473,18.437489,1.4104612,2,1.2736055,,0.11,41.045025,20.003305,15.500984,,1.1003274,0.7172873020172119,20.961245
16.002333,17.717651583033557,16.002333,1.791277,-0.011110653,60,16.002333,0.84426516,-0.110656105,1.0253816,18.636711,18.7408,3.0761447,20.375748,0.9980863,16.050625,1.7172914,3,1.1671578,,0.11,34.687336,20.391747,15.668101,,1.0647218,0.763920783996582,21.337915
16.268705,18.004091041313032,16.268705,2.1073277,-0.011110653,80,16.268705,1.1472341,-0.110656105,1.0484524,16.349571,18.756853,4.1938095,19.93983,0.9999598,16.590366,1.9901079,4,1.1472341,,0.11,32.939938,19.98185,15.818252,,1.0477672,0.8120203018188477,18.614805
16.268705,17.269297167530585,16.268705,2.3300936,-0.011110653,100,15.597202,1.050134,-0.110656105,1.0393531,14.588923,18.766361,5.1967654,18.709415,0.9999598,16.397564,2.2302818,5,1.1144173,,0.11,30.986488,18.745274,15.774042,,1.037852,0.8628458976745605,13.750049
16.268705,17.62325855504833,16.268705,2.583892,-0.011110653,120,15.915366,1.1549469,-0.110656105,1.0523297,13.315402,18.77265,6.313978,18.384785,0.9999598,16.628416,2.443592,6,1.1549469,,0.11,29.943817,18.43329,15.797595,,1.031346,0.9162290096282959,16.72932
16.268705,17.470772883525974,16.268705,2.771574,-0.011110653,140,15.772427,1.0584692,-0.110656105,1.0459609,12.316746,18.777117,7.3217263,18.484999,0.9999598,16.52276,2.6417215,7,1.1299348,,0.11,28.839506,18.528355,15.794,,1.0267493,0.971266508102417,19.04193
16.268705,17.292063163332728,16.268705,2.939646,-0.011110653,160,15.603606,1.02863,-0.110656105,1.0382502,11.515586,18.780457,8.306002,17.931099,0.9999598,16.375748,2.8255107,8,1.1118759,,0.11,27.891335,17.967573,15.770201,,1.0233258,1.0291073322296143,14.013875
16.268705,17.261178992044204,16.268705,3.0946496,-0.011110653,180,15.578516,1.0077873,-0.110656105,1.0307661,10.854049,18.783045,9.2768955,18.168,0.9999598,16.235712,2.997721,9,1.0982244,,0.11,27.08976,18.197527,15.748901,,1.0206807,1.0890460014343262,20.029396
16.495577,18.243813935855524,16.495577,3.2657018,-0.011110653,200,16.495577,1.0733325,-0.110656105,1.0320474,10.439372,18.78511,10.320474,17.736757,0.9999598,16.335562,3.160262,10,1.0875413,,0.11,26.774933,17.76765,15.823568,,1.0185744,1.1499671936035156,13.827992
16.495577,17.19336837287424,16.495577,3.397655,-0.011110653,220,15.514492,0.9725072,-0.110656105,1.0238076,9.953268,18.786797,11.261885,17.689753,0.9999598,16.176966,3.3146052,11,1.0789546,,0.11,26.130234,17.712664,15.795471,,1.0168585,1.214750051498413,17.190683
16.495577,17.783649123691163,16.495577,3.540623,-0.011110653,240,16.058563,1.0208149,-0.110656105,1.0216106,9.5281925,18.7882,12.259328,17.736237,0.9999598,16.163742,3.4624777,12,1.0719025,,0.11,25.691935,17.757141,15.817397,,1.015432,1.2815570831298828,18.225794
16.495577,17.917478312722572,16.495577,3.687825,-0.011110653,260,16.186039,1.0531136,-0.110656105,1.0224051,9.1538,18.789387,13.291267,17.234625,0.9999598,16.205482,3.6040938,13,1.0660062,,0.11,25.359283,17.256374,15.845755,,1.014228,1.3504724502563477,11.195397
16.495577,17.890670297854133,16.495577,3.823428,-0.011110653,280,16.162424,1.0319756,-0.110656105,1.0215199,8.820143,18.790403,14.301278,17.246695,0.9999598,16.21413,3.7404335,14,1.0610039,,0.11,25.034273,17.267654,15.868373,,1.0131974,1.4190940856933594,17.382828
