Iteration,TimestepsSoFar,Bound,LQGmu01,target_sum_log_mean,MISE,ReturnMax,DenMISELogLast,IWMin,TimeElapsed,ReturnAbsMax,IWLastEpisode,IWFirstEpisode,IWMax,ReturnLastEpisode,ReturnStepMax,ReturnMean,IWMean,LQGmu1,DenMISEMeanLog,LQGsigma,DenMISELogFirst,URet,ReturnMin
1,20,3.6236807e-09,0.001,-31.300238,3.6236807e-09,14.212496,-9.2103405,,0.04221844673156738,14.212496,2.549644e-10,2.549644e-10,2.549644e-10,14.212496,0.99494565,14.212496,2.549644e-10,0.01,-9.2103405,1.0,-9.2103405,15.593418754668832,
2,40,1.9681563e-08,0.001,-30.333458,1.9681563e-08,14.212496,-9.903487,,1.0276284217834473,14.212496,3.525682e-09,5.099281e-10,3.525682e-09,9.109096,0.99494565,11.660795,2.017805e-09,0.01,-9.903487,1.0,-9.903487,10.0238642864365,
3,60,7.582102e-06,0.001,-28.090744,7.582102e-06,14.212496,-10.308951,,1.059227466583252,14.212496,1.6805882e-06,7.6489287e-10,1.6805882e-06,13.499597,0.99494565,12.27373,5.6221387e-07,0.01,-10.308952,1.0,-10.308952,15.015132329977508,
4,80,8.057282e-06,0.001,-27.677124,8.057282e-06,14.387457,-10.596635,,1.0894882678985596,14.387457,1.3211023e-07,1.0198586e-09,2.2407833e-06,14.387457,0.99494565,12.802161,5.9524115e-07,0.01,-10.596634,1.0,-10.596635,15.84123010160815,
5,100,8.40686e-06,0.001,-27.45824,8.40686e-06,14.387457,-10.819778,,1.124253511428833,14.387457,1.4264225e-07,1.274822e-09,2.8009763e-06,12.253919,0.99494565,12.6925125,6.237691e-07,0.01,-10.8197775,1.0,-10.819778,13.545473914711895,
6,120,8.40691e-06,0.001,-28.725897,8.40691e-06,14.387457,-11.0021,,1.1652183532714844,14.387457,3.5479196e-11,1.5297865e-09,3.3611684e-06,9.670804,0.99494565,12.188895,6.237745e-07,0.01,-11.002099,1.0,-11.0021,10.635293469573131,
7,140,8.434678e-06,0.001,-28.77595,8.434678e-06,14.387457,-11.156251,,1.207078456878662,14.387457,1.6498156e-08,1.7847531e-09,3.9213605e-06,11.784708,0.99494565,12.131154,6.261309e-07,0.01,-11.15625,1.0,-11.156251,13.030717354830307,
8,160,8.652444e-06,0.001,-28.565601,8.652444e-06,14.387457,-11.289782,,1.2490763664245605,14.387457,1.3698553e-07,2.0397144e-09,4.4815556e-06,12.717458,0.99494565,12.204442,6.432542e-07,0.01,-11.289782,1.0,-11.289782,13.921750443504749,
9,180,1.0060973e-05,0.001,-28.1828,1.0060973e-05,14.387457,-11.407564,,1.299933671951294,14.387457,1.1081653e-06,2.2946776e-09,5.041748e-06,11.439434,0.99494565,12.119441,7.6638355e-07,0.01,-11.407564,1.0,-11.407565,12.735457078712699,
10,200,1.0123496e-05,0.001,-28.207306,1.0123496e-05,14.387457,-11.512925,,1.4287593364715576,14.387457,4.507578e-08,2.5496454e-09,5.6019344e-06,13.873312,0.99494565,12.294828,7.7089015e-07,0.01,-11.512924,1.0,-11.512925,15.18742952949956,
11,220,1.1393743e-05,0.001,-27.945885,1.1393743e-05,14.387457,-11.608234,,1.5580053329467773,14.387457,1.0964002e-06,2.8046099e-09,6.1621276e-06,12.744191,0.99494565,12.335679,8.705629e-07,0.01,-11.608234,1.0,-11.608235,14.175280732318155,
12,240,1.19907045e-05,0.001,-27.808685,1.19907045e-05,15.763994,-11.695247,,1.692582368850708,15.763994,4.5442812e-07,3.0595686e-09,6.7223145e-06,15.763994,0.9979914,12.621371,9.0843133e-07,0.01,-11.695247,1.0,-11.695247,17.329145624716976,
13,260,1.2031372e-05,0.001,-27.879097,1.2031372e-05,15.763994,-11.77529,,1.8254079818725586,15.763994,4.3577504e-08,3.3145362e-09,7.2825082e-06,12.131697,0.9979914,12.583705,9.1178356e-07,0.01,-11.775289,1.0,-11.77529,13.539792530475795,
14,280,1.2034531e-05,0.001,-28.114614,1.2034531e-05,15.763994,-11.849398,,1.957749366760254,15.763994,4.0401793e-09,3.5695011e-09,7.842695e-06,10.970573,0.9979914,12.468481,9.1207164e-07,0.01,-11.849398,1.0,-11.849398,12.080379036090454,
15,300,1.2414466e-05,0.001,-27.997427,1.2414466e-05,15.763994,-11.91839,,2.0981531143188477,15.763994,5.363891e-07,3.8244643e-09,8.402885e-06,10.624855,0.9979914,12.345572,9.478307e-07,0.01,-11.91839,1.0,-11.91839,11.717805433887055,
16,320,1.2581037e-05,0.001,-27.955635,1.2581037e-05,15.763994,-11.982929,,2.277348279953003,15.763994,2.1646672e-07,4.0794306e-09,8.963065e-06,12.312882,0.9995132,12.343529,9.61359e-07,0.01,-11.982928,1.0,-11.982929,13.685924891301982,
17,340,1.3644008e-05,0.001,-27.815918,1.3644008e-05,15.763994,-12.043552,,2.415679454803467,15.763994,1.321311e-06,4.334397e-09,9.523252e-06,13.676218,0.9995132,12.421923,1.0390829e-06,0.01,-12.043552,1.0,-12.043553,15.21144632581845,
18,360,1.3646705e-05,0.001,-28.018349,1.3646705e-05,15.763994,-12.100712,,2.5578348636627197,15.763994,3.9130685e-09,4.5893573e-09,1.0083443e-05,12.415565,0.9995132,12.42157,1.0393003e-06,0.01,-12.100711,1.0,-12.100712,13.834957919352007,
19,380,1.3699198e-05,0.001,-28.047388,1.3699198e-05,15.763994,-12.154779,,2.706264019012451,15.763994,7.428848e-08,4.8443236e-09,1.0643628e-05,13.426414,0.9995132,12.474457,1.0432099e-06,0.01,-12.1547785,1.0,-12.154779,14.649905136431528,
20,400,1.3731755e-05,0.001,-28.101969,1.3731755e-05,15.763994,-12.206073,,2.856043815612793,15.763994,4.427059e-08,5.0992837e-09,1.120381e-05,14.712248,0.9995132,12.586347,1.0454229e-06,0.01,-12.206072,1.0,-12.206073,16.171543943271875,
21,420,1.396886e-05,0.001,-28.055426,1.396886e-05,15.763994,-12.254863,,3.011298656463623,15.763994,3.484733e-07,5.354247e-09,1.17639975e-05,14.28879,0.9995132,12.667415,1.0620165e-06,0.01,-12.254863,1.0,-12.254863,15.873485576176416,
22,440,1.3968972e-05,0.001,-28.3472,1.3968972e-05,15.763994,-12.301383,,3.1629059314727783,15.763994,2.3459945e-10,5.6092118e-09,1.2324179e-05,10.985656,0.9995132,12.590972,1.062027e-06,0.01,-12.301382,1.0,-12.301383,12.121865735760785,
