IWMean,LQGmu01,TimestepsSoFar,ReturnLastEpisode,MISE,Bound,IWFirstEpisode,URet,DenMISELogLast,SqrtESSClassic,IWNorm2,LQGsigma,TimeElapsed,IWMin,DenMISELogFirst,ReturnMean,ReturnMax,ExplorationBonus,ReturnMin,IWMax,target_sum_log_mean,ReturnStepMax,LQGmu1,DenMISEMeanLog,Iteration,ReturnAbsMax,IWNorm1,IWLastEpisode
1.6044313e-10,-0.0030303032,20,9.380901,1.5051012e-09,inf,1.6044313e-10,10.303278693899255,12.845262,1.0,1.6044313e-10,0.11,0.03681039810180664,,12.845262,9.380901,9.380901,inf,,1.6044313e-10,-9.707821,0.55877954,-0.030303031,12.845262,1,9.380901,1.6044313e-10,1.6044313e-10
48.96089,-0.001010101,40,10.333789,505.94925,614.19305,0.004727967,11.424322365717467,14.274247,1.0000483,97.91705,0.11,1.8912768363952637,,12.152114,9.857346,10.333789,108.24383,,97.91705,12.828111,0.69661236,-0.01010101,13.213181,2,10.333789,97.92178,97.91705
1.074411,0.001010101,60,11.362823,10.214634,98.32959,3.005686,12.5801729070248,19.975193,1.0701163,3.01204,0.11,2.549347400665283,,11.74901,10.359172,11.362823,88.11495,,3.005686,15.070327,0.74682665,0.01010101,16.501394,3,11.362823,3.223233,0.19413488
2.2147075e-09,0.005050505,80,10.397832,2.082668e-08,81.9164,8.659329e-09,11.406532426668967,16.522425,1.0227675,8.661626e-09,0.11,3.3551547527313232,,12.155422,10.368836,11.362823,81.9164,,8.659329e-09,-11.6537285,0.74682665,0.05050505,16.482033,4,11.362823,8.85883e-09,1.9945623e-10
0.9999981,0.005050505,100,9.100585,9.100568,86.74217,1.0824172e-08,9.9944241317966,14.614954,1.0,4.9999905,0.11,4.19055438041687,,11.932279,10.115187,11.362823,77.6416,,4.9999905,-6.078105,0.74682665,0.05050505,15.930101,5,11.362823,4.9999905,4.9999905
4.1824794,0.0070707067,120,9.057077,37.881046,111.37634,1.3225654e-19,9.947655259055251,7.9827113,1.0000108,25.094606,0.11,5.103090047836304,,11.749957,9.938834,11.362823,73.4953,,25.094606,-23.076128,0.74682665,0.07070707,14.569127,6,11.362823,25.094877,25.094606
1.8884326,-0.001010101,140,9.074226,20.413805,69.17266,0.00824661,9.968536488005713,12.879368,1.4449148,9.148656,0.11,5.9189066886901855,,11.595807,9.815318,11.362823,48.758854,,6.806767,-12.324519,0.74682665,-0.01010101,14.43065,7,11.362823,13.219028,1.2839543e-34
0.5123798,-0.0030303032,160,11.483715,5.876908,73.59904,6.388994e-10,12.756801473167615,13.281677,1.0161583,4.0338583,0.11,7.035200119018555,,11.463453,10.023869,11.483715,67.72213,,4.0335374,-29.439964,0.86681354,-0.030303031,14.338852,8,11.483715,4.0990386,4.0335374
6.1251996e-17,-0.00909091,180,12.304338,7.5365476e-16,71.65881,,13.649723624771076,16.09254,1.0002109,5.5115174e-16,0.11,8.00832724571228,,11.34567,10.277254,12.304338,71.65881,,5.5115174e-16,-134.09972,0.8726722,-0.09090909,14.475279,9,12.304338,5.51268e-16,5.5115174e-16
1.4074979,-0.011111111,200,16.081432,22.634583,114.077484,,17.805330300080154,12.909272,1.0,14.074979,0.11,8.954009294509888,,11.240309,10.857672,16.081432,91.4429,,14.074979,-168.88542,0.99478465,-0.11111111,14.223852,10,16.081432,14.074979,14.074979
1.9518444e-11,0.011111111,220,15.656043,1.7710639e-10,87.33464,,17.358856675512136,15.892642,1.0253639,2.0939189e-10,0.11,9.879706144332886,,11.1449995,11.293888,16.081432,87.33464,,2.0932277e-10,-101.333984,0.99894446,0.11111111,14.368789,11,16.081432,2.147029e-10,
91.75281,0.00909091,240,9.228195,846.7126,934.62805,7.756268e-35,10.116483414098488,-21.805801,1.0000118,1101.0208,0.11,10.959412813186646,,11.057988,11.121747,16.081432,87.91546,,1101.0208,-61.20934,0.99894446,0.09090909,11.274478,12,16.081432,1101.0337,1101.0208
6.0947086e-19,0.015151516,260,9.013909,5.4952114e-18,85.4967,,9.901275824792084,11.967839,1.0115854,7.832393e-18,0.11,12.231511116027832,,10.977945,10.959605,16.081432,85.4967,,7.832392e-18,-173.8876,0.99894446,0.15151516,11.602467,13,16.081432,7.923134e-18,7.832392e-18
0.9999999,0.015151516,280,8.874298,8.874297,94.095924,,9.74490783355598,8.669744,1.0,13.999998,0.11,13.225761890411377,,10.903837,10.810655,16.081432,85.22163,,13.999998,-160.65929,0.99894446,0.15151516,11.324171,14,16.081432,13.999998,13.999998
1.3313767,-0.011111111,300,8.876616,21.092785,80.99248,,9.74926562739626,15.773799,1.4038447,14.225683,0.11,14.646743774414062,,10.834845,10.681718,16.081432,59.89969,,11.201183,-308.46274,0.99894446,-0.11111111,11.60263,15,16.081432,19.97065,
8.539386,-0.0070707067,320,15.348135,131.07776,213.94302,1.4107644e-37,17.03287375736807,-12.009734,1.0024606,136.2948,0.11,15.605370044708252,,10.770306,10.97337,16.081432,82.86527,,136.29448,-175.82227,0.99894446,-0.07070707,10.129984,16,16.081432,136.63017,136.29448
0.85189366,-0.005050505,340,15.257785,13.065143,92.21766,2.6567333e-21,16.907862281339963,15.617699,1.0377679,13.955136,0.11,16.84595489501953,,10.709681,11.225394,16.081432,79.15252,,13.946335,-122.70218,0.99894446,-0.05050505,10.5295,17,16.081432,14.482192,0.49430844
1.2713956e-15,-0.021212121,360,14.662975,2.0426184e-14,78.39206,,16.261387351820627,10.095786,1.0370214,2.2068127e-14,0.11,18.80191469192505,,10.652523,11.41637,16.081432,78.39206,,2.2052411e-14,-652.66003,0.99894446,-0.21212122,10.48643,18,16.081432,2.2885121e-14,
3.0933487,-0.019191919,380,16.589739,51.31785,134.3777,,18.35292060843913,-1.538342,1.0,58.77363,0.11,20.524760723114014,,10.598455,11.688653,16.589739,83.05985,,58.77363,-528.2742,0.9998949,-0.1919192,9.802325,19,16.589739,58.77363,58.77363
1.1698124,-0.023232324,400,17.078682,19.97179,103.67473,,18.853001692767293,12.850772,1.0124278,23.109053,0.11,22.883700847625732,,10.547162,11.958155,17.078682,83.70294,,23.107246,-679.19824,0.9999764,-0.23232323,9.976486,20,17.078682,23.396248,23.107246
0.43800816,-0.017171716,420,16.839375,7.271895,88.2004,,18.60795870053306,12.913693,1.0383685,8.858293,0.11,24.32673478126526,,10.498372,12.190594,17.078682,80.928505,,8.854665,-402.34732,0.9999868,-0.17171717,10.10714,21,17.078682,9.198172,0.22309782
4.372689e-18,-0.039393943,440,16.753637,7.4679765e-17,83.37247,,18.511178603681437,5.384548,1.0000008,9.6199094e-17,0.11,25.60541272163391,,10.451852,12.398005,17.078682,83.37247,,9.6199094e-17,-1534.7347,0.9999868,-0.3939394,9.864803,22,17.078682,9.619917e-17,
16.587734,-0.02727273,460,17.003168,282.04593,364.62598,,18.781072119006435,-9.759228,1.0021119,380.71384,0.11,26.609362840652466,,10.4074,12.598229,17.078682,82.58006,,380.71313,-770.87695,0.9999868,-0.27272728,8.969065,23,17.078682,381.51788,380.71313
10.206399,-0.031313132,480,17.149355,175.0136,256.45398,,18.92249928687507,5.4712787,1.0131923,241.76416,0.11,28.152174711227417,,10.3648405,12.78786,17.149355,81.44038,,241.74284,-936.403,0.9999868,-0.3131313,8.903359,24,17.149355,244.95358,241.74284
0.6195375,-0.033333335,500,17.11888,10.623285,90.2914,,18.895578188872587,15.293523,1.0288572,15.054019,0.11,29.558175325393677,,10.3240185,12.961102,17.149355,79.66811,,15.0507555,-1002.46924,0.9999868,-0.33333334,9.220977,25,17.149355,15.488437,0.25399458
1.7163421,-0.02727273,520,17.208601,29.286184,84.025986,,18.990424479678023,16.433006,1.4930986,29.88744,0.11,30.561413049697876,,10.284798,13.124466,17.208601,54.739803,,21.468248,-680.35504,0.9999868,-0.27272728,9.479447,26,17.208601,44.624893,0.08779483
1.100702e-20,-0.053535353,540,17.238049,1.8941546e-19,81.36598,,19.017994702133898,13.181146,1.0001819,2.971625e-19,0.11,31.54749894142151,,10.247058,13.27682,17.238049,81.36598,,2.9716148e-19,-2204.2927,0.9999868,-0.53535354,9.6276,27,17.238049,2.9721654e-19,2.8042478e-23
1.173652,-0.04141414,560,17.252943,20.24891,101.167465,,19.035906256430245,1.1280242,1.0008254,32.835155,0.11,32.485846519470215,,10.21069,13.418825,17.252943,80.91856,,32.835144,-1320.5094,0.9999868,-0.41414142,9.288973,28,17.252943,32.86226,32.835144
