IWFirstEpisode,IWNorm1,IWMin,IWMean,ReturnMin,ReturnMean,ReturnLastEpisode,IWNorm2,ReturnStepMax,URet,SqrtESSClassic,Iteration,ExplorationBonus,IWLastEpisode,ReturnMax,target_sum_log_mean,DenMISEMeanLog,ReturnAbsMax,MISE,DenMISELogLast,TimestepsSoFar,LQGmu01,TimeElapsed,LQGsigma,Bound,IWMax,DenMISELogFirst,LQGmu1
1.6044313e-10,1.6044313e-10,,1.6044313e-10,,9.380901,9.380901,1.6044313e-10,0.55877954,10.303278693899255,1.0,1,inf,1.6044313e-10,9.380901,-9.707821,12.845262,9.380901,1.5051012e-09,12.845262,20,-0.0030303032,0.05547356605529785,0.11,inf,1.6044313e-10,12.845262,-0.030303031
0.004727967,97.92178,,48.96089,,9.857346,10.333789,97.91705,0.69661236,11.424322365717467,1.0000483,2,40.825836,97.91705,10.333789,12.828111,13.213181,10.333789,505.94925,14.274247,40,-0.001010101,1.6986792087554932,0.11,546.7751,97.91705,12.152114,-0.01010101
0.007075224,5.732975,,1.9109917,,10.359172,11.362823,4.050293,0.74682665,12.5801729070248,1.415447,3,24.716429,2.7859516,11.362823,15.552002,16.501394,11.362823,20.70115,19.975193,60,-0.001010101,2.349585771560669,0.11,45.41758,2.9399483,11.74901,-0.01010101
3.9981503,4.161631,,1.0404078,,10.907261,12.551529,4.0004563,0.806056,13.86299954196071,1.040289,4,32.60974,0.0135039715,12.551529,14.503135,16.772432,12.551529,9.840921,17.10633,80,0.001010101,3.124746084213257,0.11,42.45066,3.9981503,11.463684,0.01010101
0.0058835056,7.4291778,,1.4858356,,10.583776,9.289837,4.099907,0.806056,10.200483294877573,1.8120357,5,17.18252,0.35233232,12.551529,15.945958,16.667622,12.551529,16.768803,16.407728,100,-0.001010101,4.078654050827026,0.11,33.951324,2.4650126,11.933456,-0.01010101
2.9957814,8.258558,,1.3764263,,10.388677,9.413179,4.696007,0.806056,10.339444757644605,1.7586342,6,16.624187,2.7135239,12.551529,14.319892,15.566562,12.551529,12.944222,9.745137,120,0.001010101,4.881255626678467,0.11,29.568409,2.9957814,11.752311,0.01010101
4.1117965e-38,3.1187216e-11,,4.4553168e-12,,10.231752,9.290216,3.1187202e-11,0.806056,10.221351358939033,1.0000005,7,27.830643,2.8505554e-34,12.551529,-43.121586,15.368125,12.551529,5.5921028e-11,13.962564,140,-0.0070707067,5.706380844116211,0.11,27.830643,3.1187202e-11,12.003157,-0.07070707
4.6992239e-38,7.99992,,0.99999,,10.780639,14.622835,7.99992,0.9995952,16.255651774621423,1.0,8,31.145428,7.99992,14.622835,-35.98561,14.816114,14.622835,14.622688,11.886766,160,-0.0070707067,6.539862155914307,0.11,45.768116,7.99992,11.869625,-0.07070707
5.2866243e-38,8.985326,,0.9983695,,11.181926,14.392216,6.3535933,0.9995952,15.981745855236575,1.4142116,9,21.290592,4.485349,14.622835,-29.873312,15.089345,14.622835,14.484059,17.524315,180,-0.0070707067,7.401468276977539,0.11,35.77465,4.4999766,11.7518425,-0.07070707
,29.931376,,2.9931376,,11.662094,15.983618,27.416435,0.9995952,17.69117978342126,1.0917311,10,29.281237,27.295418,15.983618,-52.052746,15.01794,15.983618,47.481,14.513681,200,-0.00909091,8.26438283920288,0.11,76.76224,27.295418,11.6464815,-0.09090909
,17.274986,,1.5704533,,11.985055,15.21467,10.842078,0.9995952,16.88322164644161,1.593328,11,19.558422,6.9042454,15.983618,-45.684444,15.167655,15.983618,24.330408,16.066368,220,-0.00909091,9.295937299728394,0.11,43.888832,8.050578,11.551171,-0.09090909
,27.94755,,2.3289626,,12.328893,16.111107,23.8203,0.9995952,17.835613350297265,1.1732662,12,26.173996,23.54076,16.111107,-69.0843,15.2671995,16.111107,37.41844,16.09052,240,-0.011111111,10.11634087562561,0.11,63.592438,23.54076,11.46416,-0.11111111
,14.434339,,1.1103337,,12.587243,15.687436,9.35779,0.99979043,17.386208545374203,1.5424944,13,19.508543,1.9828553,16.111107,-62.655396,15.189768,16.111107,17.73302,13.806925,260,-0.011111111,10.975618362426758,0.11,37.24156,8.610667,11.384117,-0.11111111
,19.193422,,1.3709587,,12.830889,15.998302,8.30088,0.99979043,17.7056336935667,2.3122153,14,12.777008,2.6618416,16.111107,-32.630547,14.927115,16.111107,21.338057,11.555026,280,-0.00909091,11.812968254089355,0.11,34.115067,4.737536,11.310009,-0.09090909
,20.116379,,1.3410919,,12.9812565,15.086382,7.8946104,0.99979043,16.71104340108224,2.5481155,15,11.400909,3.6857002,16.111107,-29.342306,14.974961,16.111107,20.758692,15.388641,300,-0.00909091,12.748891592025757,0.11,32.1596,3.792549,11.241016,-0.09090909
1.6657852e-21,3.7377188,,0.23360743,,13.144731,15.596844,3.628334,0.99979043,17.279533397927725,1.0301474,16,27.768177,0.027849447,16.111107,-0.43815136,15.039283,16.111107,3.3663807,15.75226,320,-0.005050505,13.584136009216309,0.11,31.134558,3.6276867,11.176478,-0.05050505
,22.004879,,1.2944046,,13.225877,14.524211,7.966089,0.99979043,16.10139284507,2.762319,17,10.208562,0.030441366,16.111107,-24.16114,15.055303,16.111107,20.061914,16.070393,340,-0.00909091,14.552753210067749,0.11,30.270477,3.4298263,11.115853,-0.09090909
,22.394012,,1.2441118,,13.354355,15.538498,7.580316,0.99979043,17.226502745441195,2.954232,18,9.419371,2.4543955,16.111107,-22.197865,14.80247,16.111107,19.290285,10.279962,360,-0.00909091,15.609099626541138,0.11,28.709656,3.0218964,11.058695,-0.09090909
,19.881533,,1.0463965,,13.490967,15.949982,9.758513,0.99995226,17.670770056615744,2.0373526,19,13.48994,7.1360435,16.111107,-39.07263,14.865938,16.111107,16.688246,15.818312,380,-0.011111111,16.784600973129272,0.11,30.178185,7.1360435,11.004627,-0.11111111
,22.156113,,1.1078056,,13.638357,16.4388,9.491165,0.99995226,18.175540764048403,2.3343933,20,11.873886,5.2713513,16.4388,-36.352074,14.804552,16.4388,17.786577,13.6763,400,-0.011111111,17.678890705108643,0.11,29.660463,5.460687,10.953335,-0.11111111
,23.687202,,1.127962,,13.74721,15.924251,9.133795,0.99995226,17.636499272097474,2.5933583,21,10.571795,4.2544584,16.4388,-33.8105,14.842782,16.4388,18.06994,15.572966,420,-0.011111111,18.521029710769653,0.11,28.641735,4.503987,10.904544,-0.11111111
2.290457e-21,12.162619,,0.5528463,,13.845864,15.9175625,8.912138,0.99995226,17.62131581687871,1.3647251,22,19.882778,0.0051357043,16.4388,1.5335941,14.602176,16.4388,8.011304,9.482546,440,-0.005050505,19.542778968811035,0.11,27.894081,7.9505963,10.858025,-0.05050505
2.394571e-21,19.910482,,0.8656731,,13.846137,13.85215,12.288396,0.99995226,15.340553306909928,1.620267,23,16.583876,10.052893,16.4388,2.225268,14.603876,16.4388,12.264846,15.134227,460,-0.005050505,20.514991283416748,0.11,28.84872,10.052893,10.813573,-0.05050505
1.2768955e-09,12.024506,,0.5010211,,13.843034,13.771671,9.322649,0.99995226,15.25762838128933,1.2898164,24,20.640068,9.138967,16.4388,3.7115135,14.5605345,16.4388,6.8227596,13.792206,480,-0.0030303032,21.376168251037598,0.11,27.462828,9.138967,10.771013,-0.030303031
,2.0774987e-17,,8.3099836e-19,,13.772222,12.072716,2.0774934e-17,0.99995226,13.335372704077516,1.0000025,25,26.387623,,16.4388,-289.7391,14.560142,16.4388,1.3660616e-17,15.090469,500,-0.025252525,22.435190677642822,0.11,26.387623,2.0774932e-17,10.730191,-0.25252524
,68829.06,,2647.2717,,13.88447,16.690676,68829.06,0.9999712,18.459486379802446,1.0,26,26.567213,68829.06,16.690676,-142.1306,13.915338,16.690676,44184.754,-1.224279,520,-0.019191919,23.31753134727478,0.11,44211.32,68829.06,10.69097,-0.1919192
,48.77342,,1.806423,,14.0003,17.011906,48.13944,0.9999712,18.78277488345735,1.0131696,27,26.51227,48.13521,17.011906,-219.066,14.0796385,17.011906,30.723104,11.451031,540,-0.023232324,24.22442102432251,0.11,57.235374,48.13521,10.65323,-0.23232323
,29.865196,,1.0666142,,14.105798,16.954214,27.444265,0.9999712,18.727062058914978,1.0882126,28,24.494535,0.17433184,17.011906,-131.0073,14.137919,17.011906,17.831085,15.646615,560,-0.019191919,25.26429510116577,0.11,42.325623,27.34311,10.616862,-0.1919192
,30.466526,,1.0505699,,14.196116,16.725046,21.445133,0.9999712,18.48608193851701,1.4206733,29,18.624323,0.10458659,17.011906,-202.83893,14.213248,17.011906,17.841782,16.536955,580,-0.023232324,26.284891843795776,0.11,36.466103,17.141544,10.581771,-0.23232323
,33.57984,,1.119328,,14.287978,16.95199,21.082006,0.9999712,18.7237572064973,1.59282,30,16.494041,2.4543324,17.011906,-121.1674,14.170843,17.011906,18.737524,13.07705,600,-0.019191919,27.19252371788025,0.11,35.231567,14.887493,10.54787,-0.1919192
,41.842575,,1.3497605,,14.375398,16.99799,20.794422,0.9999743,18.769645028772054,2.0122018,31,12.96759,10.622929,17.011906,-188.98662,13.9028,17.011906,22.916224,5.9141726,620,-0.023232324,28.150428533554077,0.11,35.883812,10.982501,10.5150795,-0.23232323
,34.128525,,1.0665164,,14.452049,16.82824,17.349588,0.9999743,18.59436066601388,1.9671086,32,13.177986,8.573057,17.011906,-112.776855,14.017954,17.011906,17.890518,17.406727,640,-0.019191919,29.103864669799805,0.11,31.068504,10.587767,10.483331,-0.1919192
,40.557,,1.229,,14.523853,16.821606,15.964907,0.9999743,18.584224555970234,2.5403843,33,10.139733,8.177458,17.011906,-140.55576,14.060344,17.011906,20.762148,15.457535,660,-0.021212121,30.195570468902588,0.11,30.901882,8.177458,10.452559,-0.21212122
,39.01159,,1.1473997,,14.59347,16.89077,16.013983,0.9999743,18.661255507756728,2.4360952,34,10.509338,6.873145,17.011906,-170.82735,14.064266,17.011906,19.44647,14.052933,680,-0.023232324,31.157206773757935,0.11,29.955809,7.5486736,10.422707,-0.23232323
,21.841877,,0.62405366,,14.661882,16.987911,18.600286,0.9999765,18.763039173899053,1.1742764,35,21.673649,18.409723,17.011906,-245.27963,14.028554,17.011906,10.598626,12.750308,700,-0.02727273,32.145729780197144,0.11,32.272274,18.409723,10.393719,-0.27272728
,43.80488,,1.2168021,,14.722713,16.851826,15.653469,0.9999765,18.619554803298566,2.7984135,36,9.042876,6.7268434,17.011906,-160.55736,13.956853,17.011906,20.605873,11.915346,720,-0.023232324,32.984480142593384,0.11,29.64875,6.7268434,10.365548,-0.23232323
,37.163616,,1.0044221,,14.787568,17.12236,33.37928,0.9999765,18.897720089004647,1.1133738,37,22.750063,33.1701,17.12236,-274.9044,13.819802,17.12236,17.183222,8.740742,740,-0.02929293,33.80603551864624,0.11,39.933285,33.1701,10.338149,-0.2929293
,21.729094,,0.57181823,,14.841877,16.851265,18.297434,0.9999765,18.61859995071027,1.1875486,38,21.214863,0.01584151,17.12236,-267.40945,13.819404,17.12236,9.777153,14.048229,760,-0.02929293,34.820730686187744,0.11,30.992016,17.962969,10.3114805,-0.2929293
,47.35917,,1.2143377,,14.898716,17.058586,15.7170925,0.9999765,18.834834368619035,3.013227,39,8.317585,0.34785047,17.12236,-147.12395,13.942539,17.12236,20.55164,19.126486,780,-0.023232324,35.932859897613525,0.11,28.869225,6.2225237,10.285505,-0.23232323
