AvgEpLen,NumTrajectories,ReturnLastEpisode,MountainCar_std1_higher,ActionIn1,GridSize,Regret,MinEpLen,Regret/t,MountainCar_std0_higher,Iteration,MountainCar_mu0_higher,TimeElapsed,MountainCar_mu1_higher,ReturnMean
999.0,1,-1.7326517715261376,1.5,-10.842346,400,6.732651771526138,999,6.732651771526138,0.14999999,1,-1.0,0.48052477836608887,-10.0,-1.7326517715261376
999.0,2,-1.5824663924192703,1.5,-0.8328262,400,13.315118163945408,999,6.657559081972704,0.14999999,2,0.57894737,0.9605100154876709,-1.5789474,-1.657559081972704
801.6666666666666,3,-0.5903188555368006,1.5,5.3208094,400,18.905437019482207,407,6.301812339827403,0.14999999,3,-1.0,1.1715080738067627,6.8421054,-1.3018123398274029
721.5,4,-0.6076360791765094,1.5,4.7498055,400,24.513073098658715,407,6.128268274664679,0.14999999,4,-1.0,1.400571346282959,2.631579,-1.1282682746646795
777.0,5,-4.854817779160581,1.5,-4.907032,400,34.36789087781929,407,6.873578175563859,0.14999999,5,1.0,1.864161729812622,-5.7894735,-1.8735781755638599
814.0,6,-6.29705843162988,1.5,10.465847,400,45.66494930944917,407,7.610824884908195,0.14999999,6,1.0,2.289048194885254,10.0,-2.6108248849081965
840.4285714285714,7,-4.801915208764778,1.5,5.1092863,400,55.46686451821395,407,7.923837788316279,0.14999999,7,1.0,2.775505781173706,4.736842,-2.9238377883162796
860.25,8,-4.189352942681316,1.5,2.4200604,400,64.65621746089526,407,8.082027182611908,0.14999999,8,1.0,3.3223721981048584,1.5789474,-3.0820271826119088
875.6666666666666,9,-1.8605309524655504,1.5,-3.080473,400,71.51674841336082,407,7.946305379262313,0.14999999,9,-1.0,3.87595796585083,-3.6842105,-2.9463053792623133
888.0,10,-9.157043707097625,1.5,-7.4085097,400,85.67379212045844,407,8.567379212045845,0.14999999,10,1.0,4.379063844680786,-8.947369,-3.5673792120458443
898.0909090909091,11,-1.4453232722012184,1.5,-3.7793124,400,92.11911539265967,407,8.374465035696334,0.14999999,11,-1.0,4.9785685539245605,-0.5263158,-3.3744650356963333
906.5,12,-1.9652687238576891,1.5,-7.3231974,400,99.08438411651736,407,8.25703200970978,0.14999999,12,-1.0,5.498556137084961,-6.8421054,-3.25703200970978
868.2307692307693,13,-0.41442242625681636,1.5,5.380708,400,104.49880654277418,407,8.038369734059552,0.14999999,13,-1.0,5.748400926589966,8.947369,-3.0383697340595512
877.5714285714286,14,-5.421449051518346,1.5,7.7054167,400,114.92025559429253,407,8.20858968530661,0.14999999,14,1.0,6.300543785095215,6.8421054,-3.2085896853066083
870.4,15,-1.8654916083319872,1.5,5.8433213,400,121.78574720262452,407,8.119049813508301,0.14999999,15,-1.0,6.815211057662964,4.736842,-3.1190498135083
878.4375,16,-4.247200756479123,1.5,-2.6773791,400,131.03294795910364,407,8.189559247443977,0.14999999,16,1.0,7.405601978302002,-3.6842105,-3.1895592474439765
885.5294117647059,17,-1.922533275222981,1.5,1.3477836,400,137.9554812343266,407,8.115028307901566,0.14999999,17,-1.0,7.942704439163208,1.5789474,-3.115028307901565
854.5,18,0.5291210681461362,1.5,10.057168,400,142.42636016618047,327,7.912575564787804,0.14999999,18,-1.0,8.207257270812988,10.0,-2.9125755647878036
862.1052631578947,19,-2.469349018119779,1.5,1.7368445,400,149.89570918430024,327,7.889247851805276,0.14999999,19,1.0,8.77521014213562,-0.5263158,-2.889247851805276
868.95,20,-1.750080514001194,1.5,-5.3266983,400,156.64578969830143,327,7.832289484915071,0.14999999,20,-1.0,9.310807228088379,-1.5789474,-2.832289484915072
875.1428571428571,21,-1.421250499987696,1.5,-2.2862136,400,163.06704019828913,327,7.765097152299482,0.14999999,21,-1.0,9.992466926574707,-4.736842,-2.7650971522994823
847.2272727272727,22,4.590224465681013,1.5,8.819328,400,163.47681573260812,261,7.430764351482187,0.14999999,22,-1.0,10.262021780014038,7.894737,-2.4307643514821873
838.5652173913044,23,-0.7185551677545758,1.5,6.428926,400,169.1953709003627,261,7.356320473928813,0.14999999,23,-0.57894737,10.738333225250244,7.894737,-2.3563204739288124
841.375,24,-1.7638312848085205,1.5,8.085654,400,175.95920218517122,261,7.331633424382134,0.14999999,24,-1.0,11.555788278579712,7.894737,-2.3316334243821335
837.2,25,-0.35405187147233075,1.5,3.527504,400,181.31325405664356,261,7.252530162265742,0.14999999,25,-0.36842105,12.282616138458252,3.6842105,-2.2525301622657414
843.4230769230769,26,-2.2535988037685,1.5,-8.62899,400,188.56685286041207,261,7.252571263862003,0.14999999,26,-1.0,13.272759675979614,-7.894737,-2.2525712638620012
843.7407407407408,27,-1.2018152483652453,1.5,2.3401642,400,194.76866810877732,261,7.21365437439916,0.14999999,27,-1.0,14.02604627609253,3.6842105,-2.2136543743991584
849.2857142857143,28,-0.009784144540566015,1.5,3.6322718,400,199.77845225331788,261,7.134944723332781,0.14999999,28,0.05263158,14.905371904373169,2.631579,-2.1349447233327803
854.448275862069,29,-8.076318531504887,1.5,5.351825,400,212.85477078482276,261,7.339819682235268,0.14999999,29,1.0,15.966921329498291,3.6842105,-2.339819682235267
859.2666666666667,30,-0.15994047368518363,1.5,0.62173164,400,218.01471125850796,261,7.267157041950266,0.14999999,30,-0.36842105,17.003429412841797,2.631579,-2.267157041950264
845.1935483870968,31,-0.37014291173001523,1.5,8.709602,400,223.384854170238,261,7.205963037749613,0.14999999,31,-1.0,17.735241889953613,7.894737,-2.2059630377496107
