GridSize,Regret/t,ReturnLastEpisode,Iteration,AvgEpLen,ActionIn1,MinEpLen,MountainCar_std1_higher,MountainCar_mu1_higher,ReturnMean,NumTrajectories,MountainCar_mu0_higher,Regret,MountainCar_std0_higher,TimeElapsed
400,7.3218556451414205,-2.3218556451414205,1,999.0,-11.68723,999,1.5,-10.0,-2.3218556451414205,1,-1.0,7.3218556451414205,0.14999999,0.503807783126831
400,8.053071743639794,-3.784287842138168,2,999.0,-1.0219247,999,1.5,-1.5789474,-3.0530717436397943,2,0.7894737,16.10614348727959,0.14999999,0.983985185623169
400,7.617448535030454,-1.7462021178117737,3,870.0,8.056577,612,1.5,7.894737,-2.617448535030454,3,-1.0,22.85234560509136,0.14999999,1.2826793193817139
400,8.035050699518715,-4.2878571929835,4,902.25,3.9037724,612,1.5,3.6842105,-3.035050699518716,4,1.0,32.14020279807486,0.14999999,1.7584667205810547
400,7.885272255133965,-2.286158477594968,5,921.6,-6.674003,612,1.5,-5.7894735,-2.8852722551339665,5,-1.0,39.42636127566983,0.14999999,2.194730758666992
400,8.229587940711397,-4.951166368598552,6,934.5,10.604292,612,1.5,10.0,-3.229587940711397,6,1.0,49.37752764426838,0.14999999,2.6544339656829834
400,8.215706717245538,-3.1324193764503843,7,943.7142857142857,-6.4035125,612,1.5,-7.894737,-3.2157067172455385,7,1.0,57.50994702071877,0.14999999,3.1483664512634277
400,8.00354613798774,-1.5184220831831547,8,950.625,-1.6580125,612,1.5,1.5789474,-3.0035461379877404,8,-1.0,64.02836910390192,0.14999999,3.671356201171875
400,8.0242496785898,-3.1898780034062715,9,956.0,6.7982006,612,1.5,6.8421054,-3.024249678589799,9,1.0,72.2182471073082,0.14999999,4.195181608200073
400,8.087763602611659,-3.6593889188083892,10,960.3,-5.4488983,612,1.5,-4.736842,-3.087763602611658,10,1.0,80.87763602611659,0.14999999,4.721780300140381
400,8.04083660460161,-2.571566624501127,11,963.8181818181819,1.7082908,612,1.5,4.736842,-3.0408366046016098,11,-1.0,88.44920265061772,0.14999999,5.274732828140259
