Iteration,LQGmu1_higher,Regret,LQGsigma_higher,ReturnLastEpisode,Regret/t,LQGmu1_actor,ReturnMean,TimeElapsed
1,-1.0,0.009000263516111273,0.14999999,0.9561197364838887,0.009000263516111273,-0.81994516,0.9561197364838887,0.08281660079956055
2,0.57575756,0.4304006847505992,0.14999999,0.543719578765512,0.2152003423752996,0.43898463,0.7499196576247004,0.09829258918762207
3,-0.27272728,0.43982857454790925,0.14999999,0.95569211020269,0.1466095248493031,-0.37171587,0.8185104751506969,0.11989092826843262
4,1.0,1.2708143917123411,0.14999999,0.13413418283556813,0.3177035979280853,1.1553375,0.6474164020719146,0.14083242416381836
5,-0.67676765,1.2799593010986898,0.14999999,0.9559750906136512,0.25599186021973797,-0.656784,0.709128139780262,0.16230154037475586
6,-0.45454547,1.2885880857351055,0.14999999,0.9564912153635844,0.2147646809558509,-0.45855445,0.7503553190441491,0.1834108829498291
7,-0.8989899,1.2975291180792432,0.14999999,0.9561789676558622,0.18536130258274902,-0.804873,0.779758697417251,0.20314669609069824
8,-0.37373737,1.3063126048011529,0.14999999,0.9563365132780904,0.1632890756001441,-0.44838923,0.8018309243998559,0.22182393074035645
9,-0.8181818,1.315264329153969,0.14999999,0.956168275647184,0.14614048101710767,-0.56206846,0.8189795189828923,0.24100255966186523
10,-0.3939394,1.3243487213396907,0.14999999,0.9560356078142781,0.13243487213396907,-0.51713085,0.832685127866031,0.2583150863647461
11,-0.41414142,1.3332904054916583,0.14999999,0.9561783158480323,0.12120821868105985,-0.62103635,0.8439117813189402,0.27690815925598145
12,-0.3939394,1.342378113948238,0.14999999,0.9560322915434202,0.11186484282901983,-0.46154302,0.8532551571709802,0.294952392578125
13,-0.23232323,1.3526057589873763,0.14999999,0.9548923549608617,0.10404659684518279,-0.50815475,0.8610734031548173,0.31862974166870117
14,-0.9191919,1.3618726567554185,0.14999999,0.955853102231958,0.09727661833967274,-1.0342617,0.8678433816603273,0.34038448333740234
15,-0.47474748,1.3717353780237216,0.14999999,0.9552572787316969,0.09144902520158144,-0.3110435,0.8736709747984186,0.36347413063049316
16,-1.0,1.3808322640275212,0.14999999,0.9560231139962003,0.08630201650172008,-0.8632102,0.87881798349828,0.3830149173736572
17,-0.8787879,1.3900637623333727,0.14999999,0.9558885016941485,0.08176845660784546,-0.87547195,0.8833515433921546,0.40706658363342285
18,-0.8181818,1.39965366345762,0.14999999,0.9555300988757527,0.07775853685875667,-1.0288796,0.8873614631412434,0.43294692039489746
19,-0.7979798,1.408647601394001,0.14999999,0.956126062063619,0.07413934744178953,-0.8253183,0.8909806525582106,0.46097707748413086
20,-0.6969697,1.4178141758154337,0.14999999,0.9559534255785674,0.07089070879077168,-0.7565364,0.8942292912092284,0.4840989112854004
21,-0.6363636,1.4267963940294295,0.14999999,0.9561377817860041,0.06794268542997284,-0.77673185,0.8971773145700274,0.504420280456543
22,-0.75757575,1.4360110827778363,0.14999999,0.9559053112515933,0.06527323103535619,-0.96161723,0.899846768964644,0.5236155986785889
23,-0.959596,1.444897043391467,0.14999999,0.9562340393863692,0.06282161058223769,-0.6213445,0.9022983894177625,0.5460817813873291
24,-1.0,1.4540845696661382,0.14999999,0.9559324737253287,0.06058685706942243,-1.1618679,0.9045331429305778,0.5714166164398193
25,-0.97979796,1.4633296384360985,0.14999999,0.9558749312300397,0.05853318553744394,-0.9248956,0.9065868144625563,0.606518030166626
